metab,TSNE1,TSNE2
C10,-80.03594,-23.46549
C05,-24.166279,31.42096
C05DC,-79.41995,-107.98049
C18,-160.06966,-20.739231
C181,-141.37845,-26.822826
CIT,129.37709,-77.27347
C16OH,-152.80663,86.04456
C181OH,-151.54445,-59.65013
C14,-155.72414,24.14278
C12,-141.6494,55.929348
PHE,102.6397,-61.968937
TYR,68.980515,-120.30355
PRO,141.89323,-32.528492
C101,-26.156925,-67.317894
RO_C,40.714077,-24.505306
R8_10,-69.86681,-45.672646
ARG,81.039856,20.419071
C18OH,-128.15929,114.29232
C081,-17.99343,-48.324562
RF_Y,61.87714,-135.95724
ALA,131.82028,-9.82982
C03DC,-95.988785,-103.69461
R3_2,25.11515,-107.651146
VAL,96.808235,-21.495956
C121,-203.1162,78.042946
R14_12,-197.73076,60.934505
C02,-113.910225,12.21274
C182,-0.29611057,-63.02638
OXP,170.83875,-33.07061
RA_O,77.56841,44.655426
C16,-157.19003,3.210321
RF_C,-75.38246,18.921703
FC,-94.09187,22.61838
ORN,67.627106,-24.439331
C051,-44.261677,5.121382
C04,-41.5884,40.723236
RC_A,61.216187,27.095505
C06,-80.05411,55.68186
RL_A,61.6238,-62.52255
C05OH,-14.889568,60.724483
C08,-46.961628,-43.434483
MET,116.41336,-40.843105
C14OH,-119.08534,77.993744
C141,-165.45883,61.394543
XLE,86.86395,-40.35564
GLY,155.71013,0.92636055
