outcome,gest_age_wks,Mann-Whitney P Value,Bonferroni-Corrected P Value
BPD,22-23,0.4117484625197504,1.0
BPD,24-25,0.5589561922992885,1.0
BPD,26-27,0.20443007919043554,1.0
BPD,28-29,1.4599362603975347e-28,2.3358980166360555e-27
IVH,22-23,0.038851133333788104,0.6216181333406097
IVH,24-25,0.02537231604206289,0.40595705667300624
IVH,26-27,0.0012667070546249783,0.020267312873999653
IVH,28-29,5.4325506565261e-29,8.69208105044176e-28
NEC,22-23,0.031796783787113994,0.5087485405938239
NEC,24-25,0.4969092532680158,1.0
NEC,26-27,8.426075056803066e-05,0.0013481720090884905
NEC,28-29,2.0911084259838247e-39,3.3457734815741196e-38
ROP,22-23,0.46342739879804307,1.0
ROP,24-25,0.7672872757510326,1.0
ROP,26-27,0.6610556410932711,1.0
ROP,28-29,3.972894630430278e-20,6.356631408688445e-19
