outcome,model,feature_set,mean_auroc,sd_auroc,mean_aupr,sd_aupr
bpd_any,EN,additional_risk_vars,0.7884794542636034,8.243599922791829e-4,0.7711624195366092,0.0018843159648107882
bpd_any,EN,apgar_only,0.6255318679092324,0.0015221739396759884,0.5748380136007696,0.003659232913624644
bpd_any,EN,bwtga,0.783110817203985,0.0017538009980493823,0.758537418989357,0.0033041747143617455
bpd_any,EN,minimal_vars,0.7866227635992445,3.629931268867035e-4,0.7651795481426227,7.861504287950757e-4
bpd_any,Lasso,additional_risk_vars,0.7891010181223355,2.508850531486489e-4,0.7725764474183734,4.0192809827215606e-4
bpd_any,Lasso,apgar_only,0.6264352360589605,0.0012810167093125352,0.5759731279091981,0.0037085892587976526
bpd_any,Lasso,bwtga,0.7838539689854254,6.668262961370926e-4,0.7602088645562499,0.0011215237145967517
bpd_any,Lasso,minimal_vars,0.7867257631810789,2.020590551404236e-4,0.7653289077597117,3.3564021243381745e-4
bpd_any,Logistic Regression,additional_risk_vars,0.7891072862837929,4.5031881508093824e-4,0.7729599179558416,7.297024852276885e-4
bpd_any,Logistic Regression,apgar_only,0.6262815760434616,0.0015566821849357772,0.5752456093452583,0.003119958393626936
bpd_any,Logistic Regression,bwtga,0.784403967731793,2.104893942737047e-4,0.761357691819779,3.7955889185814913e-4
bpd_any,Logistic Regression,minimal_vars,0.7868776940485896,2.7129230139450605e-4,0.7656517431152798,4.185182161282613e-4
bpd_any,Neural Network,NBS Metabolites,0.6977281775396575,0.0035232335223408383,0.7133280916635629,0.00332218473452675
bpd_any,Subgroup-Focused Metabolic Health Index,NBS Metabolites,0.8426694066117024,0.006457763185516817,0.8786424247631109,0.004044023383242076
ivh_any,EN,additional_risk_vars,0.7476867916710603,5.869500365044295e-4,0.6952290773192152,0.0010454388698104154
ivh_any,EN,apgar_only,0.6424343298554918,0.0013615512404048552,0.5867022619684603,0.003648356227100992
ivh_any,EN,bwtga,0.7396824812373063,0.0015232608474049576,0.6815975283575426,0.00283334447819585
ivh_any,EN,minimal_vars,0.7420890302426657,3.337831783179256e-4,0.6852479232717308,6.345899693411275e-4
ivh_any,Lasso,additional_risk_vars,0.7469821340357786,3.2392485906134665e-4,0.6940922039428731,5.739277776806874e-4
ivh_any,Lasso,apgar_only,0.6437697569904501,0.001441357993579778,0.588474867833106,0.003030245868903543
ivh_any,Lasso,bwtga,0.7401761373665293,5.252268056777499e-4,0.683169692033321,0.0012795409372157774
ivh_any,Lasso,minimal_vars,0.7419314041303142,3.0651296882916706e-4,0.6847977105800024,5.78989346923079e-4
ivh_any,Logistic Regression,additional_risk_vars,0.7471780455852081,4.3520929671710974e-4,0.6946557428172602,4.263691766937203e-4
ivh_any,Logistic Regression,apgar_only,0.6433310343207148,0.0017494956136151153,0.5862753265340395,0.003529188713903299
ivh_any,Logistic Regression,bwtga,0.7404695121986163,1.427906388343777e-4,0.683794887862484,3.1278400338937253e-4
ivh_any,Logistic Regression,minimal_vars,0.7420299562681381,1.2424454328366716e-4,0.6850284042752601,1.911733443993104e-4
ivh_any,Neural Network,NBS Metabolites,0.6878287135661569,0.003240009670521768,0.6919326077704817,0.004320647969901154
ivh_any,Subgroup-Focused Metabolic Health Index,NBS Metabolites,0.8364455278716637,0.006163871622408843,0.869094427634953,0.004276117931512695
nec_any,EN,additional_risk_vars,0.7556778435588396,7.536202579859889e-4,0.8759019665459815,8.95374332909374e-4
nec_any,EN,apgar_only,0.6023178991783256,0.0029899512871687135,0.7808118101085266,0.002361712648346802
nec_any,EN,bwtga,0.753044750469384,0.002083210536887767,0.873483547493928,0.001944576361983891
nec_any,EN,minimal_vars,0.7567008042618053,3.925764741284971e-4,0.8765321830471228,2.5257966785851476e-4
nec_any,Lasso,additional_risk_vars,0.7563724246966669,3.3143159394994183e-4,0.8765118015812652,3.2488012941804013e-4
nec_any,Lasso,apgar_only,0.6027714057631612,0.002283533146544108,0.7812130416396942,0.0036588647200311913
nec_any,Lasso,bwtga,0.7544315574129032,7.297074449803607e-4,0.8745119114051684,7.644474832247321e-4
nec_any,Lasso,minimal_vars,0.7566697958936467,1.9028432475365047e-4,0.8764736438778076,3.1802607630622074e-4
nec_any,Logistic Regression,additional_risk_vars,0.7560904367626969,4.986499185054152e-4,0.8763471948666017,3.6185654718414004e-4
nec_any,Logistic Regression,apgar_only,0.6042016601726795,0.0026885388740021192,0.7826331265617172,0.0030902464591834825
nec_any,Logistic Regression,bwtga,0.754724060222478,1.7739586630977205e-4,0.8751560691575981,2.059806414665892e-4
nec_any,Logistic Regression,minimal_vars,0.7566263589425232,2.4357325691482304e-4,0.8764816376875666,2.022570263666347e-4
nec_any,Neural Network,NBS Metabolites,0.6700102220667845,0.003157251920372815,0.8602925657408118,0.0022435097383868576
nec_any,Subgroup-Focused Metabolic Health Index,NBS Metabolites,0.7340188034188034,0.007122184000267911,0.9380767355085691,0.00314045788574329
rop_any,EN,additional_risk_vars,0.753361205540482,8.956297645895821e-4,0.6594852252578473,0.0023210121689610183
rop_any,EN,apgar_only,0.5940296502359561,0.002050856925907755,0.47109347442738314,0.003573125608058199
rop_any,EN,bwtga,0.7529918339122265,0.0016501382891012236,0.6568770654349688,0.0033780055979877816
rop_any,EN,minimal_vars,0.7541713954666863,2.6217561722605305e-4,0.659875439155193,0.0010953381576174171
rop_any,Lasso,additional_risk_vars,0.7538183639319687,2.3699323909370315e-4,0.6614711198237828,5.033553598934986e-4
rop_any,Lasso,apgar_only,0.5953856325418861,0.001073105439792184,0.474179582929806,0.003013070041213236
rop_any,Lasso,bwtga,0.7535521003790079,6.10797905937099e-4,0.6583516225749467,0.0019719504277896853
rop_any,Lasso,minimal_vars,0.7541294723450978,1.5452193903208404e-4,0.6602131622975516,2.687278493756819e-4
rop_any,Logistic Regression,additional_risk_vars,0.7535566136337243,3.4964298196710805e-4,0.6613019487206705,7.226575816534017e-4
rop_any,Logistic Regression,apgar_only,0.5948483704775076,0.001848959426555381,0.47289746751916306,0.003721697132783888
rop_any,Logistic Regression,bwtga,0.7540826954951911,1.5429298151711676e-4,0.6596770542656402,2.875417333903899e-4
rop_any,Logistic Regression,minimal_vars,0.7540876970260026,1.808287203778947e-4,0.6601046355465601,3.89199719625846e-4
rop_any,Neural Network,NBS Metabolites,0.6729802868115581,0.003604276536913505,0.6213141000380189,0.004966138844653311
rop_any,Subgroup-Focused Metabolic Health Index,NBS Metabolites,0.8151379809371725,0.007823084929909435,0.8072162133777072,0.007751081469692839
