task,model,mean_auroc,sd_auroc,mean_aupr,sd_aupr,feature_set
bpd_any,en,0.5447260274752184,0.004214166540235746,0.4003379504255192,0.0032948327534516307,bwtga
bpd_any,lasso,0.5557676582751673,0.0027217489032592868,0.40905635418587505,0.0022323102758923835,bwtga
bpd_any,lr,0.5694689610938773,5.741005418116438e-4,0.419606173928528,4.7832656192765903e-4,bwtga
ivh_any,en,0.5253342201143613,8.013651905184696e-4,0.4164734907902646,8.436663047523037e-4,bwtga
ivh_any,lasso,0.5339259219598291,1.579977824537564e-4,0.42449176265379396,2.639929630942914e-4,bwtga
ivh_any,lr,0.53399817182049,3.8545088767169365e-4,0.42462773968777207,3.9985502638469414e-4,bwtga
nec_any,en,0.5,0,0.15836999305394767,0,bwtga
nec_any,lasso,0.5,0,0.15836999305394767,0,bwtga
nec_any,lr,0.5,0,0.15836999305394767,0,bwtga
rop_any,en,0.6135397708593086,0.0030368541505133174,0.5581715393800388,0.0021811800820595167,bwtga
rop_any,lasso,0.6366029644379105,0.0011059604722035397,0.5728861867379899,8.103525600605737e-4,bwtga
rop_any,lr,0.6402644081359212,9.113975718426677e-4,0.5751330570367361,6.845650107793709e-4,bwtga
bpd_any,en,0.5,0,0.36924357314592193,0,apgar_only
bpd_any,lasso,0.5,0,0.36924357314592193,0,apgar_only
bpd_any,lr,0.5,0,0.36924357314592193,0,apgar_only
ivh_any,en,0.5,0,0.3940345368916798,0,apgar_only
ivh_any,lasso,0.5141162680882687,0.004804533793737059,0.4040972263500896,0.0035970335118903525,apgar_only
ivh_any,lr,0.5263737794934252,0,0.41313140856601616,0,apgar_only
nec_any,en,0.5,0,0.15836999305394767,0,apgar_only
nec_any,lasso,0.5,0,0.15836999305394767,0,apgar_only
nec_any,lr,0.5,0,0.15836999305394767,0,apgar_only
rop_any,en,0.5000170676938919,5.734372676847797e-4,0.4795191130132765,2.882329367049123e-4,apgar_only
rop_any,lasso,0.49982924552294816,5.775860834025692e-4,0.4794339336376076,2.5351010410560324e-4,apgar_only
rop_any,lr,0.5144643417632792,0.0014507228774881835,0.4874975910953552,8.361871623522414e-4,apgar_only
bpd_any,en,0.5560420939693871,0.0010578838985990384,0.40881112584253665,8.211790118235862e-4,minimal_vars
bpd_any,lasso,0.5692090042635454,4.6153078712127396e-4,0.41916459607026585,3.968069974723899e-4,minimal_vars
bpd_any,lr,0.5687108703976278,8.978396936535595e-4,0.41869568406973745,7.679066863759708e-4,minimal_vars
ivh_any,en,0.5538437893503705,0.0012121074418697038,0.44046825900664666,0.0011480205256207915,minimal_vars
ivh_any,lasso,0.5548987340792271,9.672211640026139e-4,0.4413015149332918,9.909966844143718e-4,minimal_vars
ivh_any,lr,0.5565450955246372,0.0011696680902434757,0.44279419768356437,0.0011708200065739546,minimal_vars
nec_any,en,0.5,0,0.15836999305394767,0,minimal_vars
nec_any,lasso,0.5,0,0.15836999305394767,0,minimal_vars
nec_any,lr,0.5,0,0.15836999305394767,0,minimal_vars
rop_any,en,0.6139022492261694,0.004612737558322874,0.5585372323803666,0.0033281145238160752,minimal_vars
rop_any,lasso,0.6373721613289416,5.901638121622982e-4,0.5735074456510226,4.4379617815946086e-4,minimal_vars
rop_any,lr,0.6381153147117753,4.975497087083864e-4,0.5739650287487156,4.2342324796614504e-4,minimal_vars
bpd_any,en,0.560130897961625,7.01855436748368e-4,0.4121899768768409,6.129504497941056e-4,additional_risk_vars
bpd_any,lasso,0.5731374227578221,0.0010487086300159363,0.42226938550036947,9.284397048742681e-4,additional_risk_vars
bpd_any,lr,0.573673399567848,4.94013569344308e-4,0.42265824492813125,4.1305731266016836e-4,additional_risk_vars
ivh_any,en,0.5797112714943335,8.941321553162274e-4,0.46158148292541074,7.931131557666095e-4,additional_risk_vars
ivh_any,lasso,0.5797984228887558,7.901206152433117e-4,0.4616730412138758,9.014736684725648e-4,additional_risk_vars
ivh_any,lr,0.5808999107198151,5.308976559913041e-4,0.4623876561098281,5.898523768528949e-4,additional_risk_vars
nec_any,en,0.5,0,0.15836999305394767,0,additional_risk_vars
nec_any,lasso,0.5,0,0.15836999305394767,0,additional_risk_vars
nec_any,lr,0.5,0,0.15836999305394767,0,additional_risk_vars
rop_any,en,0.6306224792352879,0.002109658839655222,0.5695396445595923,0.0016730015801327323,additional_risk_vars
rop_any,lasso,0.6355199614170248,8.959439154531186e-4,0.5717260692441628,6.948960557586827e-4,additional_risk_vars
rop_any,lr,0.6358165261675692,7.92904150985542e-4,0.5718644753639762,6.493540283070359e-4,additional_risk_vars
bpd_any,deep neural network,0.6553487903488433,0.003723830544195938,0.47584602039515145,0.00530963757634602,nbs_metabolites
ivh_any,deep neural network,0.6710230731893201,0.005295981591182774,0.5433357975343639,0.006833631368388556,nbs_metabolites
nec_any,deep neural network,0.5969193943026947,0.0051560946496754835,0.18186888223375058,0.004727456298784457,nbs_metabolites
rop_any,deep neural network,0.6347386768161296,0.003035227558657419,0.5615793125171856,0.004769512699830337,nbs_metabolites
