metabolite_from,metabolite_to,case_spearman_rho,case_pval,case_log10_pval,control_spearman_rho,control_pval,control_log10_pval,metabolite_pair_label,rho_diff,abs_rho_diff,outcome
ARG/ORN,OXP,0.10074089059249317,6.149821000887533e-11,10.211137524786883,-0.02408571413159779,0.10976613129446171,0.9595316422260486,,0.07665517646089537,0.12482660472409096,BPD
C-10,ARG,0.11419273932727067,1.1662757504722724e-13,12.933198754251185,-0.007928000270473917,0.59867059762711206,0.22281207073666445,,0.10626473905679676,0.12212073959774458,BPD
C-12:1,ARG,0.07660479434713836,6.834578550700685e-7,6.165288260722828,-0.004699392146543499,0.7550613705068169,0.12201774798766521,,0.07190540220059487,0.08130418649368186,BPD
C-16,C-5,0.005384407154993541,0.7275617554868785,0.13813013783497344,-0.11630496078281283,8.76284424703587e-15,14.05735490749588,,-0.11092055362781929,0.12168936793780637,BPD
C-8/C-10,PHE,-0.002836773649242184,0.8543760824549684,0.06835091785673816,0.05326533480398631,4.01065269609419e-4,3.396784944276227,,0.05042856115474413,0.056102108453228494,BPD
CIT/ARG,C-10,-0.10144595970752042,4.514123138998444e-11,10.345426598147466,0.015939786725215548,0.2899386608164303,0.537693871365323,,-0.08550617298230487,0.11738574643273597,BPD
CIT/ARG,C14:1,-0.005613878088211587,0.7164421743316132,0.14481885674206435,0.06916838068549502,4.243132973968481e-6,5.372313357826635,,0.06355450259728343,0.07478225877370662,BPD
CIT,C14:1,0.0725714967737134,2.55620889854447e-6,5.592403657642751,-0.026897551859293992,0.0740942035149725,1.130215766108773,,0.04567394491441941,0.09946904863300739,BPD
LEU/ALA,C-10,6.541420509669794e-4,0.9662415756541446,0.014914279529368097,-0.09499672732334268,2.524887072253879e-10,9.597758041305218,,-0.0943425852723757,0.09565086937430965,BPD
ORN,C-10,0.1268510514453623,1.5625400005848617e-16,15.8061688560249,-0.009653978984376498,0.5215866056637846,0.2826735698087241,,0.11719707246098579,0.1365050304297388,BPD
ORN,C-14OH,0.012846087648501911,0.40587270884891113,0.3916101499509956,-0.07585357069907042,4.52931774338398e-7,6.343967211364319,,-0.06300748305056851,0.08869965834757233,BPD
ORN/CIT,C-10,0.08551071844007381,2.9223181269004897e-8,7.534272508033144,-0.023545490696587887,0.11796747711875373,0.928237708411674,,0.06196522774348592,0.1090562091366617,BPD
ORN/CIT,C-14OH,7.145267455766729e-4,0.9631274166116541,0.01631625423493353,-0.06705531340098723,8.2661181051128e-6,5.082698393872561,,-0.06634078665541056,0.06776984014656391,BPD
OXP,C-5,0.12530164082071946,3.646446806682205e-16,15.438130117417833,-0.026064023752414005,0.08351270480547163,1.0782474501787953,,0.09923761706830544,0.15136566457313347,BPD
PHE,C-10,0.10221258256443691,3.217457927948465e-11,10.492487123298256,-0.02027903808716502,0.17816923728673137,0.7491672791427493,,0.08193354447727189,0.12249162065160193,BPD
PHE/TYR,ARG,-0.06624491895047879,1.768427317514265e-5,4.75241278501584,0.010788178730530604,0.473865632585896,0.3243447876490547,,-0.05545674021994819,0.0770330976810094,BPD
PHE/TYR,C-16,0.045178549597523855,0.0034444304841552017,2.462882575798595,-0.03666877483491739,0.014877090868928631,1.8274819843204262,,0.008509774762606462,0.08184732443244125,BPD
PHE/TYR,C-2,-0.024071347778466104,0.11930429396059514,0.9233439250653483,0.05680884067998157,1.5979386277733737e-4,3.796439904703632,,0.032737492901515466,0.08088018845844767,BPD
PHE/TYR,C-4,-0.11112914380250342,5.206501815559186e-13,12.283453975830056,0.03470188775027344,0.021187948351456452,1.6739110943877897,,-0.07642725605222998,0.14583103155277688,BPD
PHE/TYR,C-5,-0.0264302563711155,0.08718868721725055,1.0595398613730143,0.14843621082959868,3.166602284950559e-23,22.499406479191325,,0.12200595445848318,0.1748664672007142,BPD
PHE/TYR,FC/(C-16 + C-18:1),-0.03490937448313745,0.023850410435926686,1.6225041428911882,0.12754224983531787,1.6907135527931514e-17,16.77192996601495,,0.09263287535218043,0.1624516243184553,BPD
PHE/TYR,PHE,-0.002828329072516733,0.8548047572519054,0.06813306951861112,0.12136195439265712,5.653958277154593e-16,15.247647400669347,,0.11853362532014039,0.12419028346517386,BPD
