feature,rho,outcome
ALA,-0.0290880493979708,nec_any
ARG,-0.0015093317649822263,nec_any
C02,-0.008011674087590764,nec_any
C03DC,0.02055392699903406,nec_any
C04,0.03921938120120718,nec_any
C05,0.056304339304876716,nec_any
C051,0.012076087216410226,nec_any
C05DC,0.02409630445974706,nec_any
C05OH,0.030052348519621477,nec_any
C06,0.00220900566043138,nec_any
C08,0.023911693251091357,nec_any
C081,-0.003940299389170727,nec_any
C10,0.008023435304263778,nec_any
C101,0.02633988281671747,nec_any
C12,-0.011643748965039632,nec_any
C121,0.009704765964974015,nec_any
C14,-0.021803686481843894,nec_any
C141,6.638600901341132e-4,nec_any
C14OH,0.0021248421645085292,nec_any
C16,-0.052167572507937424,nec_any
C16OH,0.015931152281598047,nec_any
C18,-0.03535901099663055,nec_any
C181,-0.029019634221523535,nec_any
C181OH,-0.003004775049542904,nec_any
C182,-0.007522334906581834,nec_any
C18OH,0.018056666836763102,nec_any
CIT,-0.002913325130936146,nec_any
FC,0.0057786460519015665,nec_any
GLY,-0.025939940143221495,nec_any
MET,-0.0024357327549825955,nec_any
ORN,-0.01649373344971472,nec_any
OXP,-0.015408661690379712,nec_any
PHE,-0.006949314313443244,nec_any
PRO,-0.006878299030567519,nec_any
R14_12,-0.0017022700014946782,nec_any
R3_2,0.00918550934859957,nec_any
R8_10,0.020288281709697462,nec_any
RA_O,0.008355912992449059,nec_any
RC_A,0.0023993624406029074,nec_any
RF_C,0.04067139850158307,nec_any
RF_Y,-0.019424462703706454,nec_any
RL_A,0.02990792277928009,nec_any
RO_C,-0.015886795771601375,nec_any
TYR,0.01416098443198233,nec_any
VAL,0.0013124970239481335,nec_any
XLE,0.0023906246069892484,nec_any
ALA,-0.06076756376654065,rop_any
ARG,-0.023405257017570475,rop_any
C02,-0.007193145231164083,rop_any
C03DC,0.03097140824824792,rop_any
C04,0.11865421884525193,rop_any
C05,0.10756889446520149,rop_any
C051,0.04219902985884428,rop_any
C05DC,0.04561963389863783,rop_any
C05OH,0.05617067109238867,rop_any
C06,0.016450891095022485,rop_any
C08,0.03857596599202052,rop_any
C081,-0.021440238929253272,rop_any
C10,-0.02880945329306959,rop_any
C101,0.013329143194202071,rop_any
C12,-0.04873619980742949,rop_any
C121,-0.013615902691272701,rop_any
C14,-0.051594710426273956,rop_any
C141,-0.002413537747096767,rop_any
C14OH,-0.004905719589176362,rop_any
C16,-0.09204522884643421,rop_any
C16OH,0.019877110918527747,rop_any
C18,-0.005183840486165165,rop_any
C181,-0.04271150574949003,rop_any
C181OH,0.015242743007343337,rop_any
C182,-0.030778286637364233,rop_any
C18OH,0.008541609262993886,rop_any
CIT,0.043129214815804624,rop_any
FC,0.01285766308011078,rop_any
GLY,-0.03445604179575403,rop_any
MET,-0.01596544268240603,rop_any
ORN,-0.02623984981735974,rop_any
OXP,0.0031499203827690353,rop_any
PHE,-0.013063840062485134,rop_any
PRO,-0.020733743821389365,rop_any
R14_12,0.016219503277584178,rop_any
R3_2,0.03265831458840099,rop_any
R8_10,0.062326051749688256,rop_any
RA_O,-0.01058814426446032,rop_any
RC_A,0.050601870490377975,rop_any
RF_C,0.07544628399011986,rop_any
RF_Y,-0.038249719548095786,rop_any
RL_A,0.057868257589490615,rop_any
RO_C,-0.0681578559645133,rop_any
TYR,0.027009457726891076,rop_any
VAL,0.007332149200120794,rop_any
XLE,-4.0028515248231644e-4,rop_any
ALA,-0.09018880650304081,bpd_any
ARG,-0.03995771155262984,bpd_any
C02,-0.01762281908463373,bpd_any
C03DC,0.026833450491579636,bpd_any
C04,0.10221745121435206,bpd_any
C05,0.07861108719952091,bpd_any
C051,0.04017684439590793,bpd_any
C05DC,0.05527524754371188,bpd_any
C05OH,0.009485538555429931,bpd_any
C06,2.7795846979283606e-4,bpd_any
C08,0.010686813516439837,bpd_any
C081,-0.04952036331178798,bpd_any
C10,-0.03313931389727011,bpd_any
C101,-0.028302395141268425,bpd_any
C12,-0.03706908853150746,bpd_any
C121,-0.019260317998582948,bpd_any
C14,-0.031613933803836695,bpd_any
C141,0.012374322138852848,bpd_any
C14OH,0.006261125015402874,bpd_any
C16,-0.09618601789010087,bpd_any
C16OH,0.03546127503755056,bpd_any
C18,-0.027105036995744437,bpd_any
C181,-0.06507879730341902,bpd_any
C181OH,0.01262328304244693,bpd_any
C182,-0.07292426674110553,bpd_any
C18OH,-4.42341366870577e-4,bpd_any
CIT,0.04291368628929283,bpd_any
FC,0.009832669978109557,bpd_any
GLY,-0.0722261579001406,bpd_any
MET,-0.05999685390746498,bpd_any
ORN,-0.06456353109464995,bpd_any
OXP,-0.02522330619995721,bpd_any
PHE,-0.045623125849444016,bpd_any
PRO,-0.0548142368758639,bpd_any
R14_12,0.03227317477289894,bpd_any
R3_2,0.003271720648104656,bpd_any
R8_10,0.041626493264976486,bpd_any
RA_O,-0.003026747060861744,bpd_any
RC_A,0.06800165086215633,bpd_any
RF_C,0.08190486837270965,bpd_any
RF_Y,-0.041262923532267466,bpd_any
RL_A,0.061737818593448686,bpd_any
RO_C,-0.10116406370422175,bpd_any
TYR,0.015636163939088357,bpd_any
VAL,-0.008739613503227732,bpd_any
XLE,-0.030797145874837884,bpd_any
ALA,0.005902752089220434,ivh_any
ARG,0.010289356152200821,ivh_any
C02,-0.09349074030141125,ivh_any
C03DC,0.021242341148832666,ivh_any
C04,0.10634506545838406,ivh_any
C05,0.059688362646876506,ivh_any
C051,0.02062398940360637,ivh_any
C05DC,0.06626599142308154,ivh_any
C05OH,-0.009979445877702097,ivh_any
C06,0.012159447503911455,ivh_any
C08,0.01036749181462598,ivh_any
C081,-0.0857181017596116,ivh_any
C10,-0.009930617069672378,ivh_any
C101,-0.027743516124369573,ivh_any
C12,-0.032407690523767074,ivh_any
C121,0.00220871605790745,ivh_any
C14,-0.0702294870775895,ivh_any
C141,0.00997277279976723,ivh_any
C14OH,0.022793388502944673,ivh_any
C16,-0.1388690239053671,ivh_any
C16OH,0.026952319300481694,ivh_any
C18,-0.09931248530450641,ivh_any
C181,-0.10767975238780901,ivh_any
C181OH,0.00939496514297741,ivh_any
C182,-0.1065621574329791,ivh_any
C18OH,6.799670793794532e-4,ivh_any
CIT,0.06136331694951588,ivh_any
FC,-0.048729205734732654,ivh_any
GLY,-0.029897311551073617,ivh_any
MET,0.0304692458827111,ivh_any
ORN,-0.06142200806970895,ivh_any
OXP,0.005389703182426122,ivh_any
PHE,0.014365693206538726,ivh_any
PRO,0.0401163143463096,ivh_any
R14_12,0.008035346156379916,ivh_any
R3_2,0.05013300514410803,ivh_any
R8_10,0.02298444041828011,ivh_any
RA_O,0.06075033366994283,ivh_any
RC_A,0.022097787420960885,ivh_any
RF_C,0.062360811080134505,ivh_any
RF_Y,-0.06528901190205143,ivh_any
RL_A,-0.014097191745399458,ivh_any
RO_C,-0.11858231181197344,ivh_any
TYR,0.06606602593029598,ivh_any
VAL,0.022117326101086993,ivh_any
XLE,-0.0016536251495162702,ivh_any
ALA,0.06047144432620841,spree
ARG,-0.02296720635228699,spree
C02,0.13504297932748485,spree
C03DC,0.027387990523961934,spree
C04,-0.022176822073390026,spree
C05,0.007998298206856255,spree
C051,-0.027241723442634928,spree
C05DC,0.03959277158589736,spree
C05OH,-0.05770181945469023,spree
C06,-0.005840711814232246,spree
C08,0.03305127602211114,spree
C081,0.1326766498987116,spree
C10,0.01637814784960659,spree
C101,0.07492298671244037,spree
C12,0.00773899117932667,spree
C121,0.008375295352215739,spree
C14,-0.0057745061756930265,spree
C141,-0.03603151538961284,spree
C14OH,-0.03179130683642343,spree
C16,0.05510374286917332,spree
C16OH,-0.05330438129573018,spree
C18,0.061490338421079524,spree
C181,0.055922827928603064,spree
C181OH,-0.019290503455789986,spree
C182,0.08395174296847212,spree
C18OH,-0.017876986594545192,spree
CIT,-0.05507315756242578,spree
FC,0.1242397610765408,spree
GLY,0.07136703696988059,spree
MET,4.508916194055917e-4,spree
ORN,0.08773394659601999,spree
OXP,-0.0037394853987884284,spree
PHE,-0.005466880625607288,spree
PRO,0.04687791083600247,spree
R14_12,-0.0367002041782351,spree
R3_2,-0.24243188263587104,spree
R8_10,0.017614617705260942,spree
RA_O,-0.08717228501850556,spree
RC_A,-0.0033717442404023862,spree
RF_C,0.07815847091323139,spree
RF_Y,0.14523307124484272,spree
RL_A,-0.015375964443145129,spree
RO_C,0.14854305444309035,spree
TYR,-0.1360466691449904,spree
VAL,0.01811762214061542,spree
XLE,0.03804723914725312,spree
ALA,0.029407457018359923,gdm
ARG,0.024039124519123548,gdm
C02,0.04472394799121638,gdm
C03DC,0.017786013204329508,gdm
C04,0.006957668741364493,gdm
C05,-0.019416705933306133,gdm
C051,-1.6445461008613747e-4,gdm
C05DC,0.013692097885470317,gdm
C05OH,0.05316238304330287,gdm
C06,-0.006972487386891704,gdm
C08,-0.006630004789882919,gdm
C081,0.022924326766707314,gdm
C10,0.0039428838826867495,gdm
C101,0.0018652549007612733,gdm
C12,0.011126005396646326,gdm
C121,0.002125853607027873,gdm
C14,0.022963961744216214,gdm
C141,-0.003038613393376969,gdm
C14OH,0.004747280354317656,gdm
C16,0.05768115903976515,gdm
C16OH,0.002953830717241482,gdm
C18,0.021645672339520142,gdm
C181,0.03395570430118182,gdm
C181OH,0.017677420961825455,gdm
C182,0.028549944160612607,gdm
C18OH,-0.00894378844715007,gdm
CIT,-0.01742257853167541,gdm
FC,0.019084009667277312,gdm
GLY,0.006363175327950004,gdm
MET,0.014060534278736419,gdm
ORN,0.004767818374220308,gdm
OXP,-0.008631561318994209,gdm
PHE,0.01964601132288152,gdm
PRO,0.005583375028841545,gdm
R14_12,-0.0021740820759975116,gdm
R3_2,0.032359628501566956,gdm
R8_10,-0.018759282091804084,gdm
RA_O,0.02372200283944402,gdm
RC_A,-0.03658186189519797,gdm
RF_C,-0.02193143378628216,gdm
RF_Y,0.029668750280651336,gdm
RL_A,-0.013532958495594523,gdm
RO_C,0.01784654750022187,gdm
TYR,-0.01847816155444866,gdm
VAL,0.010362350332188368,gdm
XLE,0.019038253315670613,gdm
ALA,0.026065243135709338,ghtn
ARG,-0.029486797538718988,ghtn
C02,0.039224574175794856,ghtn
C03DC,-0.0020501289730978987,ghtn
C04,-0.023021679100855934,ghtn
C05,-0.029562181060217636,ghtn
C051,-0.0013895946679885066,ghtn
C05DC,-0.0037726476848458537,ghtn
C05OH,-0.007951708058597703,ghtn
C06,-0.003782241586125597,ghtn
C08,-0.005235317074579069,ghtn
C081,0.022649089675041985,ghtn
C10,0.006245147496854095,ghtn
C101,-0.0015548246184267178,ghtn
C12,0.0037462818476960468,ghtn
C121,-0.0063461462306034465,ghtn
C14,0.026804620506014214,ghtn
C141,-0.0050241184401843084,ghtn
C14OH,-0.02795172774362785,ghtn
C16,0.03769120866955788,ghtn
C16OH,-0.0022805899554829523,ghtn
C18,0.01682243788769641,ghtn
C181,0.03026026593489669,ghtn
C181OH,0.010398699109472382,ghtn
C182,0.006126427048284911,ghtn
C18OH,-0.008825361535568855,ghtn
CIT,-0.01692013538052646,ghtn
FC,0.030484758895625942,ghtn
GLY,0.026730784634176132,ghtn
MET,-0.015854134588225207,ghtn
ORN,-9.589467509346407e-4,ghtn
OXP,-0.002430829166037597,ghtn
PHE,-0.006535228263112682,ghtn
PRO,0.008885077965985482,ghtn
R14_12,0.0014134808474251387,ghtn
R3_2,-0.07665647815037019,ghtn
R8_10,-0.012573864836912441,ghtn
RA_O,-0.03332011252286351,ghtn
RC_A,0.024882648169440712,ghtn
RF_C,-0.0012065044021295109,ghtn
RF_Y,0.03425844069024332,ghtn
RL_A,-0.0331698238028313,ghtn
RO_C,0.010506705043589937,ghtn
TYR,-0.03785095018323613,ghtn
VAL,-0.008247952468190482,ghtn
XLE,-0.014415846145139306,ghtn
ALA,0.012194815472236678,dmtype1
ARG,-0.007057775364405265,dmtype1
C02,0.03230710548734106,dmtype1
C03DC,0.014723791225086911,dmtype1
C04,0.022609132399607428,dmtype1
C05,0.018402987595304225,dmtype1
C051,0.005563013019943537,dmtype1
C05DC,0.0251366345904196,dmtype1
C05OH,0.007186099200555717,dmtype1
C06,0.017321561008064663,dmtype1
C08,0.006887729250413297,dmtype1
C081,0.022208920567159604,dmtype1
C10,0.014980933416984856,dmtype1
C101,0.006444738458892326,dmtype1
C12,0.024778238743049186,dmtype1
C121,0.019744704566858475,dmtype1
C14,0.02701055070962853,dmtype1
C141,0.01795977175349824,dmtype1
C14OH,0.01416249890423919,dmtype1
C16,0.03512005631194459,dmtype1
C16OH,0.021984198641350577,dmtype1
C18,0.029456263315642314,dmtype1
C181,0.02138047934359222,dmtype1
C181OH,0.00807085681505146,dmtype1
C182,0.010267848001116478,dmtype1
C18OH,0.020697273768055014,dmtype1
CIT,-0.008214795077725948,dmtype1
FC,0.034409567033649655,dmtype1
GLY,0.005663750053827213,dmtype1
MET,0.003427026214503793,dmtype1
ORN,-0.008459808156969484,dmtype1
OXP,0.002093793045828925,dmtype1
PHE,0.01057330742934248,dmtype1
PRO,0.006677012286512702,dmtype1
R14_12,2.9247575760219865e-5,dmtype1
R3_2,-0.029868347731710446,dmtype1
R8_10,-0.006887905810209737,dmtype1
RA_O,-1.857002921392827e-4,dmtype1
RC_A,0.006407440073995656,dmtype1
RF_C,0.007200106306306736,dmtype1
RF_Y,0.0162258205859864,dmtype1
RL_A,-0.003494845612879537,dmtype1
RO_C,-0.005118504444117215,dmtype1
TYR,-0.014201014499503428,dmtype1
VAL,0.0016360558143125085,dmtype1
XLE,0.013336707900552537,dmtype1
ALA,0.023638166846428253,dmtype2
ARG,0.014185738140579326,dmtype2
C02,0.06143632334503823,dmtype2
