,train_loss,test_loss,epoch,fold,iter
0,1.176259160041809,1.1586936712265015,0,0,0
0,1.1554539203643799,1.153017282485962,1,0,0
0,1.1490204334259033,1.1427310705184937,2,0,0
0,1.139413833618164,1.1358528137207031,3,0,0
0,1.1325947046279907,1.1321405172348022,4,0,0
0,1.1269136667251587,1.1291002035140991,5,0,0
0,1.120219349861145,1.1244229078292847,6,0,0
0,1.1126381158828735,1.1215832233428955,7,0,0
0,1.106882095336914,1.1224324703216553,8,0,0
0,1.1026620864868164,1.1207423210144043,9,0,0
0,1.09638512134552,1.1165869235992432,10,0,0
0,1.0914777517318726,1.1158673763275146,11,0,0
0,1.0852140188217163,1.112478256225586,12,0,0
0,1.0776652097702026,1.115466833114624,13,0,0
0,1.0711326599121094,1.1203054189682007,14,0,0
0,1.0626890659332275,1.129245400428772,15,0,0
0,1.056340217590332,1.1391305923461914,16,0,0
0,1.047555923461914,1.1289677619934082,17,0,0
0,1.1763347387313843,1.1581770181655884,0,1,0
0,1.1559135913848877,1.1507432460784912,1,1,0
0,1.1490048170089722,1.1419730186462402,2,1,0
0,1.1396360397338867,1.1336060762405396,3,1,0
0,1.132525086402893,1.128250002861023,4,1,0
0,1.12467622756958,1.126314401626587,5,1,0
0,1.1177107095718384,1.1253600120544434,6,1,0
0,1.110705018043518,1.1251968145370483,7,1,0
0,1.104500412940979,1.125139594078064,8,1,0
0,1.100145697593689,1.1222445964813232,9,1,0
0,1.093488335609436,1.1257621049880981,10,1,0
0,1.0864228010177612,1.1268799304962158,11,1,0
0,1.079992651939392,1.1270670890808105,12,1,0
0,1.073673129081726,1.1315447092056274,13,1,0
0,1.0626729726791382,1.1417983770370483,14,1,0
0,1.175877571105957,1.1596885919570923,0,2,0
0,1.1554394960403442,1.1585280895233154,1,2,0
0,1.1481660604476929,1.1474884748458862,2,2,0
0,1.139941692352295,1.1414707899093628,3,2,0
0,1.1320433616638184,1.139493703842163,4,2,0
0,1.126245141029358,1.1337811946868896,5,2,0
0,1.120540738105774,1.1290119886398315,6,2,0
0,1.1146960258483887,1.12156343460083,7,2,0
0,1.1094783544540405,1.1177791357040405,8,2,0
0,1.103824496269226,1.114399790763855,9,2,0
0,1.099406361579895,1.1118515729904175,10,2,0
0,1.0942462682724,1.1102591753005981,11,2,0
0,1.0887566804885864,1.113356113433838,12,2,0
0,1.0819506645202637,1.1111888885498047,13,2,0
0,1.0747543573379517,1.115597128868103,14,2,0
0,1.0686849355697632,1.1150541305541992,15,2,0
0,1.0591635704040527,1.116418480873108,16,2,0
0,1.1762865781784058,1.1592744588851929,0,3,0
0,1.1558445692062378,1.1525944471359253,1,3,0
0,1.1489280462265015,1.1429800987243652,2,3,0
0,1.1401253938674927,1.1344883441925049,3,3,0
0,1.1330989599227905,1.1284067630767822,4,3,0
0,1.1271276473999023,1.1249945163726807,5,3,0
0,1.1214765310287476,1.119527816772461,6,3,0
0,1.1137213706970215,1.1170094013214111,7,3,0
0,1.1082351207733154,1.1158767938613892,8,3,0
0,1.102226734161377,1.1206598281860352,9,3,0
0,1.0956534147262573,1.119614839553833,10,3,0
0,1.0900198221206665,1.1202397346496582,11,3,0
0,1.0835762023925781,1.1198261976242065,12,3,0
0,1.077566385269165,1.1281825304031372,13,3,0
0,1.1763075590133667,1.1605498790740967,0,4,0
0,1.1556380987167358,1.1578466892242432,1,4,0
0,1.1478099822998047,1.1470179557800293,2,4,0
0,1.1384788751602173,1.1427836418151855,3,4,0
0,1.1300383806228638,1.1411175727844238,4,4,0
0,1.1250864267349243,1.1370102167129517,5,4,0
0,1.1192264556884766,1.1323131322860718,6,4,0
0,1.1115431785583496,1.1286007165908813,7,4,0
0,1.1060248613357544,1.1248893737792969,8,4,0
0,1.1008626222610474,1.122226595878601,9,4,0
0,1.094289779663086,1.1196978092193604,10,4,0
0,1.087382435798645,1.1191388368606567,11,4,0
0,1.0789084434509277,1.1234192848205566,12,4,0
0,1.070895791053772,1.1312073469161987,13,4,0
0,1.063865065574646,1.1414705514907837,14,4,0
0,1.0561543703079224,1.151459813117981,15,4,0
0,1.051711082458496,1.147724986076355,16,4,0
0,1.1765823364257812,1.158988118171692,0,0,1
0,1.1550666093826294,1.15500807762146,1,0,1
0,1.1484194993972778,1.1443778276443481,2,0,1
0,1.1397465467453003,1.1386394500732422,3,0,1
0,1.131922721862793,1.1337567567825317,4,0,1
0,1.126808762550354,1.1311864852905273,5,0,1
0,1.1197335720062256,1.127971887588501,6,0,1
0,1.112694501876831,1.1237826347351074,7,0,1
0,1.107451319694519,1.1217122077941895,8,0,1
0,1.1003541946411133,1.1203120946884155,9,0,1
0,1.0955191850662231,1.1167651414871216,10,0,1
0,1.0879474878311157,1.1175220012664795,11,0,1
0,1.0799823999404907,1.1177706718444824,12,0,1
0,1.0730034112930298,1.1256177425384521,13,0,1
0,1.0660189390182495,1.1367796659469604,14,0,1
0,1.0566426515579224,1.1341506242752075,15,0,1
0,1.1762003898620605,1.159257411956787,0,1,1
0,1.1561994552612305,1.1527045965194702,1,1,1
0,1.1492136716842651,1.1430556774139404,2,1,1
0,1.13996160030365,1.1357262134552002,3,1,1
0,1.1330615282058716,1.1303483247756958,4,1,1
0,1.12605881690979,1.1273571252822876,5,1,1
0,1.1191340684890747,1.1238415241241455,6,1,1
0,1.1122331619262695,1.12077796459198,7,1,1
0,1.1067746877670288,1.1201884746551514,8,1,1
0,1.1014217138290405,1.1178505420684814,9,1,1
0,1.096177577972412,1.1144628524780273,10,1,1
0,1.0898739099502563,1.1150987148284912,11,1,1
0,1.0851354598999023,1.114074945449829,12,1,1
0,1.0770262479782104,1.1157974004745483,13,1,1
0,1.0699982643127441,1.1208622455596924,14,1,1
0,1.0624990463256836,1.1174958944320679,15,1,1
0,1.0533415079116821,1.1243596076965332,16,1,1
0,1.048714280128479,1.1280333995819092,17,1,1
0,1.176279902458191,1.1604702472686768,0,2,1
0,1.154831051826477,1.1590771675109863,1,2,1
0,1.1488839387893677,1.1472245454788208,2,2,1
0,1.1399728059768677,1.1421422958374023,3,2,1
0,1.131432056427002,1.139777660369873,4,2,1
0,1.1247758865356445,1.1324093341827393,5,2,1
0,1.1193432807922363,1.1277648210525513,6,2,1
0,1.1121826171875,1.1233638525009155,7,2,1
0,1.1053160429000854,1.1209237575531006,8,2,1
0,1.0994220972061157,1.1213266849517822,9,2,1
0,1.0946446657180786,1.1196836233139038,10,2,1
0,1.08771812915802,1.120453953742981,11,2,1
0,1.0821574926376343,1.1255751848220825,12,2,1
0,1.076244831085205,1.1227930784225464,13,2,1
0,1.0675960779190063,1.1317704916000366,14,2,1
0,1.0632327795028687,1.1253808736801147,15,2,1
0,1.1759971380233765,1.1594040393829346,0,3,1
0,1.1554341316223145,1.154583215713501,1,3,1
0,1.1494394540786743,1.145520567893982,2,3,1
0,1.1397641897201538,1.1382919549942017,3,3,1
0,1.13200843334198,1.1355540752410889,4,3,1
0,1.127020239830017,1.1313786506652832,5,3,1
0,1.120805263519287,1.1233232021331787,6,3,1
0,1.1136245727539062,1.1186679601669312,7,3,1
0,1.1078530550003052,1.1177589893341064,8,3,1
0,1.1029187440872192,1.1179217100143433,9,3,1
0,1.0968095064163208,1.1155354976654053,10,3,1
0,1.0911040306091309,1.114121675491333,11,3,1
0,1.0842434167861938,1.1145154237747192,12,3,1
0,1.076830267906189,1.1164723634719849,13,3,1
0,1.0722510814666748,1.1220694780349731,14,3,1
0,1.0628658533096313,1.1309481859207153,15,3,1
0,1.0523985624313354,1.1279667615890503,16,3,1
0,1.176099419593811,1.1591601371765137,0,4,1
0,1.1560324430465698,1.1522470712661743,1,4,1
0,1.150267481803894,1.142937183380127,2,4,1
0,1.140952467918396,1.1335794925689697,3,4,1
0,1.1340198516845703,1.128647804260254,4,4,1
0,1.1279183626174927,1.1259379386901855,5,4,1
0,1.12211275100708,1.1218342781066895,6,4,1
0,1.1147040128707886,1.1192570924758911,7,4,1
0,1.107901930809021,1.1174626350402832,8,4,1
0,1.1023502349853516,1.1168889999389648,9,4,1
0,1.0969901084899902,1.1154570579528809,10,4,1
0,1.0921435356140137,1.115373969078064,11,4,1
0,1.0877491235733032,1.1189862489700317,12,4,1
0,1.0819674730300903,1.1151108741760254,13,4,1
0,1.0764461755752563,1.1188838481903076,14,4,1
0,1.069098949432373,1.1188530921936035,15,4,1
0,1.0617903470993042,1.1328996419906616,16,4,1
0,1.0543478727340698,1.1267818212509155,17,4,1
0,1.0454005002975464,1.1377763748168945,18,4,1
0,1.1764545440673828,1.158756971359253,0,0,2
0,1.1563773155212402,1.153816819190979,1,0,2
0,1.1483540534973145,1.1455576419830322,2,0,2
0,1.1401137113571167,1.13996422290802,3,0,2
0,1.1329947710037231,1.1393834352493286,4,0,2
0,1.1276650428771973,1.1370174884796143,5,0,2
0,1.1211230754852295,1.132516860961914,6,0,2
0,1.114628791809082,1.126896619796753,7,0,2
0,1.1085411310195923,1.1239774227142334,8,0,2
0,1.1038810014724731,1.120073914527893,9,0,2
0,1.0992892980575562,1.1184910535812378,10,0,2
0,1.0930169820785522,1.1170986890792847,11,0,2
0,1.0887413024902344,1.1147369146347046,12,0,2
0,1.0822378396987915,1.1153128147125244,13,0,2
0,1.0751471519470215,1.1171361207962036,14,0,2
0,1.0675632953643799,1.1235990524291992,15,0,2
0,1.0576540231704712,1.1236025094985962,16,0,2
0,1.052138328552246,1.1318880319595337,17,0,2
0,1.1765650510787964,1.158603310585022,0,1,2
0,1.1551051139831543,1.1526356935501099,1,1,2
0,1.1495723724365234,1.1422306299209595,2,1,2
0,1.1402446031570435,1.1344385147094727,3,1,2
0,1.1324979066848755,1.1293314695358276,4,1,2
0,1.1274908781051636,1.1245678663253784,5,1,2
0,1.120827555656433,1.11997652053833,6,1,2
0,1.1133285760879517,1.1175215244293213,7,1,2
0,1.1075447797775269,1.116514801979065,8,1,2
0,1.1020113229751587,1.118399739265442,9,1,2
0,1.0961552858352661,1.1146565675735474,10,1,2
0,1.0904932022094727,1.117192029953003,11,1,2
0,1.0841959714889526,1.114450454711914,12,1,2
0,1.0774675607681274,1.1202324628829956,13,1,2
0,1.0698329210281372,1.1202882528305054,14,1,2
0,1.0634793043136597,1.127970814704895,15,1,2
0,1.054675579071045,1.1312421560287476,16,1,2
0,1.0474251508712769,1.1332780122756958,17,1,2
0,1.1757794618606567,1.1605092287063599,0,2,2
0,1.1548396348953247,1.1582410335540771,1,2,2
0,1.148413062095642,1.1466763019561768,2,2,2
0,1.138840675354004,1.1405320167541504,3,2,2
0,1.1312531232833862,1.1338082551956177,4,2,2
0,1.124735713005066,1.1303589344024658,5,2,2
0,1.1172817945480347,1.1272109746932983,6,2,2
0,1.1100720167160034,1.125205397605896,7,2,2
0,1.1032298803329468,1.1266473531723022,8,2,2
0,1.097429633140564,1.1305605173110962,9,2,2
0,1.0914533138275146,1.1286174058914185,10,2,2
0,1.084356665611267,1.1365087032318115,11,2,2
0,1.0791538953781128,1.133113145828247,12,2,2
0,1.175686001777649,1.1599929332733154,0,3,2
0,1.1563432216644287,1.1550335884094238,1,3,2
0,1.1496742963790894,1.1445258855819702,2,3,2
0,1.13953697681427,1.1363873481750488,3,3,2
0,1.133211374282837,1.132669448852539,4,3,2
0,1.1282422542572021,1.1283308267593384,5,3,2
0,1.1216425895690918,1.1234009265899658,6,3,2
0,1.1141964197158813,1.1189725399017334,7,3,2
0,1.1088745594024658,1.116958498954773,8,3,2
0,1.1042660474777222,1.115208625793457,9,3,2
0,1.0973353385925293,1.1140241622924805,10,3,2
0,1.0927801132202148,1.1127495765686035,11,3,2
0,1.0856153964996338,1.1132444143295288,12,3,2
0,1.0786627531051636,1.1137044429779053,13,3,2
0,1.0731507539749146,1.1166716814041138,14,3,2
0,1.0659871101379395,1.120456337928772,15,3,2
0,1.0559512376785278,1.123787522315979,16,3,2
0,1.176475167274475,1.1590776443481445,0,4,2
0,1.1563031673431396,1.152843952178955,1,4,2
0,1.149131178855896,1.1449697017669678,2,4,2
0,1.140284538269043,1.1379594802856445,3,4,2
0,1.1330252885818481,1.1348583698272705,4,4,2
0,1.1270424127578735,1.1320260763168335,5,4,2
0,1.1204594373703003,1.1288342475891113,6,4,2
0,1.1155190467834473,1.1233713626861572,7,4,2
