,bottleneck_unit_0,epoch,fold,iter
39808,0.0,49,0,0
27136,0.0,49,0,0
37376,0.9245591,49,0,0
896,0.0,49,0,0
12850,0.9799448,49,0,0
25165,0.0,49,0,0
23770,1.3653243,49,0,0
12561,2.026839,49,0,0
4229,0.0,49,0,0
15299,0.9245591,49,0,0
10467,0.0,49,0,0
8286,0.5812326,49,0,0
38741,0.37253276,49,0,0
19241,0.7868427,49,0,0
28212,0.86481017,49,0,0
5401,1.0349987,49,0,0
22719,0.22567263,49,0,0
248,0.9037939,49,0,0
16322,2.0940402,49,0,0
14983,0.0,49,0,0
2871,0.0,49,0,0
9624,1.0691239,49,0,0
3251,0.0,49,0,0
20074,1.2001619,49,0,0
17528,0.0,49,0,0
40921,0.0,49,0,0
28777,1.4545025,49,0,0
26786,0.0,49,0,0
1521,1.3994486,49,0,0
37539,0.77323556,49,0,0
11952,0.12698433,49,0,0
677,1.0691239,49,0,0
22085,1.1451073,49,0,0
6771,0.9799448,49,0,0
30697,0.0,49,0,0
13254,0.5812326,49,0,0
6705,0.0,49,0,0
33410,1.2342862,49,0,0
34022,0.0,49,0,0
10651,0.0,49,0,0
37631,0.0,49,0,0
17176,0.0,49,0,0
36574,0.12698433,49,0,0
2435,0.5812326,49,0,0
28968,1.0349987,49,0,0
40026,0.0,49,0,0
5152,0.0,49,0,0
17537,0.725555,49,0,0
12754,0.38688916,49,0,0
23121,1.0349987,49,0,0
27712,0.0,49,0,0
35976,0.0,49,0,0
22693,1.3653243,49,0,0
30177,1.0691239,49,0,0
525,1.0349987,49,0,0
483,0.0,49,0,0
4820,0.0,49,0,0
30778,1.0140692,49,0,0
30712,1.4203782,49,0,0
26693,1.0140692,49,0,0
33675,0.0,49,0,0
30918,0.0,49,0,0
6437,0.22567263,49,0,0
39048,0.0,49,0,0
38592,1.0691239,49,0,0
38639,0.0,49,0,0
31311,0.0,49,0,0
32571,0.0,49,0,0
33857,0.59054315,49,0,0
4629,0.0,49,0,0
28191,0.9397789,49,0,0
7216,0.725555,49,0,0
17891,1.4203782,49,0,0
9201,0.37253276,49,0,0
21136,0.9799448,49,0,0
6953,0.0,49,0,0
32269,0.9448536,49,0,0
16277,0.0,49,0,0
2493,0.0,49,0,0
5078,0.0,49,0,0
26514,0.6868465,49,0,0
19244,0.9397789,49,0,0
32878,0.0,49,0,0
4623,0.0,49,0,0
20326,0.0,49,0,0
41203,0.0,49,0,0
18081,0.0,49,0,0
33736,0.9245591,49,0,0
29987,0.5009961,49,0,0
22105,0.0,49,0,0
11866,1.0140692,49,0,0
37092,0.5812992,49,0,0
12801,0.0,49,0,0
34313,0.0,49,0,0
27563,0.9590153,49,0,0
35012,0.54577005,49,0,0
28051,0.9590153,49,0,0
20217,0.0,49,0,0
14358,1.0349987,49,0,0
13942,0.7794604,49,0,0
31227,0.38688916,49,0,0
16361,1.3922651,49,0,0
21329,0.9799448,49,0,0
5555,1.2552158,49,0,0
40712,0.9333832,49,0,0
3777,0.9245591,49,0,0
4180,0.0,49,0,0
13340,1.0900526,49,0,0
11989,0.9448536,49,0,0
39651,1.5304867,49,0,0
8473,0.0,49,0,0
32811,0.9245591,49,0,0
12030,0.86475426,49,0,0
30448,0.86481017,49,0,0
30250,0.9397789,49,0,0
1003,0.7868427,49,0,0
40912,0.8186626,49,0,0
1684,0.0,49,0,0
3516,0.0,49,0,0
29063,0.047046848,49,0,0
23113,0.9799448,49,0,0
38000,0.9245591,49,0,0
34328,0.0,49,0,0
29236,0.8638465,49,0,0
37950,0.4042976,49,0,0
33014,0.9590153,49,0,0
28393,0.0,49,0,0
33104,0.0,49,0,0
30474,0.0,49,0,0
34481,0.0,49,0,0
26313,0.86475426,49,0,0
14302,0.0,49,0,0
5173,0.0,49,0,0
36352,0.0,49,0,0
38650,0.0,49,0,0
33773,2.0581257,49,0,0
11297,0.9799448,49,0,0
9375,0.65703857,49,0,0
33624,0.0,49,0,0
16539,0.0,49,0,0
39508,1.1241777,49,0,0
27264,0.54577005,49,0,0
18706,0.22567263,49,0,0
6532,0.0,49,0,0
15273,0.59054315,49,0,0
33620,0.0,49,0,0
36816,0.0,49,0,0
40992,1.0900526,49,0,0
38717,1.0691239,49,0,0
11120,1.2552158,49,0,0
28678,0.0,49,0,0
20196,0.0,49,0,0
20171,0.7039436,49,0,0
18907,0.9799448,49,0,0
30711,0.0,49,0,0
7278,0.0,49,0,0
39485,0.86475426,49,0,0
32649,0.9799448,49,0,0
26380,0.9799448,49,0,0
29095,0.59054315,49,0,0
29459,0.86481017,49,0,0
11770,0.7184183,49,0,0
4716,0.54577005,49,0,0
