,train_loss,test_loss,valid_loss,epoch,fold,iter
0,0.7208162,0.7099378,0.7124754,0,0,0
0,0.7181816,0.7078511,0.7103534,1,0,0
0,0.71551627,0.7057912,0.7082629,2,0,0
0,0.7130821,0.703748,0.70619583,3,0,0
0,0.70985883,0.70175225,0.70417833,4,0,0
0,0.70764714,0.69988847,0.7022697,5,0,0
0,0.7048591,0.69815004,0.7004775,6,0,0
0,0.70274544,0.6964784,0.6987412,7,0,0
0,0.70035666,0.69479597,0.6970019,8,0,0
0,0.6979415,0.6930719,0.6952375,9,0,0
0,0.69614726,0.69135255,0.69349325,10,0,0
0,0.6938239,0.68972206,0.69182694,11,0,0
0,0.69200444,0.6881643,0.6902323,12,0,0
0,0.68989843,0.68661964,0.68866634,13,0,0
0,0.6879073,0.685031,0.687081,14,0,0
0,0.6860335,0.68338746,0.6854492,15,0,0
0,0.6840016,0.6819809,0.6839862,16,0,0
0,0.68200845,0.6804874,0.68241286,17,0,0
0,0.6799548,0.6786316,0.6805215,18,0,0
0,0.67810816,0.67697304,0.6788269,19,0,0
0,0.67615414,0.6756511,0.6774316,20,0,0
0,0.67433935,0.67436004,0.6761302,21,0,0
0,0.67252165,0.672638,0.67441326,22,0,0
0,0.6708402,0.6708875,0.6726092,23,0,0
0,0.6686986,0.66956395,0.6712282,24,0,0
0,0.6670658,0.6678059,0.66942185,25,0,0
0,0.6654336,0.6654821,0.6670353,26,0,0
0,0.6637179,0.6634698,0.6649642,27,0,0
0,0.66215366,0.6614349,0.6628805,28,0,0
0,0.6602686,0.65960485,0.660988,29,0,0
0,0.65879697,0.65790784,0.6592089,30,0,0
0,0.6572394,0.65619224,0.6575544,31,0,0
0,0.6554393,0.6546675,0.65599567,32,0,0
0,0.653895,0.6532414,0.6544905,33,0,0
0,0.6523958,0.6520137,0.6531933,34,0,0
0,0.6512317,0.65022516,0.6514405,35,0,0
0,0.64938396,0.6485964,0.6498738,36,0,0
0,0.64798,0.64707494,0.64840597,37,0,0
0,0.6463152,0.64557064,0.64697313,38,0,0
0,0.6448426,0.6442103,0.6455054,39,0,0
0,0.64378065,0.64288837,0.6439738,40,0,0
0,0.6421833,0.64139813,0.6425065,41,0,0
0,0.64088696,0.639866,0.6410458,42,0,0
0,0.63928527,0.63835025,0.6395243,43,0,0
