,train_loss,test_loss,valid_loss,epoch,fold,iter
0,0.73825616,0.70000076,0.69810337,0,0,0
0,0.7217714,0.6996745,0.69776523,1,0,0
0,0.71593624,0.7008593,0.69871783,2,0,0
0,0.712867,0.7032798,0.7009032,3,0,0
0,0.7104333,0.70610046,0.703578,4,0,0
0,0.708482,0.70841134,0.7056596,5,0,0
0,0.70715904,0.70988923,0.70690656,6,0,0
0,0.738286,0.70017105,0.69810396,0,1,0
0,0.7219232,0.69985354,0.6977707,1,1,0
0,0.7159628,0.70107526,0.6987684,2,1,0
0,0.7128946,0.7034911,0.7010537,3,1,0
0,0.71026945,0.706342,0.70382917,4,1,0
0,0.7087458,0.708543,0.70594126,5,1,0
0,0.7070642,0.7099169,0.7072186,6,1,0
0,0.73732597,0.7001348,0.69810295,0,2,0
0,0.7208998,0.6997603,0.69776607,1,2,0
0,0.7147997,0.7008831,0.69883835,2,2,0
0,0.71222645,0.70348465,0.7012463,3,2,0
0,0.7100641,0.70636785,0.70394206,4,2,0
0,0.70853853,0.708609,0.70603883,5,2,0
0,0.7072325,0.70995736,0.70726323,6,2,0
0,0.7372114,0.70027035,0.6981039,0,3,0
0,0.7210915,0.6999919,0.697793,1,3,0
0,0.71527714,0.7013409,0.69880235,2,3,0
0,0.7133024,0.7039637,0.70113915,3,3,0
0,0.7100323,0.7069089,0.7038809,4,3,0
0,0.7081504,0.70936686,0.70609874,5,3,0
0,0.7066079,0.71096146,0.7074117,6,3,0
0,0.73780584,0.7003248,0.69810414,0,4,0
0,0.72114706,0.69994205,0.69776154,1,4,0
0,0.7151559,0.70106095,0.6987374,2,4,0
0,0.71341676,0.7035997,0.701103,3,4,0
0,0.7109051,0.7063936,0.7038274,4,4,0
0,0.7091953,0.7086605,0.70603144,5,4,0
0,0.7073882,0.7100731,0.70739025,6,4,0
0,0.7377177,0.70000005,0.69810283,0,0,1
0,0.7217941,0.6996697,0.69783175,1,0,1
0,0.7159322,0.700763,0.6989212,2,0,1
0,0.71288854,0.70322144,0.7013442,3,0,1
0,0.71060246,0.7060512,0.70413804,4,0,1
0,0.7089634,0.7083228,0.70638776,5,0,1
0,0.70717126,0.70961624,0.7076391,6,0,1
0,0.7379344,0.70017123,0.6981044,0,1,1
0,0.7225325,0.6998689,0.69776356,1,1,1
0,0.7155623,0.7011097,0.6987498,2,1,1
0,0.7133946,0.7036925,0.70107484,3,1,1
0,0.710257,0.70666444,0.70386314,4,1,1
0,0.70976114,0.70905375,0.7060516,5,1,1
0,0.70714617,0.71053797,0.70738983,6,1,1
0,0.73763084,0.700135,0.6981037,0,2,1
0,0.72110033,0.6998073,0.69777083,1,2,1
0,0.7154394,0.7009771,0.69868934,2,2,1
0,0.71192956,0.7033652,0.7008681,3,2,1
0,0.71022326,0.7061704,0.7035667,4,2,1
0,0.7080488,0.70842695,0.70569193,5,2,1
0,0.70616025,0.7098255,0.70698583,6,2,1
0,0.7384994,0.700269,0.698103,0,3,1
0,0.72221524,0.70001304,0.6978314,1,3,1
0,0.7157793,0.70137507,0.6988703,2,3,1
0,0.7130169,0.7038963,0.701143,3,3,1
0,0.71064836,0.70680004,0.7038818,4,3,1
0,0.7087545,0.7091514,0.7060162,5,3,1
0,0.70720935,0.7106848,0.7073437,6,3,1
0,0.7372106,0.70032406,0.69810325,0,4,1
0,0.72178453,0.7000031,0.69781446,1,4,1
0,0.71539074,0.7012652,0.6989006,2,4,1
0,0.7116513,0.70398706,0.70134425,3,4,1
0,0.71047145,0.70694524,0.70409214,4,4,1
0,0.7078046,0.709312,0.7062643,5,4,1
0,0.7067297,0.7107825,0.70754635,6,4,1
0,0.73721576,0.7000014,0.6981039,0,0,2
0,0.7202291,0.69971496,0.69779104,1,0,2
0,0.7154339,0.7010361,0.69885457,2,0,2
0,0.7125898,0.70368725,0.70130366,3,0,2
0,0.7104599,0.7066264,0.70412624,4,0,2
0,0.7087138,0.7089717,0.7062992,5,0,2
0,0.70737404,0.7103733,0.70754933,6,0,2
0,0.7370005,0.7001712,0.69810414,0,1,2
0,0.72124624,0.69972837,0.69767505,1,1,2
0,0.71576315,0.7006659,0.6984882,2,1,2
0,0.7124784,0.7029626,0.70056593,3,1,2
0,0.7102301,0.7058675,0.7033091,4,1,2
0,0.70853084,0.7082102,0.705493,5,1,2
0,0.7069597,0.70972085,0.7068716,6,1,2
0,0.7383747,0.70013446,0.6981031,0,2,2
