,train_loss,test_loss,valid_loss,epoch,fold,iter
0,0.6148944,0.60550886,0.60613734,0,0,0
0,0.61373645,0.6083131,0.60891217,1,0,0
0,0.6116194,0.6116407,0.61222637,2,0,0
0,0.6100888,0.61315536,0.61376154,3,0,0
0,0.60873157,0.61302114,0.6136002,4,0,0
0,0.6079975,0.61264884,0.61321414,5,0,0
0,0.6145912,0.6055646,0.6061554,0,1,0
0,0.6137843,0.6084418,0.6089445,1,1,0
0,0.6139504,0.60561323,0.6061642,0,2,0
0,0.6131235,0.6084485,0.6089581,1,2,0
0,0.61454695,0.60569775,0.6061684,0,3,0
0,0.61292726,0.60853076,0.6089764,1,3,0
0,0.6150333,0.6053322,0.6061327,0,4,0
0,0.61293596,0.6081304,0.60889345,1,4,0
0,0.6143211,0.6055294,0.60616565,0,0,1
0,0.6128101,0.6083584,0.60896194,1,0,1
0,0.6146894,0.60553294,0.60613847,0,1,1
0,0.6129904,0.60837835,0.6089345,1,1,1
0,0.61439127,0.60558593,0.6061318,0,2,1
0,0.6126829,0.60844874,0.60893196,1,2,1
0,0.6148876,0.605671,0.6061549,0,3,1
0,0.6134269,0.60850686,0.6089455,1,3,1
0,0.61472416,0.60531867,0.6060847,0,4,1
0,0.61292905,0.6081206,0.6088534,1,4,1
0,0.61424905,0.6054989,0.60613143,0,0,2
0,0.61291367,0.6083641,0.60891986,1,0,2
0,0.6145563,0.6055643,0.6061554,0,1,2
0,0.61282825,0.608425,0.6089351,1,1,2
0,0.6146424,0.6056093,0.60617656,0,2,2
0,0.6134095,0.6084167,0.6089611,1,2,2
0,0.61499304,0.6056937,0.60614157,0,3,2
0,0.6139845,0.6084997,0.6089351,1,3,2
0,0.61491513,0.6053353,0.6061332,0,4,2
0,0.6134454,0.6081543,0.60891837,1,4,2
0,0.6147656,0.6055268,0.60614455,0,0,3
0,0.6132596,0.60840535,0.60896623,1,0,3
0,0.6145661,0.60552347,0.6061463,0,1,3
0,0.6130952,0.60834795,0.6089478,1,1,3
0,0.6142536,0.60558283,0.60611963,0,2,3
0,0.61288637,0.6084037,0.6088806,1,2,3
0,0.61435145,0.6056415,0.6061195,0,3,3
0,0.6130863,0.60843843,0.60888076,1,3,3
0,0.61442727,0.60533553,0.60612094,0,4,3
0,0.6125639,0.6081507,0.6088885,1,4,3
0,0.61507595,0.6055254,0.6061546,0,0,4
0,0.61341286,0.60829777,0.6089153,1,0,4
0,0.61373186,0.6054989,0.60612947,0,1,4
0,0.6121344,0.6083375,0.6088793,1,1,4
0,0.6147745,0.60552895,0.60605943,0,2,4
0,0.61319685,0.60838395,0.6088539,1,2,4
0,0.6142328,0.60566074,0.6061539,0,3,4
0,0.6131627,0.6084772,0.60895985,1,3,4
0,0.6149163,0.60535955,0.60611707,0,4,4
0,0.61370444,0.6082295,0.6089393,1,4,4
0,0.6144707,0.6054972,0.60612154,0,0,5
0,0.61329675,0.60829884,0.60887814,1,0,5
0,0.6149723,0.6055666,0.6061486,0,1,5
0,0.61347103,0.6084391,0.6089447,1,1,5
0,0.61467904,0.60559946,0.6061644,0,2,5
0,0.6132939,0.60841924,0.608987,1,2,5
0,0.6143498,0.6056762,0.60615844,0,3,5
0,0.6130824,0.60848546,0.6089488,1,3,5
0,0.61374044,0.60534465,0.60613334,0,4,5
0,0.61225384,0.60822403,0.60893095,1,4,5
0,0.6144912,0.605502,0.6061381,0,0,6
0,0.61296195,0.60835135,0.6089363,1,0,6
0,0.6152174,0.6055379,0.60611796,0,1,6
0,0.61329406,0.60839176,0.60889673,1,1,6
0,0.61411947,0.6056276,0.6061716,0,2,6
0,0.6125684,0.6084855,0.60899603,1,2,6
0,0.6143312,0.6056679,0.6061507,0,3,6
0,0.61347896,0.6084684,0.6089393,1,3,6
0,0.6146272,0.6053285,0.6061262,0,4,6
0,0.61332196,0.6081366,0.60888684,1,4,6
0,0.6143262,0.6054992,0.6061412,0,0,7
0,0.6123799,0.60833424,0.60893416,1,0,7
0,0.6146862,0.6055793,0.6061562,0,1,7
0,0.6137156,0.6083938,0.6089277,1,1,7
0,0.61509436,0.6056074,0.60614157,0,2,7
0,0.6131347,0.60845816,0.6089027,1,2,7
0,0.61418366,0.6056634,0.60614246,0,3,7
0,0.6130824,0.6084646,0.6089276,1,3,7
0,0.6143739,0.6053554,0.60616374,0,4,7
0,0.61332244,0.608195,0.6089718,1,4,7
0,0.6146928,0.6054785,0.6061153,0,0,8
0,0.61248595,0.60828745,0.60889816,1,0,8
0,0.61416644,0.6055558,0.606153,0,1,8
0,0.61306626,0.60842746,0.60894036,1,1,8
0,0.6144833,0.6055987,0.6061524,0,2,8
0,0.61326694,0.6084115,0.60891366,1,2,8
0,0.61485547,0.60564446,0.6061383,0,3,8
0,0.612827,0.6084441,0.60893047,1,3,8
0,0.6151257,0.60534525,0.60610795,0,4,8
0,0.6132162,0.6081694,0.6088805,1,4,8
0,0.6141208,0.60551137,0.6061467,0,0,9
0,0.6129751,0.60834366,0.6089395,1,0,9
0,0.6147509,0.6055401,0.60614234,0,1,9
0,0.61267656,0.60837084,0.60891366,1,1,9
0,0.614543,0.60563725,0.606171,0,2,9
0,0.61364454,0.6084731,0.6089387,1,2,9
0,0.6139564,0.60567653,0.6061486,0,3,9
0,0.6127693,0.6085509,0.6089802,1,3,9
0,0.6146421,0.60536516,0.6061648,0,4,9
0,0.61354125,0.6081608,0.6089504,1,4,9
