,train_loss,test_loss,valid_loss,epoch,fold,iter
0,0.7172248,0.71543825,0.7144656,0,0,0
0,0.7083457,0.71512234,0.71422863,1,0,0
0,0.7024018,0.7150699,0.71425563,2,0,0
0,0.69904333,0.71489054,0.7141536,3,0,0
0,0.6956341,0.71425474,0.71356964,4,0,0
0,0.69208115,0.7119334,0.7112491,5,0,0
0,0.68813473,0.7090857,0.7085564,6,0,0
0,0.68458813,0.7049118,0.7048414,7,0,0
0,0.681597,0.701119,0.7012404,8,0,0
0,0.6791298,0.6965465,0.6964369,9,0,0
0,0.67477965,0.69069964,0.6904148,10,0,0
0,0.6724336,0.68388736,0.68355906,11,0,0
0,0.6698391,0.6772088,0.67659795,12,0,0
0,0.66682607,0.6717244,0.67141575,13,0,0
0,0.6644432,0.6674854,0.6674775,14,0,0
0,0.6610819,0.6637421,0.66381973,15,0,0
0,0.65975016,0.6610399,0.6609075,16,0,0
0,0.6568035,0.65743303,0.6572685,17,0,0
0,0.65488553,0.6553022,0.65623313,18,0,0
0,0.6536889,0.6507717,0.65176785,19,0,0
0,0.6510051,0.64835966,0.64915097,20,0,0
0,0.64950436,0.6461385,0.64847577,21,0,0
0,0.6467648,0.6441104,0.64577127,22,0,0
0,0.6444494,0.64222777,0.64449805,23,0,0
0,0.6421544,0.64001787,0.64350545,24,0,0
0,0.64040756,0.63950694,0.64202124,25,0,0
0,0.6381034,0.638308,0.63988173,26,0,0
0,0.6357301,0.63625294,0.6372129,27,0,0
0,0.634806,0.6353438,0.6382852,28,0,0
0,0.6325233,0.63213485,0.6361617,29,0,0
0,0.6316435,0.6298519,0.63341606,30,0,0
0,0.6291105,0.62987286,0.6318952,31,0,0
0,0.62760717,0.62777823,0.6302988,32,0,0
0,0.6265238,0.6254165,0.6276432,33,0,0
0,0.6250723,0.62495923,0.627563,34,0,0
0,0.62337005,0.62335676,0.6249515,35,0,0
0,0.62207484,0.62280655,0.6264268,36,0,0
0,0.62069994,0.6193047,0.6225407,37,0,0
0,0.6201577,0.61974657,0.6212394,38,0,0
0,0.61848366,0.617681,0.61955154,39,0,0
0,0.6169033,0.6174454,0.618963,40,0,0
0,0.6158305,0.61607796,0.6174159,41,0,0
0,0.6139408,0.6142751,0.61516654,42,0,0
0,0.61454225,0.6135774,0.61484796,43,0,0
0,0.6113383,0.61144984,0.6138138,44,0,0
0,0.6096096,0.6105406,0.6124823,45,0,0
0,0.60717255,0.61066234,0.6119824,46,0,0
0,0.60538834,0.6098044,0.61171424,47,0,0
0,0.6040677,0.6095772,0.6117575,48,0,0
0,0.6038816,0.6077077,0.60949445,49,0,0
0,0.71677047,0.71568215,0.71458125,0,1,0
0,0.70714706,0.71525174,0.71422446,1,1,0
0,0.7004571,0.71485156,0.713893,2,1,0
0,0.6967352,0.7143801,0.7134919,3,1,0
0,0.693664,0.7132631,0.7124522,4,1,0
0,0.6899194,0.71027124,0.7095467,5,1,0
0,0.68652934,0.707681,0.7070729,6,1,0
0,0.68184453,0.70465857,0.7046361,7,1,0
0,0.67889476,0.6987847,0.6992623,8,1,0
0,0.67589587,0.6927997,0.6931193,9,1,0
0,0.67296404,0.6875875,0.6876943,10,1,0
0,0.6702712,0.6813916,0.6817591,11,1,0
0,0.668842,0.67604923,0.6770357,12,1,0
0,0.66647893,0.67048186,0.67242384,13,1,0
0,0.6626015,0.6657023,0.6680717,14,1,0
0,0.65998715,0.6632102,0.6654146,15,1,0
0,0.65683764,0.6603276,0.66363287,16,1,0
0,0.65460324,0.6559984,0.6599623,17,1,0
0,0.6523095,0.6527377,0.6572888,18,1,0
0,0.65026164,0.650315,0.6558373,19,1,0
0,0.6485731,0.6453258,0.65225065,20,1,0
0,0.64794964,0.64191246,0.6483809,21,1,0
0,0.64317447,0.6431217,0.65010005,22,1,0
0,0.64189154,0.6391481,0.6445042,23,1,0
0,0.6401469,0.6359953,0.6415217,24,1,0
0,0.6373759,0.6369302,0.6425272,25,1,0
0,0.6373576,0.6358326,0.64061975,26,1,0
0,0.635873,0.63236356,0.6395737,27,1,0
0,0.63346124,0.63045466,0.6374111,28,1,0
0,0.631165,0.62848824,0.63410765,29,1,0
