,bottleneck_unit_0,epoch,fold,iter
33178,0.0,26,0,0
28933,0.0,26,0,0
34388,0.0,26,0,0
2677,1.1101077,26,0,0
30092,0.0,26,0,0
28115,0.56257826,26,0,0
35652,1.3284508,26,0,0
19795,0.54622066,26,0,0
6938,0.0,26,0,0
23339,0.0,26,0,0
24868,0.0,26,0,0
27148,1.4921644,26,0,0
7531,0.7798178,26,0,0
13771,0.6747728,26,0,0
4655,0.8525943,26,0,0
39012,0.0,26,0,0
29210,0.0,26,0,0
13958,0.0,26,0,0
25416,0.7265962,26,0,0
33937,0.0,26,0,0
7604,0.0,26,0,0
38836,0.0,26,0,0
12359,0.6945674,26,0,0
19324,0.0,26,0,0
10099,0.816709,26,0,0
11941,0.7687412,26,0,0
32376,0.0,26,0,0
31215,0.0,26,0,0
27284,0.3143778,26,0,0
33302,0.79426295,26,0,0
1845,0.3564192,26,0,0
13799,0.6966285,26,0,0
32211,0.33943653,26,0,0
30448,0.0,26,0,0
36005,0.8983555,26,0,0
17840,0.0,26,0,0
38281,0.7567884,26,0,0
4404,0.7465887,26,0,0
554,0.85075194,26,0,0
515,0.0,26,0,0
33176,0.0,26,0,0
29134,0.0,26,0,0
3939,0.5306845,26,0,0
4428,0.7924714,26,0,0
20847,0.0,26,0,0
9263,0.6100458,26,0,0
28809,0.43987972,26,0,0
10902,0.0,26,0,0
13790,0.5363969,26,0,0
9814,0.0,26,0,0
1849,0.095985375,26,0,0
37934,0.21184456,26,0,0
26170,0.12190884,26,0,0
3066,0.35367936,26,0,0
27382,0.0,26,0,0
36017,0.13559067,26,0,0
2937,0.0,26,0,0
22608,0.39240193,26,0,0
35966,0.22527036,26,0,0
25260,0.0,26,0,0
886,0.0,26,0,0
28958,0.018619563,26,0,0
26409,0.12911546,26,0,0
11316,0.0,26,0,0
18736,0.17148826,26,0,0
25658,0.37091842,26,0,0
2576,0.0,26,0,0
26438,0.0,26,0,0
9763,0.38700187,26,0,0
35007,0.0,26,0,0
31251,0.17946222,26,0,0
23107,0.0,26,0,0
38575,0.056051444,26,0,0
38263,0.12572923,26,0,0
13264,0.63485235,26,0,0
2324,0.0,26,0,0
26979,0.30661455,26,0,0
13366,0.1381952,26,0,0
20702,0.9502961,26,0,0
38880,0.0,26,0,0
22935,0.0,26,0,0
5910,0.74314183,26,0,0
40316,1.0821444,26,0,0
10629,1.0795665,26,0,0
