,train_loss,test_loss,valid_loss,epoch,fold,iter
0,0.6733758,0.6565666,0.6554519,0,0,0
0,0.65201396,0.6428875,0.6407937,1,0,0
0,0.6351729,0.6298801,0.62650305,2,0,0
0,0.6234674,0.6178814,0.61350155,3,0,0
0,0.6118197,0.60710084,0.6022031,4,0,0
0,0.601265,0.59793705,0.59279525,5,0,0
0,0.5929332,0.59020066,0.5847514,6,0,0
0,0.58553076,0.5840586,0.57822716,7,0,0
0,0.57800406,0.5790848,0.57285947,8,0,0
0,0.5763185,0.57500696,0.56838083,9,0,0
0,0.5729115,0.5715381,0.56460154,10,0,0
0,0.5655715,0.5688817,0.56129944,11,0,0
0,0.56362176,0.5668842,0.558544,12,0,0
0,0.55947083,0.56482935,0.5561981,13,0,0
0,0.5514521,0.56201047,0.5539918,14,0,0
0,0.55526316,0.55966806,0.5523155,15,0,0
0,0.55148053,0.55848354,0.55100214,16,0,0
0,0.5502156,0.55770814,0.54980826,17,0,0
0,0.54388887,0.5559295,0.54864645,18,0,0
0,0.54535824,0.55492,0.54739094,19,0,0
0,0.5404692,0.55418384,0.5464604,20,0,0
0,0.5370695,0.5534283,0.54555875,21,0,0
0,0.53466487,0.55306447,0.54461396,22,0,0
0,0.53210634,0.5506546,0.5446606,23,0,0
0,0.5316749,0.5521853,0.54406005,24,0,0
0,0.52766186,0.55133957,0.54365504,25,0,0
0,0.52559155,0.54959744,0.54369587,26,0,0
0,0.52224076,0.5539666,0.5453253,27,0,0
0,0.5237382,0.5551661,0.5438777,28,0,0
0,0.5104027,0.55746716,0.54283565,29,0,0
0,0.5116342,0.5527011,0.54290843,30,0,0
0,0.5104226,0.5570097,0.54545623,31,0,0
0,0.6727366,0.6560672,0.6550235,0,1,0
0,0.6519138,0.64164007,0.64027166,1,1,0
0,0.634055,0.62807,0.62626886,2,1,0
0,0.6202037,0.6160804,0.613824,3,1,0
0,0.6116704,0.6059137,0.6030253,4,1,0
0,0.59998184,0.59722286,0.5935477,5,1,0
0,0.58920985,0.5898901,0.58521026,6,1,0
0,0.58443516,0.5833903,0.57802016,7,1,0
0,0.5785077,0.5777044,0.5716811,8,1,0
0,0.57783526,0.57293606,0.5663552,9,1,0
0,0.56974643,0.5691415,0.56219697,10,1,0
0,0.56731313,0.56575096,0.55876315,11,1,0
0,0.5636783,0.5628457,0.55604273,12,1,0
0,0.56269956,0.5611334,0.5540588,13,1,0
0,0.5534295,0.55945617,0.552023,14,1,0
0,0.55734557,0.5578713,0.5502482,15,1,0
0,0.54589206,0.5559574,0.548379,16,1,0
0,0.55135506,0.55401176,0.546648,17,1,0
0,0.5477149,0.55230105,0.5448889,18,1,0
0,0.53951734,0.55101,0.5433796,19,1,0
0,0.54232895,0.55067563,0.5430503,20,1,0
0,0.53805786,0.5515521,0.54418296,21,1,0
0,0.53546494,0.5514296,0.54420596,22,1,0
0,0.53473014,0.5489755,0.542949,23,1,0
0,0.53328305,0.54672503,0.54106814,24,1,0
0,0.5251923,0.54676384,0.5407058,25,1,0
0,0.5338617,0.54738724,0.54130435,26,1,0
0,0.52689725,0.54614466,0.54190624,27,1,0
0,0.5217546,0.5474516,0.54423755,28,1,0
0,0.5185656,0.54639906,0.5413967,29,1,0
0,0.51902986,0.54220986,0.5387137,30,1,0
0,0.51342916,0.545256,0.5413117,31,1,0
0,0.51016194,0.5470274,0.5411668,32,1,0
0,0.5074251,0.5452156,0.54280627,33,1,0
0,0.503839,0.54705733,0.5444906,34,1,0
0,0.50158745,0.5485689,0.54438317,35,1,0
0,0.6726667,0.6565698,0.6558892,0,2,0
0,0.6522447,0.64206755,0.64121836,1,2,0
0,0.6376249,0.6279693,0.6266223,2,2,0
0,0.6198072,0.6152476,0.6132212,3,2,0
0,0.6090067,0.60426575,0.6015258,4,2,0
0,0.60085106,0.59532195,0.5919067,5,2,0
0,0.59163713,0.5878377,0.584057,6,2,0
