,bottleneck_unit_0,epoch,fold,iter
34388,0.0,7,0,0
7982,0.20478038,7,0,0
25731,0.4652006,7,0,0
19795,1.0018942,7,0,0
10024,0.61462516,7,0,0
16428,0.48557162,7,0,0
20541,0.8785456,7,0,0
24868,0.611262,7,0,0
16111,0.89186114,7,0,0
8542,1.3098028,7,0,0
8005,0.549834,7,0,0
19324,0.0,7,0,0
27570,0.40183023,7,0,0
39437,0.39521798,7,0,0
16651,1.2399036,7,0,0
37051,0.80906844,7,0,0
27600,0.80761623,7,0,0
1845,0.9328454,7,0,0
12754,0.5962611,7,0,0
13799,1.2479935,7,0,0
32211,0.0,7,0,0
22025,0.90773916,7,0,0
30357,0.8026355,7,0,0
15573,0.8433836,7,0,0
17840,0.041440792,7,0,0
1543,0.81370676,7,0,0
29134,0.0,7,0,0
21231,0.7709042,7,0,0
23911,0.36472565,7,0,0
9263,0.65713155,7,0,0
28809,0.020587344,7,0,0
3736,0.6249004,7,0,0
34345,0.6643638,7,0,0
29526,0.12820736,7,0,0
23008,0.6137064,7,0,0
14541,0.5244067,7,0,0
9814,1.0160242,7,0,0
1849,0.9603084,7,0,0
9142,0.7974197,7,0,0
22654,0.8603687,7,0,0
27382,0.665224,7,0,0
250,0.78138167,7,0,0
13856,0.599051,7,0,0
2621,1.1530025,7,0,0
16577,0.14555304,7,0,0
7805,1.2836087,7,0,0
34820,0.68874,7,0,0
27199,0.94736713,7,0,0
546,0.75858116,7,0,0
35085,0.7770712,7,0,0
25937,0.5033891,7,0,0
34333,0.92268705,7,0,0
33272,1.1609436,7,0,0
1695,0.7732081,7,0,0
36653,0.0,7,0,0
38903,0.38488078,7,0,0
26651,0.22504489,7,0,0
21901,0.58509934,7,0,0
10629,0.41052297,7,0,0
35840,1.2030139,7,0,0
18553,0.6999425,7,0,0
33835,1.3061547,7,0,0
21777,1.061063,7,0,0
23375,0.7619704,7,0,0
32435,0.9197009,7,0,0
7018,0.38774517,7,0,0
4090,1.0517383,7,0,0
26689,0.8299738,7,0,0
19109,0.0,7,0,0
33026,0.76823133,7,0,0
18624,1.3167067,7,0,0
13023,0.71941084,7,0,0
3343,0.7161115,7,0,0
5481,0.33753365,7,0,0
37028,0.7850892,7,0,0
19909,0.09639598,7,0,0
14002,0.63583803,7,0,0
17085,0.2434865,7,0,0
25460,0.7722362,7,0,0
23365,0.4810222,7,0,0
38478,0.013987969,7,0,0
20289,0.68960553,7,0,0
1684,0.90056187,7,0,0
18263,0.0,7,0,0
5564,0.016358867,7,0,0
26020,0.7875578,7,0,0
17593,0.0,7,0,0
18979,0.0,7,0,0
306,0.12126535,7,0,0
25188,0.7252474,7,0,0
4625,0.0036888646,7,0,0
934,0.77605766,7,0,0
27703,0.102022246,7,0,0
35894,0.15769929,7,0,0
18460,0.8633487,7,0,0
26582,0.0,7,0,0
24348,0.9605883,7,0,0
14769,0.12172514,7,0,0
39761,0.59737086,7,0,0
16006,0.6162867,7,0,0
10394,0.9579695,7,0,0
25951,0.44210264,7,0,0
2596,0.4978773,7,0,0
39623,0.6175749,7,0,0
5272,0.07804384,7,0,0
31664,0.6152454,7,0,0
4581,0.0,7,0,0
9617,0.45543626,7,0,0
20957,0.31850863,7,0,0
14963,0.19434145,7,0,0
28498,0.6178859,7,0,0
33116,1.0481209,7,0,0
21608,0.62743807,7,0,0
5701,0.23239502,7,0,0
25908,0.38946483,7,0,0
27476,0.3787265,7,0,0
35535,0.7356579,7,0,0
22360,1.2781831,7,0,0
27578,0.36796755,7,0,0
34935,0.5735058,7,0,0
39857,0.0,7,0,0
40144,0.97119564,7,0,0
7722,0.8610892,7,0,0
32722,0.58353615,7,0,0
7548,0.035485324,7,0,0
18245,1.1343853,7,0,0
1028,0.2782081,7,0,0
18408,0.30957973,7,0,0
10880,0.16844083,7,0,0
10942,0.9917183,7,0,0
914,0.2079612,7,0,0
2205,0.0,7,0,0
954,0.8504799,7,0,0
8376,0.0,7,0,0
30197,0.43689302,7,0,0
40785,0.79444546,7,0,0
8374,0.2160215,7,0,0
9599,0.80297035,7,0,0
31323,0.827854,7,0,0
1569,0.0,7,0,0
9177,0.6709181,7,0,0
30596,0.69965637,7,0,0
9281,0.31846318,7,0,0
18987,0.88371223,7,0,0
9659,0.2678228,7,0,0
1384,0.0,7,0,0
28954,0.27646935,7,0,0
14280,0.6640957,7,0,0
39895,0.0,7,0,0
13838,0.006976086,7,0,0
39531,0.80024177,7,0,0
35100,0.58349234,7,0,0
39959,0.365472,7,0,0
14851,0.7601248,7,0,0
8251,0.4872431,7,0,0
1649,0.50633293,7,0,0
34369,0.0,7,0,0
39177,0.15776609,7,0,0
33448,1.0679553,7,0,0
36899,0.06863796,7,0,0
22575,1.189325,7,0,0
5068,0.567053,7,0,0
23064,0.61452955,7,0,0
19838,0.5230168,7,0,0
34769,1.3994598,7,0,0
289,1.0846021,7,0,0
2479,0.9090417,7,0,0
36742,0.8723705,7,0,0
39687,0.0,7,0,0
30667,1.0645285,7,0,0
6326,0.5374953,7,0,0
15430,0.5261894,7,0,0
1869,0.8931305,7,0,0
3755,0.0,7,0,0
26606,0.0,7,0,0
21708,0.9051134,7,0,0
761,0.60145104,7,0,0
16523,0.074599184,7,0,0
8212,0.7816687,7,0,0
30638,0.32309642,7,0,0
10869,1.1273841,7,0,0
5800,0.5892682,7,0,0
16309,0.49064913,7,0,0
17377,0.93726933,7,0,0
31523,0.0,7,0,0
31087,0.0,7,0,0
7609,0.0,7,0,0
10952,0.47290948,7,0,0
