,train_loss,test_loss,valid_loss,epoch,fold,iter
0,0.7663541,0.775088,0.7809441,0,0,0
0,0.75341654,0.75795215,0.76327455,1,0,0
0,0.74604386,0.7442078,0.7488042,2,0,0
0,0.740081,0.7363726,0.7403267,3,0,0
0,0.73643136,0.73465157,0.7387864,4,0,0
0,0.72986585,0.73533285,0.7400027,5,0,0
0,0.72793347,0.73515385,0.7406593,6,0,0
0,0.72478956,0.732246,0.7378438,7,0,0
0,0.72097635,0.734062,0.7391961,8,0,0
0,0.7175174,0.73255545,0.7381866,9,0,0
0,0.71011066,0.7355218,0.7420119,10,0,0
0,0.7076208,0.7330974,0.7393154,11,0,0
0,0.70493174,0.7366339,0.7431659,12,0,0
0,0.76352364,0.7749025,0.780897,0,1,0
0,0.75094324,0.7598804,0.7644681,1,1,0
0,0.7463985,0.74572074,0.750161,2,1,0
0,0.7374883,0.7357869,0.74088764,3,1,0
0,0.7353017,0.73218626,0.73806155,4,1,0
0,0.7312743,0.7309322,0.73594266,5,1,0
0,0.7266832,0.732465,0.7366809,6,1,0
0,0.7224811,0.73082465,0.73463154,7,1,0
0,0.7188255,0.73700905,0.7409832,8,1,0
0,0.7109792,0.7319516,0.7359241,9,1,0
0,0.70861477,0.7390061,0.7425903,10,1,0
0,0.70392036,0.7353066,0.7389435,11,1,0
0,0.69853896,0.7323029,0.7369596,12,1,0
0,0.76490164,0.77420926,0.78037524,0,2,0
0,0.7544679,0.7603927,0.76570946,1,2,0
0,0.74943566,0.74906135,0.7537889,2,2,0
0,0.7430089,0.74097574,0.7451746,3,2,0
0,0.73865837,0.7358542,0.73977065,4,2,0
0,0.7363537,0.73419374,0.73803294,5,2,0
0,0.73087806,0.73335785,0.7376036,6,2,0
0,0.7263777,0.73369485,0.7376247,7,2,0
0,0.72296005,0.73368204,0.73693645,8,2,0
0,0.72026914,0.73402065,0.7370696,9,2,0
0,0.7130251,0.7369791,0.7403403,10,2,0
0,0.7055135,0.7359569,0.73835814,11,2,0
0,0.7607641,0.7747852,0.7805365,0,3,0
0,0.75180316,0.75906456,0.76345176,1,3,0
0,0.745645,0.74476385,0.74912494,2,3,0
0,0.741471,0.736407,0.7410797,3,3,0
0,0.7407314,0.733323,0.7380734,4,3,0
0,0.73536175,0.7315811,0.73707795,5,3,0
0,0.73069495,0.7313384,0.7370175,6,3,0
0,0.72491574,0.7322029,0.7379321,7,3,0
0,0.7174301,0.73254085,0.73884773,8,3,0
0,0.71591574,0.7305594,0.73863024,9,3,0
0,0.71263677,0.7314528,0.7380186,10,3,0
0,0.7086646,0.7252239,0.73250425,11,3,0
0,0.70215076,0.7285169,0.733947,12,3,0
0,0.6982894,0.7318462,0.7388752,13,3,0
0,0.6979618,0.7343298,0.7393815,14,3,0
0,0.6946241,0.73388165,0.7406736,15,3,0
0,0.6915186,0.7325634,0.73929554,16,3,0
0,0.7620508,0.77412546,0.7801663,0,4,0
0,0.75034094,0.7578088,0.76315665,1,4,0
0,0.7463355,0.7446259,0.74927443,2,4,0
0,0.7425303,0.7354386,0.73953485,3,4,0
0,0.7336109,0.7345762,0.73804945,4,4,0
0,0.73371094,0.7350413,0.73817253,5,4,0
0,0.72471756,0.73543274,0.73965925,6,4,0
0,0.7226948,0.73448867,0.7390742,7,4,0
0,0.71825606,0.73369265,0.7371347,8,4,0
0,0.71730906,0.7357075,0.7380476,9,4,0
0,0.7053502,0.73338443,0.73811996,10,4,0
0,0.7033966,0.73673785,0.74183047,11,4,0
0,0.6998972,0.7357923,0.73730075,12,4,0
0,0.6946995,0.7347485,0.7380175,13,4,0
0,0.6909282,0.73709846,0.73902476,14,4,0
0,0.691545,0.73268884,0.7383548,15,4,0
0,0.68847275,0.7311705,0.7344738,16,4,0
0,0.6830644,0.73308253,0.73827004,17,4,0
0,0.68092877,0.7322025,0.73273075,18,4,0
0,0.676683,0.7351261,0.73949766,19,4,0
0,0.6766637,0.7294104,0.7337967,20,4,0
0,0.6752077,0.7347886,0.7366228,21,4,0
0,0.67196083,0.7388627,0.7423626,22,4,0
0,0.6733926,0.730685,0.7342929,23,4,0
0,0.67011625,0.72805786,0.73302215,24,4,0
0,0.6663369,0.7292469,0.734047,25,4,0
0,0.66547436,0.72906387,0.7341618,26,4,0
0,0.6609583,0.7268561,0.731999,27,4,0
0,0.66207474,0.73076975,0.73532176,28,4,0
0,0.6558913,0.72710127,0.7308314,29,4,0
0,0.6584749,0.7302758,0.7355108,30,4,0
0,0.6555498,0.7264708,0.7283379,31,4,0
0,0.6546193,0.7250801,0.72771573,32,4,0
0,0.65330833,0.7258249,0.72996384,33,4,0
0,0.65152735,0.7225165,0.72685766,34,4,0
0,0.645431,0.7250394,0.72671914,35,4,0
0,0.6450482,0.7226347,0.7261805,36,4,0
0,0.6476956,0.7230132,0.72534555,37,4,0
0,0.64535826,0.72093624,0.72769153,38,4,0
0,0.64325947,0.72194105,0.7261309,39,4,0
0,0.64184165,0.7194303,0.72355974,40,4,0
0,0.636821,0.7210394,0.7262347,41,4,0
0,0.63619477,0.7182501,0.72223,42,4,0
0,0.6379402,0.7176719,0.7220925,43,4,0
0,0.63571626,0.7176963,0.7223005,44,4,0
0,0.63469213,0.7143404,0.71859115,45,4,0
0,0.6325521,0.71779317,0.7204775,46,4,0
0,0.63483745,0.71618587,0.7198578,47,4,0
0,0.63102716,0.7151573,0.7179598,48,4,0
0,0.6341682,0.7142183,0.71853906,49,4,0
0,0.7611552,0.7741566,0.7802198,0,0,1
0,0.75251913,0.75938284,0.7646012,1,0,1
0,0.74266654,0.7466224,0.750829,2,0,1
0,0.7422843,0.7396259,0.7435014,3,0,1
0,0.7387047,0.7389691,0.74285686,4,0,1
0,0.73319393,0.739952,0.74411756,5,0,1
0,0.7306641,0.7380424,0.7419566,6,0,1
0,0.72542864,0.7333005,0.7366734,7,0,1
0,0.7208902,0.7303266,0.73396325,8,0,1
0,0.7143299,0.7333324,0.73486066,9,0,1
0,0.7122367,0.7360208,0.7396665,10,0,1
0,0.70761234,0.730695,0.7334946,11,0,1
0,0.70340365,0.73293024,0.73586833,12,0,1
0,0.69353485,0.7295506,0.7321659,13,0,1
0,0.6969258,0.7316882,0.73353225,14,0,1
0,0.6926711,0.7376061,0.7409652,15,0,1
0,0.6893906,0.7289183,0.73306745,16,0,1
0,0.6828084,0.7389593,0.7430753,17,0,1
0,0.6811206,0.73099256,0.7347765,18,0,1
0,0.6791921,0.7312402,0.7368127,19,0,1
0,0.6760865,0.73288614,0.73581505,20,0,1
0,0.67378855,0.7305548,0.73354965,21,0,1
0,0.7619128,0.7751794,0.78122944,0,1,1
0,0.75138015,0.76172346,0.7664883,1,1,1
0,0.7475981,0.74851096,0.7529548,2,1,1
0,0.74111265,0.73709655,0.74168503,3,1,1
0,0.73984194,0.7332776,0.7381805,4,1,1
0,0.7323976,0.73545194,0.7406559,5,1,1
0,0.7282259,0.73400897,0.7392882,6,1,1
0,0.7255048,0.7307325,0.73549944,7,1,1
0,0.7188012,0.73284477,0.7374776,8,1,1
0,0.71424794,0.73121053,0.7365049,9,1,1
0,0.70850986,0.73070186,0.7351718,10,1,1
0,0.7082841,0.7306244,0.7348466,11,1,1
0,0.70138144,0.7320329,0.73750484,12,1,1
0,0.6960459,0.73114955,0.73636377,13,1,1
0,0.6927826,0.7329358,0.7378547,14,1,1
0,0.689905,0.7346634,0.7407319,15,1,1
0,0.69078493,0.7353927,0.74084395,16,1,1
0,0.7612205,0.7741714,0.7801691,0,2,1
0,0.7499787,0.7585354,0.76387036,1,2,1
0,0.7432504,0.74403906,0.74898493,2,2,1
0,0.73817235,0.73530346,0.73975784,3,2,1
0,0.73586863,0.7334577,0.7389129,4,2,1
0,0.7302626,0.7344084,0.74078536,5,2,1
0,0.726836,0.7323789,0.7386278,6,2,1
0,0.7260284,0.73162735,0.73811334,7,2,1
0,0.7190041,0.7316867,0.7380539,8,2,1
0,0.7126797,0.73657227,0.742444,9,2,1
0,0.70740867,0.73759884,0.74401397,10,2,1
0,0.7035599,0.7278472,0.7343563,11,2,1
0,0.6956992,0.734646,0.74084795,12,2,1
0,0.70094067,0.7308334,0.73809236,13,2,1
0,0.68969107,0.73151666,0.73721874,14,2,1
0,0.6913031,0.738076,0.74737096,15,2,1
0,0.6878783,0.7315291,0.7391141,16,2,1
0,0.7650735,0.774708,0.7802915,0,3,1
0,0.75007206,0.7585263,0.7631686,1,3,1
0,0.74652046,0.7447396,0.74886316,2,3,1
0,0.74210626,0.737894,0.7421445,3,3,1
0,0.73653644,0.73397845,0.73799855,4,3,1
0,0.7307994,0.732545,0.73671526,5,3,1
0,0.72968954,0.7331752,0.7371902,6,3,1
0,0.7200517,0.7355374,0.7398994,7,3,1
0,0.7203841,0.73538655,0.73949456,8,3,1
0,0.7135164,0.7370293,0.7431408,9,3,1
0,0.70859647,0.73431814,0.73840106,10,3,1
0,0.7637172,0.77454203,0.7804438,0,4,1
0,0.7511215,0.75736725,0.76306456,1,4,1
0,0.74466014,0.74516124,0.7513054,2,4,1
0,0.7392326,0.73606825,0.7420661,3,4,1
0,0.7373534,0.7323961,0.73771614,4,4,1
0,0.7315526,0.73271203,0.73837405,5,4,1
0,0.7271703,0.7321552,0.7375586,6,4,1
0,0.7179958,0.7301763,0.7347209,7,4,1
0,0.71698695,0.73751223,0.7425092,8,4,1
0,0.7136314,0.73308796,0.73982626,9,4,1
0,0.71021646,0.72997373,0.73680615,10,4,1
0,0.7041171,0.733917,0.74107856,11,4,1
0,0.7002823,0.73742795,0.74551344,12,4,1
0,0.7006102,0.73373,0.7391906,13,4,1
0,0.6960911,0.73465097,0.74516404,14,4,1
0,0.68950707,0.73182636,0.7399293,15,4,1
0,0.76078486,0.7743858,0.7800895,0,0,2
0,0.75104094,0.7609221,0.76428103,1,0,2
0,0.7423513,0.749175,0.7513392,2,0,2
0,0.74134,0.74117553,0.74343514,3,0,2
0,0.7325072,0.7403527,0.7429899,4,0,2
0,0.7332189,0.7391567,0.7428331,5,0,2
0,0.7305699,0.7349475,0.7396977,6,0,2
0,0.7227381,0.7375342,0.7399724,7,0,2
0,0.7233863,0.7350861,0.7381015,8,0,2
0,0.7151196,0.7342588,0.73804873,9,0,2
0,0.7140343,0.7360522,0.739835,10,0,2
0,0.7074857,0.73158175,0.73588717,11,0,2
0,0.7000365,0.73858637,0.74292094,12,0,2
0,0.6996214,0.7370132,0.7418442,13,0,2
0,0.6951051,0.73674953,0.74142295,14,0,2
0,0.69530076,0.7381943,0.7458425,15,0,2
0,0.6883599,0.73771447,0.7427038,16,0,2
0,0.76317644,0.7755603,0.7814068,0,1,2
0,0.7531932,0.7592259,0.76453865,1,1,2
0,0.747237,0.7451301,0.7503798,2,1,2
0,0.7413101,0.73695153,0.7423427,3,1,2
0,0.7399995,0.73274755,0.738555,4,1,2
0,0.7362754,0.73182,0.7375777,5,1,2
0,0.73154163,0.7320921,0.73816776,6,1,2
0,0.7252304,0.73369086,0.73942137,7,1,2
0,0.7221306,0.7344706,0.7405225,8,1,2
0,0.7199006,0.7327592,0.73927796,9,1,2
0,0.7124047,0.7298589,0.7357449,10,1,2
0,0.7098909,0.73388636,0.73932624,11,1,2
0,0.7051571,0.73415923,0.73921204,12,1,2
