,bottleneck_unit_0,epoch,fold,iter
17221,0.34201762,48,0,0
22253,0.4909638,48,0,0
41338,0.0,48,0,0
32995,0.08501344,48,0,0
28115,0.20428328,48,0,0
13760,0.0,48,0,0
13065,0.0,48,0,0
26562,0.04522963,48,0,0
20541,0.0,48,0,0
9922,0.0,48,0,0
6693,0.0,48,0,0
11291,0.0,48,0,0
8542,0.0,48,0,0
7531,1.3405637,48,0,0
22997,0.0,48,0,0
19641,0.17536332,48,0,0
12359,0.3928145,48,0,0
39437,0.7415791,48,0,0
27670,0.0,48,0,0
24271,0.4151187,48,0,0
40585,0.0,48,0,0
12802,0.6125785,48,0,0
11763,1.3825169,48,0,0
27600,0.0,48,0,0
1845,0.0,48,0,0
7837,0.0,48,0,0
32211,2.0031831,48,0,0
12966,1.0534973,48,0,0
36005,0.0,48,0,0
39752,0.062726565,48,0,0
20726,0.0,48,0,0
9818,0.0,48,0,0
5196,0.33612168,48,0,0
718,0.6502945,48,0,0
22912,0.33934096,48,0,0
11933,1.3086702,48,0,0
15255,1.1494526,48,0,0
29134,0.0,48,0,0
7559,0.79283303,48,0,0
3939,0.0,48,0,0
23544,0.6893537,48,0,0
3333,0.0,48,0,0
1332,1.0970699,48,0,0
37916,0.4660368,48,0,0
34345,1.0075868,48,0,0
9814,0.0,48,0,0
1849,0.0,48,0,0
15546,0.0,48,0,0
20213,0.19268864,48,0,0
27429,0.0,48,0,0
35966,0.0,48,0,0
886,0.85418546,48,0,0
1859,0.07630939,48,0,0
33454,0.58067966,48,0,0
26438,0.8357501,48,0,0
23107,0.9473584,48,0,0
39053,0.75146,48,0,0
38575,0.9939385,48,0,0
31638,0.3102275,48,0,0
13264,0.03340965,48,0,0
34690,0.0,48,0,0
21901,0.0,48,0,0
28021,0.0,48,0,0
35747,0.7793407,48,0,0
40237,3.0726776,48,0,0
33835,0.0,48,0,0
30598,0.3324486,48,0,0
35176,0.0,48,0,0
21706,0.0,48,0,0
6777,0.66589946,48,0,0
25600,0.0,48,0,0
33026,1.4054786,48,0,0
20804,0.0,48,0,0
37028,1.4969356,48,0,0
25460,0.0,48,0,0
23365,0.0,48,0,0
32509,0.64617836,48,0,0
24741,0.09774897,48,0,0
6120,0.5093067,48,0,0
1684,0.0,48,0,0
5641,0.0,48,0,0
39129,0.0,48,0,0
24938,0.0,48,0,0
18979,0.8929125,48,0,0
23280,0.0389895,48,0,0
4625,0.0,48,0,0
27703,0.124060966,48,0,0
19207,0.35499924,48,0,0
10438,0.20725235,48,0,0
14769,0.0,48,0,0
40062,0.1391534,48,0,0
822,0.0,48,0,0
2596,0.0,48,0,0
28449,0.0,48,0,0
39623,0.17097731,48,0,0
31664,0.0,48,0,0
41135,0.0,48,0,0
22827,0.0,48,0,0
20867,1.7432843,48,0,0
24607,0.0,48,0,0
19032,0.0,48,0,0
2044,0.0,48,0,0
22711,0.0,48,0,0
24966,0.0,48,0,0
6902,0.0,48,0,0
27578,0.0,48,0,0
6566,0.0,48,0,0
5419,0.2964709,48,0,0
40320,0.0,48,0,0
36662,0.0,48,0,0
36528,0.0,48,0,0
6231,1.8637828,48,0,0
33681,0.4911084,48,0,0
31553,0.81202525,48,0,0
2205,0.0,48,0,0
21355,0.08171364,48,0,0
30432,2.027731,48,0,0
40785,0.2679887,48,0,0
8374,0.0,48,0,0
36441,0.38719708,48,0,0
9177,0.5393102,48,0,0
1211,0.0,48,0,0
28954,0.0,48,0,0
5368,0.0,48,0,0
22327,0.8584328,48,0,0
19853,0.0,48,0,0
32565,0.0,48,0,0
17642,0.57188576,48,0,0
27613,0.0,48,0,0
39531,0.0,48,0,0
14851,0.0,48,0,0
17856,0.0,48,0,0
15440,0.21012421,48,0,0
31445,0.0,48,0,0
34369,0.45258802,48,0,0
36899,0.5160966,48,0,0
20273,0.0,48,0,0
20634,0.0,48,0,0
34769,0.0,48,0,0
13266,0.6666111,48,0,0
14335,0.0,48,0,0
36742,0.3753955,48,0,0
19666,0.0,48,0,0
39146,0.0,48,0,0
39687,0.51273876,48,0,0
7659,0.0,48,0,0
12533,0.11468306,48,0,0
6326,0.08087625,48,0,0
37982,0.0,48,0,0
35912,0.0,48,0,0
24249,0.3610599,48,0,0
7955,0.0,48,0,0
20423,0.0,48,0,0
8212,0.0,48,0,0
36562,0.0,48,0,0
10869,0.0,48,0,0
16613,2.0678678,48,0,0
30222,0.3384706,48,0,0
19737,0.0,48,0,0
2875,0.08430159,48,0,0
31658,0.0,48,0,0
36018,0.07453169,48,0,0
40373,0.004620702,48,0,0
26952,0.0,48,0,0
7609,0.0,48,0,0
10952,0.0,48,0,0
35889,0.0,48,0,0
36332,0.0,48,0,0
35253,0.074168116,48,0,0
27290,0.19456506,48,0,0
24755,0.37946045,48,0,0
34245,0.0,48,0,0
6486,0.30626094,48,0,0
1444,0.0,48,0,0
3760,0.56283194,48,0,0
2393,0.42863864,48,0,0
37353,0.14624234,48,0,0
18048,0.0724884,48,0,0
25354,0.0,48,0,0
33361,0.13683914,48,0,0
20473,1.3313638,48,0,0
3595,0.0,48,0,0
17141,0.0,48,0,0
27246,0.21283382,48,0,0
20189,1.0550898,48,0,0
8245,0.0,48,0,0
28339,0.12021834,48,0,0
17261,0.07862991,48,0,0
6847,1.0239251,48,0,0
35096,0.0,48,0,0
1066,1.2948059,48,0,0
10748,0.0,48,0,0
20413,0.28046638,48,0,0
8159,1.2445755,48,0,0
14554,0.0,48,0,0
14566,0.0,48,0,0
36775,0.7790158,48,0,0
20263,0.0,48,0,0
