,train_loss,test_loss,valid_loss,epoch,fold,iter
0,0.7332122,0.71591747,0.7188579,0,0,0
0,0.7194144,0.7151824,0.71818215,1,0,0
0,0.7161376,0.7141603,0.71751434,2,0,0
0,0.71436805,0.7133824,0.71727544,3,0,0
0,0.7125353,0.7129729,0.7172838,4,0,0
0,0.7114942,0.71240926,0.7168741,5,0,0
0,0.7082855,0.7115587,0.7159838,6,0,0
0,0.7092066,0.7106402,0.7150703,7,0,0
0,0.7076645,0.70962197,0.713953,8,0,0
0,0.70665145,0.7088694,0.71320856,9,0,0
0,0.70383483,0.7080827,0.7125218,10,0,0
0,0.7025385,0.7074359,0.71201247,11,0,0
0,0.7017787,0.70688075,0.7115927,12,0,0
0,0.7004729,0.70613617,0.7109794,13,0,0
0,0.69909054,0.7054368,0.71063614,14,0,0
0,0.6975027,0.70521283,0.71107525,15,0,0
0,0.69530207,0.7049596,0.7111009,16,0,0
0,0.695303,0.70398396,0.7098442,17,0,0
0,0.69399184,0.7030494,0.7084697,18,0,0
0,0.68921995,0.7031181,0.70865273,19,0,0
0,0.68967867,0.703216,0.70908535,20,0,0
0,0.68688416,0.7026667,0.7086328,21,0,0
0,0.6855363,0.70237565,0.7083514,22,0,0
0,0.6824639,0.7031042,0.7102591,23,0,0
0,0.6812461,0.7023176,0.7082749,24,0,0
0,0.6804641,0.70326704,0.7103497,25,0,0
0,0.6764179,0.7048119,0.71309644,26,0,0
0,0.67715687,0.7023493,0.7102917,27,0,0
0,0.6723101,0.70314574,0.7108316,28,0,0
0,0.6730957,0.69984573,0.7063158,29,0,0
0,0.6699369,0.7016475,0.7072202,30,0,0
0,0.67098266,0.701721,0.70727545,31,0,0
0,0.6651928,0.69878954,0.7067502,32,0,0
0,0.6690624,0.6977089,0.70353967,33,0,0
0,0.66740584,0.69627506,0.70219475,34,0,0
0,0.666521,0.70123696,0.7109956,35,0,0
0,0.6625226,0.7008027,0.7098264,36,0,0
0,0.66162807,0.6942927,0.70092726,37,0,0
0,0.65893936,0.69863003,0.7065408,38,0,0
0,0.6571997,0.6959757,0.70452267,39,0,0
0,0.65865016,0.69263524,0.6988302,40,0,0
0,0.6581225,0.69768,0.703093,41,0,0
0,0.65520805,0.69797677,0.70579606,42,0,0
0,0.6523822,0.69185054,0.70020676,43,0,0
0,0.6514663,0.69447476,0.7016449,44,0,0
0,0.65077686,0.6909241,0.69722784,45,0,0
0,0.647464,0.69114864,0.6981424,46,0,0
0,0.64774364,0.69345427,0.7005443,47,0,0
0,0.6473429,0.68981206,0.69664025,48,0,0
0,0.64334565,0.695531,0.7033098,49,0,0
0,0.72993326,0.7160332,0.7188815,0,1,0
0,0.716042,0.71498156,0.7180726,1,1,0
0,0.7131829,0.7138117,0.7174427,2,1,0
0,0.7151692,0.7131657,0.7172422,3,1,0
0,0.71023256,0.7126266,0.7167175,4,1,0
0,0.71066564,0.71223307,0.71631193,5,1,0
0,0.70893556,0.71157116,0.71541667,6,1,0
0,0.7074342,0.7109811,0.7148105,7,1,0
0,0.70498806,0.7104738,0.71437335,8,1,0
0,0.70393723,0.71032226,0.7142494,9,1,0
0,0.7018191,0.7115832,0.71383613,10,1,0
0,0.70255727,0.71238047,0.71343905,11,1,0
0,0.699197,0.71143115,0.7123404,12,1,0
0,0.697169,0.7086061,0.7110307,13,1,0
0,0.697903,0.71026546,0.71071,14,1,0
0,0.6951208,0.7115067,0.71055037,15,1,0
0,0.69015104,0.7107946,0.7099698,16,1,0
0,0.69033307,0.70711094,0.71000963,17,1,0
0,0.68902415,0.70554096,0.70932233,18,1,0
0,0.6859208,0.7053184,0.7091293,19,1,0
0,0.6857707,0.7071969,0.7102539,20,1,0
0,0.6816039,0.7092381,0.7097614,21,1,0
0,0.6798272,0.7090933,0.70946956,22,1,0
0,0.67805654,0.7122827,0.7098551,23,1,0
0,0.67424625,0.7091489,0.7086636,24,1,0
0,0.7338667,0.7160924,0.7188846,0,2,0
0,0.7187555,0.7153332,0.718171,1,2,0
0,0.7175987,0.7142842,0.7176423,2,2,0
0,0.71316236,0.71368146,0.7174696,3,2,0
0,0.71373034,0.71340555,0.7177806,4,2,0
0,0.7126823,0.71293354,0.71775925,5,2,0
0,0.7096241,0.7123588,0.7174845,6,2,0
0,0.70826054,0.711877,0.71711785,7,2,0
0,0.70814663,0.7108127,0.71571624,8,2,0
0,0.70606756,0.7099045,0.7146019,9,2,0
