,bottleneck_unit_0,epoch,fold,iter
28933,0.0,19,0,0
33099,0.0,19,0,0
41338,0.78316116,19,0,0
31253,0.0,19,0,0
31509,0.91483146,19,0,0
28115,0.0,19,0,0
32415,0.9687126,19,0,0
26562,0.0,19,0,0
10024,0.44177517,19,0,0
8542,0.0,19,0,0
13771,0.0,19,0,0
1891,1.1585888,19,0,0
12874,1.2858465,19,0,0
39363,0.0,19,0,0
29210,1.2389427,19,0,0
33937,1.3329302,19,0,0
25338,0.0,19,0,0
40280,0.0,19,0,0
12359,0.0,19,0,0
19324,0.9769974,19,0,0
31215,0.62276995,19,0,0
39437,0.0,19,0,0
41035,0.0,19,0,0
19805,0.0,19,0,0
15970,0.0,19,0,0
12754,0.0,19,0,0
12966,1.3618827,19,0,0
36005,0.0,19,0,0
15573,0.0,19,0,0
19555,0.0,19,0,0
27490,1.0764729,19,0,0
19214,1.0508671,19,0,0
4404,0.0,19,0,0
9818,0.0,19,0,0
40165,0.0,19,0,0
11933,1.404184,19,0,0
1543,0.0,19,0,0
7559,1.0464464,19,0,0
20847,0.9530284,19,0,0
32627,0.0,19,0,0
23911,0.60256207,19,0,0
10661,0.8730522,19,0,0
4386,0.92825305,19,0,0
12012,0.0,19,0,0
3736,0.0,19,0,0
36362,0.0,19,0,0
3357,0.0,19,0,0
39335,0.0,19,0,0
15186,0.0,19,0,0
13856,0.9238366,19,0,0
22608,0.0,19,0,0
15148,0.4701717,19,0,0
35966,0.0,19,0,0
34820,0.0,19,0,0
11316,0.25004083,19,0,0
39594,0.0,19,0,0
35085,0.44218385,19,0,0
27495,1.3090546,19,0,0
34792,0.0,19,0,0
30175,0.74943113,19,0,0
40310,0.0,19,0,0
31251,0.73167384,19,0,0
39053,0.0,19,0,0
2881,0.0,19,0,0
30250,0.78148645,19,0,0
19350,0.0,19,0,0
40570,0.5866654,19,0,0
1412,0.0,19,0,0
24806,0.0,19,0,0
22935,1.167156,19,0,0
14070,0.0,19,0,0
35747,0.5960657,19,0,0
40237,0.0,19,0,0
18553,0.72182196,19,0,0
3208,1.3063213,19,0,0
30598,1.1293118,19,0,0
23375,0.0,19,0,0
32435,0.0,19,0,0
14005,1.1094728,19,0,0
6777,1.2221829,19,0,0
30804,0.38608965,19,0,0
10464,0.9306003,19,0,0
37028,0.59526813,19,0,0
17085,0.13355613,19,0,0
32509,1.2290567,19,0,0
18263,0.0,19,0,0
11979,0.0,19,0,0
25365,0.93537176,19,0,0
21933,0.7195053,19,0,0
39129,0.0,19,0,0
38326,0.0,19,0,0
2588,0.6832346,19,0,0
37712,0.0,19,0,0
410,0.0,19,0,0
5996,0.7087887,19,0,0
31928,0.0,19,0,0
28408,0.9109341,19,0,0
20942,0.65252554,19,0,0
18460,0.0,19,0,0
11,0.0,19,0,0
8198,0.0,19,0,0
12676,0.0,19,0,0
25951,0.0,19,0,0
822,0.32709366,19,0,0
37783,0.0,19,0,0
41135,0.0,19,0,0
20957,0.0,19,0,0
28498,0.0,19,0,0
8041,1.1649843,19,0,0
6532,0.0,19,0,0
8277,0.0,19,0,0
4747,0.876953,19,0,0
12177,0.98171455,19,0,0
8361,0.0,19,0,0
24966,0.0,19,0,0
3215,0.8597273,19,0,0
6902,1.1124898,19,0,0
22360,0.0,19,0,0
34935,0.8665486,19,0,0
36976,0.62878805,19,0,0
39857,0.0,19,0,0
39247,0.0,19,0,0
27139,0.984767,19,0,0
18706,0.6933583,19,0,0
5753,1.3035734,19,0,0
16172,0.019361237,19,0,0
28401,0.85000056,19,0,0
7548,0.54517496,19,0,0
37200,0.8104944,19,0,0
10338,1.0838616,19,0,0
33681,0.7588858,19,0,0
8376,2.0848777,19,0,0
9599,0.0,19,0,0
9177,0.0,19,0,0
23972,0.0,19,0,0
18987,0.9175323,19,0,0
1384,0.99862516,19,0,0
4953,0.49787098,19,0,0
14280,0.60345036,19,0,0
10334,0.0,19,0,0
5368,0.0,19,0,0
39895,1.582623,19,0,0
17642,0.0,19,0,0
13838,0.0,19,0,0
27613,1.7376404,19,0,0
39531,0.0,19,0,0
6916,1.2064353,19,0,0
17856,1.1875998,19,0,0
30589,0.0,19,0,0
15440,0.7577457,19,0,0
11989,1.0229076,19,0,0
36899,1.0178951,19,0,0
3131,0.0,19,0,0
38494,1.2199168,19,0,0
2502,0.2129634,19,0,0
13266,0.0,19,0,0
19936,0.0,19,0,0
21338,0.0,19,0,0
4328,0.0,19,0,0
12533,0.0,19,0,0
6326,1.2387631,19,0,0
37781,0.0,19,0,0
17603,0.6130947,19,0,0
31846,1.2226727,19,0,0
22100,0.0,19,0,0
24658,0.54360944,19,0,0
6953,0.05013566,19,0,0
39996,0.0,19,0,0
21708,0.8874818,19,0,0
35912,0.68039507,19,0,0
761,0.950889,19,0,0
38125,0.0,19,0,0
25673,0.012374915,19,0,0
40174,0.0,19,0,0
35530,0.0,19,0,0
35554,1.7193867,19,0,0
16309,1.4504018,19,0,0
29786,0.3275493,19,0,0
17377,0.0,19,0,0
29972,0.0,19,0,0
31523,0.66128314,19,0,0
22808,0.9052986,19,0,0
10952,0.4301295,19,0,0
35889,0.9562917,19,0,0
38861,0.16150856,19,0,0
15085,1.2739713,19,0,0
14590,0.0,19,0,0
6011,0.0,19,0,0
4045,0.0,19,0,0
1253,1.1609471,19,0,0
5555,1.2828726,19,0,0
41266,1.0114003,19,0,0
5514,0.0,19,0,0
8081,1.1229585,19,0,0
37353,0.0,19,0,0
32177,0.0,19,0,0
28642,0.6762095,19,0,0
33361,1.4425075,19,0,0
13589,0.0,19,0,0
