,train_loss,test_loss,valid_loss,epoch,fold,iter
0,0.70276576,0.6927584,0.6931381,0,0,0
0,0.68370396,0.6871624,0.6872395,1,0,0
0,0.6572831,0.68085504,0.68063676,2,0,0
0,0.63324195,0.6717193,0.6712846,3,0,0
0,0.60941285,0.6637685,0.66307604,4,0,0
0,0.5879235,0.65763515,0.6565459,5,0,0
0,0.5741837,0.6398887,0.63955647,6,0,0
0,0.56248814,0.61336726,0.61387146,7,0,0
0,0.54993397,0.59596694,0.59669805,8,0,0
0,0.543694,0.58473885,0.5847733,9,0,0
0,0.5393266,0.56270957,0.56373227,10,0,0
0,0.5328217,0.54814607,0.54987663,11,0,0
0,0.5315829,0.5462163,0.5476549,12,0,0
0,0.526113,0.5386344,0.54022783,13,0,0
0,0.52745986,0.5338553,0.5362854,14,0,0
0,0.5227987,0.5314361,0.5348429,15,0,0
0,0.5196313,0.53080213,0.5332127,16,0,0
0,0.51453066,0.53418386,0.5355541,17,0,0
0,0.5103319,0.5326262,0.53318083,18,0,0
0,0.5139525,0.53063214,0.5302794,19,0,0
0,0.5139598,0.5323036,0.5322086,20,0,0
0,0.51088196,0.53924745,0.5409574,21,0,0
0,0.51060313,0.54428893,0.54422295,22,0,0
0,0.50986767,0.5356643,0.53436345,23,0,0
0,0.5045075,0.5406916,0.5362902,24,0,0
0,0.70156795,0.6928797,0.69334483,0,1,0
0,0.68182534,0.6868649,0.68704885,1,1,0
0,0.6574222,0.6799707,0.6797772,2,1,0
0,0.633934,0.6706209,0.6700495,3,1,0
0,0.6161103,0.6619868,0.66138405,4,1,0
0,0.60313326,0.6545885,0.6538185,5,1,0
0,0.58882684,0.6463152,0.6452185,6,1,0
0,0.57634425,0.6356612,0.6339534,7,1,0
0,0.56717193,0.6152828,0.61136526,8,1,0
0,0.5567039,0.59734845,0.59212863,9,1,0
0,0.5496381,0.5829405,0.5769385,10,1,0
0,0.5428667,0.56612045,0.55856675,11,1,0
0,0.53694284,0.56018215,0.5515735,12,1,0
0,0.53192616,0.5583008,0.55068636,13,1,0
0,0.5296013,0.55089605,0.5426799,14,1,0
0,0.5228474,0.5507676,0.542175,15,1,0
0,0.52672446,0.55175644,0.5445068,16,1,0
0,0.52693295,0.5460042,0.5373244,17,1,0
0,0.5155883,0.5436112,0.53426296,18,1,0
0,0.51567465,0.5422241,0.53453,19,1,0
0,0.51220363,0.5404714,0.531188,20,1,0
0,0.5106357,0.5387838,0.53342754,21,1,0
0,0.5098943,0.5398238,0.5331129,22,1,0
0,0.5063317,0.5371671,0.53277165,23,1,0
0,0.51608485,0.54136693,0.5329697,24,1,0
0,0.50574255,0.5417303,0.5320106,25,1,0
0,0.5043521,0.5398334,0.5318259,26,1,0
0,0.50151247,0.5400529,0.5315267,27,1,0
