,bottleneck_unit_0,epoch,fold,iter
33178,0.0,31,0,0
28933,0.87466896,31,0,0
34388,1.7465267,31,0,0
2677,0.0,31,0,0
30092,0.14376913,31,0,0
28115,0.0,31,0,0
35652,0.0,31,0,0
19795,0.0,31,0,0
6938,1.1685268,31,0,0
23339,0.0,31,0,0
24868,0.17313772,31,0,0
27148,0.0,31,0,0
7531,0.0,31,0,0
13771,0.0,31,0,0
4655,0.19749331,31,0,0
39012,0.0,31,0,0
29210,1.0337427,31,0,0
13958,1.5605466,31,0,0
25416,0.0,31,0,0
33937,0.1101505,31,0,0
7604,0.8308248,31,0,0
38836,0.7481775,31,0,0
12359,0.0,31,0,0
19324,1.1344693,31,0,0
10099,0.0,31,0,0
11941,0.88972306,31,0,0
32376,0.7803287,31,0,0
31215,1.3798063,31,0,0
27284,0.18651545,31,0,0
33302,0.0,31,0,0
1845,0.0,31,0,0
13799,0.0,31,0,0
32211,0.69235265,31,0,0
30448,1.2855818,31,0,0
36005,0.0,31,0,0
17840,0.7340485,31,0,0
38281,0.0,31,0,0
4404,0.74820083,31,0,0
554,0.0,31,0,0
515,0.09767743,31,0,0
33176,0.79452604,31,0,0
29134,0.49486107,31,0,0
3939,0.024615798,31,0,0
4428,0.0,31,0,0
20847,1.2462784,31,0,0
9263,0.0,31,0,0
28809,0.0,31,0,0
10902,0.98842597,31,0,0
13790,0.0,31,0,0
9814,0.0,31,0,0
1849,0.3148813,31,0,0
37934,0.14293042,31,0,0
26170,0.12857632,31,0,0
3066,0.0,31,0,0
27382,0.9119901,31,0,0
36017,0.29183915,31,0,0
2937,0.47765204,31,0,0
22608,0.0,31,0,0
35966,0.0,31,0,0
25260,0.4962744,31,0,0
886,2.20739,31,0,0
28958,1.3325075,31,0,0
26409,0.5641619,31,0,0
11316,0.0,31,0,0
18736,1.0821719,31,0,0
25658,0.0,31,0,0
2576,0.0,31,0,0
26438,1.5395114,31,0,0
9763,0.63789916,31,0,0
35007,0.83980834,31,0,0
31251,0.24638116,31,0,0
23107,0.4489013,31,0,0
38575,0.0,31,0,0
38263,1.1195788,31,0,0
13264,0.0,31,0,0
2324,0.75471145,31,0,0
26979,0.0,31,0,0
13366,0.43630072,31,0,0
20702,0.0,31,0,0
38880,1.2953213,31,0,0
22935,1.67949,31,0,0
5910,0.12711881,31,0,0
40316,0.059554495,31,0,0
10629,0.0,31,0,0
18553,0.0,31,0,0
3208,0.4626192,31,0,0
32435,1.4948803,31,0,0
21892,0.0,31,0,0
26689,0.0,31,0,0
40395,0.0,31,0,0
24718,0.3564419,31,0,0
25600,0.0,31,0,0
30804,0.8559555,31,0,0
20804,0.32017028,31,0,0
36300,0.23852028,31,0,0
3343,0.0,31,0,0
10464,0.95868134,31,0,0
19909,0.80523866,31,0,0
14002,0.0,31,0,0
17085,0.0,31,0,0
13842,0.40543643,31,0,0
10755,0.1709877,31,0,0
19072,0.0,31,0,0
20602,0.18447284,31,0,0
20289,0.0,31,0,0
1684,0.92428243,31,0,0
5564,1.2043202,31,0,0
6376,0.31058013,31,0,0
31928,0.0,31,0,0
31052,0.9394624,31,0,0
934,0.0,31,0,0
29236,1.5429957,31,0,0
20942,0.18169357,31,0,0
8802,0.629238,31,0,0
1410,0.0,31,0,0
16006,0.0,31,0,0
11,0.0,31,0,0
22330,0.0,31,0,0
40062,1.009868,31,0,0
39753,1.3856192,31,0,0
31039,0.96475834,31,0,0
5272,0.7216582,31,0,0
37832,0.84537023,31,0,0
24136,0.0,31,0,0
21608,0.0,31,0,0
8041,1.1981084,31,0,0
25908,0.98654985,31,0,0
16805,0.0,31,0,0
23449,0.0,31,0,0
2044,1.0764797,31,0,0
35535,0.7352297,31,0,0
27578,0.0,31,0,0
4575,0.65732783,31,0,0
39857,1.8206922,31,0,0
28860,0.0,31,0,0
36662,0.0,31,0,0
10239,0.042707916,31,0,0
2582,0.0,31,0,0
31553,1.037244,31,0,0
10942,0.52070916,31,0,0
21355,0.38210574,31,0,0
182,0.0,31,0,0
39270,0.0,31,0,0
737,0.0,31,0,0
36441,0.16229199,31,0,0
9599,0.0,31,0,0
29550,0.5039509,31,0,0
9281,0.0,31,0,0
34982,0.0,31,0,0
16643,0.0,31,0,0
28954,0.0,31,0,0
9861,1.0768175,31,0,0
14280,2.0217664,31,0,0
28162,0.0,31,0,0
35149,0.0,31,0,0
2512,0.0,31,0,0
12048,1.9446124,31,0,0
17856,1.549215,31,0,0
41110,0.80560434,31,0,0
9414,0.32384405,31,0,0
34369,0.63252723,31,0,0
19570,0.0,31,0,0
34763,0.0,31,0,0
15776,0.0,31,0,0
9952,0.0,31,0,0
20744,0.0,31,0,0
19838,0.0,31,0,0
2502,0.16633628,31,0,0
13266,0.0,31,0,0
13124,0.0,31,0,0
10281,0.38942,31,0,0
14031,1.3344132,31,0,0
22136,0.26898545,31,0,0
19936,0.40565982,31,0,0
10194,0.0,31,0,0
30667,0.030097883,31,0,0
15430,1.6096823,31,0,0
24658,0.14385569,31,0,0
3755,2.0505428,31,0,0
37982,0.8554889,31,0,0
26606,0.12347923,31,0,0
33733,0.18628678,31,0,0
25647,0.0,31,0,0
39021,0.27350622,31,0,0
6158,0.0,31,0,0
89,1.1785376,31,0,0
25673,0.0,31,0,0
10869,0.0,31,0,0
30222,0.6490614,31,0,0
40174,0.0,31,0,0
35530,0.0,31,0,0
16309,0.77483684,31,0,0
2241,0.41015682,31,0,0
19737,1.095537,31,0,0
23283,0.21886481,31,0,0
15652,0.49089557,31,0,0
7751,0.09738334,31,0,0
18914,0.0,31,0,0
34223,1.3271222,31,0,0
24871,0.0,31,0,0
35253,0.0,31,0,0
34661,0.21485355,31,0,0
33144,0.6971454,31,0,0
14590,0.0,31,0,0
18576,0.0,31,0,0
16896,0.24422842,31,0,0
3346,0.28107625,31,0,0
2393,0.77372044,31,0,0
16785,0.0,31,0,0
7072,1.1946869,31,0,0
25354,1.3449166,31,0,0
33361,1.3948538,31,0,0
6312,0.0,31,0,0
1200,0.8163086,31,0,0
33529,0.7053865,31,0,0
11227,0.0,31,0,0
930,0.0,31,0,0
11568,0.0,31,0,0
34087,0.0,31,0,0
16470,0.016586486,31,0,0
13666,0.77748185,31,0,0
8159,0.0056718057,31,0,0
7058,0.0,31,0,0
15249,0.0,31,0,0
40767,0.0,31,0,0
26324,0.58392406,31,0,0
9525,0.0,31,0,0
27810,1.1286464,31,0,0
20008,0.14114669,31,0,0
36998,0.042467605,31,0,0
10306,0.83558476,31,0,0
38018,0.9641885,31,0,0
34290,0.0,31,0,0
12446,0.3378168,31,0,0
32798,0.0,31,0,0
17849,0.55126333,31,0,0
39248,0.0,31,0,0
37476,1.9586296,31,0,0
1702,0.0,31,0,0
2350,0.53868693,31,0,0
19706,0.0,31,0,0
27767,1.4606055,31,0,0
8547,0.0,31,0,0
17702,0.58014345,31,0,0
33793,0.56214905,31,0,0
33736,1.6627804,31,0,0
3019,0.5123393,31,0,0
18313,0.0,31,0,0
32781,0.0,31,0,0
9234,0.32669476,31,0,0
21416,0.7877611,31,0,0
26568,0.0,31,0,0
14832,0.0,31,0,0
3654,1.2742765,31,0,0
7105,0.0,31,0,0
28770,0.8606304,31,0,0
6433,1.2808833,31,0,0
15024,0.0,31,0,0
32631,0.43781587,31,0,0
37363,0.47308293,31,0,0
20161,0.0,31,0,0
5554,0.0,31,0,0
4616,0.0,31,0,0
9749,0.8943458,31,0,0
40282,0.0,31,0,0
34640,0.0,31,0,0
13885,0.0,31,0,0
29319,2.189862,31,0,0
19918,0.0,31,0,0
41029,0.0,31,0,0
34261,0.0,31,0,0
1864,0.0,31,0,0
32847,0.3326187,31,0,0
10117,0.35344982,31,0,0
25913,1.3830192,31,0,0
8978,0.6320432,31,0,0
13896,0.3126878,31,0,0
15802,0.6903668,31,0,0
28186,1.3134952,31,0,0
21639,0.9692096,31,0,0
9455,0.0,31,0,0
35776,0.3491227,31,0,0
729,0.19995186,31,0,0
7214,0.0,31,0,0
326,0.0,31,0,0
23,1.0684931,31,0,0
13461,0.0,31,0,0
5428,0.33887208,31,0,0
12670,0.6333916,31,0,0
22093,0.01537234,31,0,0
11587,0.0,31,0,0
38180,0.0,31,0,0
40251,0.0,31,0,0
17861,1.2305857,31,0,0
28539,0.3253278,31,0,0
24867,0.18674634,31,0,0
6875,0.080807865,31,0,0
23140,1.7287283,31,0,0
1069,0.0,31,0,0
2722,0.0,31,0,0
22339,0.0,31,0,0
31261,0.2120161,31,0,0
3161,0.0,31,0,0
8182,0.0,31,0,0
23222,0.0,31,0,0
31496,0.0,31,0,0
935,0.7419951,31,0,0
40616,0.59119034,31,0,0
10611,1.5368806,31,0,0
18453,0.0,31,0,0
4030,0.5302665,31,0,0
9033,0.0,31,0,0
5152,0.0,31,0,0
27082,0.03581893,31,0,0
6350,0.0,31,0,0
13920,0.04231014,31,0,0
41212,0.22322512,31,0,0
37230,0.20527692,31,0,0
15179,0.0,31,0,0
6040,0.0,31,0,0
3987,0.0,31,0,0
23826,0.49823332,31,0,0
40055,0.0,31,0,0
25770,0.0,31,0,0
11441,0.0,31,0,0
4790,0.18161875,31,0,0
5908,0.0,31,0,0
22771,0.25570044,31,0,0
14017,0.0,31,0,0
4400,0.52886957,31,0,0
30547,0.3032302,31,0,0
565,0.0,31,0,0
33525,0.35779145,31,0,0
21414,0.0,31,0,0
38806,0.0,31,0,0
29809,0.0,31,0,0
29078,0.0,31,0,0
23157,0.0,31,0,0
39113,0.036262937,31,0,0
14128,0.0,31,0,0
19878,0.89753497,31,0,0
31860,0.80936474,31,0,0
24058,0.0,31,0,0
39929,0.0,31,0,0
18149,0.0,31,0,0
6525,0.69360167,31,0,0
6163,0.0,31,0,0
27766,0.0,31,0,0
7332,0.71163386,31,0,0
15241,0.15837535,31,0,0
40794,1.3203921,31,0,0
36469,0.0,31,0,0
35802,0.29849473,31,0,0
20885,0.0,31,0,0
25242,0.48927873,31,0,0
12124,1.8716346,31,0,0
39759,0.6816279,31,0,0
286,1.9058076,31,0,0
3714,0.0,31,0,0
41151,0.0,31,0,0
35990,0.0,31,0,0
26429,0.31877843,31,0,0
40987,0.4682737,31,0,0
36858,0.0,31,0,0
33710,0.0,31,0,0
13899,0.45867467,31,0,0
13539,0.0,31,0,0
8495,0.5137069,31,0,0
1661,0.0,31,0,0
16236,0.0,31,0,0
20553,0.22967905,31,0,0
38897,0.0,31,0,0
5224,1.1774927,31,0,0
34582,0.0,31,0,0
10266,1.6817212,31,0,0
16807,1.3487021,31,0,0
34031,0.0,31,0,0
30335,0.563341,31,0,0
14161,0.20272948,31,0,0
36754,0.844023,31,0,0
979,0.5355522,31,0,0
3400,0.0,31,0,0
5567,0.0,31,0,0
41077,0.6915205,31,0,0
15968,0.0,31,0,0
14618,0.0,31,0,0
3806,1.1881647,31,0,0
10047,0.0,31,0,0
26991,0.0,31,0,0
40076,0.0,31,0,0
38648,0.0,31,0,0
20174,0.9149787,31,0,0
8403,0.18874595,31,0,0
26879,0.7561436,31,0,0
22461,0.6325474,31,0,0
15838,0.0,31,0,0
25146,1.5926232,31,0,0
2655,0.267631,31,0,0
460,0.0,31,0,0
31760,1.0371494,31,0,0
24234,0.0,31,0,0
9496,0.2997666,31,0,0
14829,0.0,31,0,0
25313,0.7960598,31,0,0
29950,0.7791899,31,0,0
31790,0.9860944,31,0,0
22342,0.35783157,31,0,0
1394,0.0,31,0,0
34514,0.0,31,0,0
9551,0.0,31,0,0
3511,0.0,31,0,0
35388,1.881141,31,0,0
6701,0.5337399,31,0,0
36512,0.0,31,0,0
38172,0.0,31,0,0
835,0.0,31,0,0
39436,0.24704367,31,0,0
36930,0.8135013,31,0,0
19058,0.43156108,31,0,0
38300,0.29056427,31,0,0
20095,0.0,31,0,0
10920,0.0,31,0,0
36838,0.5572674,31,0,0
39999,0.0,31,0,0
14585,1.4445492,31,0,0
9982,0.0,31,0,0
25253,0.0,31,0,0
28931,0.6102315,31,0,0
15582,0.0,31,0,0
4019,0.0,31,0,0
9635,0.21580584,31,0,0
34271,0.42522153,31,0,0
31249,0.90459806,31,0,0
5977,0.0,31,0,0
19774,0.2247119,31,0,0
20559,0.0,31,0,0
32587,0.21654381,31,0,0
12707,0.0,31,0,0
24343,0.8694912,31,0,0
1060,0.25088587,31,0,0
20766,0.0,31,0,0
18335,0.23400712,31,0,0
35299,0.1913135,31,0,0
32456,0.67070216,31,0,0
6286,0.0,31,0,0
27461,0.5638245,31,0,0
11365,0.0,31,0,0
22311,0.017218666,31,0,0
28478,0.0,31,0,0
38030,1.2553905,31,0,0
34101,0.0,31,0,0
35943,0.0,31,0,0
1219,0.0,31,0,0
393,1.1923748,31,0,0
10991,0.9708357,31,0,0
14250,0.0,31,0,0
38036,0.0,31,0,0
24123,0.26106593,31,0,0
20080,0.0,31,0,0
19215,1.2427436,31,0,0
840,0.009294887,31,0,0
24107,1.4899769,31,0,0
7903,0.0,31,0,0
18732,1.7907511,31,0,0
18205,1.3890107,31,0,0
19538,0.0,31,0,0
2992,0.0,31,0,0
15456,1.431035,31,0,0
11023,0.0,31,0,0
35295,0.28403232,31,0,0
27544,0.0,31,0,0
27667,0.5522257,31,0,0
9848,0.96562976,31,0,0
26113,0.004998801,31,0,0
17231,0.17081384,31,0,0
19747,1.4189819,31,0,0
13621,0.5279034,31,0,0
4587,0.3353005,31,0,0
1895,0.85876167,31,0,0
8385,0.99545157,31,0,0
21548,1.2879748,31,0,0
30692,0.0,31,0,0
24627,0.0,31,0,0
35210,0.0,31,0,0
2956,0.0,31,0,0
35256,0.0,31,0,0
28976,0.104627535,31,0,0
37822,0.094790265,31,0,0
37820,0.0,31,0,0
6067,0.0,31,0,0
15276,0.7570965,31,0,0
25792,0.9044631,31,0,0
23039,0.0,31,0,0
29401,0.08219416,31,0,0
23318,0.0,31,0,0
2420,0.0,31,0,0
23232,0.23153317,31,0,0
4807,0.25701928,31,0,0
14892,0.6476851,31,0,0
26888,0.0,31,0,0
39510,0.555983,31,0,0
25764,0.51290256,31,0,0
38454,0.0,31,0,0
14992,0.9494491,31,0,0
27060,0.4106872,31,0,0
17326,1.1600212,31,0,0
7157,0.0,31,0,0
37668,1.2737615,31,0,0
16761,0.0,31,0,0
12283,0.5823733,31,0,0
5150,0.0,31,0,0
38762,0.0,31,0,0
13112,0.0,31,0,0
29509,0.0,31,0,0
12418,0.0,31,0,0
30572,0.0,31,0,0
4833,0.1410725,31,0,0
28214,0.0,31,0,0
37576,1.2400484,31,0,0
4576,0.68647385,31,0,0
10594,0.13982062,31,0,0
35402,0.0,31,0,0
24933,0.51873535,31,0,0
31602,0.0,31,0,0
27700,0.0,31,0,0
26845,0.0,31,0,0
1532,0.0,31,0,0
15940,0.0,31,0,0
1320,0.6209226,31,0,0
37519,0.0,31,0,0
10441,2.3274033,31,0,0
33254,0.6715347,31,0,0
29215,1.3768545,31,0,0
32969,0.33657634,31,0,0
18583,0.0,31,0,0
2726,0.60315996,31,0,0
730,0.321759,31,0,0
38387,0.0,31,0,0
29826,0.0,31,0,0
8314,0.0,31,0,0
32695,0.0,31,0,0
32844,0.0,31,0,0
8692,1.9785484,31,0,0
40277,0.9087526,31,0,0
11345,0.09777015,31,0,0
11770,0.0,31,0,0
17569,0.93372375,31,0,0
190,0.055456184,31,0,0
41359,0.3243481,31,0,0
9873,0.07402985,31,0,0
16821,0.0,31,0,0
9673,0.0,31,0,0
24828,0.0,31,0,0
38490,0.05656247,31,0,0
31529,0.17337961,31,0,0
30885,0.0,31,0,0
9897,0.79833657,31,0,0
12544,0.8791274,31,0,0
37470,0.7391394,31,0,0
28813,0.103689715,31,0,0
32040,0.9565601,31,0,0
2419,0.0,31,0,0
32784,0.0,31,0,0
12080,0.0,31,0,0
29141,0.0,31,0,0
30975,1.0665728,31,0,0
33346,0.046279714,31,0,0
36039,0.0,31,0,0
27983,0.0,31,0,0
28522,1.6321101,31,0,0
11964,0.3906187,31,0,0
33283,0.0,31,0,0
23311,0.18448779,31,0,0
14013,1.1818984,31,0,0
27286,0.0,31,0,0
6131,1.7335842,31,0,0
40894,0.0,31,0,0
28356,0.86762804,31,0,0
21551,0.0,31,0,0
3650,0.5785154,31,0,0
36676,0.0,31,0,0
37123,0.78704524,31,0,0
22390,0.0,31,0,0
22497,1.0431211,31,0,0
16375,0.60388625,31,0,0
36647,0.50384027,31,0,0
2703,0.0,31,0,0
10270,1.1677128,31,0,0
20657,0.0,31,0,0
22241,0.79247886,31,0,0
24527,1.326431,31,0,0
22746,0.64573896,31,0,0
9845,0.0,31,0,0
28311,0.5360477,31,0,0
38574,0.0,31,0,0
15133,0.0,31,0,0
210,1.0455778,31,0,0
21692,0.0,31,0,0
18882,0.0,31,0,0
32577,0.0,31,0,0
9466,0.0,31,0,0
