,train_loss,test_loss,valid_loss,epoch,fold,iter
0,0.7323515,0.7198751,0.7201428,0,0,0
0,0.70696336,0.7007053,0.7003079,1,0,0
0,0.6887998,0.6833085,0.6822108,2,0,0
0,0.6710303,0.6676074,0.66581976,3,0,0
0,0.65779763,0.65347654,0.6509755,4,0,0
0,0.64372534,0.6406069,0.637339,5,0,0
0,0.63378096,0.6291089,0.6253341,6,0,0
0,0.6220657,0.6187508,0.6145901,7,0,0
0,0.61409324,0.60908043,0.6048184,8,0,0
0,0.60520273,0.6007883,0.596761,9,0,0
0,0.59435135,0.5945526,0.5907586,10,0,0
0,0.59409934,0.59005874,0.58623034,11,0,0
0,0.59232026,0.58647645,0.5823586,12,0,0
0,0.5867211,0.5831781,0.5788741,13,0,0
0,0.5825377,0.5802692,0.5759466,14,0,0
0,0.57975835,0.57741356,0.5730893,15,0,0
0,0.57275695,0.575388,0.5708608,16,0,0
0,0.57098275,0.5730029,0.5682995,17,0,0
0,0.565445,0.5707043,0.56566787,18,0,0
0,0.56449044,0.56826586,0.56283873,19,0,0
0,0.56255484,0.565972,0.56051123,20,0,0
0,0.5559488,0.56359196,0.55863017,21,0,0
0,0.55797523,0.561618,0.5571625,22,0,0
0,0.55178875,0.5598034,0.55579334,23,0,0
0,0.54831815,0.558837,0.554764,24,0,0
0,0.54849297,0.5581261,0.5532147,25,0,0
0,0.54674596,0.5574219,0.55184615,26,0,0
0,0.54226977,0.5580033,0.55163187,27,0,0
0,0.5397641,0.5580154,0.5514311,28,0,0
0,0.53974223,0.5555777,0.55078745,29,0,0
0,0.5348013,0.55670667,0.55191594,30,0,0
0,0.5316963,0.55757153,0.5531131,31,0,0
0,0.5256255,0.5548346,0.5509788,32,0,0
0,0.5261455,0.55618864,0.5507515,33,0,0
0,0.52374876,0.5592059,0.5515612,34,0,0
0,0.51938987,0.55649173,0.5492325,35,0,0
0,0.51425856,0.56014615,0.5501958,36,0,0
0,0.51278335,0.56443554,0.5532011,37,0,0
0,0.7324505,0.71992725,0.72019506,0,1,0
0,0.7081526,0.7008733,0.70057875,1,1,0
0,0.6889036,0.6834659,0.68254995,2,1,0
0,0.6723078,0.6675758,0.66601574,3,1,0
0,0.6581012,0.6531967,0.65086555,4,1,0
0,0.64262676,0.64011014,0.6370913,5,1,0
0,0.6318288,0.62878805,0.6250727,6,1,0
0,0.6240632,0.61901975,0.61472833,7,1,0
0,0.61393505,0.6107853,0.6058193,8,1,0
0,0.606091,0.60291654,0.59759516,9,1,0
0,0.60097486,0.59527373,0.58975655,10,1,0
0,0.5945187,0.58926153,0.5833566,11,1,0
0,0.5905517,0.58499324,0.5788741,12,1,0
0,0.58534783,0.58171797,0.57543504,13,1,0
0,0.58389133,0.5786912,0.5723193,14,1,0
0,0.5748865,0.57607734,0.56970996,15,1,0
0,0.57529384,0.57357347,0.5673254,16,1,0
0,0.56419563,0.570752,0.56486785,17,1,0
0,0.56711406,0.5674951,0.56220895,18,1,0
0,0.5631357,0.5639759,0.5595713,19,1,0
0,0.5607175,0.56079096,0.55734414,20,1,0
0,0.5547766,0.5578322,0.55522734,21,1,0
0,0.55419356,0.555614,0.5535537,22,1,0
0,0.55117685,0.5542029,0.5522469,23,1,0
0,0.54712826,0.5537458,0.5516448,24,1,0
0,0.5428404,0.55432546,0.55223143,25,1,0
0,0.5463334,0.55359125,0.5518347,26,1,0
0,0.5430302,0.5516688,0.5519558,27,1,0
0,0.54620016,0.5495732,0.5488891,28,1,0
0,0.5373811,0.54956555,0.54827,29,1,0
0,0.5387235,0.5494432,0.54886407,30,1,0
0,0.5313106,0.5497484,0.5480192,31,1,0
0,0.5367171,0.5488654,0.5477453,32,1,0
0,0.52914816,0.5507659,0.5477517,33,1,0
0,0.5347593,0.55158496,0.5491494,34,1,0
0,0.51996464,0.553031,0.5488995,35,1,0
0,0.5218176,0.5532255,0.5485067,36,1,0
0,0.5243042,0.5518633,0.5492805,37,1,0
0,0.7330615,0.7199255,0.7201916,0,2,0
0,0.7083793,0.70078236,0.70044136,1,2,0
0,0.6886861,0.6832712,0.6823145,2,2,0
0,0.6715874,0.66711843,0.66552913,3,2,0
0,0.65799934,0.65240806,0.65003455,4,2,0
0,0.6428353,0.6391577,0.6361966,5,2,0
0,0.6328909,0.6279303,0.6244936,6,2,0
0,0.6226955,0.6181958,0.6145422,7,2,0
0,0.614106,0.6092412,0.6049842,8,2,0
0,0.6061086,0.6013202,0.5963211,9,2,0
0,0.59908676,0.5946347,0.58935875,10,2,0
0,0.58926296,0.5892583,0.58419824,11,2,0
0,0.5863444,0.5842775,0.57954776,12,2,0
0,0.58246183,0.5795485,0.5752646,13,2,0
0,0.5794937,0.5755946,0.5717587,14,2,0
0,0.57603574,0.5723899,0.5689316,15,2,0
0,0.5675097,0.56983906,0.5664503,16,2,0
0,0.56806487,0.56701565,0.5638999,17,2,0
0,0.56108856,0.5647775,0.5614724,18,2,0
0,0.56245613,0.56237763,0.55924064,19,2,0
0,0.55805445,0.55925816,0.55717623,20,2,0
0,0.5534484,0.557882,0.5556396,21,2,0
0,0.5500974,0.55752486,0.55459815,22,2,0
0,0.54912263,0.5557334,0.5526603,23,2,0
0,0.54624933,0.5542139,0.5513019,24,2,0
0,0.54142123,0.55350924,0.5517261,25,2,0
0,0.53911537,0.55346245,0.5522408,26,2,0
0,0.5374821,0.5553356,0.5524323,27,2,0
0,0.5389828,0.55301553,0.5503387,28,2,0
0,0.53169566,0.5530713,0.5511146,29,2,0
0,0.52922034,0.55223703,0.54912394,30,2,0
0,0.5306819,0.5521933,0.54988676,31,2,0
0,0.52720505,0.5538524,0.55267346,32,2,0
0,0.5210838,0.55481666,0.55116695,33,2,0
0,0.5158568,0.5536676,0.5514893,34,2,0
0,0.5127343,0.55604255,0.5528088,35,2,0
0,0.5196448,0.5577122,0.5525438,36,2,0
0,0.7312355,0.7197593,0.72003657,0,3,0
0,0.7087789,0.70059043,0.7001701,1,3,0
0,0.6886366,0.68319577,0.6821334,2,3,0
0,0.6725492,0.6672553,0.665497,3,3,0
0,0.657026,0.6526936,0.65016985,4,3,0
0,0.64507705,0.63953805,0.636307,5,3,0
0,0.6329181,0.62794316,0.6241387,6,3,0
0,0.6231949,0.6181216,0.61388934,7,3,0
0,0.61356664,0.6092883,0.6045172,8,3,0
0,0.6056183,0.6019603,0.5967667,9,3,0
0,0.5950813,0.5957564,0.59049773,10,3,0
0,0.5956835,0.59119385,0.5858272,11,3,0
0,0.59198064,0.58739567,0.582201,12,3,0
0,0.5883076,0.583667,0.57860255,13,3,0
0,0.5805945,0.5802821,0.57521105,14,3,0
0,0.5759084,0.5764413,0.5717088,15,3,0
0,0.5725569,0.572136,0.56803524,16,3,0
0,0.5722757,0.56871295,0.5652747,17,3,0
0,0.565322,0.56654036,0.56361115,18,3,0
0,0.5654988,0.5630095,0.5613254,19,3,0
0,0.5599025,0.5595165,0.55880654,20,3,0
0,0.5551019,0.5588246,0.5574615,21,3,0
0,0.54799473,0.5564608,0.55591214,22,3,0
0,0.54993147,0.5555722,0.55492336,23,3,0
0,0.5513148,0.5530597,0.5525662,24,3,0
0,0.54646015,0.55298096,0.5525209,25,3,0
0,0.5442736,0.5540426,0.55325484,26,3,0
0,0.5366184,0.5519708,0.551377,27,3,0
0,0.5430276,0.55142844,0.5511485,28,3,0
0,0.5373067,0.5493294,0.5501406,29,3,0
0,0.5321552,0.551295,0.55134314,30,3,0
0,0.5284931,0.54872644,0.5499803,31,3,0
0,0.5263295,0.5511882,0.55057734,32,3,0
0,0.5260771,0.55043274,0.55085814,33,3,0
0,0.52827555,0.55278546,0.55186474,34,3,0
0,0.52043176,0.55656976,0.55595756,35,3,0
0,0.51508427,0.5539712,0.5511143,36,3,0
0,0.73222685,0.7199533,0.72023827,0,4,0
0,0.7078676,0.70082134,0.7004785,1,4,0
0,0.6885009,0.683137,0.6822817,2,4,0
0,0.6714509,0.6667253,0.6652196,3,4,0
0,0.65606093,0.6517326,0.64932007,4,4,0
0,0.64156747,0.638405,0.6349788,5,4,0
0,0.6336213,0.6267487,0.62253916,6,4,0
0,0.6236404,0.6166981,0.61192876,7,4,0
0,0.61415786,0.6081684,0.60320055,8,4,0
0,0.60655594,0.60111016,0.59619397,9,4,0
0,0.59866875,0.595277,0.59038854,10,4,0
0,0.59349155,0.58965915,0.58497447,11,4,0
0,0.5905389,0.5842439,0.5798987,12,4,0
0,0.5857317,0.5796478,0.5755216,13,4,0
0,0.58290225,0.57572114,0.5716478,14,4,0
0,0.5784877,0.57174224,0.5679895,15,4,0
0,0.57640976,0.56845826,0.5649216,16,4,0
0,0.5668196,0.56605595,0.5626424,17,4,0
0,0.5587154,0.5643944,0.5611567,18,4,0
0,0.5651759,0.56299084,0.5598593,19,4,0
0,0.560439,0.56024003,0.55733484,20,4,0
0,0.5538065,0.55737036,0.55483174,21,4,0
0,0.5560395,0.5548796,0.5522695,22,4,0
0,0.55716133,0.55475426,0.55172163,23,4,0
0,0.54504997,0.5552698,0.55250686,24,4,0
0,0.54761,0.55320203,0.5513751,25,4,0
0,0.5426787,0.5517054,0.55020094,26,4,0
0,0.537865,0.5516879,0.5500375,27,4,0
0,0.5360182,0.55290556,0.55156976,28,4,0
