,bottleneck_unit_0,epoch,fold,iter
17221,0.03879962,1,0,0
22253,0.0,1,0,0
41338,0.020017333,1,0,0
32995,0.093256526,1,0,0
28115,0.053179197,1,0,0
13760,0.0,1,0,0
13065,0.0,1,0,0
26562,0.08036396,1,0,0
20541,0.05372408,1,0,0
9922,0.0,1,0,0
6693,0.0,1,0,0
11291,0.0,1,0,0
8542,0.062200993,1,0,0
7531,0.08489918,1,0,0
22997,0.06448307,1,0,0
19641,0.0,1,0,0
12359,0.069419935,1,0,0
39437,0.0384946,1,0,0
27670,0.0,1,0,0
24271,0.025363112,1,0,0
40585,0.08735594,1,0,0
12802,0.029294847,1,0,0
11763,0.0,1,0,0
27600,0.004970543,1,0,0
1845,0.01293143,1,0,0
7837,0.028755957,1,0,0
32211,0.0,1,0,0
12966,0.034281086,1,0,0
36005,0.040901877,1,0,0
39752,0.052708376,1,0,0
20726,0.0,1,0,0
9818,0.053765282,1,0,0
5196,0.0,1,0,0
718,0.0,1,0,0
22912,0.0,1,0,0
11933,0.0,1,0,0
15255,0.0,1,0,0
29134,0.05150027,1,0,0
7559,0.0037260787,1,0,0
3939,0.014608295,1,0,0
23544,0.08857912,1,0,0
3333,0.0,1,0,0
1332,0.07489865,1,0,0
37916,0.0,1,0,0
34345,0.0,1,0,0
9814,0.0,1,0,0
1849,0.042383745,1,0,0
15546,0.0,1,0,0
20213,0.0,1,0,0
27429,0.018392734,1,0,0
35966,0.026945943,1,0,0
886,0.0,1,0,0
1859,0.0,1,0,0
33454,0.0,1,0,0
26438,0.0,1,0,0
23107,0.0,1,0,0
39053,0.08462961,1,0,0
38575,0.0,1,0,0
31638,0.0,1,0,0
13264,0.07266062,1,0,0
34690,0.0,1,0,0
21901,0.0,1,0,0
28021,0.11950619,1,0,0
35747,0.0,1,0,0
40237,0.0,1,0,0
33835,0.009162039,1,0,0
30598,0.0,1,0,0
35176,0.048100337,1,0,0
21706,0.0,1,0,0
6777,0.0,1,0,0
25600,0.0,1,0,0
33026,0.004000155,1,0,0
20804,0.0,1,0,0
37028,0.0,1,0,0
25460,0.0,1,0,0
23365,0.0,1,0,0
32509,0.0,1,0,0
24741,0.014740148,1,0,0
6120,0.03684524,1,0,0
1684,0.0,1,0,0
5641,0.0,1,0,0
39129,0.031643864,1,0,0
24938,0.0064850445,1,0,0
18979,0.0005437492,1,0,0
23280,0.09060846,1,0,0
4625,0.0,1,0,0
27703,0.025170555,1,0,0
19207,0.0,1,0,0
10438,0.021345684,1,0,0
14769,0.0,1,0,0
40062,0.0,1,0,0
822,0.0,1,0,0
2596,0.0,1,0,0
28449,0.001660983,1,0,0
39623,0.0,1,0,0
31664,0.0,1,0,0
41135,0.011282276,1,0,0
22827,0.0,1,0,0
20867,0.0,1,0,0
24607,0.017872652,1,0,0
19032,0.03286939,1,0,0
2044,0.0014736125,1,0,0
22711,0.053501297,1,0,0
24966,0.057096638,1,0,0
6902,0.0,1,0,0
27578,0.0,1,0,0
6566,0.014474958,1,0,0
5419,0.026263122,1,0,0
40320,0.0,1,0,0
36662,0.08250633,1,0,0
36528,0.0,1,0,0
6231,0.0,1,0,0
33681,0.013362684,1,0,0
31553,0.0,1,0,0
2205,0.0,1,0,0
21355,0.0,1,0,0
30432,0.018370941,1,0,0
40785,0.0,1,0,0
8374,0.0,1,0,0
36441,0.0,1,0,0
9177,0.033332545,1,0,0
1211,0.030340876,1,0,0
28954,0.0,1,0,0
5368,0.06486033,1,0,0
22327,0.0,1,0,0
19853,0.07816483,1,0,0
32565,0.0,1,0,0
17642,0.05700469,1,0,0
27613,0.000693732,1,0,0
39531,0.0,1,0,0
14851,0.012506375,1,0,0
17856,0.0,1,0,0
15440,0.06904823,1,0,0
31445,0.004297546,1,0,0
34369,0.03205513,1,0,0
36899,0.039695494,1,0,0
20273,0.0,1,0,0
20634,0.0,1,0,0
34769,0.0,1,0,0
13266,0.0,1,0,0
14335,0.0,1,0,0
36742,0.008191463,1,0,0
19666,0.06857185,1,0,0
39146,0.0,1,0,0
39687,0.04781206,1,0,0
7659,0.0,1,0,0
12533,0.0,1,0,0
6326,0.012061048,1,0,0
37982,0.04446122,1,0,0
35912,0.02495692,1,0,0
24249,0.018225824,1,0,0
7955,0.038005516,1,0,0
20423,0.0,1,0,0
8212,0.08858603,1,0,0
36562,0.0,1,0,0
10869,0.04973835,1,0,0
16613,0.0,1,0,0
30222,0.016437717,1,0,0
19737,0.0,1,0,0
2875,0.0047082095,1,0,0
31658,0.031445034,1,0,0
36018,0.0,1,0,0
40373,0.03764949,1,0,0
26952,0.0,1,0,0
7609,0.0,1,0,0
10952,0.06373598,1,0,0
35889,0.0,1,0,0
36332,0.04085087,1,0,0
35253,0.08021041,1,0,0
27290,0.0,1,0,0
24755,0.016777456,1,0,0
34245,0.027978783,1,0,0
6486,0.04062331,1,0,0
1444,0.075755715,1,0,0
3760,0.048922095,1,0,0
2393,0.062936775,1,0,0
37353,0.0,1,0,0
18048,0.08234498,1,0,0
25354,0.0,1,0,0
33361,0.0,1,0,0
20473,0.062162064,1,0,0
3595,0.115351826,1,0,0
17141,0.0,1,0,0
27246,0.0,1,0,0
20189,0.01205282,1,0,0
8245,0.0,1,0,0
28339,0.0,1,0,0
17261,0.08549054,1,0,0
6847,0.0113629885,1,0,0
35096,0.031944223,1,0,0
1066,0.0,1,0,0
10748,0.0,1,0,0
20413,0.0,1,0,0
8159,0.0,1,0,0
14554,0.038882945,1,0,0
14566,0.0,1,0,0
36775,0.061139785,1,0,0
20263,0.0,1,0,0
36972,0.008296543,1,0,0
28538,0.042025235,1,0,0
239,0.0148751,1,0,0
9525,0.0,1,0,0
18678,0.0,1,0,0
5812,0.0,1,0,0
38280,0.0,1,0,0
34290,0.08856623,1,0,0
37215,0.0,1,0,0
15103,0.0,1,0,0
28620,0.07008808,1,0,0
2901,0.0,1,0,0
39248,0.07233055,1,0,0
1988,0.05084367,1,0,0
17446,0.0,1,0,0
30380,0.009463151,1,0,0
13788,0.05899334,1,0,0
21145,0.0,1,0,0
17335,0.0,1,0,0
39534,0.05229033,1,0,0
21959,0.09361509,1,0,0
24882,0.061484408,1,0,0
13569,0.019802814,1,0,0
34021,0.0,1,0,0
27767,0.03276016,1,0,0
38786,0.0,1,0,0
3210,0.0794219,1,0,0
17702,0.024372337,1,0,0
30398,0.014444184,1,0,0
3019,0.0,1,0,0
39605,0.060410388,1,0,0
9822,0.04284927,1,0,0
32781,0.045581046,1,0,0
9234,0.0,1,0,0
23456,0.0,1,0,0
24258,0.0767429,1,0,0
37174,0.0061452487,1,0,0
1368,0.0053869365,1,0,0
40617,0.0,1,0,0
1184,0.0,1,0,0
6676,0.0,1,0,0
13885,0.0,1,0,0
36122,0.0,1,0,0
27886,0.043981176,1,0,0
9344,0.018831072,1,0,0
29319,0.0,1,0,0
3787,0.009428111,1,0,0
574,0.04313165,1,0,0
23028,0.057969406,1,0,0
32847,0.0,1,0,0
2423,0.051099524,1,0,0
22566,0.0,1,0,0
18930,0.08867276,1,0,0
3603,0.0,1,0,0
2476,0.026891967,1,0,0
21639,0.0,1,0,0
32422,0.06377199,1,0,0
12058,0.0,1,0,0
37141,0.04841259,1,0,0
7214,0.0,1,0,0
22948,0.001178325,1,0,0
7749,0.0,1,0,0
35969,0.0,1,0,0
39467,0.0,1,0,0
34054,0.0,1,0,0
5839,0.040394343,1,0,0
23140,0.0,1,0,0
9720,0.0,1,0,0
16332,0.0,1,0,0
14421,0.0,1,0,0
464,0.0,1,0,0
37184,0.0,1,0,0
20906,0.0,1,0,0
40600,0.0688581,1,0,0
36644,0.00087824673,1,0,0
5988,0.0,1,0,0
8182,0.06239445,1,0,0
18728,0.0055564586,1,0,0
5983,0.012214865,1,0,0
32014,0.03163419,1,0,0
5992,0.0,1,0,0
37860,0.004147714,1,0,0
7973,0.017141845,1,0,0
19029,0.0,1,0,0
20724,0.0,1,0,0
3314,0.037166398,1,0,0
107,0.0,1,0,0
1280,0.011610969,1,0,0
9033,0.0,1,0,0
