,train_loss,test_loss,valid_loss,epoch,fold,iter
0,0.7990672,0.77201563,0.7673614,0,0,0
0,0.7810852,0.7715483,0.7669758,1,0,0
0,0.77494735,0.7737882,0.76952773,2,0,0
0,0.7742071,0.7757125,0.7715826,3,0,0
0,0.7720341,0.776929,0.7728395,4,0,0
0,0.77084357,0.7761123,0.7718923,5,0,0
0,0.7676535,0.7736726,0.7693255,6,0,0
0,0.79950887,0.77190804,0.7673607,0,1,0
0,0.78237754,0.7714487,0.7668491,1,1,0
0,0.78047365,0.77376217,0.7692361,2,1,0
0,0.7722632,0.77533257,0.77080226,3,1,0
0,0.7753231,0.7759765,0.771535,4,1,0
0,0.76843923,0.77397895,0.7697281,5,1,0
0,0.7669747,0.77203643,0.76782703,6,1,0
0,0.79994315,0.77215284,0.76736164,0,2,0
0,0.78614527,0.77143276,0.7666077,1,2,0
0,0.7808938,0.7722722,0.7677518,2,2,0
0,0.77212495,0.77325976,0.7689504,3,2,0
0,0.77277035,0.77340424,0.7692675,4,2,0
0,0.7672457,0.7724268,0.7684267,5,2,0
0,0.7687457,0.7704608,0.7664819,6,2,0
0,0.76838493,0.7688944,0.7649522,7,2,0
0,0.7661481,0.76723415,0.76331604,8,2,0
0,0.76330465,0.76610345,0.76229894,9,2,0
0,0.76197076,0.76609015,0.76227075,10,2,0
0,0.7609517,0.7661469,0.7623803,11,2,0
0,0.7560282,0.76621026,0.76228374,12,2,0
0,0.7560828,0.76645905,0.7621599,13,2,0
0,0.7555936,0.7654057,0.76091325,14,2,0
0,0.752711,0.76464087,0.7607286,15,2,0
0,0.7531863,0.76527894,0.76181245,16,2,0
0,0.74958163,0.7629134,0.7596072,17,2,0
0,0.7457073,0.7629817,0.76043326,18,2,0
0,0.7446762,0.76439226,0.76249176,19,2,0
0,0.7430257,0.7619002,0.7593253,20,2,0
0,0.7370469,0.76240456,0.7596557,21,2,0
0,0.7377305,0.7652473,0.7632898,22,2,0
0,0.73157954,0.7589585,0.7570114,23,2,0
0,0.73139626,0.76474667,0.76303405,24,2,0
0,0.72836685,0.7593054,0.75719285,25,2,0
0,0.7228932,0.761762,0.7609679,26,2,0
0,0.72319555,0.7619536,0.7588758,27,2,0
0,0.72034603,0.76581657,0.7619604,28,2,0
0,0.7943697,0.7718809,0.7673604,0,3,0
0,0.778903,0.7712373,0.7668958,1,3,0
0,0.7773554,0.77300924,0.76903194,2,3,0
0,0.77130145,0.77426624,0.7703594,3,3,0
0,0.77097154,0.77484506,0.77082396,4,3,0
0,0.76802653,0.77327764,0.76890844,5,3,0
0,0.7683976,0.77213544,0.7675595,6,3,0
0,0.79325515,0.7719452,0.76736003,0,4,0
0,0.7818752,0.7712629,0.7667092,1,4,0
0,0.7770862,0.77304703,0.7685475,2,4,0
0,0.77342105,0.77490664,0.77040553,3,4,0
0,0.77218366,0.77467805,0.76995295,4,4,0
0,0.7664151,0.77379704,0.76882625,5,4,0
0,0.76566315,0.77221125,0.7669937,6,4,0
0,0.8022661,0.772015,0.7673603,0,0,1
0,0.78424144,0.7713921,0.766888,1,0,1
0,0.7771802,0.7736784,0.76973665,2,0,1
0,0.7743588,0.774613,0.7707456,3,0,1
0,0.7691744,0.7748798,0.77100015,4,0,1
0,0.77094775,0.77387303,0.76979846,5,0,1
0,0.7666833,0.7716426,0.7672748,6,0,1
0,0.7966407,0.77190655,0.7673602,0,1,1
0,0.78273267,0.7713835,0.7668825,1,1,1
0,0.7760601,0.7738934,0.7696923,2,1,1
0,0.7728353,0.7761703,0.7722103,3,1,1
0,0.77199364,0.7771027,0.7730696,4,1,1
0,0.76893926,0.7762205,0.7720601,5,1,1
0,0.77035666,0.7750463,0.77090085,6,1,1
0,0.79720694,0.7721525,0.7673603,0,2,1
0,0.78311825,0.7713745,0.7665798,1,2,1
0,0.7775719,0.77215844,0.76765615,2,2,1
0,0.7710547,0.7729122,0.76854587,3,2,1
0,0.76936525,0.77268,0.76828915,4,2,1
