,bottleneck_unit_0,epoch,fold,iter
28933,0.0,21,0,0
33099,0.23392394,21,0,0
41338,0.0,21,0,0
31253,0.954898,21,0,0
31509,0.18376863,21,0,0
28115,0.81861055,21,0,0
32415,0.0,21,0,0
26562,0.22223328,21,0,0
10024,0.0,21,0,0
8542,0.83930755,21,0,0
13771,0.6999239,21,0,0
1891,0.5867465,21,0,0
12874,0.0,21,0,0
39363,1.1319872,21,0,0
29210,0.0,21,0,0
33937,0.5945076,21,0,0
25338,0.92767143,21,0,0
40280,0.7542381,21,0,0
12359,0.6670824,21,0,0
19324,0.0,21,0,0
31215,0.6446124,21,0,0
39437,0.742948,21,0,0
41035,0.5842061,21,0,0
19805,0.7271366,21,0,0
15970,0.9040536,21,0,0
12754,0.3388002,21,0,0
12966,0.33307016,21,0,0
36005,0.8443908,21,0,0
15573,0.9119055,21,0,0
19555,1.0234196,21,0,0
27490,0.0,21,0,0
19214,0.04775928,21,0,0
4404,0.62384534,21,0,0
9818,0.91527295,21,0,0
40165,0.5730807,21,0,0
11933,0.0,21,0,0
1543,0.0,21,0,0
7559,0.0,21,0,0
20847,0.0,21,0,0
32627,0.88636494,21,0,0
23911,0.0,21,0,0
10661,0.0,21,0,0
4386,0.0,21,0,0
12012,0.0,21,0,0
3736,0.85067433,21,0,0
36362,0.6916883,21,0,0
3357,0.5149524,21,0,0
39335,0.6128956,21,0,0
15186,0.0,21,0,0
13856,0.0,21,0,0
22608,0.6802037,21,0,0
15148,0.24477538,21,0,0
35966,0.084920324,21,0,0
34820,0.82719123,21,0,0
11316,0.0,21,0,0
39594,0.0,21,0,0
35085,0.0,21,0,0
27495,0.6230877,21,0,0
34792,1.0746112,21,0,0
30175,0.0,21,0,0
40310,0.88251406,21,0,0
31251,0.0,21,0,0
39053,0.8641128,21,0,0
2881,0.0,21,0,0
30250,0.04863954,21,0,0
19350,0.8152408,21,0,0
40570,0.20407206,21,0,0
1412,0.7486345,21,0,0
24806,0.6264838,21,0,0
22935,0.0,21,0,0
14070,0.9443398,21,0,0
35747,0.2857866,21,0,0
40237,0.493981,21,0,0
18553,0.9426404,21,0,0
3208,0.0,21,0,0
30598,0.0,21,0,0
23375,0.71708226,21,0,0
32435,0.0,21,0,0
14005,0.024307743,21,0,0
6777,0.0,21,0,0
30804,0.0,21,0,0
10464,0.0,21,0,0
37028,0.0,21,0,0
17085,0.84741455,21,0,0
32509,0.0,21,0,0
18263,1.2949154,21,0,0
11979,0.8856003,21,0,0
25365,0.0,21,0,0
21933,0.6945223,21,0,0
39129,0.7795352,21,0,0
38326,0.2674706,21,0,0
2588,0.7692335,21,0,0
37712,0.9791408,21,0,0
410,0.0,21,0,0
5996,0.03433299,21,0,0
31928,0.6598958,21,0,0
28408,0.0,21,0,0
20942,0.5598388,21,0,0
18460,0.37088192,21,0,0
11,0.8860012,21,0,0
8198,0.0,21,0,0
12676,0.7248508,21,0,0
25951,0.5412845,21,0,0
822,0.0,21,0,0
37783,0.8570467,21,0,0
41135,0.6406752,21,0,0
20957,0.64538854,21,0,0
28498,0.87195665,21,0,0
8041,0.0,21,0,0
6532,0.83812475,21,0,0
8277,0.42613852,21,0,0
4747,0.12861565,21,0,0
12177,0.0,21,0,0
8361,1.2667148,21,0,0
24966,0.8558744,21,0,0
3215,0.0,21,0,0
6902,0.07219367,21,0,0
22360,0.9679786,21,0,0
34935,0.0,21,0,0
36976,0.0,21,0,0
39857,0.0,21,0,0
39247,0.0,21,0,0
27139,0.0,21,0,0
18706,0.0,21,0,0
5753,0.0,21,0,0
16172,0.7683172,21,0,0
28401,0.0,21,0,0
7548,0.61954415,21,0,0
37200,0.13514681,21,0,0
10338,0.0,21,0,0
33681,0.0,21,0,0
8376,0.0,21,0,0
9599,1.0482266,21,0,0
9177,0.9554091,21,0,0
23972,0.9933557,21,0,0
18987,0.0,21,0,0
1384,0.0,21,0,0
4953,0.0,21,0,0
14280,0.0,21,0,0
10334,0.70349175,21,0,0
5368,0.70640576,21,0,0
39895,0.0,21,0,0
17642,0.76331866,21,0,0
13838,0.99179006,21,0,0
27613,0.0,21,0,0
39531,0.894051,21,0,0
6916,0.0,21,0,0
17856,0.0,21,0,0
30589,0.6398696,21,0,0
15440,0.9558665,21,0,0
11989,0.0,21,0,0
36899,0.88135636,21,0,0
3131,0.0,21,0,0
38494,0.0,21,0,0
2502,0.0,21,0,0
13266,0.44528994,21,0,0
19936,0.2787454,21,0,0
21338,0.7418492,21,0,0
4328,0.57761335,21,0,0
12533,0.31468984,21,0,0
6326,0.0,21,0,0
37781,0.5959495,21,0,0
17603,0.0,21,0,0
31846,0.0,21,0,0
22100,0.0,21,0,0
24658,0.5470046,21,0,0
6953,0.0,21,0,0
39996,0.40468964,21,0,0
21708,0.53491646,21,0,0
35912,0.0,21,0,0
761,0.0,21,0,0
38125,0.69746494,21,0,0
25673,0.42528766,21,0,0
40174,0.7073468,21,0,0
35530,0.8134842,21,0,0
35554,0.0,21,0,0
16309,0.0,21,0,0
29786,0.651824,21,0,0
17377,0.0,21,0,0
29972,0.0,21,0,0
31523,0.0,21,0,0
22808,0.6328006,21,0,0
10952,0.0,21,0,0
35889,0.15075357,21,0,0
38861,0.0,21,0,0
15085,0.0,21,0,0
14590,1.2408041,21,0,0
6011,0.47057685,21,0,0
4045,0.0,21,0,0
1253,0.0,21,0,0
5555,0.52459586,21,0,0
41266,0.0,21,0,0
5514,0.33928543,21,0,0
8081,0.0,21,0,0
37353,0.0,21,0,0
32177,0.9192006,21,0,0
28642,0.4892636,21,0,0
33361,0.0,21,0,0
13589,0.8717939,21,0,0
14537,0.88513315,21,0,0
1200,0.0,21,0,0
14806,0.96801955,21,0,0
20373,1.0537775,21,0,0
34087,1.0133017,21,0,0
30433,0.0,21,0,0
13976,1.0244027,21,0,0
30642,0.0,21,0,0
40861,0.0,21,0,0
11952,0.0,21,0,0
13174,0.0,21,0,0
32045,0.4134603,21,0,0
14554,0.77312666,21,0,0
36775,0.83998185,21,0,0
15249,0.631933,21,0,0
239,0.64696985,21,0,0
39702,0.0,21,0,0
18270,0.6193294,21,0,0
5812,0.0,21,0,0
39592,0.8353863,21,0,0
26411,0.0,21,0,0
1988,0.0,21,0,0
30380,0.71264595,21,0,0
33762,0.8396574,21,0,0
39534,0.6296894,21,0,0
38186,0.679079,21,0,0
34021,0.65127474,21,0,0
3210,0.8281824,21,0,0
17702,0.9485237,21,0,0
39844,0.55597353,21,0,0
5260,0.0,21,0,0
14092,0.62053007,21,0,0
33196,0.22733603,21,0,0
26492,1.0484675,21,0,0
9822,0.0,21,0,0
22655,0.74285734,21,0,0
9234,0.8796774,21,0,0
14832,0.80760455,21,0,0
23160,0.42853135,21,0,0
3654,0.0,21,0,0
28770,0.0,21,0,0
1225,0.04363798,21,0,0
15024,0.33318925,21,0,0
32631,0.0,21,0,0
28445,0.7711909,21,0,0
8610,0.64381856,21,0,0
25541,0.8713495,21,0,0
6676,0.0,21,0,0
38686,0.81413597,21,0,0
16818,0.0,21,0,0
29302,0.0,21,0,0
31575,0.9564004,21,0,0
36874,0.4613019,21,0,0
29319,0.0,21,0,0
3787,1.2797884,21,0,0
34785,0.0,21,0,0
37754,1.3810474,21,0,0
16212,0.22309625,21,0,0
12868,0.94367623,21,0,0
10117,0.026567705,21,0,0
2423,0.6511192,21,0,0
1948,0.753784,21,0,0
3603,0.0,21,0,0
35001,1.2433299,21,0,0
12058,0.0,21,0,0
10673,0.26570126,21,0,0
20791,0.8831436,21,0,0
35492,0.0,21,0,0
38717,0.0,21,0,0
35969,0.7017266,21,0,0
40991,0.9534818,21,0,0
22118,0.67398834,21,0,0
7279,0.74386036,21,0,0
5653,0.9344893,21,0,0
8103,0.6571572,21,0,0
26339,0.0,21,0,0
17861,0.0,21,0,0
30430,0.83508235,21,0,0
9720,0.6664123,21,0,0
31261,0.0,21,0,0
30238,0.0,21,0,0
34329,0.8785698,21,0,0
40600,0.6925017,21,0,0
39722,0.95307904,21,0,0
3770,0.8917888,21,0,0
23222,0.0,21,0,0
5992,0.6716664,21,0,0
19990,0.0,21,0,0
26790,0.0,21,0,0
26072,0.33673412,21,0,0
32929,0.0,21,0,0
6477,0.8706461,21,0,0
40235,0.8522084,21,0,0
24557,0.62517977,21,0,0
31662,0.0,21,0,0
4030,0.12530339,21,0,0
1280,1.3821715,21,0,0
522,1.1639248,21,0,0
19141,0.0,21,0,0
3874,0.87871945,21,0,0
37248,1.2120612,21,0,0
6940,1.0256824,21,0,0
11012,0.0,21,0,0
15179,0.17844158,21,0,0
40055,0.0,21,0,0
11800,0.21584028,21,0,0
26366,0.76499504,21,0,0
4790,0.8426234,21,0,0
13555,0.0,21,0,0
40377,0.3019774,21,0,0
32756,0.8869819,21,0,0
37849,0.5410743,21,0,0
18142,0.63874745,21,0,0
6473,0.28009015,21,0,0
36865,0.94658506,21,0,0
36205,0.6506084,21,0,0
15444,0.6596609,21,0,0
17720,0.0,21,0,0
38806,0.7951126,21,0,0
41081,0.7034075,21,0,0
29809,0.52103776,21,0,0
9769,0.16904573,21,0,0
10038,0.7924396,21,0,0
18773,0.13562028,21,0,0
22304,0.73002124,21,0,0
37400,0.0,21,0,0
36866,0.23614971,21,0,0
39929,0.5533938,21,0,0
29840,0.7056093,21,0,0
12318,0.0,21,0,0
32178,0.4567187,21,0,0
30734,0.0,21,0,0
2167,0.0,21,0,0
17889,0.59494203,21,0,0
13827,0.0,21,0,0
24863,0.4528959,21,0,0
2883,0.8538086,21,0,0
17304,0.80952245,21,0,0
8047,0.70655274,21,0,0
8856,0.055627722,21,0,0
39991,0.23511921,21,0,0
19431,0.0,21,0,0
9804,0.0,21,0,0
33071,0.9398127,21,0,0
23680,0.4713606,21,0,0
31543,0.7980959,21,0,0
25242,0.0,21,0,0
13551,0.0,21,0,0
27408,0.9716656,21,0,0
25797,0.6751251,21,0,0
29756,0.0,21,0,0
7449,0.6123842,21,0,0
12700,0.0,21,0,0
3714,0.8264401,21,0,0
25006,1.0724434,21,0,0
35990,0.0,21,0,0
32746,0.0,21,0,0
4276,0.0,21,0,0
26429,0.0,21,0,0
35586,0.0,21,0,0
5811,0.0,21,0,0
33964,0.14092934,21,0,0
9619,0.0995779,21,0,0
40518,0.0,21,0,0
33710,0.72088563,21,0,0
28798,0.76657665,21,0,0
13539,0.38351652,21,0,0
30927,1.1739588,21,0,0
30046,1.0427924,21,0,0
1661,0.2632977,21,0,0
4264,0.9448374,21,0,0
14027,0.0,21,0,0
16305,0.0,21,0,0
22676,0.09982014,21,0,0
11888,0.6254425,21,0,0
41214,0.0,21,0,0
18020,0.92469364,21,0,0
33120,0.06206411,21,0,0
2070,0.49885377,21,0,0
28622,0.91670096,21,0,0
36754,0.0,21,0,0
15526,1.2159089,21,0,0
15453,1.1020949,21,0,0
34991,0.8626277,21,0,0
5567,0.9156118,21,0,0
15968,1.1366451,21,0,0
14618,0.97946364,21,0,0
3806,0.0,21,0,0
14199,0.0,21,0,0
35729,0.78360146,21,0,0
6132,1.2022771,21,0,0
13961,0.172123,21,0,0
8403,0.63894325,21,0,0
21773,0.57560134,21,0,0
35917,0.0,21,0,0
36504,0.7664055,21,0,0
36297,0.64921975,21,0,0
25146,0.0,21,0,0
11178,0.0,21,0,0
28580,0.70860606,21,0,0
