,train_loss,test_loss,valid_loss,epoch,fold,iter
0,0.6850684,0.70520437,0.7055237,0,0,0
0,0.6515245,0.6980434,0.6978422,1,0,0
0,0.62763184,0.69252384,0.69187385,2,0,0
0,0.6041758,0.68469334,0.68378085,3,0,0
0,0.589339,0.6719821,0.6708378,4,0,0
0,0.5791803,0.6581636,0.65628785,5,0,0
0,0.56760013,0.644278,0.6416951,6,0,0
0,0.56268543,0.6299667,0.62683177,7,0,0
0,0.5555498,0.6154831,0.6119847,8,0,0
0,0.555428,0.6026935,0.5986276,9,0,0
0,0.55107814,0.59206414,0.58767647,10,0,0
0,0.54833657,0.58260494,0.5790407,11,0,0
0,0.54710096,0.5761569,0.57225716,12,0,0
0,0.5442562,0.56941235,0.5655938,13,0,0
0,0.5401824,0.5654288,0.5610272,14,0,0
0,0.53809124,0.56279624,0.5575463,15,0,0
0,0.5404369,0.560685,0.5550011,16,0,0
0,0.5373141,0.55786043,0.55294335,17,0,0
0,0.53357404,0.5571969,0.5520299,18,0,0
0,0.5327563,0.55761075,0.5515178,19,0,0
0,0.53291994,0.5564905,0.55024517,20,0,0
0,0.52550066,0.5555608,0.5517367,21,0,0
0,0.52583784,0.5560026,0.55188733,22,0,0
0,0.52117926,0.55895823,0.5556702,23,0,0
0,0.51539373,0.562119,0.5582871,24,0,0
0,0.5179793,0.5653932,0.56152385,25,0,0
0,0.51465636,0.5686319,0.56642514,26,0,0
0,0.6851511,0.7035741,0.7039015,0,1,0
0,0.6554742,0.6977148,0.69755834,1,1,0
0,0.63345987,0.6941124,0.69353175,2,1,0
0,0.6119445,0.6856214,0.68473065,3,1,0
0,0.5937271,0.6731326,0.67197484,4,1,0
0,0.5774375,0.6584197,0.6568683,5,1,0
0,0.5706567,0.64204776,0.63990617,6,1,0
0,0.55880564,0.6256837,0.62321484,7,1,0
0,0.55741215,0.61153626,0.60867274,8,1,0
0,0.5538905,0.5978286,0.5948751,9,1,0
0,0.5484112,0.5860775,0.58293015,10,1,0
0,0.54749054,0.5781259,0.57428044,11,1,0
0,0.5421159,0.57077456,0.5658755,12,1,0
0,0.5380705,0.5633748,0.5591071,13,1,0
0,0.53951293,0.5608787,0.5554844,14,1,0
0,0.5395952,0.56016046,0.5538475,15,1,0
0,0.53943354,0.55775076,0.55289894,16,1,0
0,0.53675747,0.5554167,0.5504121,17,1,0
0,0.53626776,0.5553262,0.5493054,18,1,0
0,0.5335311,0.5552132,0.54906654,19,1,0
0,0.53854996,0.5534275,0.5501418,20,1,0
0,0.5356459,0.5522506,0.5506487,21,1,0
0,0.529715,0.5536355,0.5514343,22,1,0
0,0.5221147,0.576808,0.57285374,23,1,0
0,0.5316271,0.56891114,0.5688087,24,1,0
0,0.5225735,0.555646,0.55825007,25,1,0
0,0.51683646,0.55837274,0.5542209,26,1,0
0,0.68395275,0.70428675,0.7046027,0,2,0
0,0.65426254,0.6971671,0.6970519,1,2,0
0,0.6301195,0.69303983,0.69245267,2,2,0
0,0.60967875,0.68641156,0.6854109,3,2,0
0,0.5934216,0.6755274,0.67418265,4,2,0
0,0.57712203,0.66142046,0.6599799,5,2,0
0,0.5699919,0.64459527,0.64306074,6,2,0
0,0.5606541,0.62877065,0.62707824,7,2,0
0,0.5612561,0.614414,0.61257076,8,2,0
0,0.5539053,0.60164654,0.5994642,9,2,0
0,0.54100156,0.58944017,0.5878804,10,2,0
0,0.54739094,0.5809385,0.5793063,11,2,0
0,0.54089665,0.57300335,0.57062876,12,2,0
0,0.5409104,0.56555694,0.5630807,13,2,0
0,0.53916806,0.5620361,0.5594998,14,2,0
0,0.53362805,0.55742043,0.5567402,15,2,0
0,0.53536415,0.553821,0.5520351,16,2,0
0,0.53002495,0.55130816,0.5495396,17,2,0
0,0.52736664,0.5511363,0.5503065,18,2,0
0,0.52776325,0.55161285,0.55317914,19,2,0
0,0.52403075,0.5518867,0.55535656,20,2,0
0,0.51961297,0.5533625,0.55603486,21,2,0
0,0.51824254,0.5570089,0.55713964,22,2,0
0,0.52124625,0.5562734,0.5581164,23,2,0
0,0.68271905,0.70500445,0.70531046,0,3,0
0,0.6523144,0.69775105,0.69761467,1,3,0
0,0.6269957,0.6928203,0.6922692,2,3,0
0,0.608155,0.6851649,0.684259,3,3,0
0,0.5888651,0.6735883,0.6723688,4,3,0
0,0.57535285,0.66035527,0.6587048,5,3,0
0,0.56353164,0.64575565,0.64364487,6,3,0
0,0.5617406,0.630268,0.6275987,7,3,0
0,0.5540891,0.6158513,0.6127312,8,3,0
0,0.5548954,0.6032919,0.5999951,9,3,0
0,0.5479586,0.5933907,0.5894373,10,3,0
0,0.54322577,0.585481,0.5809099,11,3,0
0,0.542731,0.57763577,0.5733036,12,3,0
0,0.5363818,0.5706996,0.5663567,13,3,0
0,0.53637516,0.56476885,0.5615542,14,3,0
0,0.53639364,0.562326,0.5582222,15,3,0
0,0.5291719,0.56136113,0.5572644,16,3,0
0,0.53351027,0.5621754,0.557073,17,3,0
0,0.5233915,0.5600865,0.55430084,18,3,0
0,0.52619153,0.5633862,0.55585486,19,3,0
0,0.5224703,0.563829,0.55609035,20,3,0
0,0.5206122,0.5674545,0.55669963,21,3,0
0,0.51300603,0.57672745,0.56699747,22,3,0
0,0.5105471,0.582764,0.56994414,23,3,0
0,0.6902819,0.7016596,0.702022,0,4,0
0,0.66088843,0.69530195,0.6952146,1,4,0
0,0.6353485,0.6915833,0.691028,2,4,0
0,0.61184293,0.68569815,0.6847005,3,4,0
0,0.59797627,0.6749136,0.67340416,4,4,0
0,0.58546764,0.661665,0.6595938,5,4,0
0,0.5710277,0.64647543,0.6439121,6,4,0
0,0.5714836,0.6305836,0.62773323,7,4,0
0,0.5624034,0.6155274,0.612428,8,4,0
0,0.55585647,0.6034809,0.5996103,9,4,0
0,0.551112,0.59335756,0.5887737,10,4,0
0,0.54874676,0.584683,0.5783408,11,4,0
0,0.54320526,0.57579,0.56993747,12,4,0
0,0.54465467,0.5691429,0.5630804,13,4,0
0,0.5398991,0.5639779,0.5581448,14,4,0
0,0.53487086,0.56062055,0.55429494,15,4,0
