,bottleneck_unit_0,epoch,fold,iter
33806,0.17888288,26,0,0
4879,0.54390436,26,0,0
32415,0.0,26,0,0
22396,0.86693376,26,0,0
5709,0.3611258,26,0,0
27903,0.3280589,26,0,0
6938,0.0,26,0,0
13065,0.2547823,26,0,0
23939,0.0,26,0,0
10024,0.0,26,0,0
16428,0.0,26,0,0
14561,0.0,26,0,0
16111,0.012284859,26,0,0
29111,1.6392738,26,0,0
8542,0.1039071,26,0,0
21806,0.0,26,0,0
33937,0.4811394,26,0,0
2166,0.0,26,0,0
11941,0.53874797,26,0,0
38653,0.0,26,0,0
16651,0.3964268,26,0,0
24432,0.13764618,26,0,0
11763,0.6458847,26,0,0
33302,1.5794504,26,0,0
14232,1.0867671,26,0,0
1845,0.0,26,0,0
32211,0.59799075,26,0,0
22870,0.0,26,0,0
30448,0.0,26,0,0
30357,0.0,26,0,0
12966,0.10299609,26,0,0
27490,0.0,26,0,0
8515,0.12556784,26,0,0
367,0.0,26,0,0
554,0.28694195,26,0,0
22912,0.0,26,0,0
11933,0.0,26,0,0
1543,0.0,26,0,0
40270,0.7673461,26,0,0
32627,1.2465779,26,0,0
10153,0.5662433,26,0,0
15868,0.0,26,0,0
28948,0.5966269,26,0,0
39335,1.3539648,26,0,0
15186,0.0,26,0,0
22654,0.0,26,0,0
35980,0.0,26,0,0
13856,0.1394749,26,0,0
22608,0.5500732,26,0,0
29651,0.210208,26,0,0
27245,0.0,26,0,0
30846,0.42866746,26,0,0
27199,0.0,26,0,0
35400,0.0,26,0,0
17419,0.30682302,26,0,0
18736,0.0,26,0,0
29583,0.48196694,26,0,0
26438,0.0,26,0,0
40310,1.1516182,26,0,0
9330,0.08245841,26,0,0
26651,0.0,26,0,0
38575,0.6012341,26,0,0
2881,0.0,26,0,0
32311,0.50867885,26,0,0
40570,0.0,26,0,0
2324,0.0,26,0,0
13077,0.41158074,26,0,0
33653,0.0,26,0,0
40316,0.978893,26,0,0
40237,1.5434878,26,0,0
9665,0.0,26,0,0
30461,0.0,26,0,0
32435,0.0,26,0,0
21892,0.38632503,26,0,0
40395,0.39721453,26,0,0
36300,0.22371075,26,0,0
3343,0.2999007,26,0,0
14299,0.09859356,26,0,0
19909,0.0,26,0,0
5424,0.0,26,0,0
32486,0.0,26,0,0
38478,1.6006749,26,0,0
32509,0.014622354,26,0,0
24741,0.0,26,0,0
30606,0.0,26,0,0
20602,0.0,26,0,0
38691,0.18133484,26,0,0
25365,0.0,26,0,0
24119,0.42271453,26,0,0
26020,0.0,26,0,0
35444,0.0,26,0,0
4625,0.0,26,0,0
12150,0.0,26,0,0
29236,0.0,26,0,0
5230,0.59541833,26,0,0
24348,1.19136,26,0,0
24390,0.0,26,0,0
9617,1.723445,26,0,0
22827,1.2878771,26,0,0
33116,0.8476453,26,0,0
19758,0.0,26,0,0
24136,0.28254005,26,0,0
21608,0.08828373,26,0,0
20867,0.5710926,26,0,0
8041,0.0,26,0,0
5701,0.2055216,26,0,0
2425,0.0,26,0,0
17771,0.4407943,26,0,0
27476,0.37493178,26,0,0
10599,0.058023244,26,0,0
39857,0.0,26,0,0
27139,0.0,26,0,0
34936,0.41761076,26,0,0
18706,0.0,26,0,0
3060,0.0,26,0,0
32722,0.0,26,0,0
33681,0.0,26,0,0
10239,0.0,26,0,0
28019,0.71385056,26,0,0
35740,0.6822676,26,0,0
914,0.0,26,0,0
30432,0.27638856,26,0,0
182,1.4007089,26,0,0
30197,0.4185226,26,0,0
39270,0.10416444,26,0,0
737,1.203268,26,0,0
34517,0.3312012,26,0,0
35053,0.0,26,0,0
18987,0.0,26,0,0
9861,0.0,26,0,0
14280,0.0,26,0,0
10334,0.32387033,26,0,0
22327,0.0,26,0,0
13838,0.67206067,26,0,0
14768,0.0,26,0,0
36368,0.0,26,0,0
14851,0.77259386,26,0,0
8251,0.65071124,26,0,0
1649,0.3915055,26,0,0
31445,0.0,26,0,0
29413,0.0,26,0,0
19570,0.30663365,26,0,0
34763,1.418377,26,0,0
33448,0.16639324,26,0,0
22575,0.0,26,0,0
3302,0.9342186,26,0,0
18856,0.0,26,0,0
26964,0.0,26,0,0
32117,0.0,26,0,0
19666,0.8325869,26,0,0
13222,0.12897238,26,0,0
37669,0.7384497,26,0,0
26997,0.0,26,0,0
22100,0.59399,26,0,0
6158,0.60588336,26,0,0
3266,1.7538842,26,0,0
32174,0.9288111,26,0,0
38113,0.4540546,26,0,0
16613,0.0,26,0,0
32949,0.77577525,26,0,0
20043,0.0,26,0,0
18138,0.8775911,26,0,0
29786,0.6787767,26,0,0
18214,0.20300816,26,0,0
15652,0.47699088,26,0,0
31523,0.4765999,26,0,0
7609,1.7103993,26,0,0
35889,0.112450175,26,0,0
34661,0.0371742,26,0,0
20769,0.0,26,0,0
36124,0.8679285,26,0,0
4531,0.15114613,26,0,0
27898,1.2148004,26,0,0
6486,0.98212975,26,0,0
2393,0.0,26,0,0
8081,0.0,26,0,0
16785,1.0348684,26,0,0
32177,0.7241673,26,0,0
28642,0.68685836,26,0,0
34450,0.28604266,26,0,0
27246,0.9847493,26,0,0
2667,0.6059476,26,0,0
11963,0.008628688,26,0,0
32855,0.0,26,0,0
1198,0.0,26,0,0
930,0.89874506,26,0,0
18282,0.17459539,26,0,0
11568,1.0723748,26,0,0
14806,1.240408,26,0,0
16767,1.0404466,26,0,0
16470,0.0,26,0,0
13187,0.5468,26,0,0
11652,0.0,26,0,0
11952,0.25586894,26,0,0
20413,0.0,26,0,0
27200,0.5409532,26,0,0
26749,0.0,26,0,0
28477,0.0,26,0,0
28538,0.261452,26,0,0
24991,0.0,26,0,0
26289,1.2636952,26,0,0
33261,0.45859042,26,0,0
11556,0.5581128,26,0,0
33368,0.021862699,26,0,0
37276,0.0,26,0,0
34171,0.0,26,0,0
17849,0.0,26,0,0
23912,0.5775389,26,0,0
39248,0.7264645,26,0,0
30380,0.434249,26,0,0
33081,0.25564513,26,0,0
3944,0.0,26,0,0
10391,1.1268263,26,0,0
38786,0.0,26,0,0
20346,0.0,26,0,0
33736,0.0,26,0,0
5260,0.13971469,26,0,0
39605,0.48882475,26,0,0
20917,0.0,26,0,0
32781,0.072159186,26,0,0
21416,0.5790295,26,0,0
21807,0.0,26,0,0
1313,0.44933832,26,0,0
38967,0.0,26,0,0
20656,0.6965116,26,0,0
15024,0.0,26,0,0
37363,0.0,26,0,0
20161,0.0,26,0,0
15695,0.0,26,0,0
6676,0.0,26,0,0
38686,0.6553055,26,0,0
9749,0.0,26,0,0
10685,1.7132359,26,0,0
2489,0.0,26,0,0
16818,0.0,26,0,0
13885,1.2565385,26,0,0
13889,0.0,26,0,0
2054,0.14206806,26,0,0
36122,0.5262081,26,0,0
36874,0.40077996,26,0,0
29319,0.0,26,0,0
23028,1.1287957,26,0,0
19918,1.1246208,26,0,0
34261,0.75867283,26,0,0
4798,1.1628597,26,0,0
1864,0.083187334,26,0,0
10117,0.0,26,0,0
22566,0.0,26,0,0
8978,0.0,26,0,0
1551,0.0,26,0,0
40598,0.12534744,26,0,0
16783,0.0,26,0,0
3603,0.0,26,0,0
35001,0.5243306,26,0,0
12058,0.59469557,26,0,0
9455,0.511017,26,0,0
35776,0.0,26,0,0
1157,0.30707884,26,0,0
22216,0.4941603,26,0,0
37141,0.0,26,0,0
7749,0.849635,26,0,0
22207,0.54756165,26,0,0
19898,0.0,26,0,0
36581,1.0482684,26,0,0
5428,1.2675469,26,0,0
35145,0.0,26,0,0
5839,0.074351124,26,0,0
11587,1.1541764,26,0,0
38180,0.22956072,26,0,0
22601,0.1755268,26,0,0
34336,0.0,26,0,0
35858,0.0,26,0,0
9720,0.23831843,26,0,0
5631,1.0847822,26,0,0
3161,0.381007,26,0,0
39722,0.9830001,26,0,0
23222,0.2067921,26,0,0
19990,0.0,26,0,0
26072,0.3018755,26,0,0
935,0.0,26,0,0
20724,0.0,26,0,0
