,train_loss,test_loss,valid_loss,epoch,fold,iter
0,0.6413192,0.6275829,0.627032,0,0,0
0,0.623661,0.6144724,0.6135449,1,0,0
0,0.6074358,0.6025601,0.60138947,2,0,0
0,0.59512985,0.5923577,0.5909893,3,0,0
0,0.58616096,0.58385694,0.5822473,4,0,0
0,0.580414,0.57714015,0.57539886,5,0,0
0,0.5770847,0.571602,0.56964636,6,0,0
0,0.56787896,0.5666631,0.5646368,7,0,0
0,0.5606518,0.5620651,0.5600947,8,0,0
0,0.55940086,0.5576651,0.5558929,9,0,0
0,0.5571595,0.55376565,0.5522712,10,0,0
0,0.5508763,0.5503969,0.5493,11,0,0
0,0.5481043,0.5475751,0.5468889,12,0,0
0,0.55244714,0.54522216,0.54475987,13,0,0
0,0.5396605,0.54307574,0.54290783,14,0,0
0,0.53893185,0.5417069,0.54136384,15,0,0
0,0.5357717,0.54100037,0.5403659,16,0,0
0,0.5328254,0.54009295,0.53936356,17,0,0
0,0.530457,0.5387062,0.5382404,18,0,0
0,0.5327857,0.53779167,0.5375025,19,0,0
0,0.523911,0.5367602,0.53708994,20,0,0
0,0.5258732,0.53632706,0.5373063,21,0,0
0,0.5240121,0.53578305,0.5368162,22,0,0
0,0.53129095,0.53526783,0.5365947,23,0,0
0,0.5214551,0.53647906,0.53696775,24,0,0
0,0.51907945,0.5341339,0.53679407,25,0,0
0,0.5167716,0.5336455,0.5369152,26,0,0
0,0.517013,0.53378385,0.5367026,27,0,0
0,0.5111539,0.53385544,0.53689927,28,0,0
0,0.5082889,0.5340426,0.53715914,29,0,0
0,0.50866824,0.5342135,0.53767645,30,0,0
0,0.5080839,0.53441966,0.5382631,31,0,0
0,0.6436948,0.627451,0.6269388,0,1,0
0,0.62424487,0.6138663,0.61305153,1,1,0
0,0.60795397,0.6017703,0.60061955,2,1,0
0,0.595516,0.5916577,0.590267,3,1,0
0,0.58740115,0.5832761,0.58170676,4,1,0
0,0.58060974,0.5763469,0.5745678,5,1,0
0,0.57148784,0.57051563,0.56841207,6,1,0
0,0.5655728,0.5653966,0.56315094,7,1,0
0,0.56191474,0.56086546,0.558712,8,1,0
0,0.5578454,0.5568868,0.5546708,9,1,0
0,0.55232304,0.55347794,0.5510317,10,1,0
0,0.54621917,0.55059665,0.54814976,11,1,0
0,0.5438575,0.54844874,0.54594123,12,1,0
0,0.53958553,0.5463905,0.5439498,13,1,0
0,0.53921646,0.5445888,0.5426664,14,1,0
0,0.5380905,0.5443258,0.54168034,15,1,0
0,0.53337735,0.54174227,0.5393811,16,1,0
0,0.5281161,0.5406478,0.5379626,17,1,0
0,0.5277768,0.5419637,0.53789115,18,1,0
0,0.5283601,0.5408701,0.53764385,19,1,0
0,0.52316517,0.53987867,0.53722584,20,1,0
0,0.5193147,0.5399053,0.53811514,21,1,0
0,0.51737255,0.5417101,0.53854805,22,1,0
0,0.5138939,0.5414096,0.53845537,23,1,0
0,0.51658016,0.5397033,0.5374535,24,1,0
0,0.5116205,0.5397748,0.5373675,25,1,0
0,0.5102685,0.5403273,0.53746754,26,1,0
0,0.5024329,0.5415812,0.53851235,27,1,0
0,0.50362986,0.54267395,0.53969973,28,1,0
0,0.50990963,0.54320705,0.54024,29,1,0
0,0.64215523,0.6267006,0.62631613,0,2,0
0,0.62141454,0.6134296,0.61266583,1,2,0
0,0.6093621,0.6016763,0.60050344,2,2,0
0,0.59863037,0.5918469,0.5903676,3,2,0
0,0.58446515,0.583737,0.582141,4,2,0
0,0.5766491,0.5769362,0.5753395,5,2,0
0,0.57312655,0.5712527,0.56948465,6,2,0
0,0.56790453,0.5662078,0.5643975,7,2,0
0,0.56144625,0.56152916,0.5596816,8,2,0
0,0.56013703,0.55736786,0.5557123,9,2,0
0,0.55724674,0.55343795,0.55207443,10,2,0
0,0.55211663,0.5499678,0.54890347,11,2,0
0,0.54580116,0.54736716,0.54635274,12,2,0
0,0.54032433,0.5458875,0.544507,13,2,0
0,0.53776723,0.5447253,0.54296035,14,2,0
0,0.542274,0.5432945,0.5417113,15,2,0
0,0.53546745,0.54095614,0.5402653,16,2,0
0,0.5332741,0.53844655,0.5386591,17,2,0
0,0.5299825,0.53750956,0.53776276,18,2,0
0,0.528198,0.5375169,0.538287,19,2,0
0,0.5184266,0.5370584,0.5384589,20,2,0
0,0.527965,0.5360931,0.53744155,21,2,0
0,0.5224785,0.53555745,0.53631663,22,2,0
0,0.5167347,0.53449565,0.53641385,23,2,0
0,0.51416224,0.5353823,0.5372938,24,2,0
0,0.51321024,0.53635836,0.53805166,25,2,0
0,0.5066578,0.53750646,0.5396122,26,2,0
0,0.5064042,0.53682584,0.5393229,27,2,0
0,0.5049476,0.536576,0.53900135,28,2,0
0,0.64134216,0.6269927,0.62661916,0,3,0
0,0.62337106,0.614145,0.6134168,1,3,0
0,0.60823876,0.60227257,0.6011585,2,3,0
0,0.59661084,0.59226245,0.5908929,3,3,0
0,0.5879857,0.5838711,0.58243144,4,3,0
0,0.580659,0.5770004,0.57559365,5,3,0
0,0.5809805,0.5714692,0.56999975,6,3,0
0,0.5682587,0.5667883,0.56504005,7,3,0
0,0.5648325,0.5625585,0.5606156,8,3,0
0,0.55962044,0.55833554,0.5565131,9,3,0
0,0.55876935,0.5545025,0.5529029,10,3,0
0,0.55632335,0.5508463,0.5496281,11,3,0
0,0.5501225,0.54799014,0.5469846,12,3,0
0,0.54202515,0.5460099,0.5449006,13,3,0
0,0.53978354,0.54470754,0.54338545,14,3,0
0,0.5400589,0.5434683,0.542258,15,3,0
0,0.5411549,0.54213136,0.5406761,16,3,0
0,0.5342734,0.5406534,0.5390944,17,3,0
0,0.53457755,0.5396687,0.5380433,18,3,0
0,0.5268569,0.53866535,0.53758806,19,3,0
0,0.525534,0.5378318,0.5372999,20,3,0
0,0.53041,0.5378833,0.5365462,21,3,0
0,0.52418244,0.5375652,0.53625417,22,3,0
0,0.52004045,0.5374947,0.53642035,23,3,0
0,0.5195578,0.53793085,0.5373694,24,3,0
0,0.5180917,0.5379341,0.53745115,25,3,0
0,0.5159726,0.53761756,0.5358523,26,3,0
0,0.515256,0.53773975,0.53669214,27,3,0
0,0.5125986,0.5377658,0.5375847,28,3,0
0,0.6424293,0.62830013,0.6276916,0,4,0
0,0.62387985,0.6142706,0.61379766,1,4,0
0,0.6085529,0.6018091,0.60105586,2,4,0
0,0.5972174,0.5921421,0.5906031,3,4,0
0,0.5885622,0.5842093,0.58217734,4,4,0
0,0.577346,0.5773088,0.5751625,5,4,0
0,0.57433057,0.57113063,0.5691242,6,4,0
0,0.567633,0.5656008,0.56383574,7,4,0
0,0.56301665,0.56057304,0.5590491,8,4,0
0,0.55945545,0.5563618,0.5548795,9,4,0
0,0.54940635,0.5530581,0.55149287,10,4,0
0,0.5474524,0.5502141,0.5489827,11,4,0
0,0.5461183,0.5481511,0.5467854,12,4,0
0,0.5400805,0.5479273,0.5452806,13,4,0
0,0.5405687,0.5457375,0.5431697,14,4,0
0,0.5397706,0.5435378,0.5410213,15,4,0
0,0.5327576,0.5450424,0.5405148,16,4,0
0,0.5298236,0.543806,0.53937185,17,4,0
0,0.52895975,0.5422994,0.5384875,18,4,0
0,0.52355564,0.5420451,0.5377478,19,4,0
0,0.52486235,0.5413115,0.53738624,20,4,0
0,0.5143413,0.53973836,0.53705865,21,4,0
0,0.51659757,0.54352546,0.5372877,22,4,0
0,0.51274556,0.5476891,0.5424559,23,4,0
0,0.5112977,0.54550165,0.5390534,24,4,0
0,0.5018294,0.53873396,0.53696674,25,4,0
0,0.5051063,0.5393002,0.5374169,26,4,0
0,0.50468224,0.5427086,0.54166883,27,4,0
0,0.5020064,0.5417459,0.5446186,28,4,0
0,0.4895258,0.5435242,0.5424207,29,4,0
0,0.49518096,0.54260963,0.54155064,30,4,0
0,0.64280516,0.6268863,0.6266813,0,0,1
0,0.62116253,0.61368287,0.61308116,1,0,1
0,0.60816026,0.60199475,0.6009698,2,0,1
0,0.594207,0.5918662,0.59068894,3,0,1
0,0.58977425,0.5835292,0.5823742,4,0,1
0,0.58438104,0.5768039,0.57561874,5,0,1
0,0.57194,0.5712415,0.56996197,6,0,1
0,0.56700724,0.56641805,0.56504846,7,0,1
0,0.56479913,0.5621868,0.5607599,8,0,1
0,0.55822504,0.55823505,0.5569802,9,0,1
0,0.5561709,0.5541721,0.5534297,10,0,1
0,0.5532246,0.55030125,0.550332,11,0,1
0,0.5492832,0.5469003,0.5477366,12,0,1
0,0.5445655,0.54421854,0.54569054,13,0,1
0,0.5476413,0.54241574,0.54400575,14,0,1
0,0.53789663,0.5409372,0.5423929,15,0,1
0,0.5374891,0.53962785,0.5408739,16,0,1
0,0.53744096,0.53890914,0.53963387,17,0,1
0,0.5285058,0.539074,0.539157,18,0,1
0,0.5358611,0.53858,0.5385205,19,0,1
0,0.52787036,0.5358614,0.53693235,20,0,1
0,0.52930903,0.5347181,0.53615105,21,0,1
0,0.5277533,0.5364831,0.5365891,22,0,1
0,0.5253167,0.5385267,0.53726834,23,0,1
0,0.5219645,0.5337841,0.5354087,24,0,1
0,0.5158796,0.5317131,0.5345077,25,0,1
0,0.509751,0.53415596,0.5359755,26,0,1
0,0.51075363,0.53434557,0.53712255,27,0,1
0,0.50879437,0.5326442,0.53679913,28,0,1
0,0.515203,0.5332833,0.5371694,29,0,1
0,0.5096466,0.5328984,0.53683066,30,0,1
0,0.6436843,0.62720484,0.62674713,0,1,1
0,0.622358,0.6137469,0.61297643,1,1,1
0,0.60763043,0.6018235,0.6008037,2,1,1
0,0.5980761,0.59192944,0.59059036,3,1,1
0,0.5871039,0.58401114,0.58236575,4,1,1
0,0.57784456,0.5774704,0.5756339,5,1,1
0,0.573452,0.5718203,0.5698755,6,1,1
0,0.57068366,0.5668063,0.5649444,7,1,1
0,0.5627592,0.5620289,0.56043035,8,1,1
0,0.55870694,0.5575417,0.55624336,9,1,1
0,0.5554782,0.5535377,0.55260617,10,1,1
0,0.55408716,0.5500205,0.5495856,11,1,1
0,0.5480383,0.5470718,0.5471857,12,1,1
0,0.5438872,0.54496115,0.5452076,13,1,1
0,0.54043704,0.54358584,0.5435323,14,1,1
0,0.53587085,0.542522,0.542258,15,1,1
0,0.54616284,0.54120946,0.54102576,16,1,1
0,0.5339265,0.5381349,0.5391079,17,1,1
0,0.5322935,0.53611195,0.53834534,18,1,1
0,0.53165406,0.53545386,0.53745925,19,1,1
0,0.5306005,0.5366337,0.5369298,20,1,1
0,0.52455854,0.53769183,0.5373534,21,1,1
0,0.5254931,0.53556275,0.5359687,22,1,1
0,0.524903,0.5333901,0.5352484,23,1,1
0,0.522,0.5327616,0.53475046,24,1,1
0,0.52067715,0.5365419,0.53605145,25,1,1
0,0.52013725,0.53396535,0.5356761,26,1,1
0,0.5166197,0.5313361,0.5359595,27,1,1
0,0.5126131,0.53405744,0.5368413,28,1,1
0,0.5081187,0.53361756,0.5365363,29,1,1
0,0.4999095,0.533068,0.53634185,30,1,1
0,0.5060584,0.532249,0.5366497,31,1,1
0,0.5093109,0.5313464,0.5374524,32,1,1
0,0.6419685,0.6272245,0.626754,0,2,1
0,0.62225884,0.61401874,0.613013,1,2,1
0,0.6060562,0.602062,0.60057634,2,2,1
0,0.5974393,0.5920956,0.59042263,3,2,1
0,0.58771634,0.5838406,0.5821909,4,2,1
0,0.5827102,0.57707316,0.57531387,5,2,1
0,0.57593864,0.5713986,0.56955546,6,2,1
0,0.57180315,0.5663848,0.56450737,7,2,1
