,bottleneck_unit_0,epoch,fold,iter
33099,0.0,26,0,0
22253,0.43990603,26,0,0
23720,0.3348798,26,0,0
23226,0.0,26,0,0
25731,0.0,26,0,0
13592,0.0,26,0,0
40885,0.32155547,26,0,0
10024,0.1580798,26,0,0
16428,0.0,26,0,0
20541,0.0731057,26,0,0
31795,0.0,26,0,0
7531,0.031657793,26,0,0
39012,0.15376984,26,0,0
21806,0.0,26,0,0
39363,0.0,26,0,0
19641,0.0,26,0,0
33937,0.28106618,26,0,0
36130,0.68436235,26,0,0
12788,0.059083022,26,0,0
34037,0.013017511,26,0,0
12359,0.0,26,0,0
39437,0.55901295,26,0,0
29884,0.00698362,26,0,0
27600,0.0,26,0,0
32211,0.010736772,26,0,0
36005,0.25116253,26,0,0
17840,0.0,26,0,0
38281,0.6716797,26,0,0
9818,0.2516905,26,0,0
37268,0.12973127,26,0,0
554,0.0,26,0,0
33608,0.0,26,0,0
38942,0.0,26,0,0
9514,0.58924353,26,0,0
7559,0.0,26,0,0
9051,0.0,26,0,0
3939,0.026607472,26,0,0
23544,0.316586,26,0,0
15181,0.0,26,0,0
32627,0.0,26,0,0
37916,0.014591114,26,0,0
29304,0.0,26,0,0
4386,0.0,26,0,0
1977,0.0,26,0,0
29526,0.0,26,0,0
3357,0.0,26,0,0
25332,0.3815387,26,0,0
9142,0.0,26,0,0
27382,0.30488104,26,0,0
35980,0.3867591,26,0,0
27366,0.31734142,26,0,0
27245,0.20474091,26,0,0
7805,0.0,26,0,0
1173,0.0,26,0,0
34820,0.46246877,26,0,0
11316,0.54430574,26,0,0
39594,0.0,26,0,0
30846,0.048579402,26,0,0
546,0.79373217,26,0,0
17419,0.06285458,26,0,0
31106,0.0,26,0,0
1695,0.02787806,26,0,0
26438,0.0,26,0,0
23698,0.0,26,0,0
38903,0.34954837,26,0,0
33742,0.0,26,0,0
31251,0.0,26,0,0
38263,0.023004878,26,0,0
14766,0.3177957,26,0,0
13366,0.0,26,0,0
28021,0.42498544,26,0,0
14070,0.20849115,26,0,0
35747,0.0,26,0,0
1390,0.0,26,0,0
21892,0.29892573,26,0,0
3733,0.0,26,0,0
14005,0.0,26,0,0
24718,0.5084863,26,0,0
4958,0.023360739,26,0,0
18624,0.24942367,26,0,0
10464,0.0,26,0,0
25460,0.47552446,26,0,0
15639,0.14258076,26,0,0
7854,0.0,26,0,0
32509,0.0,26,0,0
40407,0.0,26,0,0
6120,0.0,26,0,0
36382,0.09271162,26,0,0
26644,0.039100982,26,0,0
2588,0.0,26,0,0
13863,0.0,26,0,0
24938,0.39732635,26,0,0
934,0.041280255,26,0,0
35302,0.0,26,0,0
40744,0.92985034,26,0,0
10394,0.0,26,0,0
12676,0.0,26,0,0
25951,0.0,26,0,0
39753,0.0,26,0,0
