,train_loss,test_loss,valid_loss,epoch,fold,iter
0,0.8221682,0.78855366,0.7857416,0,0,0
0,0.80451447,0.78506774,0.7817947,1,0,0
0,0.80118793,0.7841097,0.7802935,2,0,0
0,0.8047226,0.7830969,0.77900344,3,0,0
0,0.7988499,0.78203285,0.7779763,4,0,0
0,0.78887844,0.7810062,0.7771172,5,0,0
0,0.7865264,0.78014606,0.776386,6,0,0
0,0.78584594,0.78004867,0.7759381,7,0,0
0,0.783885,0.7805974,0.77613527,8,0,0
0,0.7814746,0.78052884,0.7760655,9,0,0
0,0.7819123,0.7799054,0.7754635,10,0,0
0,0.7801983,0.78179044,0.7769948,11,0,0
0,0.77735496,0.78078175,0.7761374,12,0,0
0,0.7761822,0.7776393,0.773248,13,0,0
0,0.77384835,0.77713454,0.77273,14,0,0
0,0.77309376,0.77721745,0.77284324,15,0,0
0,0.7709382,0.77731633,0.77293795,16,0,0
0,0.7700061,0.7766852,0.7721557,17,0,0
0,0.7691276,0.7775902,0.7731893,18,0,0
0,0.76754016,0.7738577,0.769762,19,0,0
0,0.76689845,0.7737131,0.76933855,20,0,0
0,0.76494384,0.78074485,0.77607477,21,0,0
0,0.76303387,0.7764696,0.7715438,22,0,0
0,0.75966996,0.773331,0.7693025,23,0,0
0,0.7611316,0.78077114,0.7789296,24,0,0
0,0.7586662,0.77470285,0.77210015,25,0,0
0,0.75693655,0.77281046,0.7693049,26,0,0
0,0.7568454,0.7744349,0.77078617,27,0,0
0,0.7537239,0.7785981,0.77508545,28,0,0
0,0.7549202,0.7783806,0.7748262,29,0,0
0,0.7559077,0.77818865,0.77457505,30,0,0
0,0.75358456,0.778763,0.77516854,31,0,0
0,0.8236332,0.7862312,0.7820424,0,1,0
0,0.8046751,0.7844542,0.78042483,1,1,0
0,0.7954413,0.78364205,0.77968246,2,1,0
0,0.79141885,0.7826048,0.7788257,3,1,0
0,0.78969765,0.7818382,0.7781123,4,1,0
0,0.7862312,0.78113395,0.7773147,5,1,0
0,0.7856056,0.7806396,0.77673525,6,1,0
0,0.78300685,0.7806047,0.7765292,7,1,0
0,0.77775437,0.78093606,0.77682006,8,1,0
0,0.7787917,0.7816009,0.7776294,9,1,0
0,0.78033566,0.786075,0.7819642,10,1,0
0,0.77755815,0.788885,0.78410774,11,1,0
0,0.7768719,0.7869683,0.7822833,12,1,0
0,0.82499737,0.79431707,0.7889811,0,2,0
0,0.80693865,0.7927453,0.78782374,1,2,0
0,0.8009259,0.7909092,0.7867591,2,2,0
0,0.7973199,0.79063433,0.78752327,3,2,0
0,0.80400604,0.7895822,0.7884002,4,2,0
0,0.79367304,0.78860694,0.78629893,5,2,0
0,0.79174685,0.78833914,0.7854477,6,2,0
0,0.78959775,0.7850595,0.7835439,7,2,0
0,0.78760415,0.78421825,0.7836999,8,2,0
0,0.78413206,0.78297335,0.7812497,9,2,0
0,0.7842917,0.7812328,0.7765681,10,2,0
0,0.78088355,0.7824704,0.77405155,11,2,0
0,0.7843005,0.7813692,0.772801,12,2,0
0,0.7798934,0.7783067,0.77232057,13,2,0
0,0.77563876,0.7788143,0.7719706,14,2,0
0,0.7759821,0.7781734,0.7707594,15,2,0
0,0.7717245,0.7790394,0.7700189,16,2,0
0,0.7698882,0.7754121,0.7686692,17,2,0
0,0.7705228,0.7749925,0.7685304,18,2,0
0,0.76697713,0.78184956,0.772697,19,2,0
0,0.76637083,0.785486,0.77368355,20,2,0
0,0.76570636,0.777656,0.7681482,21,2,0
0,0.76365584,0.7748659,0.76708454,22,2,0
0,0.76363677,0.7847657,0.773336,23,2,0
0,0.7561298,0.7817886,0.7718604,24,2,0
0,0.7560858,0.78125614,0.77201915,25,2,0
0,0.7525458,0.7818598,0.7689265,26,2,0
0,0.75180894,0.78478986,0.77059937,27,2,0
0,0.82257414,0.7871486,0.7835226,0,3,0
0,0.8066761,0.784914,0.7816294,1,3,0
0,0.807581,0.78342724,0.78027236,2,3,0
0,0.79787326,0.78300595,0.7796383,3,3,0
0,0.7961928,0.78253955,0.77864087,4,3,0
0,0.7938507,0.78232056,0.7781531,5,3,0
0,0.7900298,0.7816716,0.7773771,6,3,0
0,0.7852282,0.78087175,0.7764816,7,3,0
0,0.78377867,0.7797959,0.7754863,8,3,0
0,0.78237295,0.7789597,0.77467024,9,3,0
0,0.7826205,0.7790719,0.7746188,10,3,0
0,0.7778723,0.7804948,0.775644,11,3,0
0,0.77762675,0.778739,0.7741861,12,3,0
0,0.775816,0.7778328,0.77327806,13,3,0
0,0.7765138,0.7822721,0.7770168,14,3,0
0,0.7722388,0.78167826,0.77660596,15,3,0
0,0.7719179,0.7801778,0.7751374,16,3,0
0,0.7707536,0.7789993,0.77430034,17,3,0
0,0.77237535,0.7773839,0.7727286,18,3,0
0,0.7714173,0.7771713,0.77240384,19,3,0
0,0.77056104,0.77667046,0.77187294,20,3,0
0,0.7656264,0.77641666,0.77161896,21,3,0
0,0.7682685,0.7762287,0.7714101,22,3,0
0,0.7683098,0.7761485,0.771321,23,3,0
0,0.76914674,0.7763378,0.7714698,24,3,0
0,0.7685411,0.7773259,0.77229154,25,3,0
0,0.76882166,0.7784173,0.77325,26,3,0
0,0.7680335,0.77891296,0.77376604,27,3,0
0,0.76676697,0.7784873,0.7733731,28,3,0
0,0.81830436,0.78718764,0.78308153,0,4,0
0,0.8035672,0.7846949,0.7809322,1,4,0
0,0.7992201,0.7831529,0.77964795,2,4,0
0,0.80057216,0.7823531,0.77866864,3,4,0
0,0.79448366,0.7822027,0.77824086,4,4,0
0,0.78954405,0.7815104,0.7776103,5,4,0
