,bottleneck_unit_0,epoch,fold,iter
34388,0.9581036,44,0,0
33806,0.6086305,44,0,0
30092,0.3829841,44,0,0
32995,0.0,44,0,0
7982,0.23761748,44,0,0
32415,0.9669842,44,0,0
22396,0.0,44,0,0
40885,0.22917739,44,0,0
19795,0.05427868,44,0,0
40053,0.0,44,0,0
16428,0.7499973,44,0,0
14561,0.0,44,0,0
6693,0.27353323,44,0,0
1961,0.200277,44,0,0
27148,0.0,44,0,0
17888,0.0,44,0,0
8542,0.0,44,0,0
7531,0.0,44,0,0
1891,0.57776064,44,0,0
13958,1.0531166,44,0,0
25416,0.03219161,44,0,0
32840,0.38376704,44,0,0
40280,0.0,44,0,0
34037,0.30813178,44,0,0
10099,0.0,44,0,0
38653,0.5174365,44,0,0
3682,0.14046893,44,0,0
16651,0.0,44,0,0
41035,0.0,44,0,0
29485,0.08641004,44,0,0
32211,0.0,44,0,0
22870,0.005764259,44,0,0
30357,0.28009117,44,0,0
18803,0.80951416,44,0,0
4404,0.0674969,44,0,0
16234,0.0,44,0,0
367,0.102423556,44,0,0
33608,0.67848116,44,0,0
11933,1.302593,44,0,0
10661,0.71099263,44,0,0
4326,1.5543451,44,0,0
3379,0.18315962,44,0,0
23008,0.0,44,0,0
13100,0.8891883,44,0,0
14541,0.7800436,44,0,0
1849,0.0,44,0,0
15546,0.0,44,0,0
27429,0.0,44,0,0
2937,0.45114303,44,0,0
15148,0.1738171,44,0,0
1173,0.15945858,44,0,0
26409,0.0,44,0,0
39594,0.3170788,44,0,0
23685,0.82781583,44,0,0
17419,0.0,44,0,0
25658,0.0,44,0,0
35085,0.30810928,44,0,0
27495,0.2568768,44,0,0
31106,0.0,44,0,0
1695,0.0,44,0,0
39053,0.0,44,0,0
38575,1.0004365,44,0,0
31638,0.0,44,0,0
14766,0.0,44,0,0
38446,0.16276547,44,0,0
2324,0.40388122,44,0,0
20702,0.0,44,0,0
38880,0.039394632,44,0,0
13077,0.11715932,44,0,0
22935,0.80837655,44,0,0
14070,0.0,44,0,0
33653,0.6701996,44,0,0
35747,0.3136573,44,0,0
18553,0.2532638,44,0,0
9665,1.4646024,44,0,0
5199,0.019948093,44,0,0
30461,0.84447914,44,0,0
32406,0.2383517,44,0,0
30598,0.3819769,44,0,0
3733,0.48871088,44,0,0
4090,0.06459582,44,0,0
14005,0.13725786,44,0,0
19109,0.25026628,44,0,0
21706,0.0,44,0,0
2303,0.0,44,0,0
10464,0.48011878,44,0,0
19909,0.0,44,0,0
9511,0.12959917,44,0,0
2908,0.0,44,0,0
15639,0.0,44,0,0
6120,0.041489724,44,0,0
36382,0.0,44,0,0
1684,0.6768918,44,0,0
11979,0.0,44,0,0
25365,0.703286,44,0,0
39129,0.0,44,0,0
6376,0.0,44,0,0
38326,0.25557053,44,0,0
24938,0.28924975,44,0,0
18979,0.10559316,44,0,0
5996,0.9188409,44,0,0
31052,0.19817239,44,0,0
28408,0.9922428,44,0,0
10438,0.0,44,0,0
40744,0.0,44,0,0
23070,0.0,44,0,0
4174,0.0,44,0,0
11,0.0,44,0,0
13872,0.0,44,0,0
822,0.3025387,44,0,0
2596,0.6407942,44,0,0
11530,0.15377621,44,0,0
32622,0.084443055,44,0,0
12954,0.42685422,44,0,0
19691,0.0,44,0,0
20957,0.0,44,0,0
12943,0.11448754,44,0,0
19758,0.61564046,44,0,0
6532,0.0,44,0,0
24607,0.22938496,44,0,0
17771,0.0,44,0,0
27476,0.0,44,0,0
19032,0.0,44,0,0
8361,0.0,44,0,0
22711,0.0,44,0,0
11705,0.0637687,44,0,0
27578,0.0,44,0,0
34935,0.27387592,44,0,0
36976,0.0,44,0,0
39857,1.1799384,44,0,0
5419,0.0,44,0,0
34936,0.0,44,0,0
5753,0.08286328,44,0,0
32722,1.0100598,44,0,0
21467,0.5453188,44,0,0
28401,0.15968798,44,0,0
37200,0.0,44,0,0
19627,0.0,44,0,0
6231,0.0,44,0,0
16877,0.7830968,44,0,0
26148,0.07615661,44,0,0
10239,0.36665416,44,0,0
23669,0.0,44,0,0
914,0.55131435,44,0,0
8376,1.3084537,44,0,0
182,0.0,44,0,0
8374,0.24672402,44,0,0
39270,0.2590798,44,0,0
26835,0.3230117,44,0,0
34517,0.13663547,44,0,0
9177,0.0,44,0,0
29550,0.0,44,0,0
10975,0.0,44,0,0
35053,0.37319633,44,0,0
16643,0.23160653,44,0,0
9659,0.09015087,44,0,0
4953,0.0,44,0,0
27855,1.1408083,44,0,0
5368,0.0,44,0,0
32565,0.056265913,44,0,0
27613,1.367222,44,0,0
19875,0.08511695,44,0,0
14768,0.47176662,44,0,0
14851,0.0,44,0,0
8251,0.0,44,0,0
30589,0.0,44,0,0
19433,0.5210509,44,0,0
37006,0.0,44,0,0
29413,0.29720968,44,0,0
19570,0.09180882,44,0,0
3504,0.15594134,44,0,0
11989,0.6741956,44,0,0
26964,0.5071428,44,0,0
5956,0.0,44,0,0
32117,0.94796085,44,0,0
39687,0.122807145,44,0,0
17603,1.4037167,44,0,0
26997,0.25413853,44,0,0
1869,0.61051655,44,0,0
2738,0.0,44,0,0
24658,0.07765363,44,0,0
21119,0.25887588,44,0,0
6953,0.0,44,0,0
39996,0.2802494,44,0,0
21708,0.19423099,44,0,0
35912,0.4939852,44,0,0
25647,0.2805888,44,0,0
7955,0.0,44,0,0
6158,0.0,44,0,0
16485,1.1877067,44,0,0
3266,0.0,44,0,0
38125,0.0,44,0,0
25673,0.090244874,44,0,0
35748,0.0,44,0,0
9258,0.19561669,44,0,0
26127,0.21465231,44,0,0
15652,0.6763637,44,0,0
10952,0.7468548,44,0,0
34772,0.37010178,44,0,0
24871,0.0,44,0,0
4309,0.25797024,44,0,0
36332,0.0,44,0,0
33144,0.6797176,44,0,0
14590,0.0,44,0,0
16007,0.33258507,44,0,0
3227,0.0,44,0,0
15480,1.2987314,44,0,0
2393,0.40668702,44,0,0
14571,0.0,44,0,0
29795,0.0,44,0,0
18048,0.2995171,44,0,0
25354,0.9787298,44,0,0
33361,0.21376218,44,0,0
20473,0.0,44,0,0
27246,0.0,44,0,0
14537,0.0,44,0,0
2667,0.0,44,0,0
32855,0.5371746,44,0,0
8245,0.024701286,44,0,0
11568,0.0,44,0,0
6847,0.13650562,44,0,0
10748,0.35173175,44,0,0
11652,0.699328,44,0,0
19827,0.20473579,44,0,0
1255,0.0,44,0,0
7058,0.0,44,0,0
27200,0.0,44,0,0
14566,0.0,44,0,0
20263,0.0,44,0,0
15249,0.0,44,0,0
26324,0.0,44,0,0
20008,0.55698156,44,0,0
18270,0.0,44,0,0
21923,0.058802564,44,0,0
34290,0.0,44,0,0
37215,0.55487967,44,0,0
28620,0.07552054,44,0,0
525,0.18177366,44,0,0
22897,0.13621494,44,0,0
34171,0.0,44,0,0
18605,0.0,44,0,0
39248,0.1575722,44,0,0
37218,0.0,44,0,0
23540,0.2815867,44,0,0
39534,0.1678502,44,0,0
18192,0.0,44,0,0
19706,0.0,44,0,0
23271,0.11779695,44,0,0
10391,0.0,44,0,0
12504,0.21337317,44,0,0
30709,0.0,44,0,0
29375,0.0,44,0,0
14150,0.6706671,44,0,0
33736,0.048718285,44,0,0
9452,0.0,44,0,0
14092,0.17961624,44,0,0
9822,0.0,44,0,0
21416,0.53497744,44,0,0
24222,0.21656017,44,0,0
16987,0.0,44,0,0
20656,0.0,44,0,0
32631,0.83160317,44,0,0
31479,0.0,44,0,0
37987,0.0,44,0,0
4616,0.0,44,0,0
16818,0.3270018,44,0,0
1154,0.05197575,44,0,0
27886,0.5475889,44,0,0
17195,1.2519263,44,0,0
5337,0.18220596,44,0,0
32847,0.030685063,44,0,0
10117,0.29325736,44,0,0
25913,0.6042795,44,0,0
1948,0.14016162,44,0,0
13896,0.33489433,44,0,0
5629,0.0,44,0,0
6956,0.7666142,44,0,0
16934,0.0,44,0,0
21639,0.19482091,44,0,0
20621,0.0,44,0,0
326,0.0,44,0,0
23,0.79383117,44,0,0
35969,0.0,44,0,0
39467,0.0,44,0,0
15170,0.0,44,0,0
11587,0.0,44,0,0
5653,0.19001691,44,0,0
6559,0.11798072,44,0,0
38180,0.0,44,0,0
8103,0.0,44,0,0
27941,0.0,44,0,0
14421,1.0640943,44,0,0
22339,0.9010947,44,0,0
11213,0.0,44,0,0
3077,0.0,44,0,0
13298,0.0,44,0,0
5983,0.29182023,44,0,0
5992,0.0,44,0,0
32929,0.34322146,44,0,0
7973,0.37585497,44,0,0
31496,0.0,44,0,0
107,0.38002324,44,0,0
24557,0.0,44,0,0
4030,0.21982794,44,0,0
14738,0.0,44,0,0
41112,0.20216174,44,0,0
8223,0.86496824,44,0,0
19141,0.90697175,44,0,0
12433,0.4181426,44,0,0
39942,0.0,44,0,0
11800,0.064516954,44,0,0
26366,0.12107934,44,0,0
1501,0.87740666,44,0,0
2077,0.86733735,44,0,0
22771,0.0,44,0,0
4400,0.0,44,0,0
30547,0.0,44,0,0
18330,0.55556744,44,0,0
23994,0.0,44,0,0
36865,0.0,44,0,0
18533,0.7032278,44,0,0
39341,0.0,44,0,0
15444,0.0,44,0,0
39927,0.0,44,0,0
29809,0.0,44,0,0
21317,0.0,44,0,0
23652,0.8138677,44,0,0
18773,0.4220695,44,0,0
1530,0.0,44,0,0
13942,0.22452806,44,0,0
37400,0.89165884,44,0,0
36866,0.0,44,0,0
26640,0.34508818,44,0,0
26789,0.40699598,44,0,0
26406,0.4383836,44,0,0
8178,0.0,44,0,0
27766,0.5046432,44,0,0
17889,0.0,44,0,0
26903,0.0,44,0,0
7332,0.9253284,44,0,0
34428,0.0,44,0,0
13078,1.0236584,44,0,0
27571,0.010859117,44,0,0
39991,0.0,44,0,0
9804,0.38224378,44,0,0
11480,0.0,44,0,0
23680,0.0069123483,44,0,0
34773,0.0,44,0,0
10104,0.0,44,0,0
12124,1.7206358,44,0,0
13551,0.0,44,0,0
29756,0.8163804,44,0,0
2620,0.77112794,44,0,0
33122,0.017123358,44,0,0
33941,0.043175202,44,0,0
22781,0.13732563,44,0,0
22807,0.0,44,0,0
40987,0.13451777,44,0,0
36858,0.0,44,0,0
33964,0.18120034,44,0,0
38898,0.27223858,44,0,0
33710,0.19152614,44,0,0
13539,0.19122109,44,0,0
30927,0.0,44,0,0
36878,0.20066819,44,0,0
490,0.0,44,0,0
9401,0.027211623,44,0,0
15853,0.0,44,0,0
38897,0.0,44,0,0
22676,0.0,44,0,0
41214,0.0,44,0,0
13770,0.06647104,44,0,0
32434,0.0,44,0,0
29671,0.0,44,0,0
2316,1.6716756,44,0,0
4066,0.65856385,44,0,0
