,train_loss,test_loss,valid_loss,epoch,fold,iter
0,0.71133107,0.6919215,0.6868502,0,0,0
0,0.6982816,0.69132763,0.6863012,1,0,0
0,0.6961363,0.69179344,0.68681794,2,0,0
0,0.68785137,0.69251364,0.68752474,3,0,0
0,0.6898189,0.6922132,0.6873691,4,0,0
0,0.6895153,0.6914608,0.68677044,5,0,0
0,0.683875,0.6905659,0.6860607,6,0,0
0,0.6873946,0.6896273,0.68527085,7,0,0
0,0.68506217,0.6890634,0.6848215,8,0,0
0,0.6879298,0.68866324,0.684553,9,0,0
0,0.68874985,0.68811506,0.6841295,10,0,0
0,0.68512946,0.6876506,0.68368024,11,0,0
0,0.68527204,0.6874958,0.683548,12,0,0
0,0.6841287,0.68734676,0.6834039,13,0,0
0,0.68510896,0.68720555,0.6832801,14,0,0
0,0.68195224,0.6870168,0.68305784,15,0,0
0,0.6845586,0.68693125,0.68293613,16,0,0
0,0.6880289,0.6868357,0.68279225,17,0,0
0,0.6828039,0.68673253,0.6826624,18,0,0
0,0.682195,0.6867284,0.6826529,19,0,0
0,0.6822693,0.6866726,0.68261194,20,0,0
0,0.68279785,0.68657666,0.68251836,21,0,0
0,0.6828764,0.68657774,0.6825504,22,0,0
0,0.68223506,0.6865685,0.6825621,23,0,0
0,0.6800742,0.6864528,0.68243223,24,0,0
0,0.6801947,0.68643534,0.6824142,25,0,0
0,0.6813145,0.6864335,0.68239117,26,0,0
0,0.6836588,0.68640727,0.6823564,27,0,0
0,0.6811612,0.686347,0.68230325,28,0,0
0,0.6816593,0.68629503,0.6822227,29,0,0
0,0.6834631,0.6863302,0.6822239,30,0,0
0,0.68073875,0.6862566,0.6820864,31,0,0
0,0.6784382,0.68615544,0.68200934,32,0,0
0,0.6798851,0.6861586,0.68201333,33,0,0
0,0.6829334,0.6860097,0.6818433,34,0,0
0,0.67800814,0.68602103,0.68184114,35,0,0
0,0.68262595,0.6860178,0.6818434,36,0,0
0,0.68035966,0.6859757,0.68178254,37,0,0
0,0.6801863,0.68586594,0.68160534,38,0,0
0,0.67859143,0.68582547,0.68157774,39,0,0
0,0.67885476,0.68575805,0.6815451,40,0,0
0,0.6781897,0.685693,0.6815102,41,0,0
0,0.67574245,0.6857515,0.6816145,42,0,0
0,0.67916703,0.6856656,0.6815566,43,0,0
0,0.6757738,0.685641,0.6814909,44,0,0
0,0.6779553,0.68577796,0.6815547,45,0,0
0,0.67628765,0.6858247,0.6815671,46,0,0
0,0.67362815,0.68588364,0.68161404,47,0,0
0,0.67604065,0.6858541,0.6815068,48,0,0
0,0.6764014,0.6859429,0.68160206,49,0,0
0,0.70693237,0.6920206,0.6868523,0,1,0
0,0.69267875,0.69145894,0.6862111,1,1,0
0,0.693348,0.6921035,0.68664503,2,1,0
0,0.6886931,0.6927005,0.687072,3,1,0
0,0.68798715,0.6925771,0.6869351,4,1,0
0,0.6868572,0.6917202,0.68608034,5,1,0
0,0.68323225,0.6908934,0.68524057,6,1,0
0,0.6834867,0.68921506,0.6837114,7,1,0
0,0.68164396,0.68808836,0.682644,8,1,0
0,0.67875785,0.68713164,0.6816816,9,1,0
0,0.6784091,0.6862933,0.68078965,10,1,0
0,0.6775341,0.686002,0.680465,11,1,0
0,0.6778634,0.68598765,0.68038136,12,1,0
0,0.6722968,0.6850781,0.6796017,13,1,0
0,0.6702781,0.6842255,0.6787179,14,1,0
0,0.67009956,0.68448114,0.67843217,15,1,0
0,0.6673327,0.68346375,0.6775664,16,1,0
0,0.66327167,0.68142617,0.6763935,17,1,0
0,0.6641633,0.68175834,0.6761742,18,1,0
0,0.6613696,0.6816414,0.6753539,19,1,0
0,0.6584862,0.6808516,0.67392147,20,1,0
0,0.65738267,0.68057656,0.67325956,21,1,0
0,0.6556302,0.68108195,0.67417836,22,1,0
0,0.65606487,0.6795993,0.6730139,23,1,0
0,0.65163827,0.6787645,0.67172086,24,1,0
0,0.6480418,0.6806287,0.67305636,25,1,0
0,0.64892036,0.6766996,0.6698196,26,1,0
0,0.64509934,0.680025,0.6714132,27,1,0
0,0.64505965,0.6786569,0.6698178,28,1,0
0,0.64524,0.67984295,0.6711552,29,1,0
0,0.64145094,0.6771876,0.66897047,30,1,0
0,0.6398956,0.67713356,0.66825736,31,1,0
0,0.70776176,0.6920217,0.68685293,0,2,0
0,0.69630146,0.691491,0.6862111,1,2,0
0,0.6934838,0.692049,0.68654823,2,2,0
0,0.6886749,0.6927876,0.6872312,3,2,0
0,0.6921564,0.6934146,0.6877985,4,2,0
0,0.68682146,0.69356143,0.68792576,5,2,0
0,0.6836505,0.6924701,0.68696225,6,2,0
0,0.7079014,0.6920243,0.6868497,0,3,0
0,0.6994662,0.6918216,0.6863479,1,3,0
0,0.69348675,0.69252783,0.68680775,2,3,0
0,0.6920864,0.6931061,0.6873455,3,3,0
0,0.68669003,0.69252115,0.6869935,4,3,0
0,0.68684393,0.69180006,0.68650526,5,3,0
0,0.6889941,0.6911681,0.6860751,6,3,0
0,0.68433523,0.6900664,0.68522084,7,3,0
0,0.6845744,0.6896008,0.6848479,8,3,0
0,0.6833351,0.6890189,0.6843542,9,3,0
0,0.682815,0.6885852,0.6839898,10,3,0
0,0.6878967,0.68842643,0.6838212,11,3,0
0,0.6829826,0.68824494,0.6836107,12,3,0
0,0.68337536,0.6880753,0.6833787,13,3,0
0,0.6846745,0.6880406,0.6833216,14,3,0
0,0.6813731,0.68799865,0.6832585,15,3,0
0,0.6815712,0.6878983,0.6830758,16,3,0
0,0.6852059,0.68776625,0.6828882,17,3,0
0,0.6827724,0.68777657,0.68293005,18,3,0
0,0.68232757,0.68755555,0.682724,19,3,0
0,0.6853035,0.6875174,0.6827568,20,3,0
0,0.682318,0.68742913,0.68274254,21,3,0
0,0.6795902,0.6873982,0.68273807,22,3,0
0,0.6814614,0.68732256,0.6826761,23,3,0
0,0.68292004,0.68725806,0.6825362,24,3,0
0,0.6839366,0.6872074,0.68253267,25,3,0
0,0.6813447,0.6872099,0.68256724,26,3,0
0,0.68226105,0.68715847,0.6824466,27,3,0
0,0.68177694,0.68708813,0.6823418,28,3,0
0,0.6837985,0.68710625,0.68240684,29,3,0
0,0.6837608,0.68705034,0.6823702,30,3,0
