,bottleneck_unit_0,epoch,fold,iter
29967,0.79967016,22,0,0
20875,0.9153257,22,0,0
34388,1.4276924,22,0,0
2677,0.0,22,0,0
6203,0.0,22,0,0
35652,0.0,22,0,0
2221,0.73500204,22,0,0
41188,0.0,22,0,0
23939,0.7463461,22,0,0
16428,0.5628967,22,0,0
31795,0.0,22,0,0
24868,1.3037603,22,0,0
27148,0.0,22,0,0
11291,0.0,22,0,0
29111,0.0,22,0,0
17888,0.44355473,22,0,0
39363,0.0,22,0,0
27305,0.5694671,22,0,0
12788,0.0,22,0,0
7607,1.1795733,22,0,0
19324,0.80836695,22,0,0
27670,1.138699,22,0,0
40585,0.565062,22,0,0
11763,0.1888017,22,0,0
30448,0.34021515,22,0,0
30357,0.0,22,0,0
36005,0.39020947,22,0,0
38281,0.0,22,0,0
39752,0.7601808,22,0,0
20726,0.23934706,22,0,0
554,0.5848032,22,0,0
22912,1.5813032,22,0,0
9514,0.47203532,22,0,0
7559,0.89048266,22,0,0
23544,0.5934478,22,0,0
15181,0.6874609,22,0,0
22418,0.734542,22,0,0
1977,0.0,22,0,0
3379,0.0,22,0,0
36362,0.24237391,22,0,0
9814,0.0,22,0,0
15546,0.88541776,22,0,0
3357,0.69916,22,0,0
12055,0.0,22,0,0
20213,0.66037667,22,0,0
34657,0.0,22,0,0
28203,1.1451603,22,0,0
15148,0.53489155,22,0,0
35966,0.14007367,22,0,0
11316,0.7776057,22,0,0
640,0.3710721,22,0,0
31106,0.0900772,22,0,0
40310,0.38027865,22,0,0
26651,1.050986,22,0,0
23107,0.0,22,0,0
38575,0.0,22,0,0
2881,0.8229278,22,0,0
40326,0.08209159,22,0,0
5149,1.0485425,22,0,0
29380,0.25820813,22,0,0
38880,0.0,22,0,0
14070,0.44573504,22,0,0
6222,0.0,22,0,0
35840,0.0,22,0,0
40237,0.0,22,0,0
1390,0.30285996,22,0,0
22167,0.14999084,22,0,0
5199,0.0,22,0,0
32406,0.800484,22,0,0
35176,0.41351098,22,0,0
7018,0.92853725,22,0,0
1973,0.0,22,0,0
2184,0.7457414,22,0,0
40395,0.47133824,22,0,0
19109,0.0,22,0,0
24718,0.8387077,22,0,0
31204,0.579295,22,0,0
25600,0.18107653,22,0,0
30804,0.0,22,0,0
18624,0.770239,22,0,0
36300,0.81605184,22,0,0
9511,0.37661693,22,0,0
14002,0.020277938,22,0,0
5424,0.46268007,22,0,0
20602,0.53957146,22,0,0
20289,0.640377,22,0,0
38691,0.07110173,22,0,0
6376,0.36011174,22,0,0
2588,0.0,22,0,0
19207,0.0054876483,22,0,0
35338,0.23975228,22,0,0
10489,0.5413233,22,0,0
18460,0.7292711,22,0,0
10438,0.0,22,0,0
24390,0.0,22,0,0
39761,0.9039096,22,0,0
11,0.56681275,22,0,0
6331,0.511019,22,0,0
23635,0.0,22,0,0
34080,0.0,22,0,0
5272,0.8249051,22,0,0
32622,0.0,22,0,0
8041,1.0071944,22,0,0
6532,0.0,22,0,0
5701,0.7779752,22,0,0
8277,0.38531262,22,0,0
16805,0.0,22,0,0
26099,0.0,22,0,0
19032,0.0,22,0,0
11705,0.0,22,0,0
29827,0.8343552,22,0,0
34935,0.68609947,22,0,0
6566,0.0,22,0,0
5241,0.53249174,22,0,0
36976,0.0,22,0,0
39857,0.0,22,0,0
34703,0.0,22,0,0
5858,1.0400003,22,0,0
18408,0.0,22,0,0
36528,0.0,22,0,0
23669,0.0,22,0,0
28019,0.03551743,22,0,0
34556,0.0,22,0,0
4204,0.0,22,0,0
24306,0.0,22,0,0
6960,0.0,22,0,0
26835,0.70888734,22,0,0
9177,0.19496956,22,0,0
21623,0.33118126,22,0,0
6893,0.0,22,0,0
10975,0.437863,22,0,0
18987,1.046049,22,0,0
13248,0.0,22,0,0
32565,0.30520976,22,0,0
27613,0.42298195,22,0,0
30543,0.7736081,22,0,0
12048,1.1793772,22,0,0
14851,0.5144967,22,0,0
15440,0.73070717,22,0,0
34369,1.1302427,22,0,0
37006,0.56297225,22,0,0
22129,0.0,22,0,0
41115,0.0,22,0,0
9952,0.7051609,22,0,0
22575,0.85326326,22,0,0
33557,0.0,22,0,0
26964,0.0,22,0,0
38494,0.0,22,0,0
32117,1.0422739,22,0,0
2502,0.8406011,22,0,0
13124,0.3650315,22,0,0
11208,0.5564506,22,0,0
9495,0.0,22,0,0
16485,0.0,22,0,0
20423,0.0,22,0,0
32503,0.0,22,0,0
38125,0.55985254,22,0,0
35748,0.0,22,0,0
9258,0.23419559,22,0,0
2875,0.10850611,22,0,0
1827,0.72692084,22,0,0
18138,0.0,22,0,0
29972,0.0,22,0,0
22808,0.0,22,0,0
7751,0.33268166,22,0,0
24871,0.0,22,0,0
4309,0.0,22,0,0
15085,0.0,22,0,0
34661,0.0,22,0,0
14590,0.0,22,0,0
4045,0.07463897,22,0,0
24755,0.34959152,22,0,0
31765,0.0,22,0,0
23646,0.5479857,22,0,0
16896,0.7538015,22,0,0
1444,0.289895,22,0,0
35724,0.37757045,22,0,0
29795,0.5267674,22,0,0
20954,0.8609476,22,0,0
20473,0.3629965,22,0,0
19333,0.5542947,22,0,0
5621,0.20518193,22,0,0
6056,0.86078775,22,0,0
40577,0.31323934,22,0,0
36219,0.0,22,0,0
6847,0.0,22,0,0
35138,0.82887256,22,0,0
11434,0.85896933,22,0,0
34087,0.49052164,22,0,0
35096,0.0,22,0,0
16470,0.72770256,22,0,0
13187,0.0,22,0,0
38306,0.0,22,0,0
25091,0.0,22,0,0
18782,1.0428778,22,0,0
24991,0.0,22,0,0
22703,0.0,22,0,0
29477,0.0,22,0,0
25545,0.45808816,22,0,0
28443,0.5276269,22,0,0
22409,0.0,22,0,0
25385,1.1861738,22,0,0
34290,0.3534642,22,0,0
22897,0.8954887,22,0,0
32798,0.0,22,0,0
39592,0.0,22,0,0
23912,0.0,22,0,0
17446,0.0,22,0,0
13788,0.44140357,22,0,0
21959,0.35788867,22,0,0
10391,0.0,22,0,0
27767,1.0590858,22,0,0
3210,0.9617476,22,0,0
39844,0.0,22,0,0
39605,0.38089684,22,0,0
9822,0.7657064,22,0,0
33719,0.9999809,22,0,0
6021,0.0,22,0,0
26568,0.8080776,22,0,0
21807,0.0,22,0,0
20055,0.0,22,0,0
1225,0.8301064,22,0,0
37932,0.46303517,22,0,0
28445,0.0,22,0,0
15695,0.38219622,22,0,0
40617,0.73228496,22,0,0
6676,0.0,22,0,0
36414,0.0,22,0,0
2489,0.9314307,22,0,0
27732,0.93939406,22,0,0
31575,0.3210395,22,0,0
13885,0.0,22,0,0
36874,0.0,22,0,0
29319,0.0,22,0,0
34785,0.8131265,22,0,0
25044,0.0,22,0,0
16212,0.23237422,22,0,0
17759,0.0,22,0,0
1864,0.78697544,22,0,0
2423,0.0,22,0,0
8978,0.63953084,22,0,0
28173,0.9584928,22,0,0
28186,0.4633977,22,0,0
40598,0.0,22,0,0
21095,0.0,22,0,0
16934,0.0,22,0,0
3603,0.3898901,22,0,0
32422,0.6572286,22,0,0
9455,0.29602367,22,0,0
7214,0.0,22,0,0
326,0.0,22,0,0
21527,0.2668878,22,0,0
19898,1.0915529,22,0,0
21979,0.07860542,22,0,0
5653,0.0,22,0,0
6559,0.0,22,0,0
1175,0.942282,22,0,0
16332,0.5312611,22,0,0
31261,0.74589163,22,0,0
3161,0.46913108,22,0,0
16337,0.0,22,0,0
4410,0.57619953,22,0,0
18728,0.681823,22,0,0
5983,0.6866466,22,0,0
17171,0.0,22,0,0
3770,0.0,22,0,0
5992,0.0,22,0,0
23604,0.4652577,22,0,0
19990,1.1625388,22,0,0
40616,0.9298961,22,0,0
7962,0.40285483,22,0,0
10611,1.366835,22,0,0
31662,0.0,22,0,0
18832,0.0,22,0,0
29585,1.4739633,22,0,0
16696,0.0,22,0,0
25762,0.7059104,22,0,0
5194,1.5797167,22,0,0
6940,0.43463463,22,0,0
40813,0.4322764,22,0,0
29263,0.7125475,22,0,0
11360,0.80243313,22,0,0
30518,0.98896444,22,0,0
15179,0.37315297,22,0,0
6040,0.0,22,0,0
36641,0.0,22,0,0
25770,0.1758553,22,0,0
5206,0.19983442,22,0,0
3856,0.0,22,0,0
13555,1.5671338,22,0,0
3737,0.0,22,0,0
28977,1.0134196,22,0,0
27781,0.71338075,22,0,0
6473,0.0,22,0,0
3518,0.0,22,0,0
658,0.6523377,22,0,0
36205,0.0,22,0,0
13017,0.18365307,22,0,0
18438,0.0,22,0,0
25646,0.098152444,22,0,0
34864,1.0737673,22,0,0
2220,0.0,22,0,0
39341,0.512324,22,0,0
15444,0.56679606,22,0,0
29809,0.0,22,0,0
10038,0.0,22,0,0
23128,0.9633116,22,0,0
7154,0.0,22,0,0
39929,0.0,22,0,0
36401,0.0,22,0,0
38456,0.62819725,22,0,0
18149,0.30280337,22,0,0
30734,1.0540327,22,0,0
6163,0.56361824,22,0,0
2167,0.94030434,22,0,0
8178,0.0,22,0,0
14918,0.41550952,22,0,0
6375,0.9083468,22,0,0
26903,0.36181232,22,0,0
27897,0.52304053,22,0,0
19798,1.1309775,22,0,0
29275,0.55059713,22,0,0
24737,0.04162325,22,0,0
40794,0.0,22,0,0
36469,0.7984092,22,0,0
35802,1.2421242,22,0,0
11728,1.0980717,22,0,0
25767,0.0,22,0,0
19431,0.81655955,22,0,0
37264,0.0,22,0,0
18786,0.7287385,22,0,0
25242,0.4634219,22,0,0
19126,0.69279236,22,0,0
13551,0.8619515,22,0,0
11210,0.0,22,0,0
29756,0.0,22,0,0
33941,0.0,22,0,0
5811,0.6910548,22,0,0
22804,0.40172765,22,0,0
15359,0.286056,22,0,0
40408,0.36684552,22,0,0
22227,0.0,22,0,0
20553,0.98656625,22,0,0
16305,1.8582131,22,0,0
41214,0.8605496,22,0,0
27895,0.87851304,22,0,0
979,0.0,22,0,0
15526,0.2906779,22,0,0
31354,1.1282886,22,0,0
34991,0.32787332,22,0,0
41077,0.9569231,22,0,0
14618,0.6308317,22,0,0
6464,0.74166864,22,0,0
35920,0.84184176,22,0,0
14199,0.0,22,0,0
8403,0.0,22,0,0
37042,0.0,22,0,0
41271,0.0,22,0,0
36504,0.43481526,22,0,0
3252,0.0,22,0,0
15638,0.8770336,22,0,0
25146,0.9428631,22,0,0
17348,0.68171555,22,0,0
23202,0.19365892,22,0,0
3697,1.1352594,22,0,0
1217,0.0,22,0,0
40808,0.47483584,22,0,0
36645,0.04738029,22,0,0
25751,0.0,22,0,0
14658,0.0,22,0,0
36585,1.0165251,22,0,0
9319,0.6618037,22,0,0
15211,0.0,22,0,0
1394,0.0,22,0,0
23536,0.019364057,22,0,0
36691,0.0,22,0,0
35388,0.6142523,22,0,0
36882,1.0088605,22,0,0
9320,0.0,22,0,0
835,0.44970274,22,0,0
13316,0.0,22,0,0
29248,0.0,22,0,0
10316,0.41499254,22,0,0
40203,0.14671764,22,0,0
10920,0.16950929,22,0,0
21266,0.26140454,22,0,0
14983,0.0,22,0,0
36838,0.0,22,0,0
38140,0.37164098,22,0,0
14585,0.0,22,0,0
10407,0.7847221,22,0,0
32950,1.0282636,22,0,0
20191,0.0,22,0,0
38235,1.0741123,22,0,0
18064,0.0,22,0,0
6169,1.2597451,22,0,0
6715,0.3587304,22,0,0
5994,0.9664728,22,0,0
13937,0.71977353,22,0,0
12737,0.0,22,0,0
5532,0.07587481,22,0,0
21393,0.8279718,22,0,0
12779,0.0,22,0,0
3766,0.7535412,22,0,0
14708,0.0,22,0,0
19774,0.0,22,0,0
12707,0.0,22,0,0
6491,0.0,22,0,0
13220,0.4979101,22,0,0
14079,0.0,22,0,0
298,0.635014,22,0,0
5854,1.1842906,22,0,0
