,train_loss,test_loss,valid_loss,epoch,fold,iter
0,0.6814063,0.67545277,0.6758687,0,0,0
0,0.6551525,0.66965204,0.66994154,1,0,0
0,0.6330835,0.66291237,0.66316116,2,0,0
0,0.6092029,0.65565675,0.6560099,3,0,0
0,0.5978046,0.64768463,0.64778566,4,0,0
0,0.58517665,0.6356856,0.63491404,5,0,0
0,0.56959313,0.6221944,0.6207178,6,0,0
0,0.5643539,0.60969555,0.60776883,7,0,0
0,0.5646724,0.5978067,0.5951633,8,0,0
0,0.5564547,0.5862712,0.583132,9,0,0
0,0.5548389,0.5770487,0.5730317,10,0,0
0,0.552377,0.57139623,0.56731564,11,0,0
0,0.5429871,0.56505936,0.562531,12,0,0
0,0.54805374,0.56001294,0.5575919,13,0,0
0,0.5404373,0.55609673,0.55337673,14,0,0
0,0.5410865,0.5525691,0.5494264,15,0,0
0,0.5414788,0.5502492,0.54816407,16,0,0
0,0.5390802,0.54980975,0.54727715,17,0,0
0,0.52980125,0.54866654,0.54643476,18,0,0
0,0.53373814,0.54660195,0.5455623,19,0,0
0,0.5278637,0.54423845,0.54538125,20,0,0
0,0.5353605,0.54499555,0.5455436,21,0,0
0,0.53106993,0.5435289,0.5459244,22,0,0
0,0.5216498,0.54499227,0.5461231,23,0,0
0,0.5210802,0.5442418,0.5449026,24,0,0
0,0.52332854,0.54357123,0.5448772,25,0,0
0,0.52275133,0.54480517,0.54484963,26,0,0
0,0.52266425,0.54417026,0.5476686,27,0,0
0,0.67709464,0.67489487,0.67524207,0,1,0
0,0.65684366,0.66961825,0.6698311,1,1,0
0,0.63337904,0.66350615,0.66359633,2,1,0
0,0.6145767,0.655574,0.6554869,3,1,0
0,0.59741026,0.6465091,0.64624214,4,1,0
0,0.5805611,0.635634,0.6352658,5,1,0
0,0.57154435,0.6219765,0.6211886,6,1,0
0,0.56411517,0.6061666,0.6050597,7,1,0
0,0.55878454,0.59216714,0.59117013,8,1,0
0,0.5522056,0.5815116,0.5802533,9,1,0
0,0.55136245,0.573302,0.571521,10,1,0
0,0.54710376,0.56602174,0.56435853,11,1,0
0,0.5439296,0.5603683,0.56005776,12,1,0
0,0.5381343,0.55488926,0.555518,13,1,0
0,0.5374637,0.54878014,0.54904556,14,1,0
0,0.53714734,0.5465764,0.545848,15,1,0
0,0.5236504,0.542864,0.542803,16,1,0
0,0.52792686,0.54148036,0.5438471,17,1,0
0,0.523634,0.54072136,0.5434797,18,1,0
0,0.5249782,0.53984267,0.5403445,19,1,0
0,0.52259755,0.53829014,0.541208,20,1,0
0,0.5284855,0.5378442,0.54015666,21,1,0
0,0.52121365,0.5360664,0.5382762,22,1,0
0,0.5135841,0.53515166,0.5440336,23,1,0
0,0.51469463,0.5442654,0.5480026,24,1,0
0,0.5109609,0.5497061,0.5619858,25,1,0
0,0.51696175,0.53656334,0.54341483,26,1,0
0,0.51316327,0.5370929,0.5433522,27,1,0
0,0.5092675,0.537578,0.5434462,28,1,0
0,0.67677766,0.6761699,0.67659104,0,2,0
0,0.6560369,0.67028946,0.67060375,1,2,0
0,0.6310126,0.66344833,0.66357684,2,2,0
0,0.6135783,0.6551012,0.655155,3,2,0
0,0.5978039,0.6448546,0.6446202,4,2,0
0,0.581198,0.63264775,0.6319007,5,2,0
0,0.5724893,0.620437,0.6191185,6,2,0
0,0.5624544,0.60838753,0.60701096,7,2,0
0,0.5591193,0.59873974,0.59788316,8,2,0
