,train_loss,test_loss,valid_loss,epoch,fold,iter
0,0.67369175,0.65391874,0.6575757,0,0,0
0,0.66223764,0.65394926,0.65751046,1,0,0
0,0.6722098,0.653875,0.65757686,0,1,0
0,0.6614895,0.6543458,0.65765554,1,1,0
0,0.68161935,0.65379435,0.657576,0,2,0
0,0.6633745,0.6542797,0.65759826,1,2,0
0,0.684666,0.65385133,0.6578074,0,3,0
0,0.6646468,0.6534918,0.65722114,1,3,0
0,0.65772325,0.6542506,0.6576727,2,3,0
0,0.65744585,0.6554082,0.65830857,3,3,0
0,0.6530724,0.65525043,0.6580448,4,3,0
0,0.65243304,0.6559559,0.65844244,5,3,0
0,0.6506436,0.6557302,0.65818655,6,3,0
0,0.6829514,0.65423113,0.6580836,0,4,0
0,0.6664806,0.65345764,0.6570611,1,4,0
0,0.6607549,0.65360904,0.65688545,2,4,0
0,0.6550413,0.65407145,0.65675014,3,4,0
0,0.6528769,0.6554797,0.6573646,4,4,0
0,0.65176827,0.65791476,0.6589491,5,4,0
0,0.6496909,0.6571375,0.65836567,6,4,0
0,0.68752813,0.6549543,0.6600267,0,0,1
0,0.67616385,0.6545152,0.65995497,1,0,1
0,0.67092127,0.65273863,0.65657926,2,0,1
0,0.663934,0.6521769,0.65590876,3,0,1
0,0.66038704,0.6516939,0.65538996,4,0,1
0,0.6561071,0.65149885,0.6550248,5,0,1
0,0.65417624,0.65158284,0.65489995,6,0,1
0,0.6523654,0.6520198,0.6548589,7,0,1
0,0.64765686,0.6523811,0.65463865,8,0,1
0,0.6465409,0.65240294,0.6542975,9,0,1
0,0.64609355,0.65337604,0.6549287,10,0,1
0,0.67677164,0.6538775,0.6575773,0,1,1
0,0.66068465,0.654849,0.65796703,1,1,1
0,0.67710066,0.6537944,0.6575769,0,2,1
0,0.66197324,0.6533042,0.65711194,1,2,1
0,0.6556234,0.65354216,0.6568067,2,2,1
0,0.65618485,0.6543351,0.6568206,3,2,1
0,0.652935,0.6543808,0.6565685,4,2,1
0,0.6516011,0.6544212,0.6563708,5,2,1
0,0.6516704,0.65406215,0.6561018,6,2,1
0,0.67953753,0.6538733,0.65762174,0,3,1
0,0.66476226,0.6538012,0.65726864,1,3,1
0,0.6574871,0.65473926,0.65749365,2,3,1
0,0.65641737,0.65542954,0.6583253,3,3,1
0,0.6546795,0.6549026,0.6581999,4,3,1
0,0.6517593,0.654113,0.65771157,5,3,1
0,0.6511465,0.6544357,0.65757287,6,3,1
0,0.68242425,0.6542125,0.65895045,0,4,1
0,0.670975,0.65356493,0.6580448,1,4,1
0,0.6655161,0.65296644,0.6564613,2,4,1
0,0.6580357,0.6527553,0.6561667,3,4,1
0,0.6559543,0.6529579,0.6558238,4,4,1
0,0.6546617,0.6540054,0.655762,5,4,1
0,0.6507551,0.65466464,0.6558288,6,4,1
0,0.6512655,0.6550571,0.65607053,7,4,1
0,0.6496149,0.65491307,0.6559496,8,4,1
0,0.6771958,0.653918,0.65757495,0,0,2
0,0.6621037,0.65476847,0.6578788,1,0,2
0,0.685019,0.6545487,0.6585972,0,1,2
0,0.66718847,0.6533619,0.657072,1,1,2
0,0.66249514,0.6527789,0.65653557,2,1,2
0,0.65798455,0.6527972,0.65632284,3,1,2
0,0.6544325,0.65354306,0.65621185,4,1,2
0,0.65249556,0.65340006,0.65606475,5,1,2
0,0.6504058,0.6533545,0.65606666,6,1,2
0,0.6489217,0.65365744,0.65615326,7,1,2
0,0.68663853,0.6541261,0.6590457,0,2,2
0,0.67221683,0.6534786,0.6580402,1,2,2
0,0.6657137,0.65276486,0.65649253,2,2,2
0,0.66445774,0.6521824,0.65597314,3,2,2
0,0.6597698,0.6517082,0.6554793,4,2,2
0,0.6535006,0.65117425,0.65515506,5,2,2
0,0.652029,0.651123,0.6549446,6,2,2
0,0.6496755,0.65236205,0.65516245,7,2,2
0,0.6480812,0.6523905,0.655237,8,2,2
0,0.64665604,0.65259975,0.6554146,9,2,2
0,0.64536434,0.6512677,0.65372616,10,2,2
0,0.64298177,0.64924884,0.65208906,11,2,2
0,0.6415593,0.650611,0.65291494,12,2,2
0,0.6384832,0.65970725,0.6602554,13,2,2
0,0.6376853,0.652802,0.6549944,14,2,2
0,0.63533455,0.6504497,0.6523638,15,2,2
0,0.6316199,0.6497314,0.6521456,16,2,2
0,0.6765847,0.6537606,0.657577,0,3,2
0,0.66189975,0.65515184,0.65793955,1,3,2
0,0.6913921,0.65489876,0.6586927,0,4,2
0,0.67458254,0.65489215,0.65909773,1,4,2
0,0.6662828,0.65332794,0.6577968,2,4,2
0,0.6631545,0.65236765,0.6569114,3,4,2
0,0.66413647,0.6519175,0.6559655,4,4,2
0,0.65823346,0.6518078,0.655563,5,4,2
0,0.65762013,0.6517091,0.6554466,6,4,2
0,0.6536966,0.65162694,0.65583444,7,4,2
0,0.6523376,0.65220916,0.65619206,8,4,2
0,0.6503539,0.6516789,0.65545696,9,4,2
0,0.6475379,0.6509145,0.65425956,10,4,2
0,0.644681,0.6507633,0.6537058,11,4,2
0,0.64461154,0.6506813,0.6535263,12,4,2
0,0.64215213,0.6516467,0.65432554,13,4,2
0,0.64028597,0.6554632,0.65757847,14,4,2
0,0.6395621,0.65551025,0.65726924,15,4,2
0,0.6353914,0.6525195,0.65466565,16,4,2
0,0.63225645,0.653281,0.6546194,17,4,2
0,0.67819434,0.6539184,0.65757585,0,0,3
0,0.66412795,0.6546617,0.65790486,1,0,3
0,0.6815007,0.6538717,0.65759003,0,1,3
0,0.66365117,0.6535809,0.6573416,1,1,3
0,0.6595426,0.65485245,0.6581306,2,1,3
0,0.6556899,0.65584123,0.65868133,3,1,3
0,0.65542483,0.6560522,0.6587523,4,1,3
0,0.65342724,0.65591407,0.65871173,5,1,3
0,0.6515729,0.6547993,0.65787834,6,1,3
0,0.6741476,0.65379566,0.6575752,0,2,3
0,0.66072154,0.6543641,0.6578207,1,2,3
0,0.6835942,0.65431076,0.6590866,0,3,3
0,0.6688468,0.65361494,0.6581782,1,3,3
0,0.6699222,0.65260845,0.65651166,2,3,3
0,0.66241443,0.6521196,0.6559198,3,3,3
0,0.6590193,0.65160966,0.65543526,4,3,3
0,0.65492916,0.65139496,0.65506387,5,3,3
0,0.65323085,0.6511813,0.6547919,6,3,3
0,0.64956033,0.6509945,0.65436435,7,3,3
0,0.6493626,0.6510036,0.6539633,8,3,3
0,0.6464315,0.65128803,0.65367544,9,3,3
0,0.64641434,0.65199655,0.6537748,10,3,3
0,0.6437486,0.6529075,0.6542118,11,3,3
0,0.6449336,0.6531413,0.65459365,12,3,3
