,bottleneck_unit_0,epoch,fold,iter
29967,0.8287147,26,0,0
2677,0.9474693,26,0,0
3743,0.0,26,0,0
6020,0.049403213,26,0,0
23226,0.29601374,26,0,0
4879,0.9050576,26,0,0
28115,0.4980722,26,0,0
13760,0.0,26,0,0
2221,0.0,26,0,0
41188,0.0,26,0,0
13065,0.49828836,26,0,0
26562,0.0,26,0,0
23939,0.20022097,26,0,0
20541,0.99458164,26,0,0
1961,0.0,26,0,0
27148,0.9133058,26,0,0
13771,0.005282214,26,0,0
21806,0.0,26,0,0
39363,1.2915419,26,0,0
11941,0.35266668,26,0,0
32376,0.0,26,0,0
31215,0.15359928,26,0,0
39437,1.061805,26,0,0
16651,0.0,26,0,0
24271,0.28963947,26,0,0
40585,0.692477,26,0,0
23355,0.84747136,26,0,0
12802,0.36300567,26,0,0
24432,0.6297301,26,0,0
7837,0.62547565,26,0,0
32211,0.0,26,0,0
15573,1.5752829,26,0,0
24877,0.0,26,0,0
38281,1.1055998,26,0,0
5196,0.0,26,0,0
16234,1.2546467,26,0,0
11933,0.0,26,0,0
15255,0.0,26,0,0
29134,0.0,26,0,0
7559,0.20819736,26,0,0
9051,0.0,26,0,0
23911,0.0,26,0,0
37916,0.0,26,0,0
1977,0.17897287,26,0,0
3379,0.10096412,26,0,0
23008,1.2695788,26,0,0
2381,0.0,26,0,0
18744,0.0,26,0,0
3066,0.36975697,26,0,0
39335,0.731905,26,0,0
15186,0.11802029,26,0,0
34361,0.0,26,0,0
35980,0.0,26,0,0
2937,0.0,26,0,0
27366,0.0,26,0,0
16577,0.0,26,0,0
1173,0.0964964,26,0,0
3906,0.18900499,26,0,0
18736,0.0,26,0,0
25937,0.06203097,26,0,0
2576,0.0,26,0,0
29583,0.0,26,0,0
33272,1.1900734,26,0,0
4371,0.0,26,0,0
6591,0.1404595,26,0,0
38903,0.08085073,26,0,0
39053,0.46352324,26,0,0
5149,0.0,26,0,0
22606,0.12906359,26,0,0
21901,0.0,26,0,0
13077,0.3802231,26,0,0
22935,0.0,26,0,0
6222,0.0,26,0,0
35840,0.099892266,26,0,0
31987,0.5181535,26,0,0
22167,0.0,26,0,0
5199,0.0,26,0,0
30598,0.0,26,0,0
35176,0.8214873,26,0,0
32435,0.0,26,0,0
21892,0.26178303,26,0,0
4090,0.27552754,26,0,0
26689,1.6211938,26,0,0
31204,1.3654044,26,0,0
24981,0.71162117,26,0,0
4958,1.4128963,26,0,0
37544,1.7594824,26,0,0
18624,0.36508355,26,0,0
20804,0.5428034,26,0,0
20209,1.0564945,26,0,0
14299,0.7296473,26,0,0
5481,0.0,26,0,0
37028,0.0,26,0,0
9511,0.0,26,0,0
13151,0.0,26,0,0
13418,0.0,26,0,0
25460,0.9495006,26,0,0
38478,0.20768899,26,0,0
20602,0.19976076,26,0,0
28160,0.0,26,0,0
36382,1.5107478,26,0,0
5641,0.0,26,0,0
25365,0.0,26,0,0
13863,0.50573796,26,0,0
5996,0.0,26,0,0
4625,0.0,26,0,0
11741,0.061023366,26,0,0
20942,0.2784366,26,0,0
35894,0.0,26,0,0
8802,0.0,26,0,0
23070,0.5519559,26,0,0
13872,0.061645567,26,0,0
12676,0.18113197,26,0,0
34080,0.8176964,26,0,0
22827,1.348874,26,0,0
19691,0.0,26,0,0
21608,0.08788865,26,0,0
6532,1.210305,26,0,0
5701,0.43562755,26,0,0
17771,0.0,26,0,0
23449,0.30276856,26,0,0
5897,0.0,26,0,0
22711,0.971422,26,0,0
3215,0.21160887,26,0,0
11705,0.79074496,26,0,0
29827,0.0,26,0,0
34935,0.0,26,0,0
36961,1.5053993,26,0,0
28008,0.0,26,0,0
40320,0.0,26,0,0
5858,0.0,26,0,0
28401,0.0,26,0,0
19246,0.4362506,26,0,0
40614,0.0,26,0,0
19627,1.0318475,26,0,0
10338,0.0,26,0,0
18408,0.4491841,26,0,0
26148,0.0,26,0,0
2582,0.4383032,26,0,0
28019,0.11786185,26,0,0
10942,0.14433286,26,0,0
21355,0.0,26,0,0
4204,1.5611614,26,0,0
30197,0.15158492,26,0,0
36441,0.0,26,0,0
34979,0.0,26,0,0
34517,0.19362593,26,0,0
31323,0.1021623,26,0,0
28954,0.0,26,0,0
10334,0.7263644,26,0,0
5368,1.3382124,26,0,0
29452,0.0,26,0,0
22327,0.05292538,26,0,0
19853,1.0750222,26,0,0
31029,0.5198903,26,0,0
35149,0.0,26,0,0
2512,1.043858,26,0,0
12048,0.0,26,0,0
17856,0.0,26,0,0
30589,0.0,26,0,0
7636,2.1713116,26,0,0
20230,0.0,26,0,0
39177,0.0,26,0,0
19570,0.08331699,26,0,0
39257,0.2745348,26,0,0
33448,0.6645648,26,0,0
33557,0.0,26,0,0
20273,0.39255437,26,0,0
3131,0.0,26,0,0
5956,0.051452886,26,0,0
19838,1.0667859,26,0,0
14335,2.3814778,26,0,0
10281,0.11678237,26,0,0
22136,0.0,26,0,0
27278,0.0,26,0,0
19666,1.2047416,26,0,0
30667,0.0,26,0,0
12533,0.07718373,26,0,0
6326,0.1843196,26,0,0
15430,0.0,26,0,0
37669,0.5822714,26,0,0
19521,0.0,26,0,0
31155,0.0,26,0,0
21119,0.0,26,0,0
24249,0.0,26,0,0
761,0.0,26,0,0
13561,0.0,26,0,0
20423,0.0,26,0,0
32174,2.2903783,26,0,0
32503,0.63637155,26,0,0
25673,0.0,26,0,0
35748,0.3933212,26,0,0
35554,0.0,26,0,0
23141,0.22307895,26,0,0
2241,0.29201165,26,0,0
19737,0.18512699,26,0,0
1827,0.09330984,26,0,0
31658,1.9906254,26,0,0
30526,0.0,26,0,0
18914,0.43697757,26,0,0
16579,1.0522536,26,0,0
36332,0.28970695,26,0,0
36281,0.66838944,26,0,0
14666,0.19291043,26,0,0
4045,0.0,26,0,0
1253,0.0,26,0,0
16366,0.6454108,26,0,0
35724,0.8450447,26,0,0
29472,1.4260026,26,0,0
29018,1.4363197,26,0,0
33497,0.0,26,0,0
8081,0.0,26,0,0
15721,0.0,26,0,0
15666,0.0,26,0,0
12689,0.0,26,0,0
28642,0.4412393,26,0,0
6312,0.7459934,26,0,0
11963,0.20701444,26,0,0
33529,0.18982343,26,0,0
6056,0.0,26,0,0
11568,0.78907824,26,0,0
6847,0.32322785,26,0,0
10748,0.72311336,26,0,0
35523,0.0,26,0,0
13153,0.31851402,26,0,0
11652,0.0,26,0,0
1255,0.0,26,0,0
14566,0.23678976,26,0,0
36775,0.8420987,26,0,0
22731,1.2849486,26,0,0
25091,0.0,26,0,0
