,train_loss,test_loss,valid_loss,epoch,fold,iter
0,0.7181938,0.67807144,0.6782965,0,0,0
0,0.68686646,0.6634595,0.6637426,1,0,0
0,0.6678095,0.6491701,0.6492004,2,0,0
0,0.64801854,0.6366361,0.6362771,3,0,0
0,0.63604474,0.6255569,0.6247404,4,0,0
0,0.62121254,0.6156183,0.61428833,5,0,0
0,0.6138292,0.6062579,0.6045257,6,0,0
0,0.60118556,0.5980204,0.5960133,7,0,0
0,0.5952452,0.5910184,0.58879983,8,0,0
0,0.5898382,0.58513266,0.5827126,9,0,0
0,0.5829609,0.58009213,0.5776914,10,0,0
0,0.5775565,0.5755968,0.57324976,11,0,0
0,0.571495,0.57138455,0.5690713,12,0,0
0,0.5672459,0.56725115,0.56504303,13,0,0
0,0.5631473,0.56311727,0.56106967,14,0,0
0,0.56168675,0.5592089,0.5572725,15,0,0
0,0.55650306,0.555691,0.5537474,16,0,0
0,0.55514604,0.552386,0.5503749,17,0,0
0,0.54748493,0.54937005,0.54746175,18,0,0
0,0.5474835,0.5467326,0.54495555,19,0,0
0,0.5433249,0.5444479,0.54289705,20,0,0
0,0.5396045,0.54238963,0.5413191,21,0,0
0,0.53624713,0.5404171,0.5399506,22,0,0
0,0.53555614,0.5390338,0.5392804,23,0,0
0,0.5361734,0.5369161,0.5381898,24,0,0
0,0.5324962,0.53480977,0.53585273,25,0,0
0,0.525763,0.5334095,0.5341365,26,0,0
0,0.5297427,0.53418857,0.5343666,27,0,0
0,0.520027,0.535363,0.53465354,28,0,0
0,0.5181256,0.5370545,0.5350281,29,0,0
0,0.5108879,0.53954613,0.5361051,30,0,0
0,0.51337075,0.53523576,0.53436774,31,0,0
0,0.71991175,0.67891,0.67812246,0,1,0
0,0.6849265,0.6618994,0.66123605,1,1,0
0,0.6657619,0.6475671,0.6468581,2,1,0
0,0.6487236,0.6352184,0.63430494,3,1,0
0,0.63488764,0.6244572,0.62337697,4,1,0
0,0.6217627,0.6147074,0.6133893,5,1,0
0,0.6112969,0.605973,0.6044745,6,1,0
0,0.6028867,0.5981085,0.5963849,7,1,0
0,0.5970356,0.5911581,0.5891736,8,1,0
0,0.59252423,0.5849947,0.58281904,9,1,0
0,0.5829625,0.57953894,0.5772982,10,1,0
0,0.5761735,0.57468325,0.5724808,11,1,0
0,0.57277447,0.57028615,0.5681578,12,1,0
0,0.5678449,0.56612444,0.564062,13,1,0
0,0.56351614,0.56238425,0.5603803,14,1,0
0,0.56005794,0.5588843,0.55693144,15,1,0
0,0.5607364,0.5553925,0.5534961,16,1,0
0,0.5531146,0.55217725,0.5502116,17,1,0
0,0.54223067,0.5497195,0.5475439,18,1,0
0,0.5441999,0.54822737,0.54540986,19,1,0
0,0.54635113,0.54668736,0.5439181,20,1,0
0,0.54145795,0.5458309,0.54374146,21,1,0
0,0.53803986,0.5451867,0.5432304,22,1,0
0,0.5292197,0.5441318,0.54235286,23,1,0
0,0.52495223,0.5402975,0.5394264,24,1,0
0,0.52301806,0.5382898,0.5378475,25,1,0
0,0.5192211,0.53966635,0.5362644,26,1,0
0,0.5189368,0.5363229,0.53544825,27,1,0
0,0.51848763,0.5397208,0.5361672,28,1,0
0,0.51041406,0.53975755,0.53650874,29,1,0
0,0.5084613,0.5367029,0.5343623,30,1,0
0,0.5074212,0.54265064,0.54041994,31,1,0
0,0.50146896,0.5390901,0.53758913,32,1,0
0,0.720323,0.6798775,0.6799927,0,2,0
0,0.6865439,0.66520846,0.6647433,1,2,0
0,0.6639773,0.6510339,0.6502283,2,2,0
0,0.6490888,0.63677746,0.63572836,3,2,0
0,0.6349914,0.6244339,0.6232432,4,2,0
0,0.6210594,0.6142025,0.6127537,5,2,0
0,0.6102812,0.6054511,0.60364926,6,2,0
