,bottleneck_unit_0,epoch,fold,iter
28933,0.0,0,0,0
41338,0.0,0,0,0
17100,0.0,0,0,0
6020,0.0,0,0,0
32995,0.0,0,0,0
7982,0.0,0,0,0
23226,0.0,0,0,0
25731,0.0,0,0,0
13760,0.0,0,0,0
2221,0.0,0,0,0
6938,0.0,0,0,0
41188,0.0,0,0,0
40053,0.0,0,0,0
20541,0.0,0,0,0
27148,0.0,0,0,0
13771,0.0,0,0,0
39012,0.0,0,0,0
21806,0.0,0,0,0
19641,0.0,0,0,0
7123,0.0,0,0,0
12788,0.0,0,0,0
38836,0.0,0,0,0
34037,0.0,0,0,0
27570,0.0,0,0,0
10099,0.0,0,0,0
39437,0.0,0,0,0
3682,0.0,0,0,0
24271,0.0,0,0,0
40585,0.0,0,0,0
41035,0.0,0,0,0
12802,0.0,0,0,0
24432,0.0,0,0,0
11763,0.0,0,0,0
33302,0.0,0,0,0
15970,0.0,0,0,0
27600,0.0,0,0,0
22025,0.0,0,0,0
30357,0.0,0,0,0
18803,0.0,0,0,0
38281,0.0,0,0,0
4404,0.0,0,0,0
367,0.0,0,0,0
554,0.0,0,0,0
9514,0.0,0,0,0
32627,0.0,0,0,0
22418,0.0,0,0,0
15868,0.0,0,0,0
2381,0.0,0,0,0
13790,0.0,0,0,0
15546,0.0,0,0,0
37934,0.0,0,0,0
12055,0.0,0,0,0
20213,0.0,0,0,0
27382,0.0,0,0,0
250,0.0,0,0,0
2621,0.0,0,0,0
2937,0.0,0,0,0
27366,0.0,0,0,0
9713,0.0,0,0,0
29651,0.0,0,0,0
7805,0.0,0,0,0
34820,0.0,0,0,0
12613,0.0,0,0,0
33454,0.0,0,0,0
25420,0.0,0,0,0
18736,0.0,0,0,0
31106,0.0,0,0,0
23698,0.0,0,0,0
9763,0.0,0,0,0
33742,0.0,0,0,0
30250,0.0,0,0,0
40570,0.0,0,0,0
22606,0.0,0,0,0
22167,0.0,0,0,0
24655,0.0,0,0,0
33835,0.0,0,0,0
6598,0.0,0,0,0
21777,0.0,0,0,0
32435,0.0,0,0,0
7018,0.0,0,0,0
26689,0.0,0,0,0
31204,0.0,0,0,0
30804,0.0,0,0,0
20968,0.0,0,0,0
3343,0.0,0,0,0
2467,0.0,0,0,0
5481,0.0,0,0,0
5424,0.0,0,0,0
25460,0.0,0,0,0
10765,0.0,0,0,0
20289,0.0,0,0,0
28160,0.0,0,0,0
29880,0.0,0,0,0
31224,0.0,0,0,0
39129,0.0,0,0,0
6376,0.0,0,0,0
16455,0.0,0,0,0
17593,0.0,0,0,0
35444,0.0,0,0,0
25188,0.0,0,0,0
31928,0.0,0,0,0
29236,0.0,0,0,0
11741,0.0,0,0,0
20942,0.0,0,0,0
40744,0.0,0,0,0
14769,0.0,0,0,0
1410,0.0,0,0,0
11,0.0,0,0,0
10394,0.0,0,0,0
39623,0.0,0,0,0
31039,0.0,0,0,0
11530,0.0,0,0,0
41135,0.0,0,0,0
22827,0.0,0,0,0
24080,0.0,0,0,0
12799,0.0,0,0,0
22457,0.0,0,0,0
28498,0.0,0,0,0
20867,0.0,0,0,0
8041,0.0,0,0,0
6532,0.0,0,0,0
30528,0.0,0,0,0
17771,0.0,0,0,0
26099,0.0,0,0,0
6461,0.0,0,0,0
19032,0.0,0,0,0
34935,0.0,0,0,0
6566,0.0,0,0,0
34936,0.0,0,0,0
7722,0.0,0,0,0
36961,0.0,0,0,0
40320,0.0,0,0,0
3017,0.0,0,0,0
32609,0.0,0,0,0
29117,0.0,0,0,0
322,0.0,0,0,0
13002,0.0,0,0,0
954,0.0,0,0,0
21355,0.0,0,0,0
30432,0.0,0,0,0
11292,0.0,0,0,0
6960,0.0,0,0,0
26835,0.0,0,0,0
22310,0.0,0,0,0
9599,0.0,0,0,0
29550,0.0,0,0,0
23972,0.0,0,0,0
1211,0.0,0,0,0
40505,0.0,0,0,0
9659,0.0,0,0,0
14280,0.0,0,0,0
39895,0.0,0,0,0
19853,0.0,0,0,0
31029,0.0,0,0,0
17642,0.0,0,0,0
39531,0.0,0,0,0
11459,0.0,0,0,0
39959,0.0,0,0,0
30589,0.0,0,0,0
31445,0.0,0,0,0
8878,0.0,0,0,0
15776,0.0,0,0,0
25000,0.0,0,0,0
11989,0.0,0,0,0
18856,0.0,0,0,0
3131,0.0,0,0,0
20744,0.0,0,0,0
19838,0.0,0,0,0
289,0.0,0,0,0
21338,0.0,0,0,0
2396,0.0,0,0,0
13222,0.0,0,0,0
30667,0.0,0,0,0
37781,0.0,0,0,0
17603,0.0,0,0,0
15430,0.0,0,0,0
7337,0.0,0,0,0
2738,0.0,0,0,0
31155,0.0,0,0,0
35912,0.0,0,0,0
16523,0.0,0,0,0
13561,0.0,0,0,0
10869,0.0,0,0,0
5800,0.0,0,0,0
12116,0.0,0,0,0
35913,0.0,0,0,0
28451,0.0,0,0,0
29972,0.0,0,0,0
35010,0.0,0,0,0
35253,0.0,0,0,0
27290,0.0,0,0,0
20769,0.0,0,0,0
16896,0.0,0,0,0
3346,0.0,0,0,0
38078,0.0,0,0,0
3760,0.0,0,0,0
2393,0.0,0,0,0
29472,0.0,0,0,0
15721,0.0,0,0,0
15666,0.0,0,0,0
7072,0.0,0,0,0
25354,0.0,0,0,0
6499,0.0,0,0,0
17141,0.0,0,0,0
6312,0.0,0,0,0
14537,0.0,0,0,0
1200,0.0,0,0,0
21658,0.0,0,0,0
6056,0.0,0,0,0
18282,0.0,0,0,0
18147,0.0,0,0,0
35138,0.0,0,0,0
11434,0.0,0,0,0
20373,0.0,0,0,0
13976,0.0,0,0,0
24940,0.0,0,0,0
8159,0.0,0,0,0
32045,0.0,0,0,0
27200,0.0,0,0,0
20263,0.0,0,0,0
24991,0.0,0,0,0
39549,0.0,0,0,0
22703,0.0,0,0,0
27810,0.0,0,0,0
17664,0.0,0,0,0
11556,0.0,0,0,0
33368,0.0,0,0,0
22409,0.0,0,0,0
36998,0.0,0,0,0
12446,0.0,0,0,0
2901,0.0,0,0,0
22897,0.0,0,0,0
39592,0.0,0,0,0
9701,0.0,0,0,0
1988,0.0,0,0,0
1702,0.0,0,0,0
39534,0.0,0,0,0
21959,0.0,0,0,0
12504,0.0,0,0,0
8547,0.0,0,0,0
4819,0.0,0,0,0
14150,0.0,0,0,0
23288,0.0,0,0,0
9234,0.0,0,0,0
6021,0.0,0,0,0
23456,0.0,0,0,0
14832,0.0,0,0,0
24258,0.0,0,0,0
38967,0.0,0,0,0
20161,0.0,0,0,0
5554,0.0,0,0,0
33942,0.0,0,0,0
5773,0.0,0,0,0
18963,0.0,0,0,0
4616,0.0,0,0,0
8193,0.0,0,0,0
13311,0.0,0,0,0
18891,0.0,0,0,0
27732,0.0,0,0,0
31575,0.0,0,0,0
27886,0.0,0,0,0
29319,0.0,0,0,0
28544,0.0,0,0,0
17195,0.0,0,0,0
23028,0.0,0,0,0
5337,0.0,0,0,0
34261,0.0,0,0,0
4798,0.0,0,0,0
12868,0.0,0,0,0
23982,0.0,0,0,0
25913,0.0,0,0,0
16783,0.0,0,0,0
16934,0.0,0,0,0
2476,0.0,0,0,0
35001,0.0,0,0,0
8153,0.0,0,0,0
21639,0.0,0,0,0
40081,0.0,0,0,0
36369,0.0,0,0,0
14684,0.0,0,0,0
729,0.0,0,0,0
37141,0.0,0,0,0
326,0.0,0,0,0
12266,0.0,0,0,0
19898,0.0,0,0,0
40991,0.0,0,0,0
36581,0.0,0,0,0
21569,0.0,0,0,0
5653,0.0,0,0,0
25306,0.0,0,0,0
40251,0.0,0,0,0
6875,0.0,0,0,0
23140,0.0,0,0,0
1175,0.0,0,0,0
26449,0.0,0,0,0
30430,0.0,0,0,0
25928,0.0,0,0,0
22339,0.0,0,0,0
3161,0.0,0,0,0
16262,0.0,0,0,0
30238,0.0,0,0,0
16337,0.0,0,0,0
4410,0.0,0,0,0
5988,0.0,0,0,0
27498,0.0,0,0,0
