,bottleneck_unit_0,epoch,fold,iter
34388,0.81787854,14,0,0
23720,0.0,14,0,0
5213,0.47118932,14,0,0
17100,0.6557452,14,0,0
6020,0.0,14,0,0
6203,0.831304,14,0,0
4879,0.31772032,14,0,0
13592,0.0,14,0,0
20707,0.2963856,14,0,0
6938,0.37623438,14,0,0
26562,0.8087487,14,0,0
23939,0.54479337,14,0,0
40053,0.37756702,14,0,0
16428,0.7797807,14,0,0
27148,0.0,14,0,0
13771,0.0,14,0,0
12874,0.8207588,14,0,0
40280,0.2697855,14,0,0
24271,0.0,14,0,0
12802,0.7707666,14,0,0
7837,0.0,14,0,0
32211,0.47424936,14,0,0
19555,0.70721465,14,0,0
18803,0.59247035,14,0,0
17840,0.845804,14,0,0
20726,0.0,14,0,0
9818,0.0,14,0,0
5196,0.53254205,14,0,0
40165,0.0,14,0,0
718,0.71931225,14,0,0
11933,0.8512642,14,0,0
33176,0.58252406,14,0,0
40270,0.0,14,0,0
9051,0.1999132,14,0,0
32627,0.0,14,0,0
37916,0.7147695,14,0,0
10661,0.7897358,14,0,0
28809,0.44127667,14,0,0
32396,0.17531352,14,0,0
13790,0.0,14,0,0
15546,0.56596875,14,0,0
25332,0.0,14,0,0
27429,0.041473847,14,0,0
34361,0.15027718,14,0,0
34657,0.64007884,14,0,0
2621,0.7479723,14,0,0
28958,0.81718683,14,0,0
3906,0.25429958,14,0,0
35400,0.67946535,14,0,0
33454,0.0,14,0,0
13415,0.0,14,0,0
640,0.0,14,0,0
31106,0.0,14,0,0
34333,0.0,14,0,0
34792,0.0,14,0,0
26438,0.75222826,14,0,0
9763,0.46605945,14,0,0
40326,0.0,14,0,0
10776,0.30838892,14,0,0
19350,0.0,14,0,0
7511,0.09472105,14,0,0
1412,0.0,14,0,0
26979,0.19149761,14,0,0
13077,0.47141457,14,0,0
18553,0.7722719,14,0,0
5199,0.06038249,14,0,0
32406,0.4202986,14,0,0
23375,0.6019332,14,0,0
21892,0.0,14,0,0
19109,0.71778923,14,0,0
6777,0.76961595,14,0,0
31204,0.32522842,14,0,0
206,0.0,14,0,0
20968,0.7653084,14,0,0
13023,0.7666168,14,0,0
15873,0.0,14,0,0
14299,0.40374094,14,0,0
37028,0.35659683,14,0,0
14002,0.19132684,14,0,0
5424,0.5522504,14,0,0
32486,0.0,14,0,0
38478,0.0,14,0,0
24741,0.2948586,14,0,0
30932,0.72130144,14,0,0
29880,0.0,14,0,0
2588,0.2730031,14,0,0
16455,0.40785578,14,0,0
18979,0.73446333,14,0,0
934,0.0,14,0,0
19207,0.0,14,0,0
35302,0.8146751,14,0,0
28137,0.35793546,14,0,0
10489,0.4018352,14,0,0
26582,0.52740455,14,0,0
5230,0.0,14,0,0
14769,0.6921544,14,0,0
1410,0.20770584,14,0,0
13872,0.6356677,14,0,0
8198,0.0,14,0,0
40062,0.74356604,14,0,0
25951,0.0,14,0,0
2596,0.6022393,14,0,0
9617,0.21676761,14,0,0
41135,0.0,14,0,0
19691,0.12616006,14,0,0
22457,0.13962948,14,0,0
19758,0.8184089,14,0,0
21608,0.0,14,0,0
30528,0.0,14,0,0
8277,0.2865466,14,0,0
25908,0.8037824,14,0,0
