,train_loss,test_loss,valid_loss,epoch,fold,iter
0,0.69906783,0.69628954,0.6968414,0,0,0
0,0.6700657,0.6933649,0.6936058,1,0,0
0,0.6410437,0.6885969,0.68860364,2,0,0
0,0.6163035,0.67913353,0.6788997,3,0,0
0,0.59408385,0.66725284,0.6668122,4,0,0
0,0.5687763,0.6521641,0.6513635,5,0,0
0,0.55035454,0.6353881,0.6345682,6,0,0
0,0.53978276,0.618142,0.616971,7,0,0
0,0.53679395,0.60299426,0.60180926,8,0,0
0,0.5299485,0.5917254,0.5909912,9,0,0
0,0.5217111,0.5804192,0.57988405,10,0,0
0,0.5185916,0.5652204,0.563615,11,0,0
0,0.5103995,0.55147237,0.5503756,12,0,0
0,0.5139029,0.54502565,0.54294705,13,0,0
0,0.50497764,0.5443708,0.54221153,14,0,0
0,0.5002745,0.545323,0.54236275,15,0,0
0,0.4977782,0.54486823,0.5409178,16,0,0
0,0.49194863,0.54499966,0.5394686,17,0,0
0,0.49183795,0.5464973,0.543631,18,0,0
0,0.4842998,0.5484536,0.5480195,19,0,0
0,0.69684345,0.6960005,0.69654393,0,1,0
0,0.67515206,0.6903494,0.6906666,1,1,0
0,0.65384865,0.6866381,0.6867474,2,1,0
0,0.63056296,0.6816645,0.681662,3,1,0
0,0.60343117,0.67225015,0.67228144,4,1,0
0,0.5831328,0.66053617,0.66029876,5,1,0
0,0.5702184,0.64475715,0.6449143,6,1,0
0,0.55318123,0.6258547,0.6257432,7,1,0
0,0.54229087,0.60549146,0.60570884,8,1,0
0,0.53497237,0.5901805,0.5904886,9,1,0
0,0.5260357,0.5773562,0.5774984,10,1,0
0,0.5216024,0.55342007,0.5554413,11,1,0
0,0.52332723,0.54405737,0.547277,12,1,0
0,0.52451676,0.5446058,0.5477181,13,1,0
0,0.5153483,0.538282,0.5432279,14,1,0
0,0.5109176,0.5331176,0.53763956,15,1,0
0,0.5119564,0.53204036,0.53623646,16,1,0
0,0.5057444,0.5276492,0.53527087,17,1,0
0,0.49647093,0.52722275,0.53673357,18,1,0
0,0.4962374,0.5309966,0.5373473,19,1,0
0,0.49673435,0.53566396,0.5414948,20,1,0
0,0.496493,0.535875,0.54191154,21,1,0
0,0.4835484,0.5365047,0.5413745,22,1,0
0,0.49410447,0.54139066,0.5450181,23,1,0
0,0.6947255,0.69599736,0.69648296,0,2,0
0,0.6598204,0.692345,0.6925181,1,2,0
0,0.63309926,0.6889648,0.6887179,2,2,0
0,0.6074204,0.6814441,0.68079275,3,2,0
0,0.58482534,0.6700216,0.66890967,4,2,0
0,0.5609576,0.65616715,0.65484416,5,2,0
0,0.54977304,0.64087397,0.6393439,6,2,0
0,0.53263795,0.62372726,0.62187815,7,2,0
0,0.52424407,0.60774297,0.60541815,8,2,0
0,0.5165902,0.5891489,0.5864451,9,2,0
0,0.51244587,0.5734283,0.5692406,10,2,0
0,0.50462836,0.5629729,0.5590301,11,2,0
0,0.49906242,0.5551414,0.55517536,12,2,0
0,0.49312147,0.5540929,0.5500362,13,2,0
