,bottleneck_unit_0,epoch,fold,iter
28933,0.0,18,0,0
41338,0.2944863,18,0,0
17100,0.0,18,0,0
6020,0.0,18,0,0
32995,0.9839485,18,0,0
7982,0.0,18,0,0
23226,0.0,18,0,0
25731,0.0,18,0,0
13760,0.0,18,0,0
2221,0.0,18,0,0
6938,0.0,18,0,0
41188,0.0,18,0,0
40053,0.642433,18,0,0
20541,0.6870355,18,0,0
27148,0.6945531,18,0,0
13771,0.0,18,0,0
39012,0.81966764,18,0,0
21806,0.0,18,0,0
19641,0.0,18,0,0
7123,0.0,18,0,0
12788,0.0,18,0,0
38836,0.0,18,0,0
34037,0.0,18,0,0
27570,0.21305092,18,0,0
10099,1.0521532,18,0,0
39437,0.24749005,18,0,0
3682,0.24401575,18,0,0
24271,0.116249494,18,0,0
40585,0.5870505,18,0,0
41035,0.0,18,0,0
12802,0.3471235,18,0,0
24432,1.3049313,18,0,0
11763,0.0,18,0,0
33302,0.23316416,18,0,0
15970,0.29777387,18,0,0
27600,0.35716808,18,0,0
22025,0.51067436,18,0,0
30357,0.0,18,0,0
18803,0.0,18,0,0
38281,0.14622402,18,0,0
4404,0.17713907,18,0,0
367,0.0,18,0,0
554,0.118218586,18,0,0
9514,1.137608,18,0,0
32627,0.50244945,18,0,0
22418,0.0,18,0,0
15868,0.0,18,0,0
2381,0.022739992,18,0,0
13790,0.0,18,0,0
15546,0.5439026,18,0,0
37934,0.2393855,18,0,0
12055,1.6123757,18,0,0
20213,0.0,18,0,0
27382,0.0,18,0,0
250,0.0,18,0,0
2621,0.0,18,0,0
2937,0.0,18,0,0
27366,0.0,18,0,0
9713,0.31247056,18,0,0
29651,0.32627645,18,0,0
7805,0.0,18,0,0
34820,1.1182641,18,0,0
12613,1.1676495,18,0,0
33454,0.15488012,18,0,0
25420,0.52108055,18,0,0
18736,0.0,18,0,0
31106,0.6618858,18,0,0
23698,0.0,18,0,0
9763,0.0,18,0,0
33742,0.0,18,0,0
30250,0.2457964,18,0,0
40570,0.0,18,0,0
22606,0.05540392,18,0,0
22167,0.0,18,0,0
24655,0.0,18,0,0
33835,0.3745978,18,0,0
6598,0.0,18,0,0
21777,0.39582524,18,0,0
32435,0.0,18,0,0
7018,0.0,18,0,0
26689,0.7182509,18,0,0
31204,0.5315736,18,0,0
30804,0.0,18,0,0
20968,0.0,18,0,0
3343,0.0,18,0,0
2467,0.4309973,18,0,0
5481,0.0,18,0,0
5424,0.0,18,0,0
25460,0.7581525,18,0,0
10765,1.6020669,18,0,0
20289,0.5513218,18,0,0
28160,0.0,18,0,0
29880,0.8484157,18,0,0
31224,0.35617855,18,0,0
39129,0.6832692,18,0,0
6376,0.47000816,18,0,0
16455,0.0,18,0,0
17593,0.0,18,0,0
35444,0.0,18,0,0
25188,1.3665769,18,0,0
31928,0.74839103,18,0,0
29236,0.0,18,0,0
11741,0.10855767,18,0,0
20942,0.23844674,18,0,0
40744,0.9477669,18,0,0
14769,0.0,18,0,0
1410,0.5021455,18,0,0
11,0.56298244,18,0,0
10394,0.0,18,0,0
39623,0.8727789,18,0,0
31039,0.0,18,0,0
11530,0.0,18,0,0
41135,0.31066,18,0,0
22827,2.4227712,18,0,0
24080,0.0,18,0,0
12799,0.0,18,0,0
22457,0.85166544,18,0,0
28498,0.6754796,18,0,0
20867,0.13408464,18,0,0
8041,0.0,18,0,0
6532,1.0063012,18,0,0
30528,0.11871144,18,0,0
17771,0.21782538,18,0,0
26099,0.85633457,18,0,0
6461,0.18683481,18,0,0
19032,0.053781144,18,0,0
34935,0.0,18,0,0
6566,0.0,18,0,0
34936,0.56408703,18,0,0
7722,0.062007282,18,0,0
36961,0.8596639,18,0,0
40320,0.0,18,0,0
3017,0.46121004,18,0,0
32609,0.0,18,0,0
29117,0.6381924,18,0,0
322,0.0,18,0,0
13002,0.0,18,0,0
954,0.9156099,18,0,0
21355,0.0,18,0,0
30432,0.0,18,0,0
11292,0.0,18,0,0
6960,0.0,18,0,0
26835,0.0,18,0,0
22310,0.0,18,0,0
9599,1.033717,18,0,0
29550,0.5826768,18,0,0
23972,0.120547436,18,0,0
1211,0.0,18,0,0
40505,0.0,18,0,0
9659,0.017573012,18,0,0
14280,0.0,18,0,0
39895,0.0,18,0,0
19853,0.7707384,18,0,0
31029,0.0,18,0,0
17642,0.7747268,18,0,0
39531,0.5998626,18,0,0
11459,0.31299466,18,0,0
39959,0.0,18,0,0
30589,0.0,18,0,0
31445,0.0,18,0,0
8878,0.0,18,0,0
15776,0.0,18,0,0
25000,0.0,18,0,0
11989,0.0,18,0,0
18856,0.0,18,0,0
3131,0.0,18,0,0
20744,0.0,18,0,0
19838,1.8873644,18,0,0
289,0.18370467,18,0,0
21338,0.2679411,18,0,0
2396,0.5273364,18,0,0
13222,0.0,18,0,0
30667,0.0,18,0,0
37781,1.220608,18,0,0
17603,0.0,18,0,0
15430,0.0,18,0,0
7337,0.0,18,0,0
2738,0.17425533,18,0,0
31155,0.0,18,0,0
35912,0.0,18,0,0
16523,0.0,18,0,0
13561,0.0,18,0,0
10869,1.2228827,18,0,0
5800,0.31511125,18,0,0
12116,0.05889349,18,0,0
35913,0.0,18,0,0
28451,0.0,18,0,0
29972,0.0,18,0,0
35010,0.0,18,0,0
35253,0.09316658,18,0,0
27290,0.0,18,0,0
20769,0.11406727,18,0,0
16896,0.02743255,18,0,0
3346,0.0,18,0,0
38078,0.8103801,18,0,0
3760,0.0,18,0,0
2393,0.0,18,0,0
29472,0.88277346,18,0,0
15721,0.0,18,0,0
15666,0.0,18,0,0
7072,0.0,18,0,0
25354,0.0,18,0,0
6499,0.39719206,18,0,0
17141,1.1626889,18,0,0
6312,0.33699137,18,0,0
14537,0.47640315,18,0,0
1200,0.0,18,0,0
21658,0.0,18,0,0
6056,0.0,18,0,0
18282,0.0,18,0,0
