,train_loss,test_loss,valid_loss,epoch,fold,iter
0,0.6412657,0.6258107,0.6264335,0,0,0
0,0.6223268,0.611992,0.6121965,1,0,0
0,0.60769045,0.6004744,0.60024184,2,0,0
0,0.59661335,0.5908481,0.59017384,3,0,0
0,0.5847098,0.58285946,0.58191067,4,0,0
0,0.5802924,0.57631814,0.5750821,5,0,0
0,0.5717823,0.5708258,0.5695288,6,0,0
0,0.5717439,0.56609493,0.5647157,7,0,0
0,0.5623639,0.56182945,0.56042683,8,0,0
0,0.55808824,0.55776894,0.5563448,9,0,0
0,0.55621046,0.5541769,0.5524328,10,0,0
0,0.54758525,0.55111635,0.5490515,11,0,0
0,0.5459792,0.5486498,0.5465929,12,0,0
0,0.5430298,0.5470464,0.54517287,13,0,0
0,0.5350595,0.5462399,0.54424024,14,0,0
0,0.5347958,0.5437661,0.54161066,15,0,0
0,0.53259873,0.5414044,0.5387192,16,0,0
0,0.53185326,0.540177,0.5378328,17,0,0
0,0.5206772,0.5382139,0.53773296,18,0,0
0,0.5260656,0.5380492,0.53700715,19,0,0
0,0.51924145,0.5392446,0.53616947,20,0,0
0,0.5167022,0.53937966,0.5371008,21,0,0
0,0.5083021,0.5373434,0.53425527,22,0,0
0,0.5099171,0.5379853,0.53560203,23,0,0
0,0.5042901,0.54083073,0.5369051,24,0,0
0,0.49624452,0.540012,0.53565395,25,0,0
0,0.49885798,0.53907436,0.5352388,26,0,0
0,0.48821545,0.540829,0.5380222,27,0,0
0,0.6426723,0.6276915,0.6281487,0,1,0
0,0.62170357,0.6134637,0.61391103,1,1,0
0,0.60915184,0.601028,0.6011574,2,1,0
0,0.5988553,0.5908309,0.59053993,3,1,0
0,0.5874161,0.58257437,0.58202034,4,1,0
0,0.58174807,0.5758582,0.57510716,5,1,0
0,0.5737932,0.5703837,0.5695027,6,1,0
0,0.56723475,0.56559724,0.5646021,7,1,0
0,0.56390905,0.5611198,0.5601956,8,1,0
0,0.557175,0.5565099,0.55612993,9,1,0
0,0.5563597,0.55220723,0.5524942,10,1,0
0,0.5496846,0.54879725,0.5491922,11,1,0
0,0.54314643,0.5463291,0.5466759,12,1,0
0,0.5399384,0.54375947,0.54435194,13,1,0
0,0.5392166,0.54298705,0.5429614,14,1,0
0,0.532036,0.5427843,0.5417753,15,1,0
0,0.5299916,0.5395763,0.53996754,16,1,0
0,0.5254483,0.53962517,0.5407296,17,1,0
0,0.52180594,0.5394798,0.5406663,18,1,0
0,0.5231078,0.53876114,0.5385289,19,1,0
0,0.5171805,0.53634894,0.53703743,20,1,0
0,0.50643176,0.5369886,0.5386383,21,1,0
0,0.50443465,0.5379055,0.5393512,22,1,0
0,0.5070488,0.5412093,0.54218173,23,1,0
0,0.49352694,0.53635395,0.53703576,24,1,0
0,0.4935732,0.5375567,0.54094964,25,1,0
0,0.64235884,0.62678134,0.62759244,0,2,0
0,0.6223002,0.61333305,0.61364156,1,2,0
0,0.60810333,0.6010657,0.60078394,2,2,0
0,0.59708333,0.5911645,0.59035563,3,2,0
0,0.5883643,0.5831543,0.5819889,4,2,0
0,0.58104897,0.57657564,0.57525945,5,2,0
0,0.5746515,0.5711581,0.5697905,6,2,0
0,0.5707895,0.5665424,0.5651318,7,2,0
0,0.56431675,0.56244904,0.5611746,8,2,0
0,0.56003016,0.55870795,0.55744594,9,2,0
0,0.55224365,0.5552204,0.5538512,10,2,0
0,0.54921883,0.5518122,0.5505225,11,2,0
0,0.5456063,0.54848796,0.5477236,12,2,0
0,0.54202163,0.5454317,0.5452566,13,2,0
0,0.5405466,0.5427006,0.5428946,14,2,0
0,0.53401524,0.5410771,0.5411214,15,2,0
0,0.53403115,0.54005927,0.54038346,16,2,0
0,0.53366345,0.5388057,0.5394744,17,2,0
0,0.5259384,0.53815615,0.5385335,18,2,0
0,0.52102345,0.53796935,0.53801066,19,2,0
0,0.52123827,0.5383844,0.5392479,20,2,0
0,0.51893234,0.5363215,0.5383674,21,2,0
0,0.51052356,0.53680164,0.5372437,22,2,0
0,0.506313,0.53951895,0.5399718,23,2,0
0,0.5076011,0.54142135,0.5417604,24,2,0
0,0.49825552,0.53918827,0.5389517,25,2,0
0,0.5014915,0.5407512,0.53987604,26,2,0
0,0.64165384,0.62655973,0.6273412,0,3,0
0,0.62196726,0.6125318,0.6128072,1,3,0
0,0.6062973,0.6004025,0.600198,2,3,0
0,0.5995624,0.59042746,0.58987916,3,3,0
0,0.58501375,0.5824727,0.58172745,4,3,0
0,0.5824329,0.57592404,0.57514435,5,3,0
0,0.57666147,0.57056427,0.5697884,6,3,0
0,0.5716873,0.5660545,0.56524056,7,3,0
0,0.5640387,0.5622525,0.5612794,8,3,0
0,0.5581662,0.5583956,0.5576372,9,3,0
0,0.550185,0.5539436,0.5536666,10,3,0
0,0.5518115,0.5499602,0.5500203,11,3,0
0,0.5483448,0.5468745,0.5471689,12,3,0
0,0.5474646,0.5441595,0.5450245,13,3,0
0,0.53944576,0.5422473,0.54395056,14,3,0
0,0.5385293,0.54137665,0.54300755,15,3,0
0,0.5306167,0.54066527,0.5424245,16,3,0
0,0.5354256,0.5393455,0.54122376,17,3,0
0,0.52819866,0.537,0.539477,18,3,0
0,0.5230884,0.53592163,0.53846425,19,3,0
0,0.5206689,0.53791285,0.53867114,20,3,0
0,0.51731926,0.5363259,0.53735685,21,3,0
0,0.51207733,0.53779167,0.53793174,22,3,0
0,0.5071034,0.5392602,0.5391028,23,3,0
0,0.5073742,0.5362742,0.5372585,24,3,0
0,0.6428147,0.6265062,0.627327,0,4,0
0,0.62153345,0.61344284,0.6137149,1,4,0
0,0.6079686,0.6015855,0.60137373,2,4,0
0,0.5969469,0.59145224,0.5908087,3,4,0
0,0.5890717,0.58310056,0.58218074,4,4,0
0,0.57936454,0.5765544,0.5753732,5,4,0
0,0.5705733,0.57105064,0.569715,6,4,0
0,0.5708561,0.5663012,0.5650154,7,4,0
0,0.56198055,0.5620399,0.56080204,8,4,0
0,0.5604421,0.55817014,0.5570747,9,4,0
0,0.5563043,0.55453044,0.55381936,10,4,0
0,0.55256027,0.5518913,0.55088747,11,4,0
0,0.5521657,0.5494056,0.5479115,12,4,0
0,0.54413646,0.54753816,0.5458176,13,4,0
0,0.5409232,0.54628044,0.5444474,14,4,0
0,0.53821087,0.5445309,0.54296285,15,4,0
0,0.53317094,0.5429031,0.54196006,16,4,0
0,0.52846456,0.5421084,0.54156154,17,4,0
0,0.5276026,0.5399985,0.5393318,18,4,0
0,0.5196422,0.5389518,0.5391346,19,4,0
0,0.5211765,0.53938466,0.5388451,20,4,0
0,0.5219143,0.54001546,0.53942484,21,4,0
0,0.51965815,0.5404584,0.54084927,22,4,0
0,0.5093213,0.5402868,0.5391885,23,4,0
0,0.4997495,0.5386502,0.5378353,24,4,0
0,0.49826202,0.5425821,0.5401595,25,4,0
0,0.49526617,0.53930277,0.5383735,26,4,0
0,0.48187217,0.53961426,0.5411724,27,4,0
0,0.48707616,0.54168075,0.54101044,28,4,0
0,0.47878933,0.5421499,0.5403858,29,4,0
