,bottleneck_unit_0,epoch,fold,iter
32010,0.115129665,38,0,0
15496,0.0,38,0,0
19378,0.0,38,0,0
28097,0.0,38,0,0
18887,0.0,38,0,0
10536,0.0,38,0,0
10902,0.57561797,38,0,0
29182,0.0,38,0,0
35650,0.0,38,0,0
18824,0.0,38,0,0
2249,0.5138526,38,0,0
27886,0.0,38,0,0
15372,0.5631394,38,0,0
6682,0.17842677,38,0,0
35440,0.0,38,0,0
11693,0.0,38,0,0
14949,1.3269804,38,0,0
32077,0.0,38,0,0
7837,0.37305364,38,0,0
5194,0.0,38,0,0
3573,0.0,38,0,0
33835,0.0,38,0,0
37123,0.0,38,0,0
12104,0.0,38,0,0
23128,0.0,38,0,0
39799,0.0,38,0,0
20043,0.0,38,0,0
15051,0.006762885,38,0,0
40170,0.0,38,0,0
28081,0.0,38,0,0
22143,0.0,38,0,0
1319,0.0,38,0,0
6796,0.0,38,0,0
261,0.0,38,0,0
8510,0.0,38,0,0
13051,0.54971397,38,0,0
9070,1.8838059,38,0,0
29795,0.37983918,38,0,0
41050,0.0,38,0,0
23919,0.0,38,0,0
28612,1.0288792,38,0,0
10454,0.0,38,0,0
20882,0.0,38,0,0
37268,0.0,38,0,0
28832,0.0,38,0,0
812,0.0,38,0,0
4572,0.0,38,0,0
29222,0.0,38,0,0
25349,0.0,38,0,0
1770,0.0,38,0,0
9676,0.0,38,0,0
18253,0.07132309,38,0,0
35185,0.0,38,0,0
34495,0.07064044,38,0,0
38942,0.0,38,0,0
15921,0.0,38,0,0
36382,0.0,38,0,0
2420,0.0,38,0,0
9924,1.596468,38,0,0
10780,0.20960681,38,0,0
36512,0.21230793,38,0,0
846,0.0,38,0,0
14541,0.0,38,0,0
17123,0.0,38,0,0
9447,0.0,38,0,0
16088,0.0,38,0,0
2284,0.38318747,38,0,0
22948,0.0,38,0,0
858,0.0,38,0,0
20263,1.1853603,38,0,0
16793,0.16054992,38,0,0
13020,0.1378058,38,0,0
6768,0.7702828,38,0,0
21329,0.21581963,38,0,0
10089,0.24034858,38,0,0
36637,0.08288742,38,0,0
31522,0.67442286,38,0,0
