,train_loss,test_loss,valid_loss,epoch,fold,iter
0,0.82582855,0.78635156,0.7817283,0,0,0
0,0.8007708,0.7847432,0.7803882,1,0,0
0,0.79383236,0.7830318,0.7795534,2,0,0
0,0.7916827,0.7831196,0.77966815,3,0,0
0,0.7884192,0.78337526,0.7798466,4,0,0
0,0.7838445,0.7820834,0.7782912,5,0,0
0,0.78823185,0.78240615,0.77830154,6,0,0
0,0.7816313,0.78298634,0.77851534,7,0,0
0,0.7805865,0.78174376,0.7774196,8,0,0
0,0.78129226,0.7814516,0.77701825,9,0,0
0,0.77887803,0.7797672,0.77534384,10,0,0
0,0.7779613,0.77897835,0.77455,11,0,0
0,0.7778918,0.7801648,0.77554053,12,0,0
0,0.77519035,0.78453463,0.77916664,13,0,0
0,0.7740588,0.7816559,0.7766943,14,0,0
0,0.7726531,0.77806324,0.77345693,15,0,0
0,0.77092,0.7771034,0.7724198,16,0,0
0,0.7690463,0.7763366,0.7718735,17,0,0
0,0.76713246,0.78187066,0.7757598,18,0,0
0,0.7653351,0.78672844,0.77937376,19,0,0
0,0.76224107,0.77998227,0.7732673,20,0,0
0,0.7585307,0.78933704,0.7824651,21,0,0
0,0.75923806,0.77621317,0.77044165,22,0,0
0,0.7561016,0.7850679,0.7783877,23,0,0
0,0.75496006,0.7713474,0.7669429,24,0,0
0,0.7520447,0.79762125,0.78945184,25,0,0
0,0.750345,0.7853512,0.778047,26,0,0
0,0.748205,0.7759959,0.7708572,27,0,0
0,0.7461397,0.79544747,0.78703296,28,0,0
0,0.74632883,0.774912,0.76861846,29,0,0
0,0.82299113,0.785598,0.7819619,0,1,0
0,0.8074185,0.7847739,0.7809828,1,1,0
0,0.7979018,0.78380555,0.7800847,2,1,0
0,0.7974464,0.7825923,0.7789185,3,1,0
0,0.78969735,0.7816931,0.77794105,4,1,0
0,0.7918997,0.7817681,0.77754766,5,1,0
0,0.78903586,0.7813529,0.77725166,6,1,0
0,0.78793764,0.7791198,0.7756406,7,1,0
0,0.78217405,0.7782514,0.7748291,8,1,0
0,0.78284556,0.77772856,0.7741961,9,1,0
0,0.77898073,0.7776836,0.77393126,10,1,0
0,0.78136045,0.7791233,0.775192,11,1,0
0,0.77932304,0.77832973,0.77455366,12,1,0
0,0.7763272,0.7779496,0.7739223,13,1,0
0,0.7740689,0.7761457,0.7718716,14,1,0
0,0.7726732,0.7754464,0.7711083,15,1,0
0,0.7732946,0.7777944,0.77356476,16,1,0
0,0.77219874,0.7806728,0.7766408,17,1,0
0,0.76952004,0.7758093,0.7711302,18,1,0
0,0.76652724,0.7722086,0.7678236,19,1,0
0,0.76540756,0.7743524,0.76934123,20,1,0
0,0.76432484,0.77946496,0.77466434,21,1,0
0,0.7605682,0.7743871,0.76958156,22,1,0
0,0.7617379,0.77012634,0.7653245,23,1,0
0,0.7593894,0.7749871,0.76963085,24,1,0
0,0.75724125,0.77204686,0.76693094,25,1,0
0,0.75562567,0.78028893,0.7743055,26,1,0
0,0.75305,0.7877819,0.7809297,27,1,0
0,0.75071365,0.77622193,0.77187365,28,1,0
0,0.8275194,0.7875898,0.7823394,0,2,0
0,0.809239,0.7872107,0.7802988,1,2,0
0,0.8001438,0.7878309,0.7796924,2,2,0
0,0.79807,0.79043263,0.77981615,3,2,0
0,0.78729385,0.78698933,0.77867496,4,2,0
0,0.7863741,0.7843053,0.77781475,5,2,0
0,0.7908582,0.78388727,0.7773993,6,2,0
0,0.78087133,0.78635395,0.777928,7,2,0
0,0.7836859,0.78414273,0.77646744,8,2,0
0,0.7825139,0.78178275,0.7758419,9,2,0
0,0.7802878,0.78364587,0.7768263,10,2,0
0,0.77572316,0.7853711,0.77755904,11,2,0
0,0.77667505,0.7833356,0.77621305,12,2,0
0,0.7749203,0.78063333,0.774674,13,2,0
0,0.7731851,0.78123015,0.77510554,14,2,0
0,0.76934737,0.78106546,0.77528584,15,2,0
0,0.77170324,0.7803511,0.7741507,16,2,0
0,0.76892585,0.778005,0.7721448,17,2,0
0,0.7680728,0.78228676,0.776316,18,2,0
0,0.7665191,0.77860755,0.7727833,19,2,0
0,0.7647715,0.7827164,0.7753637,20,2,0
0,0.76275533,0.77893215,0.772676,21,2,0
0,0.7579146,0.78235894,0.7762218,22,2,0
0,0.8286416,0.7912305,0.788191,0,3,0
0,0.8117433,0.7879354,0.78545374,1,3,0
0,0.7999146,0.7868575,0.7841487,2,3,0
0,0.80162567,0.7888503,0.7867089,3,3,0
0,0.79540664,0.7892852,0.78703135,4,3,0
0,0.7943172,0.78476095,0.7817481,5,3,0
0,0.79923487,0.78298783,0.7796172,6,3,0
0,0.7939758,0.7799096,0.77662694,7,3,0
0,0.7951395,0.7784992,0.7751561,8,3,0
0,0.78694844,0.77863455,0.7752757,9,3,0
0,0.7794277,0.78182405,0.7780003,10,3,0
0,0.7828596,0.7816016,0.7771156,11,3,0
0,0.7799261,0.7780572,0.7735382,12,3,0
0,0.7799394,0.7763726,0.7719187,13,3,0
0,0.781245,0.7745079,0.77077806,14,3,0
0,0.7770633,0.7737515,0.77000195,15,3,0
0,0.7742076,0.7745599,0.77067494,16,3,0
0,0.77159804,0.77485275,0.770564,17,3,0
0,0.7717325,0.7723572,0.7686329,18,3,0
0,0.7689372,0.77228683,0.7682732,19,3,0
0,0.76792806,0.7732803,0.7688359,20,3,0
0,0.7656967,0.7734602,0.7689188,21,3,0
0,0.76419336,0.7750826,0.76982516,22,3,0
0,0.76241255,0.77273524,0.76827294,23,3,0
0,0.7614941,0.77316594,0.76903784,24,3,0
0,0.82017374,0.78432405,0.7809747,0,4,0
0,0.80262643,0.7848203,0.78116554,1,4,0
0,0.8214441,0.78991604,0.78472394,0,0,1
0,0.80608845,0.78996843,0.7824865,1,0,1
0,0.82581687,0.78846246,0.784929,0,1,1
0,0.80545896,0.78682286,0.78365505,1,1,1
0,0.8074074,0.78565454,0.782414,2,1,1
0,0.7983999,0.7834268,0.7795119,3,1,1
0,0.7999618,0.78294945,0.7787275,4,1,1
0,0.794303,0.7823829,0.7780573,5,1,1
0,0.78956217,0.7813556,0.77712184,6,1,1
0,0.7939937,0.78030384,0.77658343,7,1,1
0,0.7874851,0.77899015,0.7754885,8,1,1
0,0.7911435,0.7780785,0.7745205,9,1,1
0,0.7829013,0.7775585,0.77377325,10,1,1
0,0.78340364,0.7771298,0.77315253,11,1,1
0,0.77834004,0.7759802,0.7721695,12,1,1
0,0.77828485,0.77518356,0.7714237,13,1,1
0,0.7768659,0.7757286,0.7712446,14,1,1
0,0.77306414,0.7781902,0.77237356,15,1,1
0,0.77208406,0.7778394,0.7721433,16,1,1
0,0.7739789,0.7733775,0.7690902,17,1,1
