,bottleneck_unit_0,epoch,fold,iter
35368,0.61313903,49,0,0
38737,0.29004127,49,0,0
32010,0.6094476,49,0,0
40751,0.25845715,49,0,0
33708,0.10344498,49,0,0
21402,1.0249012,49,0,0
29766,0.040709596,49,0,0
1859,0.0,49,0,0
36429,0.0,49,0,0
24675,0.0,49,0,0
2319,0.8269852,49,0,0
10902,0.0,49,0,0
5842,0.0,49,0,0
29182,0.0,49,0,0
25668,0.0,49,0,0
18245,0.79868156,49,0,0
8667,0.0,49,0,0
40602,0.064841665,49,0,0
27886,2.057624,49,0,0
13472,0.040762875,49,0,0
32833,0.0,49,0,0
6682,0.0,49,0,0
23497,0.548184,49,0,0
7751,0.8178083,49,0,0
16689,0.0,49,0,0
32040,0.8702553,49,0,0
21164,0.0,49,0,0
37123,0.0,49,0,0
23128,0.53710604,49,0,0
17867,1.1843375,49,0,0
30634,0.0,49,0,0
17,0.0,49,0,0
4587,0.12591636,49,0,0
15756,0.67919976,49,0,0
19195,0.33753377,49,0,0
40170,0.55301243,49,0,0
28081,0.42494288,49,0,0
37714,0.057574295,49,0,0
18248,0.38117528,49,0,0
6796,0.0,49,0,0
18948,0.0,49,0,0
4818,0.29250064,49,0,0
32871,0.0,49,0,0
33812,0.0,49,0,0
11525,0.0,49,0,0
17289,0.0,49,0,0
13051,1.427903,49,0,0
29078,0.0,49,0,0
20821,0.0,49,0,0
9869,1.0333487,49,0,0
29606,1.6973405,49,0,0
4793,0.0,49,0,0
10454,0.2035663,49,0,0
7132,0.0,49,0,0
28832,0.35558078,49,0,0
33290,0.44294125,49,0,0
34825,0.0,49,0,0
15208,0.0,49,0,0
4572,0.0,49,0,0
6741,0.0,49,0,0
36972,0.0,49,0,0
9676,4.534971,49,0,0
37031,0.0,49,0,0
3940,0.0,49,0,0
2582,0.0,49,0,0
9924,0.0,49,0,0
15768,0.0,49,0,0
11788,0.0,49,0,0
26055,0.94699997,49,0,0
21543,0.7812344,49,0,0
14594,0.41359562,49,0,0
9447,1.9028348,49,0,0
13936,0.48791,49,0,0
27245,0.13661808,49,0,0
6174,0.035337765,49,0,0
3182,0.0,49,0,0
6938,0.09391158,49,0,0
4442,0.85487634,49,0,0
20563,2.0444734,49,0,0
18268,1.4946009,49,0,0
19713,0.0,49,0,0
12803,0.0,49,0,0
36637,2.5613272,49,0,0
7573,0.79243976,49,0,0
37540,0.0,49,0,0
34687,0.0,49,0,0
21401,0.32580516,49,0,0
10776,0.0,49,0,0
11627,0.0,49,0,0
22771,0.1692431,49,0,0
19439,0.0,49,0,0
13705,0.0,49,0,0
15970,0.0,49,0,0
10968,0.0,49,0,0
19827,0.0,49,0,0
12675,0.7609613,49,0,0
10657,0.47056538,49,0,0
12033,0.0,49,0,0
35845,0.0,49,0,0
30638,0.0,49,0,0
15324,0.0,49,0,0
26353,0.076278366,49,0,0
32485,0.0,49,0,0
18115,0.0,49,0,0
25213,0.0,49,0,0
29289,0.14165182,49,0,0
13366,2.1848705,49,0,0
30809,0.09796193,49,0,0
12050,0.0,49,0,0
8676,0.0,49,0,0
16818,1.1034007,49,0,0
2078,0.2656486,49,0,0
30287,0.25617892,49,0,0
11892,0.0,49,0,0
21745,0.0,49,0,0
15603,1.0117736,49,0,0
25277,1.4633211,49,0,0
28014,0.2267385,49,0,0
14171,0.0,49,0,0
22867,0.0,49,0,0
32951,1.2633557,49,0,0
28124,0.0,49,0,0
1110,0.0,49,0,0
13842,0.0,49,0,0
40861,0.25084504,49,0,0
38912,0.0,49,0,0
5918,0.0,49,0,0
32405,0.0,49,0,0
34908,0.8568274,49,0,0
12448,0.6447138,49,0,0
5793,0.0,49,0,0
5152,0.0,49,0,0
28879,1.6995089,49,0,0
37564,2.1107404,49,0,0
21854,0.7756563,49,0,0
36603,0.0,49,0,0
38096,0.0,49,0,0
25799,0.0,49,0,0
19536,0.0,49,0,0
35740,0.0,49,0,0
13139,0.0,49,0,0
5884,0.0,49,0,0
6230,1.652229,49,0,0
22118,0.0,49,0,0
29574,0.0,49,0,0
6413,0.9980065,49,0,0
30756,0.0,49,0,0
30598,0.0,49,0,0
7805,0.0,49,0,0
36027,0.0,49,0,0
11161,0.0,49,0,0
38352,0.0,49,0,0
15403,1.0491984,49,0,0
132,0.0,49,0,0
20027,0.43002146,49,0,0
7925,0.13584468,49,0,0
36506,0.0,49,0,0
16411,0.0,49,0,0
39647,0.0,49,0,0
4561,0.0,49,0,0
5049,0.0,49,0,0
3518,0.0,49,0,0
40374,1.3620259,49,0,0
33122,0.78117085,49,0,0
35921,0.0,49,0,0
21978,0.34336,49,0,0
34404,0.0,49,0,0
12182,1.3816953,49,0,0
28948,0.0,49,0,0
29503,0.42318186,49,0,0
5592,0.0,49,0,0
9586,0.020942215,49,0,0
12927,0.0,49,0,0
38972,0.0,49,0,0
39534,0.8756302,49,0,0
6518,0.12046995,49,0,0
28748,0.0,49,0,0
28680,0.96752274,49,0,0
33418,0.0,49,0,0
28797,1.3022544,49,0,0
34012,0.0,49,0,0
33710,0.0,49,0,0
13512,0.43382186,49,0,0
27858,0.0,49,0,0
1509,0.0,49,0,0
39605,0.0,49,0,0
21592,0.0,49,0,0
8282,0.2271767,49,0,0
4569,0.0,49,0,0
5315,0.95017505,49,0,0
35985,0.0,49,0,0
31734,0.0,49,0,0
9452,0.0,49,0,0
2650,0.0,49,0,0
16503,0.9735399,49,0,0
4718,0.0,49,0,0
7649,0.45763937,49,0,0
33954,0.0,49,0,0
4833,0.0,49,0,0
25898,0.5281964,49,0,0
4094,0.9050957,49,0,0
26773,0.16901822,49,0,0
1684,0.7601246,49,0,0
20705,0.0,49,0,0
11360,0.80467737,49,0,0
8074,0.0,49,0,0
24938,0.0,49,0,0
32747,1.2165316,49,0,0
18234,0.0,49,0,0
36721,0.0,49,0,0
33000,0.041980244,49,0,0
39905,0.0,49,0,0
13106,0.4219616,49,0,0
17422,1.4666114,49,0,0
41044,0.6796084,49,0,0
35560,0.0,49,0,0
88,0.0,49,0,0
36746,0.4901172,49,0,0
34835,0.6541027,49,0,0
20417,0.0,49,0,0
35730,0.0,49,0,0
20395,0.78170586,49,0,0
39396,1.724806,49,0,0
35964,0.0,49,0,0
40040,1.1351925,49,0,0
29693,0.0,49,0,0
38653,0.17942579,49,0,0
6542,0.0,49,0,0
19162,0.16753714,49,0,0
17539,0.0,49,0,0
39012,0.0,49,0,0
5004,0.0,49,0,0
7481,0.9290928,49,0,0
34127,0.0,49,0,0
13836,0.0,49,0,0
22746,0.0,49,0,0
7471,1.2653463,49,0,0
35931,0.0,49,0,0
17249,0.0,49,0,0
22642,0.0,49,0,0
757,0.0,49,0,0
8396,0.012964936,49,0,0
13073,0.0,49,0,0
25099,0.0,49,0,0
21005,0.0,49,0,0
7957,0.34839088,49,0,0
