,train_loss,test_loss,valid_loss,epoch,fold,iter
0,0.7064459,0.6910369,0.68667126,0,0,0
0,0.6982681,0.6903421,0.6858907,1,0,0
0,0.69195956,0.6905194,0.6860137,2,0,0
0,0.6863374,0.691031,0.68637514,3,0,0
0,0.68581516,0.69122386,0.6864908,4,0,0
0,0.68401384,0.6904864,0.68568724,5,0,0
0,0.6829645,0.6891953,0.6843357,6,0,0
0,0.6797621,0.68765247,0.68291944,7,0,0
0,0.67842156,0.685964,0.6814749,8,0,0
0,0.67862606,0.6843134,0.6802826,9,0,0
0,0.6744043,0.68327755,0.67958325,10,0,0
0,0.675446,0.68267,0.67869824,11,0,0
0,0.6726764,0.6826406,0.67818123,12,0,0
0,0.67114955,0.6826243,0.6785407,13,0,0
0,0.66792744,0.68261856,0.679434,14,0,0
0,0.66331685,0.6816657,0.6783929,15,0,0
0,0.66166764,0.6812084,0.67720896,16,0,0
0,0.6622912,0.6804368,0.6762227,17,0,0
0,0.65894026,0.67963654,0.6754479,18,0,0
0,0.6572502,0.67875355,0.67522407,19,0,0
0,0.6572773,0.6776232,0.6735826,20,0,0
0,0.65326345,0.6803125,0.6750876,21,0,0
0,0.64878994,0.6802294,0.674818,22,0,0
0,0.64757633,0.6771534,0.6720727,23,0,0
0,0.64728755,0.67775923,0.6719939,24,0,0
0,0.643338,0.6789967,0.6723402,25,0,0
0,0.6425464,0.67775357,0.6716708,26,0,0
0,0.6418012,0.67823005,0.6726921,27,0,0
0,0.6378964,0.67895,0.67259365,28,0,0
0,0.70535153,0.6911356,0.686673,0,1,0
0,0.69595367,0.69049776,0.6858975,1,1,0
0,0.69156295,0.6903871,0.6855681,2,1,0
0,0.6899925,0.6904022,0.6854046,3,1,0
0,0.6856801,0.6901151,0.6850438,4,1,0
0,0.68540764,0.68948334,0.6843325,5,1,0
0,0.68449885,0.68857723,0.6834188,6,1,0
0,0.68180776,0.68744665,0.6824515,7,1,0
0,0.6809407,0.68610394,0.6814969,8,1,0
0,0.6809621,0.684423,0.6803888,9,1,0
0,0.67777497,0.68309945,0.6793286,10,1,0
0,0.67691916,0.6819624,0.6783403,11,1,0
0,0.6746764,0.680889,0.6776526,12,1,0
0,0.6726157,0.6808038,0.67788255,13,1,0
0,0.668596,0.6817256,0.6786866,14,1,0
0,0.66669863,0.68230397,0.6788749,15,1,0
0,0.6662994,0.6804004,0.67720467,16,1,0
0,0.6631208,0.67969596,0.67668,17,1,0
0,0.6597641,0.68063116,0.67721933,18,1,0
0,0.6570845,0.6803707,0.6767223,19,1,0
0,0.6552642,0.67997295,0.67666745,20,1,0
0,0.65531963,0.6788368,0.67571753,21,1,0
0,0.65155166,0.67801595,0.67481923,22,1,0
0,0.6500322,0.67813337,0.6746911,23,1,0
0,0.6484552,0.67695063,0.67337394,24,1,0
0,0.64588267,0.68386203,0.68106884,25,1,0
0,0.6448706,0.6756901,0.6732306,26,1,0
0,0.64007616,0.6747767,0.6717084,27,1,0
0,0.6411957,0.6759004,0.67315674,28,1,0
0,0.6394952,0.6739499,0.6711242,29,1,0
0,0.6397678,0.67574114,0.6734311,30,1,0
0,0.6330878,0.6759474,0.6729335,31,1,0
0,0.6323721,0.67443645,0.6719184,32,1,0
0,0.6317935,0.6731357,0.67042583,33,1,0
0,0.62835103,0.6749368,0.671742,34,1,0
0,0.63058215,0.6712678,0.6674016,35,1,0
0,0.6236021,0.67382944,0.6701136,36,1,0
0,0.62183404,0.67091495,0.66706854,37,1,0
0,0.6221853,0.67217726,0.66839504,38,1,0
0,0.6197471,0.67111266,0.6668193,39,1,0
0,0.6152926,0.67383605,0.66959745,40,1,0
0,0.6168156,0.6710719,0.66766715,41,1,0
0,0.61381626,0.66893905,0.6657829,42,1,0
0,0.6117297,0.6722719,0.6689238,43,1,0
0,0.6135049,0.66659474,0.66283256,44,1,0
