,bottleneck_unit_0,epoch,fold,iter
39004,0.69351417,21,0,0
6163,0.0,21,0,0
35368,1.0882086,21,0,0
21381,1.816718,21,0,0
22463,0.0,21,0,0
21402,0.0,21,0,0
39116,0.54798627,21,0,0
1455,0.0,21,0,0
2249,0.116381995,21,0,0
21266,0.0,21,0,0
33446,1.2115684,21,0,0
27886,1.1761249,21,0,0
37545,1.7354101,21,0,0
18083,0.0,21,0,0
23497,0.0,21,0,0
23455,0.55563295,21,0,0
38836,1.2827623,21,0,0
7751,0.5755098,21,0,0
27717,0.46801618,21,0,0
40041,0.93459094,21,0,0
5613,1.8060349,21,0,0
32077,1.140748,21,0,0
5194,1.762502,21,0,0
11082,1.5094421,21,0,0
1252,0.0,21,0,0
7716,0.516767,21,0,0
3573,0.77786833,21,0,0
39883,0.3150062,21,0,0
8438,0.0,21,0,0
27465,0.0,21,0,0
30634,0.0,21,0,0
23147,0.6310006,21,0,0
20043,0.5836634,21,0,0
33144,0.9529356,21,0,0
15756,0.0,21,0,0
11965,0.0,21,0,0
6796,0.5184917,21,0,0
14381,0.70111245,21,0,0
12150,1.251237,21,0,0
30720,0.0,21,0,0
17358,0.34165338,21,0,0
32871,0.11834858,21,0,0
37376,1.0415156,21,0,0
9869,1.2224015,21,0,0
41050,0.0,21,0,0
21446,0.47695172,21,0,0
29606,1.2753465,21,0,0
24120,0.0,21,0,0
20882,0.0,21,0,0
38551,0.0851946,21,0,0
39847,0.54582685,21,0,0
1770,0.0,21,0,0
18253,0.72762924,21,0,0
38942,0.97112155,21,0,0
2420,0.0,21,0,0
10780,0.0,21,0,0
26055,0.0,21,0,0
6652,0.0,21,0,0
21543,1.1515898,21,0,0
27164,0.0852302,21,0,0
9447,0.15041171,21,0,0
18205,0.9621475,21,0,0
27245,0.0,21,0,0
6938,1.0723737,21,0,0
8504,1.1788327,21,0,0
858,0.69308877,21,0,0
20263,0.6388658,21,0,0
30416,0.39617494,21,0,0
4442,1.2507622,21,0,0
16793,0.0,21,0,0
20563,1.5661858,21,0,0
3728,0.6266394,21,0,0
6860,0.2615922,21,0,0
