,bottleneck_unit_0,epoch,fold,iter
17221,0.010642878,19,0,0
29967,0.5656565,19,0,0
20875,0.0,19,0,0
22253,0.25634024,19,0,0
41338,0.54952306,19,0,0
23720,0.00870538,19,0,0
4879,0.40475067,19,0,0
13760,0.0,19,0,0
5709,0.16202474,19,0,0
13592,1.1549519,19,0,0
19795,0.76928765,19,0,0
6938,0.0,19,0,0
23939,0.32320976,19,0,0
23339,0.3598164,19,0,0
10024,0.0,19,0,0
40053,1.183617,19,0,0
1961,0.37494028,19,0,0
11291,0.0,19,0,0
7531,0.659496,19,0,0
39012,1.2948961,19,0,0
9123,0.032091573,19,0,0
39363,0.86739165,19,0,0
7123,0.0,19,0,0
33937,0.66246283,19,0,0
27305,0.80327874,19,0,0
12359,0.46191645,19,0,0
31215,0.36866754,19,0,0
3682,0.43972513,19,0,0
27670,0.1280769,19,0,0
41035,0.55838954,19,0,0
30185,0.42435122,19,0,0
11763,0.3874799,19,0,0
15970,0.03800155,19,0,0
27600,0.4028593,19,0,0
7837,0.28076622,19,0,0
12754,0.36237428,19,0,0
30357,0.0,19,0,0
36005,0.60647565,19,0,0
24877,0.0,19,0,0
38281,1.031952,19,0,0
4404,0.0,19,0,0
40165,0.7391058,19,0,0
554,0.709435,19,0,0
515,0.0,19,0,0
26999,0.44524777,19,0,0
9051,0.0,19,0,0
32627,0.31227198,19,0,0
4326,0.0,19,0,0
32396,1.3197913,19,0,0
15868,0.0,19,0,0
29526,0.0,19,0,0
1849,0.022563187,19,0,0
39335,1.4844425,19,0,0
12055,0.21326339,19,0,0
27429,0.70745504,19,0,0
22654,0.078143455,19,0,0
27382,0.0,19,0,0
250,0.1511109,19,0,0
13856,0.2972297,19,0,0
22608,0.74304575,19,0,0
9713,0.7018592,19,0,0
3906,1.0219591,19,0,0
1859,0.3619139,19,0,0
640,0.6550967,19,0,0
1716,0.0,19,0,0
2576,0.0,19,0,0
29583,0.024609923,19,0,0
1695,0.74222773,19,0,0
4371,0.9970194,19,0,0
36653,0.0,19,0,0
33742,0.60191095,19,0,0
26651,0.0,19,0,0
31251,0.0,19,0,0
23107,0.0,19,0,0
32311,0.082621306,19,0,0
38446,0.50907075,19,0,0
40570,0.0,19,0,0
22606,0.31655705,19,0,0
21901,0.0,19,0,0
14070,1.0863676,19,0,0
40316,1.1465505,19,0,0
6222,0.3666227,19,0,0
