,train_loss,test_loss,valid_loss,epoch,fold,iter
0,0.67273766,0.6604614,0.65594715,0,0,0
0,0.6584032,0.6533089,0.64785975,1,0,0
0,0.65011126,0.6480887,0.64187396,2,0,0
0,0.6453438,0.64434284,0.6374333,3,0,0
0,0.64273864,0.6415328,0.6341313,4,0,0
0,0.6329704,0.6391509,0.63146687,5,0,0
0,0.6353845,0.6373104,0.6292555,6,0,0
0,0.6305506,0.6354811,0.6272158,7,0,0
0,0.63559395,0.633883,0.62541133,8,0,0
0,0.6273678,0.63405603,0.62538785,9,0,0
0,0.62558573,0.63093185,0.62299055,10,0,0
0,0.6208145,0.6265963,0.6201711,11,0,0
0,0.6188502,0.62740314,0.6200713,12,0,0
0,0.6197014,0.628405,0.6199388,13,0,0
0,0.61385643,0.6318237,0.621532,14,0,0
0,0.60855204,0.6262406,0.6186714,15,0,0
0,0.6079809,0.62849313,0.6194879,16,0,0
0,0.6057797,0.63196737,0.62100124,17,0,0
0,0.59410065,0.630597,0.62050533,18,0,0
0,0.59438527,0.6261745,0.6190228,19,0,0
0,0.58954674,0.62730664,0.6193235,20,0,0
0,0.5829863,0.63008535,0.62069947,21,0,0
0,0.58607787,0.6315299,0.6214004,22,0,0
0,0.58174497,0.6313187,0.62091076,23,0,0
0,0.58022696,0.63128567,0.6211906,24,0,0
0,0.6700446,0.66080356,0.65606123,0,1,0
0,0.6593775,0.65336,0.6477456,1,1,0
0,0.6504101,0.6479446,0.641713,2,1,0
0,0.64371866,0.64420766,0.6373282,3,1,0
0,0.64478284,0.64164037,0.6339969,4,1,0
0,0.6356092,0.6397879,0.63127357,5,1,0
0,0.63657516,0.6383155,0.6290291,6,1,0
0,0.6341819,0.63712,0.62716097,7,1,0
0,0.62816817,0.63589084,0.625621,8,1,0
0,0.6299825,0.63516086,0.624407,9,1,0
0,0.6286624,0.6331818,0.6226858,10,1,0
0,0.62261504,0.6308454,0.62180024,11,1,0
0,0.6241817,0.63178337,0.62273026,12,1,0
0,0.6158202,0.63211364,0.6224726,13,1,0
0,0.6096657,0.62991697,0.6204525,14,1,0
0,0.6085371,0.6264936,0.61881566,15,1,0
0,0.6089515,0.6256855,0.61882555,16,1,0
0,0.6025452,0.6269173,0.61986375,17,1,0
0,0.5973533,0.62718,0.6213489,18,1,0
0,0.5911524,0.6301287,0.6224324,19,1,0
0,0.58439034,0.62913764,0.62177134,20,1,0
0,0.5871369,0.628134,0.62145525,21,1,0
0,0.67029524,0.66124,0.6564013,0,2,0
0,0.6584508,0.6535687,0.6479829,1,2,0
0,0.6497669,0.64808834,0.6417873,2,2,0
0,0.6445586,0.64419174,0.6371251,3,2,0
0,0.6420148,0.6415053,0.6336259,4,2,0
0,0.6415813,0.63955206,0.63097507,5,2,0
0,0.6372214,0.63818127,0.6289139,6,2,0
0,0.6302226,0.63711834,0.6270659,7,2,0
0,0.6321591,0.6367581,0.6258104,8,2,0
0,0.6270547,0.6367998,0.624861,9,2,0
0,0.62611955,0.63512135,0.6229395,10,2,0
0,0.62105316,0.6357354,0.6218967,11,2,0
0,0.61876625,0.6353119,0.6210298,12,2,0
0,0.6192181,0.63288033,0.6190161,13,2,0
0,0.611162,0.63277656,0.6176425,14,2,0
0,0.61112994,0.6378447,0.61924917,15,2,0
0,0.60924846,0.63294953,0.6175679,16,2,0
0,0.60671663,0.63688356,0.6200495,17,2,0
0,0.6011718,0.63171333,0.6190854,18,2,0
0,0.60137194,0.6316649,0.6182469,19,2,0
0,0.5901129,0.63092685,0.6189499,20,2,0
0,0.59165174,0.631816,0.6192313,21,2,0
0,0.5884,0.6338593,0.6197221,22,2,0
0,0.5847439,0.63598955,0.62054205,23,2,0
0,0.5828628,0.6359697,0.6205241,24,2,0
0,0.5860916,0.63648,0.6209746,25,2,0
0,0.66966945,0.66060454,0.6562988,0,3,0
0,0.65807986,0.65325207,0.64803964,1,3,0
0,0.64920014,0.6478818,0.64187634,2,3,0
0,0.6464543,0.6441472,0.63749415,3,3,0
0,0.6456889,0.64140224,0.6342239,4,3,0
0,0.639495,0.63920283,0.6316241,5,3,0
0,0.643014,0.63727134,0.6294695,6,3,0
0,0.6369369,0.6354372,0.62774366,7,3,0
0,0.62891257,0.6332864,0.62613106,8,3,0
0,0.6300154,0.63125306,0.6244807,9,3,0
0,0.6272605,0.62940705,0.62300307,10,3,0
0,0.6234159,0.6279002,0.62192833,11,3,0
0,0.62644285,0.6271269,0.62156135,12,3,0
0,0.6184106,0.62660205,0.6216704,13,3,0
0,0.6179789,0.6245561,0.62005854,14,3,0
0,0.61021477,0.62227947,0.61866695,15,3,0
0,0.61103934,0.6240578,0.61911315,16,3,0
0,0.6107964,0.6250708,0.6217608,17,3,0
0,0.6057144,0.6267879,0.62188303,18,3,0
0,0.5977109,0.6272232,0.6208814,19,3,0
0,0.60016906,0.62534875,0.62042695,20,3,0
0,0.6694649,0.6606305,0.6559728,0,4,0
0,0.6563255,0.65344566,0.6477306,1,4,0
0,0.6542625,0.64816624,0.64179134,2,4,0
