,bottleneck_unit_0,epoch,fold,iter
33099,0.0,8,0,0
17100,0.0,8,0,0
6020,0.0,8,0,0
39972,0.0,8,0,0
22396,0.29857096,8,0,0
13592,0.0,8,0,0
2221,0.0,8,0,0
6938,0.0,8,0,0
11291,0.0,8,0,0
29111,0.0,8,0,0
7531,0.24097893,8,0,0
13771,0.0,8,0,0
4655,0.0,8,0,0
19641,0.0,8,0,0
13958,0.0,8,0,0
7123,0.0,8,0,0
36130,0.0,8,0,0
7607,0.0,8,0,0
12359,0.0,8,0,0
15970,0.0,8,0,0
6706,0.0,8,0,0
28870,0.0,8,0,0
22870,0.0,8,0,0
15573,0.39578372,8,0,0
18803,0.0,8,0,0
20726,0.41570333,8,0,0
37268,0.0,8,0,0
16234,0.033317972,8,0,0
367,0.0,8,0,0
1543,0.0,8,0,0
21231,0.0,8,0,0
23544,0.1522312,8,0,0
37916,0.0,8,0,0
22418,0.0,8,0,0
4326,0.0,8,0,0
3379,0.0,8,0,0
14541,0.0,8,0,0
25332,0.0,8,0,0
26170,0.0,8,0,0
22654,0.0,8,0,0
27382,0.0,8,0,0
2937,0.0,8,0,0
9713,0.16646971,8,0,0
25260,0.0,8,0,0
1173,0.0,8,0,0
34820,0.011105534,8,0,0
11316,0.0,8,0,0
39594,0.0,8,0,0
23685,0.0,8,0,0
25420,0.0,8,0,0
7732,0.13723545,8,0,0
13415,0.0,8,0,0
640,0.2337339,8,0,0
27495,0.0,8,0,0
2576,0.0,8,0,0
35007,0.0,8,0,0
23107,0.0,8,0,0
40326,0.22672687,8,0,0
10776,0.010116457,8,0,0
29380,0.15637383,8,0,0
21901,0.0,8,0,0
20702,0.0011923513,8,0,0
28021,0.17417847,8,0,0
13077,0.0,8,0,0
22935,0.0,8,0,0
30635,0.0,8,0,0
14070,0.12597713,8,0,0
26689,0.0,8,0,0
6777,0.0,8,0,0
2303,0.0,8,0,0
20804,0.0,8,0,0
36300,0.0,8,0,0
3343,0.03335145,8,0,0
11722,0.034428824,8,0,0
25460,0.0,8,0,0
32486,0.0,8,0,0
13842,0.0,8,0,0
19072,0.0,8,0,0
38478,0.0,8,0,0
28160,0.0,8,0,0
36382,0.0,8,0,0
11979,0.0,8,0,0
13863,0.0,8,0,0
25188,0.30953628,8,0,0
14485,0.0,8,0,0
14955,0.06640334,8,0,0
23280,0.0,8,0,0
31052,0.007453799,8,0,0
29236,0.0,8,0,0
35338,0.24596606,8,0,0
35894,0.0,8,0,0
40744,0.28521,8,0,0
24390,0.0,8,0,0
13872,0.13362159,8,0,0
10394,0.0,8,0,0
28449,0.023651676,8,0,0
34080,0.11315646,8,0,0
32622,0.010960264,8,0,0
12954,0.0,8,0,0
19691,0.0,8,0,0
12799,0.0,8,0,0
37832,0.0,8,0,0
14963,0.0,8,0,0
28498,0.046178937,8,0,0
24136,0.0,8,0,0
27476,0.0,8,0,0
2044,0.0,8,0,0
22711,0.17925991,8,0,0
24966,0.081756346,8,0,0
6902,0.0,8,0,0
22360,0.45824727,8,0,0
36976,0.0,8,0,0
39857,0.0,8,0,0
5198,0.0,8,0,0
5419,0.024677467,8,0,0
34936,0.0,8,0,0
36961,0.2688978,8,0,0
39445,0.0,8,0,0
34920,0.0,8,0,0
28019,0.0,8,0,0
914,0.0,8,0,0
8376,0.0,8,0,0
30432,0.0,8,0,0
40785,0.03828715,8,0,0
14790,0.0,8,0,0
10975,0.0,8,0,0
30596,0.0,8,0,0
9281,0.0,8,0,0
18987,0.0,8,0,0
34982,0.0,8,0,0
8866,0.0,8,0,0
16643,0.0,8,0,0
9659,0.0,8,0,0
31955,0.0,8,0,0
10467,0.0,8,0,0
27855,0.0,8,0,0
14280,0.0,8,0,0
23798,0.0,8,0,0
19394,0.0,8,0,0
32565,0.0,8,0,0
13838,0.1158289,8,0,0
11459,0.0,8,0,0
17856,0.0,8,0,0
15781,0.0,8,0,0
33448,0.4615317,8,0,0
41115,0.0,8,0,0
22575,0.0,8,0,0
14469,0.0,8,0,0
28832,0.0,8,0,0
10763,0.0,8,0,0
10281,0.09093078,8,0,0
27278,0.0,8,0,0
13222,0.0,8,0,0
26997,0.0,8,0,0
1869,0.0,8,0,0
37982,0.0,8,0,0
31155,0.0,8,0,0
21708,0.0,8,0,0
24249,0.0,8,0,0
39021,0.0,8,0,0
7955,0.043354027,8,0,0
6158,0.09897617,8,0,0
761,0.0,8,0,0
3266,0.0,8,0,0
30222,0.0,8,0,0
35748,0.07962219,8,0,0
12116,0.0,8,0,0
32949,0.0,8,0,0
23141,0.0,8,0,0
2241,0.04728682,8,0,0
20043,0.0,8,0,0
31658,0.27416417,8,0,0
30526,0.0,8,0,0
36133,0.18311122,8,0,0
18214,0.0,8,0,0
15652,0.0,8,0,0
7751,0.0,8,0,0
18914,0.0,8,0,0
24871,0.0,8,0,0
35010,0.0,8,0,0
34235,0.344825,8,0,0
23646,0.0,8,0,0
3227,0.0,8,0,0
16896,0.1567851,8,0,0
6486,0.31845748,8,0,0
2393,0.0,8,0,0
14571,0.0,8,0,0
33497,0.0,8,0,0
15721,0.0,8,0,0
29795,0.0042304057,8,0,0
34650,0.0,8,0,0
32177,0.3887664,8,0,0
34450,0.0,8,0,0
3595,0.2559057,8,0,0
19333,0.0,8,0,0
14537,0.017595034,8,0,0
2667,0.0,8,0,0
11963,0.0,8,0,0
33529,0.0,8,0,0
40577,0.0,8,0,0
18147,0.12485184,8,0,0
13666,0.0,8,0,0
40861,0.0,8,0,0
13375,0.0,8,0,0
13174,0.0,8,0,0
14554,0.0,8,0,0
7058,0.0,8,0,0
27200,0.0,8,0,0
22731,0.3399564,8,0,0
25091,0.0,8,0,0
9525,0.0,8,0,0
29477,0.20128918,8,0,0
36998,0.10944846,8,0,0
38018,0.0,8,0,0
12446,0.0,8,0,0
15103,0.0,8,0,0
28620,0.1930783,8,0,0
1988,0.0,8,0,0
39534,0.0,8,0,0
29011,0.0,8,0,0
2350,0.0,8,0,0
18192,0.011679632,8,0,0
38186,0.0,8,0,0
12504,0.0,8,0,0
9958,0.0075747813,8,0,0
3210,0.0,8,0,0
33736,0.0,8,0,0
17356,0.11563063,8,0,0
9452,0.0,8,0,0
14092,0.0,8,0,0
14072,0.0,8,0,0
26492,0.22827354,8,0,0
6021,0.0,8,0,0
16987,0.24752437,8,0,0
