,train_loss,test_loss,valid_loss,epoch,fold,iter
0,0.7704506,0.73928785,0.7418836,0,0,0
0,0.7545674,0.7381393,0.74012864,1,0,0
0,0.75516415,0.7372611,0.73915935,2,0,0
0,0.7471571,0.73655903,0.7385215,3,0,0
0,0.7419905,0.73628944,0.7380141,4,0,0
0,0.74068403,0.73602057,0.73751056,5,0,0
0,0.73965687,0.7358102,0.7373249,6,0,0
0,0.7378147,0.7350112,0.7366503,7,0,0
0,0.73281306,0.734723,0.7359483,8,0,0
0,0.7357622,0.73541903,0.73604494,9,0,0
0,0.72992307,0.73634815,0.73697007,10,0,0
0,0.73014575,0.7350467,0.7359116,11,0,0
0,0.72855467,0.7349767,0.73592484,12,0,0
0,0.72789717,0.7353702,0.73617387,13,0,0
0,0.7687485,0.7393172,0.741402,0,1,0
0,0.7530231,0.73845655,0.740226,1,1,0
0,0.75303763,0.7373674,0.7392427,2,1,0
0,0.74592143,0.7363301,0.7386464,3,1,0
0,0.7434494,0.7360408,0.7382058,4,1,0
0,0.74038106,0.73582834,0.7379938,5,1,0
0,0.7355387,0.7352112,0.73764646,6,1,0
0,0.73434335,0.7347179,0.73715866,7,1,0
0,0.73584527,0.734343,0.73641014,8,1,0
0,0.7310068,0.734124,0.73591435,9,1,0
0,0.73085123,0.7344111,0.7360446,10,1,0
0,0.72871536,0.7356204,0.7371115,11,1,0
0,0.73092437,0.73674184,0.7383423,12,1,0
0,0.7255067,0.7372131,0.7383704,13,1,0
0,0.72665435,0.7369005,0.73780996,14,1,0
0,0.77276677,0.7428762,0.74403876,0,2,0
0,0.7537933,0.74168247,0.74269116,1,2,0
0,0.7489257,0.74018174,0.74148417,2,2,0
0,0.7481952,0.7406321,0.7415688,3,2,0
0,0.74475336,0.74110854,0.7412065,4,2,0
0,0.7434408,0.7395064,0.7383571,5,2,0
0,0.73915553,0.7365792,0.7378391,6,2,0
0,0.7408149,0.73798424,0.7394526,7,2,0
0,0.733558,0.7435806,0.7419114,8,2,0
0,0.7328884,0.73602164,0.73778015,9,2,0
0,0.73078996,0.7348565,0.7367517,10,2,0
0,0.7277866,0.7370477,0.7387142,11,2,0
0,0.7232483,0.7433149,0.7441961,12,2,0
0,0.72314143,0.75414014,0.750231,13,2,0
0,0.7219432,0.7386802,0.7398992,14,2,0
0,0.71843094,0.7407835,0.7418686,15,2,0
0,0.77157825,0.7386377,0.74105555,0,3,0
0,0.7539057,0.737872,0.74014604,1,3,0
0,0.746345,0.73716635,0.7393353,2,3,0
0,0.7436838,0.7366826,0.7387764,3,3,0
0,0.7437574,0.736041,0.73816836,4,3,0
0,0.7426269,0.7357131,0.7376293,5,3,0
0,0.7385605,0.7364175,0.7379781,6,3,0
