,bottleneck_unit_0,epoch,fold,iter
17221,0.0,16,0,0
20875,1.0538692,16,0,0
33099,0.5296935,16,0,0
33806,0.026074043,16,0,0
5213,0.1930414,16,0,0
17100,0.5225597,16,0,0
32995,0.0,16,0,0
25731,1.2852702,16,0,0
17119,0.38801342,16,0,0
26562,0.9787863,16,0,0
16428,0.005777432,16,0,0
31795,0.096264414,16,0,0
1961,1.071691,16,0,0
16111,0.2961855,16,0,0
1891,0.018606503,16,0,0
4655,1.7156509,16,0,0
22997,0.0,16,0,0
39012,0.4383761,16,0,0
21806,0.89306706,16,0,0
33937,0.0,16,0,0
40280,0.23490386,16,0,0
7604,0.7555994,16,0,0
7607,0.0,16,0,0
32376,0.33362278,16,0,0
16651,0.0,16,0,0
12802,0.82486105,16,0,0
24432,0.8090185,16,0,0
12754,0.0,16,0,0
12966,1.5387765,16,0,0
15573,0.0,16,0,0
19555,0.07652145,16,0,0
20726,0.0,16,0,0
5196,0.23345833,16,0,0
367,0.20015253,16,0,0
718,0.6107998,16,0,0
33608,0.7163184,16,0,0
9514,0.0,16,0,0
1543,0.0,16,0,0
20847,0.6249878,16,0,0
10661,0.5957225,16,0,0
29304,0.62938666,16,0,0
1977,0.0,16,0,0
28948,0.0,16,0,0
15546,0.0,16,0,0
9142,0.53299046,16,0,0
34657,0.59556866,16,0,0
22654,0.0,16,0,0
27382,0.01783696,16,0,0
27268,0.0,16,0,0
22608,0.5711852,16,0,0
886,0.12486994,16,0,0
33454,0.0,16,0,0
23685,1.3129972,16,0,0
18736,0.0,16,0,0
1716,1.2696209,16,0,0
8636,0.0,16,0,0
1695,0.0,16,0,0
40310,0.13462362,16,0,0
9330,0.10944543,16,0,0
31251,1.6913981,16,0,0
23107,1.1959627,16,0,0
2881,0.2869619,16,0,0
38263,0.12147509,16,0,0
14766,0.0,16,0,0
7511,0.0,16,0,0
29380,0.0,16,0,0
28021,0.0,16,0,0
22935,1.2098376,16,0,0
40316,0.0,16,0,0
10629,0.19459707,16,0,0
6222,2.051569,16,0,0
35840,0.16636887,16,0,0
35747,0.27582362,16,0,0
18553,0.950501,16,0,0
33835,0.39100766,16,0,0
5199,0.11668536,16,0,0
30461,0.9061501,16,0,0
35176,0.23988898,16,0,0
1973,0.7781243,16,0,0
24981,0.31623608,16,0,0
2467,0.0,16,0,0
9511,0.0,16,0,0
25460,0.0,16,0,0
32486,0.0,16,0,0
10765,0.0,16,0,0
15674,0.0,16,0,0
32509,1.4243672,16,0,0
30932,0.0,16,0,0
36382,0.0,16,0,0
5641,0.0,16,0,0
30417,1.502094,16,0,0
2588,0.0,16,0,0
25188,0.9262401,16,0,0
14485,0.0,16,0,0
12150,1.2242421,16,0,0
28126,0.0,16,0,0
10489,0.47424826,16,0,0
18460,0.0,16,0,0
26582,0.0,16,0,0
14769,0.55752355,16,0,0
13872,0.0023600834,16,0,0
8198,1.1842092,16,0,0
35028,0.0,16,0,0
29498,1.699676,16,0,0
31664,0.29907316,16,0,0
12954,0.90879756,16,0,0
19691,0.0,16,0,0
14963,0.19959468,16,0,0
22457,0.0,16,0,0
6532,0.0,16,0,0
15893,0.7724532,16,0,0
4747,1.1687895,16,0,0
27476,0.0,16,0,0
10599,0.0,16,0,0
35535,0.0,16,0,0
22711,0.0,16,0,0
11705,0.14628607,16,0,0
6902,0.0,16,0,0
29827,0.2595668,16,0,0
4575,0.68024915,16,0,0
5198,1.3032054,16,0,0
40144,0.32442868,16,0,0
34920,0.6440673,16,0,0
16916,0.0,16,0,0
37200,0.0,16,0,0
16877,0.20372684,16,0,0
2582,0.55374634,16,0,0
34256,0.90291226,16,0,0
954,0.0,16,0,0
182,1.6139185,16,0,0
13544,0.35178497,16,0,0
36441,0.0,16,0,0
11292,0.71425426,16,0,0
34517,0.20191291,16,0,0
9177,0.0,16,0,0
1384,0.0,16,0,0
10467,0.0,16,0,0
39895,1.0357859,16,0,0
28162,0.18356864,16,0,0
32565,0.7036436,16,0,0
27613,0.874451,16,0,0
11459,0.23005044,16,0,0
1649,0.0,16,0,0
34369,0.0,16,0,0
11866,0.8670533,16,0,0
22129,0.0,16,0,0
