,train_loss,test_loss,valid_loss,epoch,fold,iter
0,0.6958081,0.69128007,0.6867993,0,0,0
0,0.686079,0.6903051,0.68574476,1,0,0
0,0.68429965,0.68818146,0.6836002,2,0,0
0,0.6811332,0.6862819,0.6818322,3,0,0
0,0.6812946,0.6850769,0.6806111,4,0,0
0,0.67525095,0.6840602,0.6795783,5,0,0
0,0.67414474,0.68328005,0.6787506,6,0,0
0,0.6743097,0.6827362,0.6780533,7,0,0
0,0.6730635,0.68236107,0.6773318,8,0,0
0,0.66833687,0.6824049,0.6768588,9,0,0
0,0.6683643,0.6818841,0.6762753,10,0,0
0,0.66286,0.6815819,0.6756726,11,0,0
0,0.6624159,0.6816869,0.6752067,12,0,0
0,0.65946895,0.6816589,0.6753954,13,0,0
0,0.654908,0.682315,0.6755164,14,0,0
0,0.6528225,0.68123543,0.674569,15,0,0
0,0.65183353,0.6792313,0.6731837,16,0,0
0,0.64916134,0.6799667,0.67325336,17,0,0
0,0.64831764,0.6806216,0.67379826,18,0,0
0,0.6443686,0.6806473,0.6742391,19,0,0
0,0.645096,0.6794862,0.67406625,20,0,0
0,0.64078146,0.67963076,0.6742421,21,0,0
0,0.695728,0.6911841,0.68680114,0,1,0
0,0.6864236,0.6897747,0.68544257,1,1,0
0,0.68334675,0.68726903,0.68304175,2,1,0
0,0.6818091,0.68555194,0.6812756,3,1,0
0,0.67953277,0.68440783,0.6799647,4,1,0
0,0.68067926,0.6833295,0.67902327,5,1,0
0,0.67711043,0.6821628,0.6781043,6,1,0
0,0.67299515,0.6812435,0.67720324,7,1,0
0,0.6722769,0.68064547,0.6764113,8,1,0
0,0.66873074,0.68083936,0.6760175,9,1,0
0,0.6647051,0.68011963,0.67554057,10,1,0
0,0.6622022,0.67992836,0.67602986,11,1,0
0,0.6604626,0.68055195,0.6761535,12,1,0
0,0.6577254,0.6805984,0.6760148,13,1,0
0,0.65656626,0.67943704,0.6752304,14,1,0
0,0.65314597,0.67917967,0.6753017,15,1,0
0,0.6494523,0.6803998,0.67601186,16,1,0
0,0.6467785,0.6792475,0.6747133,17,1,0
0,0.64672285,0.67882967,0.67452234,18,1,0
0,0.64211744,0.6788672,0.6754266,19,1,0
0,0.64147633,0.67893213,0.6751047,20,1,0
0,0.6370005,0.68232447,0.676847,21,1,0
0,0.6369423,0.677836,0.6734289,22,1,0
0,0.6368992,0.6793858,0.67473996,23,1,0
0,0.6351468,0.68133545,0.6773741,24,1,0
0,0.6356664,0.67810625,0.67380464,25,1,0
0,0.63190013,0.67596865,0.67272264,26,1,0
0,0.63233083,0.67943,0.677408,27,1,0
0,0.6330319,0.6772487,0.67425436,28,1,0
0,0.62931764,0.674725,0.6723173,29,1,0
0,0.6291416,0.6805256,0.6791998,30,1,0
0,0.62640774,0.67474115,0.67387843,31,1,0
0,0.62217194,0.6743884,0.67481476,32,1,0
0,0.62167525,0.6740747,0.6727822,33,1,0
0,0.6194373,0.6740471,0.6727136,34,1,0
0,0.6190345,0.6740298,0.6726927,35,1,0
0,0.6168156,0.6744947,0.6733937,36,1,0
0,0.61519915,0.67497617,0.6739544,37,1,0
0,0.61651236,0.6750204,0.6741242,38,1,0
0,0.6171842,0.6750504,0.6742618,39,1,0
0,0.6161297,0.67503965,0.6743016,40,1,0
0,0.69275147,0.69132936,0.6867999,0,2,0
0,0.68842274,0.6900375,0.6853218,1,2,0
0,0.6849549,0.6878055,0.6831631,2,2,0
0,0.68120885,0.6859683,0.68149567,3,2,0
0,0.68325967,0.68429416,0.6799747,4,2,0
0,0.6788711,0.6831185,0.6789786,5,2,0
0,0.6767655,0.6819845,0.6782092,6,2,0
0,0.6681815,0.6809486,0.6776726,7,2,0
0,0.6721449,0.68019485,0.67731875,8,2,0
0,0.669993,0.6796698,0.6767329,9,2,0
0,0.6669996,0.6792218,0.67588365,10,2,0
0,0.66391844,0.6790164,0.6757658,11,2,0
0,0.6590326,0.6788077,0.67552334,12,2,0
0,0.6570695,0.67894304,0.6747562,13,2,0
0,0.65701926,0.67890805,0.67386,14,2,0
0,0.65537137,0.6784328,0.67341256,15,2,0
0,0.6533348,0.67840487,0.67373896,16,2,0
0,0.6499403,0.6794777,0.67443895,17,2,0
0,0.6457974,0.67755073,0.67277306,18,2,0
0,0.6449105,0.677916,0.6737975,19,2,0
0,0.6423583,0.6778963,0.6723848,20,2,0
0,0.63883847,0.6780921,0.67266476,21,2,0
0,0.6372369,0.6810472,0.67551714,22,2,0
0,0.63824534,0.6772989,0.67205673,23,2,0
0,0.63305837,0.676943,0.6729364,24,2,0
0,0.6316214,0.67810935,0.6731983,25,2,0
0,0.63183475,0.6781982,0.67258626,26,2,0
0,0.62981766,0.67885655,0.67258745,27,2,0
0,0.6286301,0.6783338,0.6719634,28,2,0
0,0.6289218,0.6775309,0.67118573,29,2,0
0,0.69499713,0.69103974,0.68680197,0,3,0
0,0.68789315,0.6901117,0.6859012,1,3,0
0,0.6856087,0.68759304,0.68352884,2,3,0
0,0.68135357,0.6857251,0.6816668,3,3,0
0,0.6777928,0.6844076,0.68006223,4,3,0
0,0.67883414,0.68362594,0.67889684,5,3,0
0,0.6761446,0.6829288,0.6779627,6,3,0
0,0.6700136,0.6819577,0.6774425,7,3,0
0,0.6702042,0.68132806,0.6771286,8,3,0
0,0.6684079,0.6804521,0.6766115,9,3,0
0,0.666076,0.68022394,0.6759643,10,3,0
0,0.66214615,0.6811427,0.6757703,11,3,0
0,0.66139835,0.6818548,0.6756314,12,3,0
0,0.6557761,0.6800133,0.675073,13,3,0
0,0.6569844,0.6792997,0.67494154,14,3,0
0,0.65253925,0.6809086,0.67580885,15,3,0
0,0.6491965,0.68080556,0.67532873,16,3,0
0,0.646299,0.6806309,0.67493147,17,3,0
0,0.6455764,0.68030363,0.6742002,18,3,0
0,0.64182043,0.68044823,0.6744799,19,3,0
0,0.6961151,0.69138384,0.6868011,0,4,0
0,0.6864173,0.6900499,0.6856156,1,4,0
0,0.68292,0.6871881,0.6830935,2,4,0
0,0.6820752,0.6850743,0.6812327,3,4,0
0,0.68080115,0.6834904,0.67996037,4,4,0
0,0.6781414,0.6821818,0.67901486,5,4,0
0,0.67540663,0.68113744,0.6782797,6,4,0
0,0.6756595,0.68012625,0.67751193,7,4,0
0,0.66898966,0.67914224,0.67670745,8,4,0
0,0.6674916,0.67848575,0.6762149,9,4,0
0,0.6661728,0.67823434,0.6761628,10,4,0
0,0.6630862,0.6780532,0.6764125,11,4,0
0,0.6602471,0.6774759,0.67590797,12,4,0
0,0.6592768,0.6777078,0.6751131,13,4,0
0,0.6529214,0.67866284,0.67609614,14,4,0
0,0.6548419,0.67704654,0.6760179,15,4,0
0,0.648777,0.6777748,0.67511183,16,4,0
0,0.64752173,0.67834103,0.67667365,17,4,0
0,0.64498043,0.67759526,0.67623174,18,4,0
0,0.64230996,0.67693114,0.6755478,19,4,0
0,0.64411813,0.67690957,0.67534095,20,4,0
0,0.6422923,0.6769558,0.6754786,21,4,0
0,0.6450024,0.6770739,0.6757086,22,4,0
0,0.6437699,0.6771376,0.6758487,23,4,0
0,0.641473,0.67727697,0.6759888,24,4,0
0,0.64219123,0.6774068,0.6762197,25,4,0
0,0.6958206,0.69127965,0.68679893,0,0,1
0,0.6864477,0.6900884,0.6857241,1,0,1
0,0.683718,0.6878013,0.6835646,2,0,1
0,0.68123204,0.68579686,0.6816109,3,0,1
0,0.6779354,0.6843037,0.6799874,4,0,1
0,0.6757765,0.68321306,0.6787426,5,0,1
0,0.67700666,0.68253726,0.67808,6,0,1
0,0.6713303,0.68206465,0.6775452,7,0,1
0,0.6719884,0.68164396,0.6769403,8,0,1
0,0.6720273,0.6816755,0.67657137,9,0,1
0,0.66821694,0.6814537,0.67643625,10,0,1
0,0.6670272,0.6813886,0.6761414,11,0,1
0,0.66110593,0.6812487,0.6759295,12,0,1
0,0.6575994,0.6812513,0.67611694,13,0,1
0,0.6577386,0.67951083,0.67474234,14,0,1
0,0.654499,0.68119174,0.67552024,15,0,1
0,0.64826554,0.68167466,0.6758652,16,0,1
0,0.64894557,0.6795694,0.6744842,17,0,1
0,0.6430645,0.68058294,0.67478657,18,0,1
0,0.64531034,0.6808534,0.6747204,19,0,1
0,0.69373244,0.6911808,0.6867969,0,1,1
0,0.6868002,0.6900116,0.68555343,1,1,1
0,0.68265027,0.6874879,0.6830523,2,1,1
0,0.68227416,0.6856371,0.6811503,3,1,1
0,0.67981935,0.6844209,0.67978513,4,1,1
0,0.68040687,0.6835154,0.6787481,5,1,1
0,0.6763622,0.6824879,0.6778603,6,1,1
0,0.6748099,0.68126166,0.6770688,7,1,1
0,0.6738669,0.6799123,0.6764647,8,1,1
0,0.6670682,0.67915815,0.67634964,9,1,1
0,0.66695493,0.67837864,0.6757571,10,1,1
0,0.6666468,0.6782686,0.675188,11,1,1
0,0.66210324,0.6787475,0.67510885,12,1,1
0,0.65877825,0.67871743,0.67458934,13,1,1
0,0.65595704,0.6784888,0.67406124,14,1,1
0,0.65520626,0.678557,0.6741909,15,1,1
0,0.6546048,0.6780229,0.6740107,16,1,1
0,0.65159184,0.6773482,0.67339665,17,1,1
0,0.6462186,0.6775774,0.67337984,18,1,1
0,0.6445685,0.6785543,0.6746165,19,1,1
0,0.640364,0.67698276,0.67393196,20,1,1
0,0.64049584,0.6758204,0.67311025,21,1,1
0,0.6408493,0.6773596,0.67550796,22,1,1
0,0.63578767,0.6756856,0.67368424,23,1,1
0,0.633226,0.67591625,0.67282784,24,1,1
0,0.6305149,0.6766737,0.6731878,25,1,1
0,0.6314893,0.67624897,0.67262626,26,1,1
0,0.6310613,0.67626536,0.6728463,27,1,1
0,0.6281385,0.6797324,0.674359,28,1,1
0,0.695329,0.691329,0.6867993,0,2,1
0,0.6877051,0.6901224,0.6855595,1,2,1
0,0.6838624,0.6876623,0.6831063,2,2,1
0,0.68429965,0.68571335,0.6812403,3,2,1
0,0.6793768,0.6843358,0.6798394,4,2,1
0,0.67856926,0.6832646,0.67874795,5,2,1
0,0.6758189,0.68246067,0.67790884,6,2,1
0,0.6728215,0.68201375,0.67743486,7,2,1
0,0.66989374,0.68168676,0.67725,8,2,1
0,0.6699788,0.68090737,0.6767461,9,2,1
0,0.6652847,0.67960924,0.67573225,10,2,1
0,0.6660308,0.6793426,0.6750092,11,2,1
0,0.6595161,0.6789257,0.675089,12,2,1
0,0.6571037,0.6790109,0.6757645,13,2,1
0,0.65678376,0.6793001,0.6766112,14,2,1
0,0.6559682,0.6788342,0.6763899,15,2,1
0,0.65337586,0.67866033,0.6760985,16,2,1
0,0.6494663,0.6787332,0.6760424,17,2,1
0,0.65028954,0.67881626,0.676102,18,2,1
0,0.648307,0.678752,0.6762478,19,2,1
0,0.64856124,0.67893463,0.67642105,20,2,1
0,0.65116924,0.6788152,0.67660856,21,2,1
0,0.6940508,0.69103974,0.68680024,0,3,1
0,0.6849613,0.6900601,0.6857395,1,3,1
0,0.68087023,0.6876898,0.68346643,2,3,1
0,0.6837737,0.68587404,0.6816547,3,3,1
0,0.6788066,0.6847899,0.6803439,4,3,1
0,0.6792403,0.6841988,0.67945766,5,3,1
0,0.67720366,0.6835434,0.67865807,6,3,1
0,0.6715724,0.68261886,0.67771894,7,3,1
0,0.67131716,0.68129575,0.67665076,8,3,1
0,0.66512257,0.68043405,0.6759235,9,3,1
0,0.665625,0.679992,0.6759148,10,3,1
0,0.6638577,0.6793151,0.6759614,11,3,1
0,0.6598704,0.6783824,0.6755539,12,3,1
0,0.6591018,0.677919,0.67530465,13,3,1
0,0.65408814,0.6783661,0.67499465,14,3,1
0,0.6538642,0.67844075,0.67491084,15,3,1
0,0.64736885,0.67784566,0.67395955,16,3,1
0,0.64748544,0.67794526,0.6742374,17,3,1
0,0.64712685,0.67809254,0.6744164,18,3,1
0,0.6431436,0.67764187,0.67482644,19,3,1
0,0.6430691,0.67760783,0.6751995,20,3,1
0,0.64235324,0.67766327,0.6753275,21,3,1
0,0.6378477,0.67763174,0.6754063,22,3,1
0,0.6394283,0.6779262,0.67567605,23,3,1
0,0.63588595,0.67820066,0.67578185,24,3,1
0,0.6354621,0.6783481,0.6758389,25,3,1
0,0.69611937,0.691383,0.6868007,0,4,1
0,0.68245506,0.69026566,0.68574756,1,4,1
0,0.6817357,0.68793654,0.6836553,2,4,1
0,0.6806913,0.6860698,0.68188995,3,4,1
0,0.6789879,0.6843968,0.68048626,4,4,1
0,0.6791267,0.6829652,0.6794229,5,4,1
0,0.67300814,0.6820109,0.67883694,6,4,1
0,0.6731615,0.6814404,0.6782876,7,4,1
0,0.67034364,0.68049115,0.6773471,8,4,1
0,0.6665483,0.68036854,0.6768602,9,4,1
0,0.6635588,0.6801699,0.6763416,10,4,1
0,0.6624617,0.6799668,0.67672527,11,4,1
0,0.6572893,0.6797171,0.67681783,12,4,1
0,0.65620047,0.68001187,0.67754227,13,4,1
0,0.6534738,0.6800835,0.6771749,14,4,1
0,0.6520142,0.6801533,0.67722696,15,4,1
0,0.65123564,0.6802222,0.67724377,16,4,1
0,0.6505475,0.68027294,0.6773822,17,4,1
0,0.6952749,0.69128096,0.6868017,0,0,2
0,0.6845482,0.68989116,0.6855572,1,0,2
0,0.6834882,0.6876961,0.6832104,2,0,2
0,0.680873,0.6859059,0.6814188,3,0,2
0,0.67884445,0.6844287,0.68011695,4,0,2
0,0.6775138,0.68333375,0.6793042,5,0,2
0,0.6741561,0.68254346,0.6787269,6,0,2
0,0.6752328,0.6815236,0.6777995,7,0,2
0,0.668978,0.6808369,0.67702353,8,0,2
0,0.66912293,0.6801674,0.67662925,9,0,2
0,0.6651795,0.67939055,0.67688346,10,0,2
0,0.66069436,0.67864805,0.6767937,11,0,2
0,0.65971667,0.67807794,0.6758171,12,0,2
0,0.6570194,0.6782321,0.6748518,13,0,2
0,0.6542098,0.6793319,0.67458224,14,0,2
0,0.65466374,0.6803862,0.67525065,15,0,2
0,0.6480817,0.68193483,0.67577225,16,0,2
0,0.64653945,0.6806255,0.6744695,17,0,2
0,0.6960414,0.69118285,0.68680036,0,1,2
0,0.6862793,0.69000787,0.6855159,1,1,2
0,0.68363523,0.6875247,0.68311435,2,1,2
0,0.68136734,0.68548757,0.68123627,3,1,2
0,0.6800553,0.68382657,0.67961043,4,1,2
0,0.6796276,0.68267655,0.6784049,5,1,2
0,0.67412305,0.6823445,0.67770857,6,1,2
0,0.6718666,0.68204314,0.67737126,7,1,2
0,0.67283756,0.68173176,0.6771335,8,1,2
0,0.6715067,0.6813316,0.67649853,9,1,2
0,0.6670642,0.68106854,0.67592824,10,1,2
0,0.66287106,0.6808529,0.6759191,11,1,2
0,0.6604679,0.6805643,0.67596954,12,1,2
0,0.658539,0.6797018,0.67496943,13,1,2
0,0.6566228,0.67946666,0.6741646,14,1,2
0,0.6570403,0.680307,0.67481154,15,1,2
0,0.65329975,0.6803255,0.67615914,16,1,2
0,0.64774865,0.67957526,0.6748536,17,1,2
0,0.64711267,0.67918247,0.67402333,18,1,2
0,0.64257747,0.679067,0.6747003,19,1,2
0,0.64592195,0.6782835,0.67337143,20,1,2
0,0.636655,0.6781404,0.6742825,21,1,2
0,0.63763946,0.679114,0.674076,22,1,2
0,0.63577926,0.68223953,0.67706,23,1,2
0,0.6349175,0.678224,0.67337894,24,1,2
0,0.6320131,0.67819995,0.6733171,25,1,2
0,0.6313159,0.67856044,0.67391133,26,1,2
0,0.6917431,0.6913314,0.6868011,0,2,2
0,0.6873726,0.6902473,0.6857694,1,2,2
0,0.68433684,0.6872792,0.6833523,2,2,2
0,0.68234915,0.6849665,0.68150586,3,2,2
0,0.67922544,0.6832566,0.67997557,4,2,2
0,0.67850596,0.6819287,0.6790257,5,2,2
0,0.6728527,0.68065345,0.6784262,6,2,2
0,0.67407656,0.67958015,0.6777629,7,2,2
0,0.6689994,0.679149,0.6769571,8,2,2
0,0.6653666,0.67984974,0.6768172,9,2,2
0,0.66546386,0.67883515,0.6752953,10,2,2
0,0.66142994,0.6787862,0.67517537,11,2,2
0,0.6615017,0.6792128,0.6755846,12,2,2
0,0.6596205,0.67833066,0.6748042,13,2,2
0,0.6538412,0.6770396,0.67388016,14,2,2
0,0.65210426,0.6775108,0.67395306,15,2,2
0,0.65117055,0.6792791,0.67529684,16,2,2
0,0.64820725,0.6773486,0.6741344,17,2,2
0,0.6457241,0.6771098,0.6740813,18,2,2
0,0.6427512,0.67756575,0.6744281,19,2,2
0,0.6954575,0.69103986,0.68680036,0,3,2
0,0.6847961,0.68972963,0.6854537,1,3,2
0,0.68326116,0.68762445,0.68310547,2,3,2
0,0.6796853,0.6858105,0.6812663,3,3,2
0,0.6812079,0.6845285,0.6799137,4,3,2
0,0.6750775,0.6836449,0.6788536,5,3,2
0,0.6745917,0.68272805,0.67789346,6,3,2
0,0.674784,0.68181396,0.6771802,7,3,2
0,0.6689183,0.68123364,0.676672,8,3,2
0,0.66634554,0.68170786,0.6767497,9,3,2
0,0.6665433,0.68104917,0.67642933,10,3,2
0,0.66484356,0.67898494,0.67497647,11,3,2
0,0.6582468,0.67836267,0.67484206,12,3,2
0,0.65904665,0.67993695,0.676485,13,3,2
0,0.65343815,0.6792938,0.6771417,14,3,2
0,0.6507583,0.6788655,0.6760633,15,3,2
0,0.65338206,0.6783011,0.6750418,16,3,2
0,0.64880544,0.67810476,0.6750308,17,3,2
0,0.6485098,0.67777383,0.6749652,18,3,2
0,0.6471792,0.67769986,0.6752096,19,3,2
0,0.646946,0.6778828,0.6757069,20,3,2
0,0.6453333,0.6779864,0.6757352,21,3,2
0,0.6470912,0.67810726,0.6757984,22,3,2
0,0.64460856,0.67814696,0.67582107,23,3,2
0,0.6441013,0.67827666,0.67588574,24,3,2
0,0.69501644,0.6913852,0.6868028,0,4,2
0,0.6870446,0.6902353,0.6857121,1,4,2
0,0.68398386,0.68760896,0.68333596,2,4,2
0,0.6825307,0.68565446,0.6814061,3,4,2
0,0.6804638,0.68448704,0.6799775,4,4,2
0,0.6798973,0.6837007,0.6788215,5,4,2
0,0.67827535,0.68279576,0.67768633,6,4,2
0,0.6743676,0.68204933,0.6766544,7,4,2
0,0.6757378,0.6813893,0.6761377,8,4,2
0,0.6734502,0.68089753,0.6757795,9,4,2
0,0.66842586,0.68075925,0.675252,10,4,2
0,0.66562515,0.68173623,0.6755996,11,4,2
0,0.6638289,0.6815117,0.6758827,12,4,2
0,0.6602547,0.67939615,0.67493296,13,4,2
0,0.6598367,0.6790038,0.67468387,14,4,2
0,0.65504366,0.6799028,0.67554,15,4,2
0,0.65454334,0.6796006,0.6740432,16,4,2
0,0.65093315,0.6796625,0.6735741,17,4,2
0,0.6482916,0.6798768,0.67362803,18,4,2
0,0.64748144,0.68179816,0.6756379,19,4,2
0,0.6969323,0.6912818,0.6868022,0,0,3
0,0.68663067,0.6899858,0.6854922,1,0,3
0,0.68485695,0.6873095,0.6830478,2,0,3
0,0.6824839,0.6851658,0.6812409,3,0,3
0,0.68218166,0.683519,0.67997396,4,0,3
0,0.68148345,0.68232876,0.67917234,5,0,3
0,0.6747284,0.6813337,0.6784779,6,0,3
0,0.6720101,0.68041766,0.67783934,7,0,3
0,0.6723819,0.6798019,0.67726654,8,0,3
0,0.6679177,0.6796811,0.6770407,9,0,3
0,0.66699743,0.67930746,0.6768921,10,0,3
0,0.6633167,0.6783593,0.67584324,11,0,3
0,0.6570949,0.6777391,0.675282,12,0,3
0,0.65967304,0.67793685,0.67536366,13,0,3
0,0.655081,0.6777611,0.67557967,14,0,3
0,0.6536953,0.678097,0.6767895,15,0,3
0,0.6525528,0.676857,0.6754609,16,0,3
0,0.65090185,0.6767181,0.6753089,17,0,3
0,0.6485481,0.6768211,0.6755152,18,0,3
0,0.64716417,0.6771284,0.67597973,19,0,3
0,0.6460247,0.6773771,0.6764638,20,0,3
0,0.64668965,0.6774818,0.67664135,21,0,3
0,0.6447906,0.677442,0.67672426,22,0,3
0,0.69744045,0.6911818,0.6868008,0,1,3
0,0.6851511,0.6898873,0.68563896,1,1,3
0,0.6863238,0.6871577,0.68321544,2,1,3
0,0.68240064,0.6850582,0.6813813,3,1,3
0,0.6814542,0.6835463,0.6799796,4,1,3
0,0.6801851,0.68225914,0.6787342,5,1,3
0,0.6774936,0.68143135,0.6776212,6,1,3
0,0.6752496,0.6807749,0.6767117,7,1,3
0,0.67389804,0.68016756,0.6761122,8,1,3
0,0.6728986,0.67990506,0.6756255,9,1,3
0,0.66986114,0.67989796,0.67531,10,1,3
0,0.6663988,0.6799641,0.6751239,11,1,3
0,0.6608779,0.67886,0.6741806,12,1,3
0,0.65952367,0.6778542,0.67379355,13,1,3
0,0.6607147,0.677502,0.6735021,14,1,3
0,0.6546247,0.67677724,0.6734655,15,1,3
0,0.6509784,0.67624223,0.6731825,16,1,3
0,0.65165067,0.675673,0.6724808,17,1,3
0,0.65010196,0.67554647,0.6721055,18,1,3
0,0.644089,0.6767787,0.67292804,19,1,3
0,0.6468614,0.6744338,0.6719852,20,1,3
0,0.6456757,0.67511815,0.67226934,21,1,3
0,0.6401209,0.6780601,0.6726913,22,1,3
0,0.6382441,0.67587614,0.67116463,23,1,3
0,0.63874954,0.6750767,0.6708069,24,1,3
0,0.6304894,0.6752252,0.67100674,25,1,3
0,0.69605523,0.691332,0.68680376,0,2,3
0,0.6839039,0.69029844,0.6855265,1,2,3
0,0.684516,0.6883067,0.68328303,2,2,3
0,0.6787031,0.68672866,0.68144876,3,2,3
0,0.6765073,0.6855929,0.6800536,4,2,3
0,0.6778869,0.68483585,0.679058,5,2,3
0,0.67537254,0.6843324,0.6783062,6,2,3
0,0.6702712,0.68377805,0.6776319,7,2,3
0,0.6732118,0.6831064,0.6771099,8,2,3
0,0.67000294,0.6823526,0.6767494,9,2,3
0,0.66729397,0.6826091,0.676364,10,2,3
0,0.6608465,0.68295634,0.6760074,11,2,3
0,0.66509527,0.68179923,0.6750818,12,2,3
0,0.661208,0.6800311,0.6745366,13,2,3
0,0.65633184,0.6798461,0.6745911,14,2,3
0,0.65256876,0.68061745,0.6743833,15,2,3
0,0.65013343,0.6803503,0.67396134,16,2,3
0,0.6482493,0.6794639,0.67350525,17,2,3
0,0.6462814,0.6796391,0.67399913,18,2,3
0,0.64544445,0.67933685,0.6736489,19,2,3
0,0.6433975,0.67955047,0.6737681,20,2,3
