,bottleneck_unit_0,epoch,fold,iter
33178,0.0,18,0,0
34388,2.4620802,18,0,0
33099,0.0,18,0,0
2677,0.0,18,0,0
31253,0.0,18,0,0
31509,0.86614984,18,0,0
4879,0.0,18,0,0
35652,0.0,18,0,0
7531,0.0,18,0,0
12874,1.3749727,18,0,0
21806,2.336719,18,0,0
40280,0.0,18,0,0
38836,2.5152836,18,0,0
10099,0.0,18,0,0
39437,0.0,18,0,0
3682,0.0,18,0,0
37051,2.060609,18,0,0
29884,0.0,18,0,0
14232,0.0,18,0,0
6706,0.0,18,0,0
28870,0.0,18,0,0
22025,0.0,18,0,0
30357,0.0,18,0,0
19555,0.0,18,0,0
18803,0.7836428,18,0,0
9818,0.0,18,0,0
5196,0.0,18,0,0
37268,1.937346,18,0,0
16234,0.0,18,0,0
718,3.1466932,18,0,0
9514,0.0,18,0,0
20985,0.0,18,0,0
7559,0.0,18,0,0
22418,0.0,18,0,0
4386,1.5187663,18,0,0
32396,0.0,18,0,0
3736,0.0,18,0,0
1977,0.0,18,0,0
34345,0.0,18,0,0
10902,0.59166443,18,0,0
36362,0.0,18,0,0
1849,0.0,18,0,0
15546,0.0,18,0,0
26170,0.0,18,0,0
12055,0.0,18,0,0
20213,0.90381813,18,0,0
22654,0.0,18,0,0
36017,0.0,18,0,0
35980,0.96876633,18,0,0
15148,0.0,18,0,0
886,3.6350849,18,0,0
3906,0.0,18,0,0
26409,0.0,18,0,0
30846,0.055902332,18,0,0
23685,0.0,18,0,0
36653,0.0,18,0,0
40310,0.0,18,0,0
38903,0.0,18,0,0
13264,0.0,18,0,0
38446,0.0,18,0,0
22606,1.3688282,18,0,0
1412,0.0,18,0,0
26979,0.0,18,0,0
24806,0.0,18,0,0
20702,0.0,18,0,0
21512,0.0,18,0,0
40237,0.0,18,0,0
1390,1.7161956,18,0,0
21777,0.24210496,18,0,0
35176,0.0,18,0,0
32435,2.8945913,18,0,0
21892,0.0,18,0,0
7018,0.0,18,0,0
4090,0.7259286,18,0,0
26689,0.0,18,0,0
21706,0.6317236,18,0,0
31204,0.0,18,0,0
33026,0.0,18,0,0
2303,0.0,18,0,0
30804,1.9730407,18,0,0
13151,0.5394117,18,0,0
13842,0.47941768,18,0,0
32509,0.0,18,0,0
40407,1.147789,18,0,0
28160,0.0,18,0,0
6120,0.46226382,18,0,0
5641,1.6251516,18,0,0
25365,2.8211772,18,0,0
29880,0.0,18,0,0
31224,0.0,18,0,0
6376,0.81407976,18,0,0
26020,0.28443423,18,0,0
37712,0.0,18,0,0
5996,2.5509148,18,0,0
12150,1.6397853,18,0,0
10489,0.0,18,0,0
20942,0.0,18,0,0
18460,0.0,18,0,0
5230,0.0,18,0,0
24348,0.0,18,0,0
24390,1.6453464,18,0,0
4174,0.0,18,0,0
5469,0.0,18,0,0
25951,0.0,18,0,0
822,0.22373694,18,0,0
2596,2.262463,18,0,0
39623,0.0,18,0,0
31039,1.7983453,18,0,0
11530,2.7838352,18,0,0
14963,2.4024436,18,0,0
22457,0.0,18,0,0
19758,0.27585378,18,0,0
21608,0.24906951,18,0,0
5701,0.12950312,18,0,0
15893,0.0,18,0,0
16805,0.37849426,18,0,0
2044,0.0,18,0,0
5897,0.0,18,0,0
34100,4.529206,18,0,0
6902,0.5429814,18,0,0
18706,0.0,18,0,0
16172,0.0,18,0,0
9991,0.5444723,18,0,0
5858,2.7575233,18,0,0
19246,0.47998366,18,0,0
19627,0.0,18,0,0
18408,0.0,18,0,0
16877,2.76904,18,0,0
33681,1.4790697,18,0,0
35740,0.0,18,0,0
34556,0.0,18,0,0
4204,0.0,18,0,0
24306,0.0,18,0,0
737,0.0,18,0,0
34979,2.1975193,18,0,0
34517,1.4095358,18,0,0
23972,0.0,18,0,0
16643,0.0,18,0,0
10467,0.0,18,0,0
9861,0.0,18,0,0
10334,0.0,18,0,0
19394,0.03132352,18,0,0
27613,3.5804722,18,0,0
9414,1.426772,18,0,0
32333,0.0,18,0,0
17237,0.0,18,0,0
3504,0.91995585,18,0,0
25000,0.0,18,0,0
33557,2.561089,18,0,0
26964,1.755805,18,0,0
5956,0.0,18,0,0
289,0.0,18,0,0
13124,0.0,18,0,0
10281,0.31443956,18,0,0
19666,0.0,18,0,0
21338,0.0,18,0,0
2396,0.0,18,0,0
13222,1.167145,18,0,0
7659,0.0,18,0,0
6326,0.5129113,18,0,0
17603,4.474403,18,0,0
22100,0.0,18,0,0
7337,2.24074,18,0,0
24658,1.4654535,18,0,0
21708,0.0,18,0,0
25647,0.0,18,0,0
7955,0.0,18,0,0
16523,0.56373423,18,0,0
8212,0.0,18,0,0
36562,2.1198869,18,0,0
10869,0.0,18,0,0
5800,0.0,18,0,0
12116,1.0963932,18,0,0
33901,0.0,18,0,0
16309,1.808856,18,0,0
29786,0.0,18,0,0
30526,0.26980302,18,0,0
40373,0.0,18,0,0
15652,1.4057646,18,0,0
18914,0.0,18,0,0
35889,0.0,18,0,0
34772,0.0,18,0,0
34661,0.0,18,0,0
27290,0.0,18,0,0
31819,0.0,18,0,0
34235,0.0,18,0,0
36871,0.0,18,0,0
16007,0.12397524,18,0,0
21405,2.541518,18,0,0
27898,0.0,18,0,0
5555,0.405322,18,0,0
3346,0.0,18,0,0
2393,0.0,18,0,0
14571,0.78609836,18,0,0
1023,1.5109109,18,0,0
15721,0.26616284,18,0,0
12689,0.40470302,18,0,0
6499,0.0,18,0,0
6312,0.0,18,0,0
2667,0.0,18,0,0
11963,0.0,18,0,0
21658,0.0,18,0,0
7554,0.9184446,18,0,0
39223,0.8459182,18,0,0
11568,0.0,18,0,0
10119,0.0,18,0,0
11434,3.6214433,18,0,0
35096,0.0,18,0,0
15691,1.006806,18,0,0
13976,0.0,18,0,0
13375,0.0,18,0,0
14566,0.48354864,18,0,0
22731,0.0,18,0,0
26611,0.0,18,0,0
6063,0.0,18,0,0
28538,0.0,18,0,0
23298,0.0,18,0,0
25545,0.0,18,0,0
38280,1.169729,18,0,0
9044,1.992418,18,0,0
12446,1.0142088,18,0,0
633,0.0,18,0,0
30380,1.2641481,18,0,0
1702,0.48421383,18,0,0
3944,2.3758671,18,0,0
18192,0.0,18,0,0
21929,0.0,18,0,0
5260,0.0,18,0,0
14092,1.1744498,18,0,0
18313,0.0,18,0,0
23288,1.6926653,18,0,0
21416,2.707086,18,0,0
38967,0.0,18,0,0
6433,0.0,18,0,0
1225,0.0,18,0,0
1368,0.12933433,18,0,0
32631,0.64879286,18,0,0
20161,0.0,18,0,0
22408,0.28382275,18,0,0
14387,0.0,18,0,0
