,train_loss,test_loss,valid_loss,epoch,fold,iter
0,0.69099355,0.6870689,0.6861584,0,0,0
0,0.6787462,0.6828374,0.6816227,1,0,0
0,0.6690645,0.6788341,0.6772574,2,0,0
0,0.6601625,0.6743097,0.6722542,3,0,0
0,0.6531303,0.67003834,0.6674306,4,0,0
0,0.6462439,0.665989,0.66260815,5,0,0
0,0.64627224,0.66223073,0.6582804,6,0,0
0,0.63957065,0.658196,0.65436286,7,0,0
0,0.642626,0.652874,0.6493354,8,0,0
0,0.63719714,0.6446181,0.64274734,9,0,0
0,0.63352036,0.642878,0.6401324,10,0,0
0,0.6288925,0.63971573,0.6367219,11,0,0
0,0.63240004,0.6357505,0.633641,12,0,0
0,0.62511843,0.6323782,0.632014,13,0,0
0,0.6244705,0.630089,0.6279402,14,0,0
0,0.6226353,0.62885165,0.6244581,15,0,0
0,0.62416846,0.62923396,0.6223478,16,0,0
0,0.6194921,0.6265502,0.6213853,17,0,0
0,0.6154596,0.6252964,0.623038,18,0,0
0,0.6221867,0.62531537,0.62424266,19,0,0
0,0.6163406,0.6265341,0.62348944,20,0,0
0,0.619662,0.6304108,0.6235829,21,0,0
0,0.6116831,0.6297101,0.62308717,22,0,0
0,0.61343694,0.6288068,0.6223931,23,0,0
0,0.6918237,0.68689525,0.6858742,0,1,0
0,0.6782532,0.68235046,0.6809506,1,1,0
0,0.6657568,0.6779984,0.67619383,2,1,0
0,0.65954596,0.6744856,0.67222744,3,1,0
0,0.65392333,0.67104656,0.66810894,4,1,0
0,0.6490681,0.66699696,0.66312927,5,1,0
0,0.6496088,0.6623413,0.6575708,6,1,0
0,0.6454194,0.6581613,0.6520868,7,1,0
0,0.6404851,0.65474164,0.64720553,8,1,0
0,0.64030695,0.65322846,0.6443763,9,1,0
0,0.63609666,0.6515699,0.64154834,10,1,0
0,0.64145726,0.6486271,0.63915837,11,1,0
0,0.6447524,0.6465112,0.6370736,12,1,0
0,0.6380566,0.6450917,0.63574576,13,1,0
0,0.6450606,0.64342314,0.6348668,14,1,0
0,0.63938683,0.64325935,0.6338308,15,1,0
0,0.6377236,0.64299756,0.63290447,16,1,0
0,0.63791376,0.64337265,0.632523,17,1,0
0,0.6357736,0.6444111,0.6327328,18,1,0
0,0.6338801,0.6454991,0.6303892,19,1,0
0,0.6343506,0.64501905,0.63071275,20,1,0
0,0.6327595,0.64452773,0.632569,21,1,0
0,0.69182235,0.6874384,0.6864686,0,2,0
0,0.68012553,0.6834835,0.6822653,1,2,0
0,0.6684019,0.67952645,0.6779555,2,2,0
0,0.6593064,0.6747558,0.67254865,3,2,0
0,0.65246177,0.6703316,0.66733325,4,2,0
0,0.6503015,0.66523993,0.6616688,5,2,0
0,0.6404886,0.6585407,0.65467525,6,2,0
0,0.6400171,0.6523351,0.64808816,7,2,0
0,0.63513476,0.64758986,0.64223415,8,2,0
0,0.6312777,0.6414181,0.6368369,9,2,0
0,0.6281285,0.6350995,0.63130814,10,2,0
0,0.62885076,0.6344771,0.62710315,11,2,0
0,0.62273294,0.63350236,0.62384164,12,2,0
0,0.6187039,0.6326981,0.62336075,13,2,0
0,0.6223317,0.63081175,0.620124,14,2,0
