,bottleneck_unit_0,epoch,fold,iter
17221,0.11467812,25,0,0
20875,0.0,25,0,0
34388,0.0,25,0,0
33099,0.14216763,25,0,0
2677,1.3985965,25,0,0
31253,1.9444169,25,0,0
32995,1.4479403,25,0,0
39972,0.0,25,0,0
24440,0.0,25,0,0
13592,1.1622752,25,0,0
20707,0.8956727,25,0,0
17119,1.3917681,25,0,0
40885,0.504579,25,0,0
19795,0.7746554,25,0,0
40053,0.0,25,0,0
24868,0.0,25,0,0
30906,0.0,25,0,0
22997,0.0,25,0,0
33937,0.0,25,0,0
25338,0.0,25,0,0
19324,0.0,25,0,0
27570,0.5700751,25,0,0
11941,0.15616472,25,0,0
39437,1.0424074,25,0,0
3682,0.06588284,25,0,0
40585,0.5464364,25,0,0
24432,0.6580882,25,0,0
9545,0.0,25,0,0
19805,0.30868608,25,0,0
1845,0.7100461,25,0,0
7837,0.45957524,25,0,0
13799,1.1566828,25,0,0
30357,0.0,25,0,0
18803,0.0,25,0,0
19214,0.0,25,0,0
16234,1.184195,25,0,0
367,0.0,25,0,0
40165,1.3206701,25,0,0
38942,0.0,25,0,0
20985,0.02969801,25,0,0
33176,0.0,25,0,0
1543,0.0,25,0,0
7559,0.0,25,0,0
3939,0.0,25,0,0
3333,0.9758139,25,0,0
37916,0.0,25,0,0
10153,0.0,25,0,0
12012,0.0,25,0,0
32396,0.116720006,25,0,0
3379,0.0,25,0,0
34345,0.7691214,25,0,0
13790,0.0,25,0,0
14541,0.0,25,0,0
18744,0.6572303,25,0,0
3066,0.037952542,25,0,0
22654,0.0,25,0,0
27366,0.0,25,0,0
29651,0.0,25,0,0
886,0.0,25,0,0
3906,0.49973363,25,0,0
33454,0.0,25,0,0
25420,0.0,25,0,0
35085,0.0,25,0,0
27495,0.0,25,0,0
33272,0.97880036,25,0,0
4371,0.0636168,25,0,0
30175,0.7216042,25,0,0
6591,0.0,25,0,0
40310,1.1620884,25,0,0
9330,0.0,25,0,0
38575,0.0,25,0,0
40326,0.5745084,25,0,0
874,0.037018284,25,0,0
38446,0.0,25,0,0
7511,0.0401483,25,0,0
24806,0.28143004,25,0,0
13077,0.19910154,25,0,0
10629,0.6399081,25,0,0
3208,0.0,25,0,0
33835,0.1951882,25,0,0
23375,0.95849437,25,0,0
35176,1.4301233,25,0,0
32435,0.0,25,0,0
24718,0.0,25,0,0
206,0.8098536,25,0,0
33026,0.14662263,25,0,0
25360,0.0,25,0,0
20209,0.04529178,25,0,0
13023,0.0,25,0,0
25460,0.0031096968,25,0,0
23365,0.0,25,0,0
24741,0.0,25,0,0
40407,0.0,25,0,0
30606,0.0,25,0,0
2588,0.0,25,0,0
25188,1.9476161,25,0,0
14955,0.0,25,0,0
12150,0.0,25,0,0
27703,0.54713744,25,0,0
35302,0.0,25,0,0
20942,0.0,25,0,0
35894,0.0,25,0,0
5230,0.7980665,25,0,0
14769,0.0,25,0,0
39761,0.061727367,25,0,0
4174,0.9363198,25,0,0
16006,1.0147029,25,0,0
8198,0.0,25,0,0
6331,0.0,25,0,0
822,0.0,25,0,0
39623,0.13089837,25,0,0
23635,0.8507514,25,0,0
29656,1.6753788,25,0,0
31664,0.0,25,0,0
19691,1.3188479,25,0,0
12799,0.0,25,0,0
14963,0.0,25,0,0
33116,0.0,25,0,0
32334,0.0,25,0,0
8277,0.0,25,0,0
4747,0.0,25,0,0
749,0.0,25,0,0
10599,0.0,25,0,0
12177,0.0,25,0,0
5897,0.0,25,0,0
4575,0.0,25,0,0
28860,0.5153271,25,0,0
34703,0.4390084,25,0,0
33681,0.0,25,0,0
23669,0.6576794,25,0,0
34256,0.0,25,0,0
35740,1.4710989,25,0,0
914,0.0,25,0,0
21355,0.0,25,0,0
8376,0.0,25,0,0
24306,0.58997476,25,0,0
8374,0.0,25,0,0
6960,0.0,25,0,0
40441,0.0,25,0,0
26835,0.0,25,0,0
34517,0.012057061,25,0,0
30596,0.0,25,0,0
23972,0.3451458,25,0,0
14280,0.0,25,0,0
5368,0.7960819,25,0,0
31029,0.6065775,25,0,0
35149,0.0,25,0,0
14768,0.0,25,0,0
11459,0.0,25,0,0
6916,0.007921256,25,0,0
17856,0.0,25,0,0
17237,0.8358766,25,0,0
19570,1.2621398,25,0,0
34763,0.5428881,25,0,0
25000,0.0,25,0,0
8342,1.3168571,25,0,0
22575,0.13342527,25,0,0
5188,0.0,25,0,0
17315,0.0,25,0,0
14469,0.0,25,0,0
6287,0.0,25,0,0
19838,1.4380647,25,0,0
10763,0.0,25,0,0
14031,0.0,25,0,0
22136,0.5584382,25,0,0
19936,0.5676046,25,0,0
10194,0.30198085,25,0,0
7659,0.0,25,0,0
6326,0.42121053,25,0,0
37781,0.5587488,25,0,0
17603,0.0,25,0,0
15430,0.0,25,0,0
31846,0.0,25,0,0
7337,0.0,25,0,0
24658,0.0,25,0,0
3755,0.0,25,0,0
26606,0.56577486,25,0,0
25647,0.35497713,25,0,0
24249,0.0,25,0,0
7955,1.6002501,25,0,0
36562,0.0,25,0,0
25673,0.0,25,0,0
35530,1.148423,25,0,0
16309,0.0,25,0,0
19737,0.0,25,0,0
18138,0.0,25,0,0
17377,0.0,25,0,0
29972,0.0,25,0,0
15606,0.6173282,25,0,0
36332,0.5482177,25,0,0
31819,0.0,25,0,0
18576,1.0566111,25,0,0
24755,0.0,25,0,0
27898,1.5778114,25,0,0
5555,0.11051369,25,0,0
34245,0.0,25,0,0
15480,0.0,25,0,0
38078,0.693612,25,0,0
20954,0.0,25,0,0
28642,0.007290186,25,0,0
34450,0.0,25,0,0
19333,0.0,25,0,0
14537,1.1854081,25,0,0
2667,0.6122857,25,0,0
40577,0.26125026,25,0,0
18282,0.0,25,0,0
39223,0.5382225,25,0,0
31507,0.0,25,0,0
30433,0.0,25,0,0
15691,0.0,25,0,0
13666,0.0,25,0,0
13187,0.64295435,25,0,0
13153,0.0,25,0,0
13375,0.0,25,0,0
13174,0.10908889,25,0,0
27200,0.591263,25,0,0
40767,1.7809818,25,0,0
9525,0.0,25,0,0
20008,0.0,25,0,0
18270,0.6077303,25,0,0
5812,0.0,25,0,0
15103,0.0,25,0,0
525,0.0,25,0,0
2901,0.0,25,0,0
32798,1.2118156,25,0,0
9701,0.84747124,25,0,0
17849,0.0,25,0,0
39248,0.82754374,25,0,0
1988,0.0,25,0,0
37218,0.0,25,0,0
1702,0.0,25,0,0
33081,0.22117788,25,0,0
21959,0.0,25,0,0
7177,0.0,25,0,0
38186,0.0,25,0,0
21929,0.5119054,25,0,0
12504,0.037041105,25,0,0
8547,0.88309914,25,0,0
17702,0.0,25,0,0
33793,0.0,25,0,0
30398,0.0,25,0,0
9452,0.0,25,0,0
3009,0.0,25,0,0
9822,0.0,25,0,0
9234,0.0,25,0,0
33719,0.0,25,0,0
23189,0.0,25,0,0
28770,0.0,25,0,0
1225,0.0,25,0,0
37932,0.15402955,25,0,0
5554,1.0220103,25,0,0
33942,0.0,25,0,0
17589,0.24797927,25,0,0
9749,0.0,25,0,0
36414,0.0,25,0,0
13342,0.0,25,0,0
10685,1.5874618,25,0,0
13311,0.0,25,0,0
1154,0.3525014,25,0,0
24101,1.9495397,25,0,0
5337,0.0,25,0,0
3907,1.4272597,25,0,0
16212,0.0,25,0,0
12868,0.8204577,25,0,0
22566,0.0,25,0,0
1948,0.0,25,0,0
5103,1.1080133,25,0,0
29269,0.0,25,0,0
28186,0.0,25,0,0
24244,0.1572478,25,0,0
40081,0.0,25,0,0
36369,0.48258293,25,0,0
1157,0.2178983,25,0,0
10673,0.0,25,0,0
20621,1.5116891,25,0,0
7214,0.621176,25,0,0
23,0.0,25,0,0
12266,0.0,25,0,0
38717,0.0,25,0,0
40991,0.933043,25,0,0
15170,0.9591584,25,0,0
5839,0.0,25,0,0
21569,1.0480455,25,0,0
5653,1.0814359,25,0,0
38180,0.0,25,0,0
40251,0.0,25,0,0
24867,0.0,25,0,0
1069,0.0,25,0,0
34336,0.0,25,0,0
35675,0.0,25,0,0
36644,0.0,25,0,0
987,0.0,25,0,0
8182,0.634855,25,0,0
17171,0.0,25,0,0
5992,0.0,25,0,0
26072,0.0,25,0,0
7973,0.12793979,25,0,0
19029,0.0,25,0,0
20724,0.0,25,0,0
107,0.15371194,25,0,0
15452,0.39208236,25,0,0
40235,0.032747142,25,0,0
33076,0.0,25,0,0
10086,0.0,25,0,0
1280,0.21027565,25,0,0
3363,0.059346393,25,0,0
14738,0.9284978,25,0,0
41112,0.0,25,0,0
8223,0.0,25,0,0
12808,0.9118669,25,0,0
522,0.07134607,25,0,0
27082,0.0,25,0,0
26194,0.50645393,25,0,0
3315,0.9464728,25,0,0
16696,1.6780785,25,0,0
13920,0.0,25,0,0
3270,0.0,25,0,0
41212,0.0,25,0,0
11012,0.0,25,0,0
11360,0.0,25,0,0
6040,0.9686971,25,0,0
23826,0.0,25,0,0
11441,0.09122158,25,0,0
5206,0.0,25,0,0
33665,1.0717213,25,0,0
3518,0.84450173,25,0,0
39723,0.511364,25,0,0
14231,1.2371573,25,0,0
2220,0.0,25,0,0
12053,0.42763725,25,0,0
19878,0.0,25,0,0
13942,0.0,25,0,0
37400,0.0,25,0,0
24058,0.0,25,0,0
36866,0.3260904,25,0,0
29840,0.0,25,0,0
12318,0.0,25,0,0
22875,0.0,25,0,0
32178,0.0,25,0,0
30734,0.0,25,0,0
