,bottleneck_unit_0,epoch,fold,iter
29967,0.0,9,0,0
33178,0.0,9,0,0
28933,0.0,9,0,0
23720,0.0,9,0,0
30092,0.0,9,0,0
31509,0.0,9,0,0
13760,0.0,9,0,0
40885,0.0,9,0,0
26562,0.0,9,0,0
23339,0.0,9,0,0
17888,0.0,9,0,0
30906,0.0,9,0,0
13771,0.0,9,0,0
12874,0.0,9,0,0
22997,0.0,9,0,0
13958,0.0,9,0,0
25416,0.0,9,0,0
25338,0.0,9,0,0
31215,0.0,9,0,0
24271,0.0,9,0,0
29884,0.0,9,0,0
24432,0.0,9,0,0
30185,0.0,9,0,0
29485,0.0,9,0,0
27600,0.0,9,0,0
32211,0.0,9,0,0
12966,0.0,9,0,0
15573,0.0,9,0,0
24877,0.0,9,0,0
37268,0.0,9,0,0
16234,0.0,9,0,0
554,0.0,9,0,0
22912,0.0,9,0,0
33608,0.0,9,0,0
40270,0.0,9,0,0
29304,0.0,9,0,0
4326,0.0,9,0,0
15868,0.0,9,0,0
28948,0.0,9,0,0
3357,0.0,9,0,0
37934,0.0,9,0,0
3066,0.0,9,0,0
15186,0.0,9,0,0
36017,0.0,9,0,0
27268,0.0,9,0,0
13856,0.0,9,0,0
29651,0.0,9,0,0
27245,0.0,9,0,0
12613,0.0,9,0,0
33454,0.0,9,0,0
23685,0.0,9,0,0
25420,0.0,9,0,0
25937,0.0,9,0,0
27495,0.0,9,0,0
33272,0.0,9,0,0
23698,0.0,9,0,0
33742,0.0,9,0,0
23107,0.0,9,0,0
39053,0.0,9,0,0
31638,0.0,9,0,0
14766,0.0,9,0,0
13264,0.0,9,0,0
40570,0.0,9,0,0
7511,0.0,9,0,0
29380,0.0,9,0,0
34690,0.0,9,0,0
35747,0.0,9,0,0
24655,0.0,9,0,0
33835,0.0,9,0,0
21777,0.0,9,0,0
23375,0.0,9,0,0
26689,0.0,9,0,0
6777,0.0,9,0,0
25600,0.0,9,0,0
25360,0.0,9,0,0
20968,0.0,9,0,0
3343,0.0,9,0,0
2467,0.0,9,0,0
37028,0.0,9,0,0
9511,0.0,9,0,0
13418,0.0,9,0,0
13842,0.0,9,0,0
15639,0.0,9,0,0
15674,0.0,9,0,0
32509,0.0,9,0,0
26644,0.0,9,0,0
30417,0.0,9,0,0
31224,0.0,9,0,0
39129,0.0,9,0,0
24119,0.0,9,0,0
2588,0.0,9,0,0
23280,0.0,9,0,0
28126,0.19969866,9,0,0
10489,0.0,9,0,0
20942,0.0,9,0,0
14769,0.11807379,9,0,0
39761,0.0,9,0,0
4174,0.0,9,0,0
22330,0.0,9,0,0
8198,0.0,9,0,0
6331,0.0,9,0,0
35028,0.0,9,0,0
28449,0.0,9,0,0
34080,0.0,9,0,0
5272,0.0,9,0,0
29656,0.0,9,0,0
11530,0.0,9,0,0
4581,0.0,9,0,0
41135,0.0,9,0,0
14963,0.0,9,0,0
28498,0.0,9,0,0
33116,0.0,9,0,0
32334,0.0,9,0,0
8277,0.0,9,0,0
25908,0.0,9,0,0
10599,0.0,9,0,0
6461,0.0,9,0,0
22360,0.023078589,9,0,0
6566,0.0,9,0,0
5241,0.0,9,0,0
7722,0.0,9,0,0
39445,0.0,9,0,0
3017,0.0,9,0,0
7548,0.0,9,0,0
40614,0.0,9,0,0
36528,0.0,9,0,0
6231,0.0,9,0,0
31553,0.0,9,0,0
8376,0.0,9,0,0
737,0.0,9,0,0
6960,0.0,9,0,0
9177,0.0,9,0,0
23972,0.0,9,0,0
28954,0.0,9,0,0
9861,0.0,9,0,0
5368,0.0,9,0,0
19394,0.0,9,0,0
32565,0.0,9,0,0
13838,0.0,9,0,0
39531,0.0,9,0,0
12048,0.0,9,0,0
14851,0.0,9,0,0
7636,0.0,9,0,0
20230,0.0,9,0,0
15781,0.0,9,0,0
15776,0.0,9,0,0
15394,0.0,9,0,0
8342,0.0,9,0,0
6287,0.0,9,0,0
32117,0.0,9,0,0
36742,0.0,9,0,0
19936,0.0,9,0,0
21338,0.0,9,0,0
4328,0.0,9,0,0
10194,0.0,9,0,0
15430,0.0,9,0,0
31846,0.0,9,0,0
1869,0.0,9,0,0
24658,0.0,9,0,0
39996,0.0,9,0,0
16485,0.0,9,0,0
33928,0.0,9,0,0
40174,0.0,9,0,0
12116,0.0,9,0,0
35530,0.0,9,0,0
35913,0.0,9,0,0
2241,0.0,9,0,0
19737,0.0,9,0,0
23283,0.0,9,0,0
2875,0.0,9,0,0
1827,0.0,9,0,0
18138,0.0,9,0,0
30526,0.0,9,0,0
26127,0.0004496161,9,0,0
17377,0.0,9,0,0
15652,0.0,9,0,0
18914,0.0,9,0,0
7609,0.0,9,0,0
34772,0.0,9,0,0
36332,0.0,9,0,0
