,train_loss,test_loss,valid_loss,epoch,fold,iter
0,0.8324795,0.80253714,0.80059624,0,0,0
0,0.8193283,0.79587644,0.79446924,1,0,0
0,0.8106444,0.7940821,0.79254895,2,0,0
0,0.81019455,0.7949728,0.79386646,3,0,0
0,0.80538803,0.7937542,0.7921663,4,0,0
0,0.8017292,0.79200006,0.7904404,5,0,0
0,0.7985143,0.78988385,0.7878826,6,0,0
0,0.79799604,0.788178,0.78500533,7,0,0
0,0.7988551,0.78602844,0.78160757,8,0,0
0,0.7961776,0.78414387,0.7796946,9,0,0
0,0.79282117,0.78471035,0.77969563,10,0,0
0,0.788825,0.78615755,0.78074574,11,0,0
0,0.7919356,0.7847438,0.77969235,12,0,0
0,0.7877442,0.78444314,0.77972466,13,0,0
0,0.78798896,0.78483844,0.7800689,14,0,0
0,0.8349261,0.79678833,0.7961865,0,1,0
0,0.8197019,0.7914057,0.7920814,1,1,0
0,0.8066986,0.7895228,0.7900108,2,1,0
0,0.81178313,0.78830004,0.78978515,3,1,0
0,0.8068344,0.78742296,0.78977907,4,1,0
0,0.80572253,0.7884562,0.7940452,5,1,0
0,0.80240345,0.78797066,0.7937262,6,1,0
0,0.79970145,0.78507483,0.7878968,7,1,0
0,0.79334784,0.7837137,0.7846039,8,1,0
0,0.79472834,0.7826662,0.7813888,9,1,0
0,0.7982581,0.7820336,0.7801272,10,1,0
0,0.7936494,0.7808488,0.7783125,11,1,0
0,0.78945065,0.78033066,0.777896,12,1,0
0,0.7860485,0.7808113,0.7803794,13,1,0
0,0.7891992,0.78003997,0.77928627,14,1,0
0,0.7904989,0.7777122,0.7749731,15,1,0
0,0.7829754,0.7763828,0.77380276,16,1,0
0,0.78381395,0.7762439,0.7740122,17,1,0
0,0.7814873,0.77555615,0.7733454,18,1,0
0,0.7821994,0.77376765,0.77121305,19,1,0
0,0.7769215,0.7727366,0.7703251,20,1,0
0,0.7781966,0.7720919,0.7696897,21,1,0
0,0.7773752,0.77096087,0.7683025,22,1,0
0,0.774014,0.77023965,0.76760536,23,1,0
0,0.7706351,0.7701442,0.7677398,24,1,0
0,0.77049094,0.77007014,0.76791805,25,1,0
0,0.76688737,0.7683012,0.76558536,26,1,0
0,0.7669049,0.76758426,0.7646032,27,1,0
0,0.76397586,0.76840264,0.7652354,28,1,0
0,0.7650092,0.76882786,0.76586604,29,1,0
0,0.76249355,0.7686464,0.7657338,30,1,0
0,0.76120013,0.76677513,0.76358783,31,1,0
0,0.7619768,0.76693296,0.7634357,32,1,0
0,0.7605367,0.7750163,0.77116066,33,1,0
0,0.7591376,0.77571577,0.77268606,34,1,0
0,0.7563331,0.76669896,0.76370776,35,1,0
0,0.7553734,0.76433897,0.76083297,36,1,0
0,0.7547237,0.7666012,0.76280975,37,1,0
0,0.7504432,0.7700608,0.76700646,38,1,0
0,0.75165445,0.7670105,0.7639739,39,1,0
0,0.75108314,0.76554954,0.7617998,40,1,0
0,0.7472308,0.7660889,0.762152,41,1,0
0,0.83332974,0.79682237,0.7956965,0,2,0
0,0.8118424,0.7912067,0.78961384,1,2,0
0,0.814779,0.7897658,0.7876958,2,2,0
0,0.81001896,0.78999734,0.7882406,3,2,0
0,0.80557793,0.7883031,0.7858513,4,2,0
0,0.7992622,0.78654283,0.7838413,5,2,0
0,0.8030927,0.7862336,0.7833415,6,2,0
0,0.7974704,0.7843634,0.7818155,7,2,0
0,0.79610294,0.7835953,0.7810799,8,2,0
0,0.79293984,0.78261495,0.78007406,9,2,0
0,0.791933,0.7816201,0.77909374,10,2,0
0,0.7904429,0.78254694,0.7800961,11,2,0
0,0.78797054,0.7828152,0.7803176,12,2,0
0,0.78770465,0.7812514,0.77869654,13,2,0
0,0.7868387,0.77873033,0.77581114,14,2,0
0,0.7821385,0.7779423,0.7750153,15,2,0
0,0.7797375,0.77690494,0.77410275,16,2,0
0,0.78252214,0.7765037,0.77404654,17,2,0
0,0.77877015,0.77656513,0.77421325,18,2,0
0,0.7775969,0.77470917,0.77213365,19,2,0
0,0.7748,0.7736823,0.7709591,20,2,0
0,0.77438617,0.77418375,0.7715025,21,2,0
0,0.7698293,0.77483106,0.7724095,22,2,0
0,0.7676955,0.77257776,0.7702149,23,2,0
0,0.76990795,0.7710861,0.7684168,24,2,0
0,0.76788616,0.77150095,0.76885456,25,2,0
0,0.7670949,0.7744207,0.772732,26,2,0
0,0.76642126,0.77640456,0.77578014,27,2,0
0,0.76472926,0.7723812,0.77030945,28,2,0
0,0.76200724,0.77137536,0.7691109,29,2,0
0,0.8373163,0.8042703,0.7981806,0,3,0
0,0.82223636,0.8058408,0.79798734,1,3,0
0,0.83499724,0.8006473,0.7969031,0,4,0
0,0.8159418,0.8009675,0.79405284,1,4,0
0,0.83692414,0.8078242,0.7998544,0,0,1
0,0.823222,0.81055343,0.79826397,1,0,1
0,0.83393264,0.79658306,0.79596907,0,1,1
0,0.81588095,0.7910933,0.7904047,1,1,1
0,0.8070888,0.78859305,0.7865054,2,1,1
0,0.81004,0.7875329,0.7854303,3,1,1
0,0.80606866,0.7868099,0.78470683,4,1,1
0,0.8020161,0.7857331,0.78353584,5,1,1
0,0.8046052,0.78497845,0.7827479,6,1,1
0,0.79606754,0.7852874,0.78324074,7,1,1
0,0.79830265,0.7840871,0.78179616,8,1,1
0,0.79328734,0.7824876,0.7802594,9,1,1
0,0.79537535,0.7818505,0.77958745,10,1,1
0,0.79085296,0.7811,0.7786789,11,1,1
0,0.7929249,0.7801804,0.7776835,12,1,1
0,0.789241,0.7787991,0.7761733,13,1,1
0,0.784349,0.77804965,0.77533793,14,1,1
0,0.7812872,0.7775189,0.7747509,15,1,1
0,0.78070354,0.7777951,0.7749662,16,1,1
0,0.7783753,0.77710104,0.7743199,17,1,1
0,0.77818924,0.7756202,0.7728511,18,1,1
