,bottleneck_unit_0,epoch,fold,iter
20875,1.2441938,49,0,0
33178,0.6529039,49,0,0
2677,0.0,49,0,0
31509,0.3399716,49,0,0
17100,1.2853135,49,0,0
6020,0.0,49,0,0
23226,0.34804404,49,0,0
39972,0.9873996,49,0,0
13760,0.5058306,49,0,0
13592,0.0,49,0,0
40885,0.0,49,0,0
41188,0.8508731,49,0,0
14561,1.4525701,49,0,0
20541,0.0,49,0,0
11291,0.51925737,49,0,0
30906,0.0,49,0,0
7531,0.0,49,0,0
9123,0.626038,49,0,0
7604,0.37413615,49,0,0
36130,0.0,49,0,0
19324,0.65230495,49,0,0
27284,1.6391189,49,0,0
40585,0.2791599,49,0,0
9545,0.0,49,0,0
12754,0.0,49,0,0
18803,1.2674814,49,0,0
4404,1.9694916,49,0,0
9818,0.1173005,49,0,0
22912,1.9677498,49,0,0
26999,0.0,49,0,0
9514,0.0,49,0,0
21231,0.0,49,0,0
20847,0.0,49,0,0
32627,0.0,49,0,0
4326,0.94114655,49,0,0
12012,0.32981807,49,0,0
1977,0.42598885,49,0,0
29526,0.88071483,49,0,0
10902,0.5243578,49,0,0
25332,0.0,49,0,0
20213,0.42168596,49,0,0
22654,0.0,49,0,0
2621,0.0,49,0,0
15148,0.22357714,49,0,0
16577,0.8671872,49,0,0
35966,0.5090651,49,0,0
7805,1.9143593,49,0,0
1173,0.0,49,0,0
26409,1.4438854,49,0,0
546,0.0,49,0,0
25420,0.0,49,0,0
7732,0.15080436,49,0,0
34333,0.22818668,49,0,0
8636,0.0,49,0,0
23698,0.108997084,49,0,0
9330,0.5821509,49,0,0
23107,1.659166,49,0,0
39053,0.0,49,0,0
38263,0.0852774,49,0,0
874,0.38413885,49,0,0
19350,0.0,49,0,0
40570,0.0,49,0,0
5149,1.6028565,49,0,0
1412,0.0,49,0,0
20702,0.0,49,0,0
14070,0.0,49,0,0
33653,0.9005912,49,0,0
35840,1.4434606,49,0,0
40237,0.0,49,0,0
19109,1.5187747,49,0,0
33026,0.19413888,49,0,0
4958,2.7355855,49,0,0
2303,0.0,49,0,0
37544,0.0,49,0,0
30804,2.0363657,49,0,0
18624,1.4271172,49,0,0
20968,0.88450295,49,0,0
13023,1.0808665,49,0,0
10464,0.5913368,49,0,0
37207,0.0,49,0,0
13151,0.72938067,49,0,0
7854,0.0,49,0,0
24741,0.0,49,0,0
40407,0.0,49,0,0
38691,1.3201333,49,0,0
30932,0.06973825,49,0,0
25365,2.273031,49,0,0
29880,0.0,49,0,0
21933,0.0,49,0,0
39129,0.0,49,0,0
24119,0.0,49,0,0
26020,0.0,49,0,0
37712,0.0025858153,49,0,0
410,1.1194642,49,0,0
24938,1.8217506,49,0,0
25188,0.0,49,0,0
14485,0.0,49,0,0
31052,0.0,49,0,0
934,0.43409044,49,0,0
35894,0.33270907,49,0,0
18460,0.0,49,0,0
40744,0.0,49,0,0
24348,0.0,49,0,0
39761,0.0,49,0,0
16006,0.16641258,49,0,0
22330,0.0,49,0,0
13872,0.0,49,0,0
12676,0.0,49,0,0
822,0.7847851,49,0,0
29656,0.0,49,0,0
19691,0.0,49,0,0
14963,0.7370628,49,0,0
28498,0.0,49,0,0
12943,0.036695167,49,0,0
18117,0.0,49,0,0
21608,0.53714126,49,0,0
20867,0.0,49,0,0
15893,0.0,49,0,0
24607,0.5691925,49,0,0
21750,1.1236652,49,0,0
26099,0.0,49,0,0
27476,0.0,49,0,0
10599,0.06713085,49,0,0
8361,0.0,49,0,0
2044,0.8390173,49,0,0
27578,0.0,49,0,0
29827,1.123774,49,0,0
34935,0.61615515,49,0,0
37496,1.7698882,49,0,0
39857,2.3020957,49,0,0
34703,0.0,49,0,0
7548,0.0,49,0,0
32609,1.3643225,49,0,0
18245,0.28797862,49,0,0
1028,0.0,49,0,0
23669,0.0,49,0,0
31553,0.68681353,49,0,0
10942,0.0,49,0,0
914,1.7796156,49,0,0
30432,0.0,49,0,0
30197,0.2116696,49,0,0
40785,0.0,49,0,0
11292,0.059642285,49,0,0
35053,1.1366013,49,0,0
8866,0.7656672,49,0,0
1384,2.4737873,49,0,0
39895,1.1669092,49,0,0
29452,0.12870404,49,0,0
32565,0.0,49,0,0
17642,0.0,49,0,0
36368,1.686138,49,0,0
17856,0.7746642,49,0,0
9414,0.038557965,49,0,0
37006,0.90980625,49,0,0
32333,1.9689132,49,0,0
39177,0.47498888,49,0,0
3504,1.6639142,49,0,0
26548,1.1039217,49,0,0
22575,1.7874337,49,0,0
23064,0.0,49,0,0
26964,2.0040236,49,0,0
27278,1.2051374,49,0,0
19666,0.0,49,0,0
21338,0.0,49,0,0
39146,0.45179033,49,0,0
37781,0.38438484,49,0,0
17603,0.7174658,49,0,0
15430,1.3958416,49,0,0
26997,1.0281456,49,0,0
19521,0.87104553,49,0,0
3755,2.1662855,49,0,0
19274,1.3857204,49,0,0
7955,0.0,49,0,0
6158,0.0,49,0,0
89,1.2188352,49,0,0
3266,0.0,49,0,0
32174,0.0,49,0,0
32503,0.0,49,0,0
30222,1.0678959,49,0,0
5800,0.0,49,0,0
12116,1.979643,49,0,0
9258,0.32112885,49,0,0
20043,1.4460517,49,0,0
1827,0.59460235,49,0,0
31658,0.0,49,0,0
40373,1.6417037,49,0,0
18214,0.100504756,49,0,0
15606,0.0,49,0,0
35889,0.55941004,49,0,0
16579,0.0,49,0,0
18112,2.193902,49,0,0
