,train_loss,test_loss,valid_loss,epoch,fold,iter
0,0.713743,0.7081357,0.70724285,0,0,0
0,0.7035907,0.7064642,0.7051546,1,0,0
0,0.70379114,0.7044532,0.70219827,2,0,0
0,0.69997096,0.7027945,0.69977,3,0,0
0,0.6991999,0.7013988,0.6979,4,0,0
0,0.69610757,0.700273,0.6964368,5,0,0
0,0.69749993,0.6993908,0.6952336,6,0,0
0,0.69228005,0.69862175,0.69422483,7,0,0
0,0.69283754,0.69768363,0.6931995,8,0,0
0,0.6903401,0.6963138,0.6919736,9,0,0
0,0.6885769,0.694813,0.6909535,10,0,0
0,0.68850565,0.6936566,0.6901614,11,0,0
0,0.6786156,0.69301474,0.689673,12,0,0
0,0.6803594,0.69240195,0.68941045,13,0,0
0,0.6782995,0.69155574,0.68897015,14,0,0
0,0.67878073,0.69092774,0.6882777,15,0,0
0,0.67380863,0.68954384,0.6874192,16,0,0
0,0.67108625,0.6881162,0.6867452,17,0,0
0,0.6711258,0.68826836,0.6863744,18,0,0
0,0.66598606,0.6879543,0.68629295,19,0,0
0,0.6635421,0.68776214,0.68651956,20,0,0
0,0.66264457,0.6867995,0.68573135,21,0,0
0,0.6588122,0.68549,0.6840198,22,0,0
0,0.6591721,0.6848587,0.6841403,23,0,0
0,0.6545958,0.68486565,0.6849996,24,0,0
0,0.652005,0.68277186,0.6836259,25,0,0
0,0.65249896,0.6826496,0.6831765,26,0,0
0,0.65023214,0.68092674,0.68155617,27,0,0
0,0.6447292,0.6814938,0.6812015,28,0,0
0,0.64511245,0.68094474,0.6802758,29,0,0
0,0.6432684,0.67961097,0.67918974,30,0,0
0,0.63949376,0.6799866,0.67999876,31,0,0
0,0.63798946,0.6774724,0.67817193,32,0,0
0,0.6388599,0.6772194,0.6772036,33,0,0
0,0.6360732,0.6763013,0.6748895,34,0,0
0,0.63447094,0.67576754,0.6734171,35,0,0
0,0.63139653,0.6767718,0.67658424,36,0,0
0,0.6299625,0.67366666,0.6741493,37,0,0
0,0.6298146,0.6756585,0.67420036,38,0,0
0,0.6280563,0.67354244,0.6715576,39,0,0
0,0.62278444,0.6720901,0.67130244,40,0,0
0,0.6252395,0.6718666,0.6728386,41,0,0
0,0.6208168,0.66833776,0.6693351,42,0,0
0,0.6205241,0.6688607,0.669515,43,0,0
0,0.61642355,0.6684749,0.6678906,44,0,0
0,0.6161452,0.6689953,0.6685123,45,0,0
0,0.61684173,0.6686032,0.6680205,46,0,0
0,0.6127346,0.66674846,0.6669134,47,0,0
0,0.61013603,0.6693145,0.6676536,48,0,0
0,0.6084954,0.66614,0.66494066,49,0,0
0,0.71332437,0.7081373,0.7072482,0,1,0
0,0.7029462,0.70657027,0.7053242,1,1,0
0,0.7031316,0.704357,0.70205396,2,1,0
0,0.69870883,0.7026988,0.69967484,3,1,0
0,0.6985183,0.7013153,0.6979536,4,1,0
0,0.6982549,0.699944,0.6966481,5,1,0
0,0.69330764,0.6985765,0.6957047,6,1,0
0,0.69356865,0.6969946,0.6943456,7,1,0
0,0.6898429,0.695738,0.69315416,8,1,0
0,0.68601424,0.694811,0.6925415,9,1,0
0,0.68848544,0.69396156,0.6919473,10,1,0
0,0.68670887,0.69341826,0.6919159,11,1,0
0,0.6836459,0.6919988,0.6910717,12,1,0
0,0.6770571,0.6911981,0.6901328,13,1,0
0,0.67777205,0.69128305,0.68927026,14,1,0
0,0.6758229,0.6903464,0.6883469,15,1,0
0,0.66959697,0.690071,0.6879766,16,1,0
0,0.6700582,0.689754,0.6876249,17,1,0
0,0.6653184,0.68949234,0.687644,18,1,0
0,0.66302204,0.688589,0.6867743,19,1,0
0,0.6630444,0.68734825,0.6861559,20,1,0
0,0.65973073,0.68837124,0.6862142,21,1,0
0,0.6596598,0.6868105,0.6850934,22,1,0
0,0.6584348,0.68621206,0.68427104,23,1,0
0,0.65630585,0.68608654,0.68349975,24,1,0
0,0.65023273,0.68538344,0.6832586,25,1,0
0,0.6506036,0.6846636,0.6815082,26,1,0
0,0.6471117,0.68491095,0.68062556,27,1,0
0,0.64642507,0.6848625,0.6806206,28,1,0
0,0.6433781,0.684538,0.6805386,29,1,0
0,0.64120007,0.6829173,0.6793118,30,1,0
0,0.6429165,0.6827574,0.6787279,31,1,0
0,0.6379738,0.6807586,0.6774286,32,1,0
0,0.6366801,0.6800264,0.67743975,33,1,0
0,0.63573337,0.6794869,0.67684114,34,1,0
0,0.63284284,0.6785499,0.6759628,35,1,0
0,0.6314379,0.67609507,0.6739576,36,1,0
0,0.6308358,0.6790958,0.67588395,37,1,0
0,0.62972015,0.6766205,0.67325795,38,1,0
0,0.6257005,0.67719406,0.6734053,39,1,0
0,0.6231948,0.67523915,0.67224526,40,1,0
0,0.6240891,0.674231,0.6713556,41,1,0
0,0.6213311,0.672509,0.6700102,42,1,0
0,0.6161602,0.6724728,0.66904265,43,1,0
0,0.61432797,0.67276716,0.66898316,44,1,0
0,0.61636204,0.6700249,0.66777813,45,1,0
0,0.613756,0.6706364,0.66836977,46,1,0
0,0.60994536,0.66937256,0.66494524,47,1,0
0,0.6136057,0.66887695,0.66399586,48,1,0
0,0.6074464,0.6692871,0.6640623,49,1,0
0,0.71481997,0.7081884,0.7072512,0,2,0
0,0.7064006,0.70658535,0.705238,1,2,0
0,0.7033519,0.7043894,0.7020012,2,2,0
0,0.6976805,0.7029373,0.6996677,3,2,0
0,0.69624877,0.70170456,0.69799584,4,2,0
0,0.69559145,0.70034224,0.69651073,5,2,0
0,0.69499665,0.6991031,0.69526005,6,2,0
0,0.69088715,0.69765836,0.6941814,7,2,0
0,0.6886832,0.6964605,0.6931948,8,2,0
0,0.6866045,0.695493,0.6922545,9,2,0
0,0.68675596,0.69467175,0.6914242,10,2,0
0,0.6852028,0.6936203,0.69065154,11,2,0
0,0.6813838,0.69352376,0.6900035,12,2,0
0,0.67819184,0.69390213,0.6900008,13,2,0
0,0.6742069,0.692021,0.68913805,14,2,0
0,0.6713357,0.69147885,0.68853426,15,2,0
0,0.6714468,0.6932671,0.6883579,16,2,0
