,bottleneck_unit_0,epoch,fold,iter
29967,0.74393827,31,0,0
20875,0.22921905,31,0,0
33099,0.5578149,31,0,0
13760,0.3937426,31,0,0
24440,0.0,31,0,0
19261,0.6556482,31,0,0
23939,0.6990086,31,0,0
23339,0.77836424,31,0,0
9922,0.5202098,31,0,0
24868,0.11558629,31,0,0
16111,0.73124415,31,0,0
11291,0.0,31,0,0
21806,0.0,31,0,0
7604,0.0,31,0,0
36130,0.077084675,31,0,0
31215,0.27328217,31,0,0
3682,0.65366966,31,0,0
16651,0.8121501,31,0,0
37051,0.0,31,0,0
11763,0.56552744,31,0,0
19805,0.66419077,31,0,0
27600,0.72323406,31,0,0
7837,0.68795097,31,0,0
27490,0.0,31,0,0
20985,0.6428402,31,0,0
33176,0.0,31,0,0
31282,0.0,31,0,0
1543,0.040224794,31,0,0
32627,0.6848895,31,0,0
1332,0.23679014,31,0,0
9263,0.77511805,31,0,0
28809,0.5449374,31,0,0
1977,0.58378375,31,0,0
3379,0.14616425,31,0,0
29526,0.0,31,0,0
9814,0.810462,31,0,0
28948,0.65299624,31,0,0
15546,0.61443394,31,0,0
39335,0.9709533,31,0,0
12055,1.171507,31,0,0
9142,0.0,31,0,0
28203,0.0,31,0,0
2937,0.43746543,31,0,0
22608,0.7977088,31,0,0
35966,0.69212013,31,0,0
28958,0.0,31,0,0
3906,0.5514558,31,0,0
546,1.005965,31,0,0
1859,0.0,31,0,0
35085,0.0,31,0,0
29583,0.89389807,31,0,0
1695,0.7686622,31,0,0
30175,0.95435923,31,0,0
31251,0.0,31,0,0
31638,0.080619864,31,0,0
32311,0.0,31,0,0
7511,0.49355567,31,0,0
22606,0.11822941,31,0,0
22935,0.0,31,0,0
10629,0.8249738,31,0,0
35840,0.3069303,31,0,0
30461,0.0,31,0,0
35176,0.78515005,31,0,0
7176,0.99072754,31,0,0
4090,0.65393806,31,0,0
2184,0.6494764,31,0,0
24981,0.80664235,31,0,0
33026,0.6921134,31,0,0
20804,0.0,31,0,0
13023,0.3189999,31,0,0
36300,0.0,31,0,0
14299,0.0,31,0,0
32486,0.73639536,31,0,0
32509,0.0,31,0,0
24741,0.65283906,31,0,0
40407,0.0,31,0,0
6120,0.0,31,0,0
26644,0.5388807,31,0,0
18263,0.73483795,31,0,0
39129,1.0650584,31,0,0
38630,0.0,31,0,0
35444,0.0,31,0,0
18979,0.0,31,0,0
31928,0.67796785,31,0,0
10489,0.68977576,31,0,0
20942,0.43365118,31,0,0
26582,0.0,31,0,0
5230,0.6207682,31,0,0
1410,0.8596769,31,0,0
8198,0.0,31,0,0
39623,0.7131636,31,0,0
9617,0.98624563,31,0,0
28498,0.95812786,31,0,0
5701,0.6920211,31,0,0
16805,0.5830345,31,0,0
5897,0.6368831,31,0,0
22711,0.71641946,31,0,0
3215,0.6498209,31,0,0
27578,0.9329442,31,0,0
6566,0.062951036,31,0,0
37496,0.0,31,0,0
5419,0.7792185,31,0,0
3060,0.032688864,31,0,0
28860,0.0,31,0,0
28008,0.0,31,0,0
9991,0.0,31,0,0
32609,0.0,31,0,0
40614,0.0,31,0,0
36662,1.1680831,31,0,0
34256,0.0,31,0,0
30197,0.0,31,0,0
13544,0.0,31,0,0
8374,0.5362115,31,0,0
40441,0.0,31,0,0
21623,0.856352,31,0,0
34982,0.8018013,31,0,0
16643,0.5703359,31,0,0
9659,0.0,31,0,0
22327,0.50998247,31,0,0
32565,0.35635245,31,0,0
19875,0.75294477,31,0,0
35100,0.6957678,31,0,0
36368,0.0,31,0,0
6916,0.0,31,0,0
37006,0.71762234,31,0,0
22129,0.3077586,31,0,0
33058,0.72071886,31,0,0
15781,0.0,31,0,0
34763,0.9355436,31,0,0
26548,0.74153686,31,0,0
9952,0.75177014,31,0,0
22575,0.4345484,31,0,0
3302,0.7277253,31,0,0
5068,0.0,31,0,0
20634,0.0,31,0,0
6287,0.36835873,31,0,0
289,0.6966592,31,0,0
22136,0.68301755,31,0,0
20997,0.0,31,0,0
7659,0.02798068,31,0,0
37669,0.7771175,31,0,0
22100,0.7043761,31,0,0
6953,0.33237886,31,0,0
6158,0.8383868,31,0,0
89,0.0,31,0,0
32174,1.3150208,31,0,0
16613,0.0,31,0,0
30222,0.0,31,0,0
40174,0.7269747,31,0,0
32949,0.759888,31,0,0
35530,0.8024331,31,0,0
35913,0.7703619,31,0,0
2241,0.67956316,31,0,0
9258,0.0,31,0,0
29786,0.6825517,31,0,0
26127,0.7240916,31,0,0
29972,0.0,31,0,0
34223,0.0,31,0,0
34661,0.07134682,31,0,0
31819,0.51923734,31,0,0
14666,0.7020098,31,0,0
36871,0.8061463,31,0,0
16007,0.38209713,31,0,0
4531,0.8688288,31,0,0
21405,0.0,31,0,0
1444,0.8734395,31,0,0
16366,0.5972368,31,0,0
1023,0.23325737,31,0,0
20954,0.47482383,31,0,0
25883,0.0,31,0,0
2131,0.0,31,0,0
32177,1.0341461,31,0,0
20473,0.58620083,31,0,0
14295,0.0,31,0,0
19333,0.0,31,0,0
10870,0.3222509,31,0,0
14537,0.8444567,31,0,0
2667,0.5797064,31,0,0
30294,0.0,31,0,0
40577,0.716911,31,0,0
35096,0.92585343,31,0,0
31507,0.0,31,0,0
21430,0.0,31,0,0
35523,0.0,31,0,0
13187,0.90167516,31,0,0
30642,0.0,31,0,0
13174,0.55526304,31,0,0
36775,0.69650096,31,0,0
26611,0.8005981,31,0,0
15249,0.9288186,31,0,0
28538,0.6790213,31,0,0
24991,0.56286657,31,0,0
5769,0.7548048,31,0,0
239,0.0,31,0,0
17664,0.0,31,0,0
11556,0.7845043,31,0,0
39702,0.0,31,0,0
18678,0.36937377,31,0,0
33368,0.2955027,31,0,0
38280,0.44481093,31,0,0
25385,0.0,31,0,0
34290,0.7351476,31,0,0
2901,0.0,31,0,0
18605,0.0,31,0,0
633,0.95516646,31,0,0
37218,0.36033309,31,0,0
7177,0.0,31,0,0
24882,0.65067166,31,0,0
21929,0.77232015,31,0,0
10361,0.0,31,0,0
9958,0.13471627,31,0,0
17702,0.31955397,31,0,0
33793,0.0,31,0,0
33736,0.0,31,0,0
23288,0.0,31,0,0
20917,0.0,31,0,0
21416,0.0,31,0,0
16987,0.6600532,31,0,0
21807,0.0,31,0,0
38967,0.0,31,0,0
20656,0.9264603,31,0,0
6433,0.0,31,0,0
15024,0.0,31,0,0
31479,0.8704352,31,0,0
14387,1.2486019,31,0,0
15695,0.0,31,0,0
4616,0.27432346,31,0,0
9749,0.0,31,0,0
20097,0.0,31,0,0
2489,0.0,31,0,0
18891,0.80462426,31,0,0
31575,0.9136788,31,0,0
9344,0.0,31,0,0
37754,1.0506704,31,0,0
12868,0.27698764,31,0,0
32847,0.7795238,31,0,0
15401,0.0,31,0,0
1948,0.2208255,31,0,0
18930,0.4511088,31,0,0
8978,0.0,31,0,0
15802,0.25658187,31,0,0
1551,0.0,31,0,0
24244,0.74477524,31,0,0
21095,0.0,31,0,0
14684,0.0,31,0,0
37141,0.74225396,31,0,0
7214,0.6912108,31,0,0
20791,0.6394267,31,0,0
23,0.0,31,0,0
12266,0.57727194,31,0,0
7749,0.80913067,31,0,0
38717,0.44752663,31,0,0
35969,0.0,31,0,0
36581,0.95935297,31,0,0
21979,0.80678695,31,0,0
34054,0.0,31,0,0
15170,0.7352124,31,0,0
12948,0.38157436,31,0,0
25306,0.8501205,31,0,0
30571,0.0,31,0,0
34336,0.0,31,0,0
9720,0.45398447,31,0,0
464,0.55831623,31,0,0
5988,0.0,31,0,0
27498,0.0,31,0,0
33661,0.61702484,31,0,0
5983,0.13599369,31,0,0
23222,0.5430854,31,0,0
5992,0.22261134,31,0,0
19990,0.20850399,31,0,0
37860,0.35582036,31,0,0
26072,0.42266065,31,0,0
107,0.0,31,0,0
40616,0.0,31,0,0
15452,0.6126125,31,0,0
24557,0.68930185,31,0,0
10611,0.0,31,0,0
9188,0.870259,31,0,0
18453,0.93717444,31,0,0
6800,0.19047526,31,0,0
28435,0.5684269,31,0,0
14738,0.7444892,31,0,0
8223,0.30499563,31,0,0
31884,0.23822212,31,0,0
32955,1.1592025,31,0,0
27082,0.0,31,0,0
6350,0.749548,31,0,0
26194,0.5648289,31,0,0
37248,0.83273494,31,0,0
19444,0.73601663,31,0,0
14339,0.0,31,0,0
6040,0.62699986,31,0,0
26382,0.65712464,31,0,0
612,0.28916597,31,0,0
2077,0.0,31,0,0
4400,0.0,31,0,0
18142,0.897529,31,0,0
6473,0.07612774,31,0,0
38217,0.9016751,31,0,0
13017,0.5001649,31,0,0
14231,0.9288145,31,0,0
18773,0.0,31,0,0
41095,0.35692647,31,0,0
2478,0.9503847,31,0,0
18149,0.893659,31,0,0
33911,0.77222323,31,0,0
