,train_loss,test_loss,valid_loss,epoch,fold,iter
0,0.6766367,0.6771454,0.6777846,0,0,0
0,0.6508232,0.66923296,0.6693635,1,0,0
0,0.6239314,0.6603591,0.6600786,2,0,0
0,0.6015799,0.65003955,0.6493446,3,0,0
0,0.5789861,0.63969535,0.63858217,4,0,0
0,0.5579819,0.6272918,0.62587947,5,0,0
0,0.5461325,0.6115844,0.61051226,6,0,0
0,0.5407658,0.5958805,0.59443676,7,0,0
0,0.5353111,0.5832235,0.58097166,8,0,0
0,0.5271726,0.570148,0.5673334,9,0,0
0,0.52374846,0.55827117,0.5551929,10,0,0
0,0.5192613,0.55031437,0.5459873,11,0,0
0,0.5184186,0.54385424,0.5388523,12,0,0
0,0.5170509,0.5375933,0.5323083,13,0,0
0,0.5093979,0.5307962,0.5269811,14,0,0
0,0.5165978,0.5256105,0.5219954,15,0,0
0,0.5135799,0.5221675,0.519699,16,0,0
0,0.5138306,0.52129984,0.51738733,17,0,0
0,0.51252323,0.51743925,0.5123019,18,0,0
0,0.5061742,0.5139235,0.51195884,19,0,0
0,0.49979675,0.5127499,0.5125766,20,0,0
0,0.5042656,0.5126586,0.5137839,21,0,0
0,0.49996468,0.5115859,0.51214755,22,0,0
0,0.4958857,0.5124496,0.5128216,23,0,0
0,0.49947667,0.51227766,0.51266265,24,0,0
0,0.49256453,0.5120002,0.5125645,25,0,0
0,0.49420956,0.5114922,0.5124993,26,0,0
0,0.4908737,0.5111583,0.5125749,27,0,0
0,0.49049056,0.5109336,0.5122344,28,0,0
0,0.4904157,0.51073086,0.51209956,29,0,0
0,0.49246106,0.5107249,0.5120478,30,0,0
0,0.496451,0.5106145,0.5120255,31,0,0
0,0.49124503,0.5106455,0.5119791,32,0,0
0,0.4882973,0.5107102,0.5119915,33,0,0
0,0.49500862,0.5107321,0.5118279,34,0,0
0,0.4949557,0.51087546,0.5119026,35,0,0
0,0.48945788,0.51096433,0.51191115,36,0,0
0,0.6775334,0.6772401,0.67790586,0,1,0
0,0.6538846,0.66919404,0.6694571,1,1,0
0,0.6241558,0.66061914,0.66051126,2,1,0
0,0.59673464,0.6505679,0.6501526,3,1,0
0,0.5783091,0.63944995,0.6387448,4,1,0
0,0.56134844,0.62419224,0.62320423,5,1,0
0,0.55312735,0.61031663,0.6092391,6,1,0
0,0.54243565,0.5954873,0.5935826,7,1,0
0,0.52668595,0.57955927,0.576418,8,1,0
0,0.5299289,0.5673769,0.5623903,9,1,0
0,0.5277766,0.55898833,0.55337524,10,1,0
0,0.5247376,0.55050355,0.54471755,11,1,0
0,0.5214646,0.54271555,0.5372966,12,1,0
0,0.5262308,0.53681403,0.53048605,13,1,0
0,0.52301306,0.5310267,0.5259324,14,1,0
0,0.52211624,0.5275239,0.52342504,15,1,0
0,0.5124518,0.5234275,0.52075344,16,1,0
0,0.5138891,0.52018577,0.5181578,17,1,0
0,0.51101476,0.5192496,0.516666,18,1,0
0,0.50732297,0.5181905,0.51586306,19,1,0
0,0.5054682,0.5167931,0.51488006,20,1,0
0,0.5086429,0.51772726,0.5195455,21,1,0
0,0.50906974,0.51541024,0.51676047,22,1,0
0,0.5075647,0.51463157,0.51366377,23,1,0
0,0.5137276,0.51329094,0.5128424,24,1,0
0,0.50520307,0.51431406,0.51440907,25,1,0
0,0.5060856,0.51535654,0.51401764,26,1,0
0,0.49990296,0.5150297,0.5106909,27,1,0
0,0.49985063,0.5131564,0.5110439,28,1,0
0,0.5031676,0.51302624,0.5130766,29,1,0
0,0.49922538,0.5116705,0.51507014,30,1,0
0,0.49781027,0.51334107,0.5154971,31,1,0
0,0.49234477,0.5123142,0.51516634,32,1,0
0,0.49890867,0.51153123,0.5148387,33,1,0
0,0.4885746,0.5111665,0.5151723,34,1,0
0,0.49166656,0.51067525,0.5145822,35,1,0
0,0.49920532,0.5105637,0.5143778,36,1,0
0,0.49090794,0.51047826,0.51432765,37,1,0
0,0.4820726,0.5103809,0.51445955,38,1,0
0,0.4894704,0.5103895,0.5144859,39,1,0
0,0.4943354,0.5104441,0.51455694,40,1,0
0,0.49030912,0.5103943,0.51467156,41,1,0
0,0.48560396,0.510347,0.514481,42,1,0
0,0.49186125,0.51029193,0.5143722,43,1,0
0,0.4822938,0.5103632,0.51436627,44,1,0
0,0.49003825,0.5103748,0.5144396,45,1,0
0,0.4871421,0.51037914,0.5145433,46,1,0
0,0.4893616,0.5103785,0.51456076,47,1,0
0,0.48748147,0.51052517,0.5146889,48,1,0
0,0.67675036,0.67726827,0.67791367,0,2,0
0,0.6514204,0.66940546,0.6695613,1,2,0
0,0.63134205,0.66146594,0.66117597,2,2,0
0,0.60045534,0.6516777,0.65083796,3,2,0
0,0.5774238,0.6414173,0.64068156,4,2,0
0,0.55937815,0.62846416,0.6274307,5,2,0
0,0.54741454,0.61408114,0.61253875,6,2,0
0,0.5371466,0.59782535,0.5958001,7,2,0
0,0.5278319,0.58298,0.58066946,8,2,0
0,0.5208538,0.5712935,0.5684667,9,2,0
0,0.5205066,0.561038,0.5578919,10,2,0
0,0.5205669,0.55130845,0.54715765,11,2,0
0,0.51770896,0.5430324,0.53857756,12,2,0
0,0.5036375,0.535943,0.5316364,13,2,0
0,0.50749165,0.52959543,0.525249,14,2,0
0,0.50787294,0.5254807,0.5207673,15,2,0
0,0.5054323,0.52254444,0.5176768,16,2,0
0,0.500938,0.5190585,0.5154657,17,2,0
0,0.50319856,0.51810515,0.5135302,18,2,0
0,0.49596563,0.518823,0.5151537,19,2,0
0,0.49981582,0.5189735,0.51463586,20,2,0
0,0.49901044,0.51837265,0.5157741,21,2,0
0,0.49203956,0.52013415,0.5154037,22,2,0
0,0.49084473,0.5198203,0.514815,23,2,0
0,0.6754792,0.6759852,0.6765674,0,3,0
0,0.65628535,0.66800356,0.66811997,1,3,0
0,0.6275864,0.6609646,0.66069114,2,3,0
0,0.6018002,0.65131456,0.6505735,3,3,0
0,0.5858808,0.6405499,0.6394843,4,3,0
0,0.56602484,0.6287811,0.62736565,5,3,0
0,0.5519256,0.6153126,0.6135165,6,3,0
0,0.53845525,0.59989256,0.5979312,7,3,0
0,0.5415558,0.58679384,0.5842506,8,3,0
0,0.53425425,0.57461435,0.5713228,9,3,0
0,0.52336985,0.56388545,0.5599502,10,3,0
0,0.5233486,0.5553309,0.5508557,11,3,0
0,0.5213182,0.54757816,0.5427276,12,3,0
0,0.5165442,0.5407062,0.5350112,13,3,0
0,0.51084775,0.53223825,0.52753586,14,3,0
0,0.51045465,0.5259152,0.52222514,15,3,0
0,0.5050569,0.52147144,0.51806486,16,3,0
0,0.5101771,0.51824963,0.5149037,17,3,0
0,0.50545263,0.51672477,0.51326174,18,3,0
0,0.5088966,0.5130973,0.51215106,19,3,0
0,0.5050773,0.513121,0.51241297,20,3,0
0,0.5001082,0.5136818,0.5134671,21,3,0
0,0.5023925,0.51181734,0.5109436,22,3,0
0,0.500565,0.51215184,0.50998074,23,3,0
0,0.50247645,0.511636,0.51212406,24,3,0
0,0.50294536,0.5117249,0.51399356,25,3,0
0,0.50123286,0.51432246,0.5174246,26,3,0
0,0.50385696,0.51512384,0.51866084,27,3,0
0,0.49496055,0.513522,0.516612,28,3,0
0,0.49691704,0.5120323,0.51485455,29,3,0
0,0.6738103,0.6763984,0.6769651,0,4,0
0,0.6528719,0.66812336,0.668237,1,4,0
0,0.624345,0.66027576,0.659964,2,4,0
0,0.601126,0.65069735,0.650071,3,4,0
0,0.5800728,0.64022905,0.6395239,4,4,0
0,0.559099,0.6276519,0.6269304,5,4,0
0,0.55184335,0.6139989,0.6128474,6,4,0
0,0.5367823,0.60029733,0.5987395,7,4,0
0,0.53203434,0.5858762,0.5839936,8,4,0
0,0.52545947,0.5719553,0.56980884,9,4,0
0,0.52952504,0.5617178,0.5573383,10,4,0
0,0.5234039,0.5526392,0.547,11,4,0
0,0.52430683,0.544968,0.5400005,12,4,0
0,0.5136733,0.5379998,0.5349283,13,4,0
0,0.51687735,0.5320711,0.52963734,14,4,0
0,0.5153674,0.52620643,0.5243359,15,4,0
0,0.5092601,0.52252644,0.5214655,16,4,0
0,0.51478827,0.5226451,0.5210371,17,4,0
0,0.5051032,0.5227727,0.5198428,18,4,0
0,0.5095363,0.5211882,0.5183071,19,4,0
0,0.51170343,0.51858985,0.51747423,20,4,0
0,0.5045993,0.51684004,0.51547253,21,4,0
0,0.5070623,0.5153955,0.5158018,22,4,0
0,0.49924877,0.52154166,0.5194555,23,4,0
0,0.49929854,0.5190856,0.5158999,24,4,0
0,0.49677137,0.5332537,0.5282594,25,4,0
0,0.49540934,0.5275014,0.5238367,26,4,0
0,0.49408904,0.5228219,0.5201627,27,4,0
0,0.67682433,0.6758353,0.6763862,0,0,1
0,0.6504732,0.66831875,0.66843444,1,0,1
0,0.62208515,0.65951425,0.659402,2,0,1
0,0.59742826,0.6493999,0.6490784,3,0,1
0,0.57635945,0.6380222,0.63743085,4,0,1
0,0.5537723,0.62453496,0.6236347,5,0,1
0,0.5436352,0.6100019,0.60848093,6,0,1
0,0.5359759,0.5924984,0.58992934,7,0,1
0,0.5344144,0.57925254,0.5763763,8,0,1
0,0.5241365,0.5681049,0.56574637,9,0,1
0,0.51825887,0.5587949,0.55703425,10,0,1
0,0.5152025,0.5503159,0.5484243,11,0,1
0,0.513211,0.54337525,0.5417744,12,0,1
0,0.5074498,0.53535503,0.53355545,13,0,1
0,0.5012308,0.5290672,0.52681744,14,0,1
0,0.5055173,0.5252044,0.52523494,15,0,1
0,0.5077339,0.52142453,0.52064353,16,0,1
0,0.5087212,0.51964825,0.5189157,17,0,1
0,0.49776807,0.5184448,0.51846373,18,0,1
0,0.49359235,0.5206906,0.5206598,19,0,1
0,0.4956499,0.52571446,0.5264004,20,0,1
0,0.48857713,0.5278744,0.5281783,21,0,1
0,0.4923979,0.5298628,0.5306197,22,0,1
0,0.4967459,0.52708596,0.527787,23,0,1
0,0.6773708,0.67598146,0.67655367,0,1,1
0,0.6523765,0.66877955,0.6689514,1,1,1
0,0.6225578,0.6600953,0.6599059,2,1,1
0,0.5981323,0.6498428,0.6492049,3,1,1
0,0.5809834,0.63965386,0.63856024,4,1,1
0,0.56191796,0.6281385,0.626746,5,1,1
0,0.546112,0.61582917,0.6142984,6,1,1
0,0.53575873,0.6026385,0.600263,7,1,1
0,0.5334274,0.58654284,0.5838922,8,1,1
0,0.523089,0.573636,0.5715692,9,1,1
0,0.52078575,0.5648958,0.56278586,10,1,1
0,0.52196956,0.55472815,0.549221,11,1,1
0,0.5207386,0.5510388,0.54441565,12,1,1
0,0.5168223,0.54417795,0.5394776,13,1,1
0,0.5175184,0.53416014,0.53058946,14,1,1
0,0.51569253,0.5268498,0.5236675,15,1,1
0,0.51767814,0.52535963,0.5216501,16,1,1
0,0.5076039,0.5241186,0.5210674,17,1,1
0,0.50935155,0.5252658,0.52062017,18,1,1
0,0.5078625,0.5374794,0.52954,19,1,1
0,0.502673,0.5232953,0.5188456,20,1,1
0,0.49823165,0.52183473,0.5178605,21,1,1
0,0.5011688,0.5242847,0.5212556,22,1,1
0,0.5014773,0.5281152,0.5249537,23,1,1
0,0.5075846,0.54246175,0.53873926,24,1,1
0,0.49731866,0.5649195,0.55568326,25,1,1
0,0.4910705,0.5415481,0.5355231,26,1,1
0,0.6809371,0.6762146,0.676746,0,2,1
0,0.64855313,0.66903216,0.66912824,1,2,1
0,0.6206905,0.6600031,0.6597246,2,2,1
0,0.60097593,0.6494803,0.648754,3,2,1
0,0.580754,0.6386661,0.63765174,4,2,1
0,0.5586395,0.62637585,0.6251433,5,2,1
