condition,indicator,count
spree,0,39533
spree,1,1853
gdm,0,38633
gdm,1,2753
ghtn,0,40630
ghtn,1,756
dmtype1,0,41259
dmtype1,1,127
dmtype2,0,40905
dmtype2,1,481
superimposed,0,40541
superimposed,1,845
htn3,0,40607
htn3,1,779
mpree,0,40619
mpree,1,767
prom_any,0,36326
prom_any,1,5086
nec_any,0,39970
nec_any,1,1442
rop_any,0,35686
rop_any,1,5726
bpd_any,0,37219
bpd_any,1,4193
ivh_any,0,37144
ivh_any,1,4268
sga_who,0,32247
sga_who,1,6428
sga_nichd,0,33443
sga_nichd,1,4923
aga_who,0,12600
aga_who,1,26075
aga_nichd,0,10028
aga_nichd,1,28338
lga_who,0,32504
lga_who,1,6171
lga_nichd,0,33261
lga_nichd,1,5105
sga_any,0,31812
sga_any,1,6636
aga_any,0,9320
aga_any,1,29230
lga_any,0,31737
lga_any,1,6672
