,train_loss,test_loss,epoch
0,0.68549794,0.67814523,0
0,0.66118,0.6566109,1
0,0.64035666,0.63647056,2
0,0.6252672,0.618791,3
0,0.6109797,0.6040413,4
0,0.59693164,0.5932927,5
0,0.58679277,0.5847713,6
0,0.5783804,0.576823,7
0,0.570387,0.5706271,8
0,0.56259555,0.56501865,9
0,0.55706984,0.561428,10
0,0.55075353,0.5575767,11
0,0.5437428,0.55656403,12
0,0.53879714,0.55326307,13
0,0.5372288,0.5525521,14
0,0.5306957,0.5528533,15
0,0.5260067,0.55236083,16
0,0.5225477,0.5512381,17
0,0.51705426,0.5520632,18
0,0.5105339,0.5603472,19
0,0.5071751,0.5558213,20
0,0.50168604,0.55928224,21
0,0.49870092,0.55984986,22
